verification_row_id,source_candidate_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,canonical_locator_before_verification,source_domain,source_family_hint,document_type_hint,candidate_quality_tier,possible_mechanism_hints,prior_seen_locator_flag,prior_verification_status,verification_status,http_status_code,redirect_count,final_canonical_locator,content_type_header,content_length_header,transport_error_type,verification_attempt_count,verification_started_at,verification_completed_at,worker_id,checkpoint_id,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes,queue_disposition,queue_exclusion_reason,input_row_number
,B4XPAR-20260727-000503,broad_4x1000_deduped,,,CT,Northeast,Newington,Capitol Planning Region (09110; primary),Police Department NIPSEU Contract (Working Agreement),https://www.newingtonct.gov/DocumentCenter/View/10468/NIPSEU-Contract-Final-Current,https://newingtonct.gov/DocumentCenter/View/10468/NIPSEU-Contract-Final-Current,newingtonct.gov,wage_schedule,cba,pending_combined_review,,false,unavailable,verification_not_run,,,,,,,0,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=police; occupation_hint=police.,excluded,already_present_in_prior_verification_results,454
,B4XPAR-20260727-000504,broad_4x1000_deduped,,,CT,Northeast,Newington,Capitol Planning Region (09110; primary),AFSCME Contract (Collective Bargaining Agreement),https://www.newingtonct.gov/DocumentCenter/View/10467/AFSCME-Contract-Current,https://newingtonct.gov/DocumentCenter/View/10467/AFSCME-Contract-Current,newingtonct.gov,wage_schedule,cba,pending_combined_review,non_safety_constraint_signal,false,unavailable,verification_not_run,,,,,,,0,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=non_safety; occupation_hint=non_safety.,excluded,already_present_in_prior_verification_results,455
,B4XPAR-20260727-000555,broad_4x1000_deduped,,,MA,Northeast,Clinton,Worcester County (25027; primary),"JLMC Interest Arbitration Award (Town of Clinton v. Massachusetts Coalition of Police, AFL-CIO, Local 151) — Case JLM-14-3960",https://www.mass.gov/doc/jlm-14-3960-town-of-clinton-and-massachusetts-coalition-of-police-afl-cio-local-151-november-29/download,https://mass.gov/doc/jlm-14-3960-town-of-clinton-and-massachusetts-coalition-of-police-afl-cio-local-151-november-29/download,mass.gov,arbitration_award,arbitration_award,pending_combined_review,strike_or_no_strike_constraint,false,unavailable,verification_not_run,,,,,,,0,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=police; occupation_hint=police.,excluded,already_present_in_prior_verification_results,504
,B4XPAR-20260727-000567,broad_4x1000_deduped,,,MA,Northeast,Kingston,Plymouth County (25023; primary),Kingston Patrolman Contract 2020 - 2023 (PDF),https://www.kingstonma.gov/DocumentCenter/View/1964,https://kingstonma.gov/DocumentCenter/View/1964,kingstonma.gov,cba,cba,pending_combined_review,,false,unavailable,verification_not_run,,,,,,,0,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=police; occupation_hint=police.,excluded,already_present_in_prior_verification_results,516
,B4XPAR-20260727-000568,broad_4x1000_deduped,,,MA,Northeast,Kingston,Plymouth County (25023; primary),Kingston Town Employee Union Labor Unit Contract 2020-2023 (PDF),https://www.kingstonma.gov/DocumentCenter/View/1575,https://kingstonma.gov/DocumentCenter/View/1575,kingstonma.gov,cba,cba,pending_combined_review,non_safety_constraint_signal,false,unavailable,verification_not_run,,,,,,,0,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=non_safety; occupation_hint=non_safety.,excluded,already_present_in_prior_verification_results,517
,B4XPAR-20260727-000575,broad_4x1000_deduped,,,MA,Northeast,Middleborough,Plymouth County (25023; primary),AFSCME Clerical and COA 2021-2024,https://www.middleboroughma.gov/DocumentCenter/View/4203/AFSCME-Clerical-and-COA-2021-2024-PDF,https://middleboroughma.gov/DocumentCenter/View/4203/AFSCME-Clerical-and-COA-2021-2024-PDF,middleboroughma.gov,cba,cba,pending_combined_review,non_safety_constraint_signal,false,verified_source_lead,verification_not_run,,,,,,,0,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=non_safety; occupation_hint=non_safety.,excluded,already_present_in_prior_verification_results,524
,B4XPAR-20260727-000590,broad_4x1000_deduped,,,MA,Northeast,Rockland,Plymouth County (25023; primary),AFSCME Public Works Agreement FY23-25 Fully Executed,https://www.rockland-ma.gov/DocumentCenter/View/3026/AFSCME-Public-Works-Agreement-FY23-25-Fully-Executed,https://rockland-ma.gov/DocumentCenter/View/3026/AFSCME-Public-Works-Agreement-FY23-25-Fully-Executed,rockland-ma.gov,cba,cba,pending_combined_review,non_safety_constraint_signal,false,unavailable,verification_not_run,,,,,,,0,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=non_safety; occupation_hint=non_safety.,excluded,already_present_in_prior_verification_results,539
,B4XPAR-20260727-000591,broad_4x1000_deduped,,,MA,Northeast,Rockland,Plymouth County (25023; primary),AFSCME Clerical Union Executed Contract FY23 to FY25,https://www.rockland-ma.gov/DocumentCenter/View/2952/AFSCME-Clerical-Union-Executed-Contract-FY23-to-FY25,https://rockland-ma.gov/DocumentCenter/View/2952/AFSCME-Clerical-Union-Executed-Contract-FY23-to-FY25,rockland-ma.gov,cba,cba,pending_combined_review,non_safety_constraint_signal,false,unavailable,verification_not_run,,,,,,,0,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=non_safety; occupation_hint=non_safety.,excluded,already_present_in_prior_verification_results,540
,B4XPAR-20260727-000675,broad_4x1000_deduped,,,NH,Northeast,Hooksett,Merrimack County (33013; primary),"Agreement Between Town of Hooksett and Local 3264, IAFF – Hooksett Permanent Firefighters Association (CBA)",https://www.hooksett.org/Documents/Departments/Administration/Agreement%20and%20Contracts/Union%20Contracts/2024-2027%20IAFF%20LOCAL%203264%20CBA%20-%20Final%20GC%2001042024.pdf,https://hooksett.org/Documents/Departments/Administration/Agreement%20and%20Contracts/Union%20Contracts/2024-2027%20IAFF%20LOCAL%203264%20CBA%20-%20Final%20GC%2001042024.pdf,hooksett.org,cba,cba,pending_combined_review,,false,verified_source_lead,verification_not_run,,,,,,,0,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=fire; occupation_hint=fire.,excluded,already_present_in_prior_verification_results,618
,B4XPAR-20260727-000996,broad_4x1000_deduped,,,GA,South,Forest Park,Clayton County (13063; primary),Forest Park Charter (Municipicode) — Position classification and pay plan provisions,https://library.municode.com/GA/Forest_Park/codes/Code_of_Ordinances?nodeId=THCH_ARTIVMUCO,https://library.municode.com/GA/Forest_Park/codes/Code_of_Ordinances,library.municode.com,budget_or_pay_plan,ordinance_or_policy,pending_combined_review,non_safety_constraint_signal,false,verified_source_lead,verification_not_run,,,,,,,0,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unclear; occupation_hint=unclear.,excluded,already_present_in_prior_verification_results,925
