municipality,verification_rows,verified_reachable,unavailable,blocked_or_timeout,verification_error,global_analysis_readiness
Abbeville,3,3,0,0,0,false
Abbotsford,1,0,1,0,0,false
Aberdeen,3,1,2,0,0,false
Abilene,2,0,2,0,0,false
Abingdon,1,0,1,0,0,false
Abington,4,1,3,0,0,false
Abita Springs,2,2,0,0,0,false
Absecon,3,3,0,0,0,false
Acton,5,0,5,0,0,false
Acworth,5,4,1,0,0,false
Ada,4,2,2,0,0,false
Adams,1,1,0,0,0,false
Addis,4,4,0,0,0,false
Adel,1,0,1,0,0,false
Afton,2,2,0,0,0,false
Agoura Hills,1,1,0,0,0,false
Aiken,2,2,0,0,0,false
Ainsworth,2,2,0,0,0,false
Airway Heights,2,1,1,0,0,false
Alabaster,1,1,0,0,0,false
Alachua,2,2,0,0,0,false
Alamo,2,2,0,0,0,false
Alamosa,1,1,0,0,0,false
Albany,2,0,2,0,0,false
Albemarle,2,0,2,0,0,false
Alberton,3,3,0,0,0,false
Albertville,3,0,3,0,0,false
Albia,2,2,0,0,0,false
Albion,4,4,0,0,0,false
Albuquerque,1,1,0,0,0,false
Alburgh,2,2,0,0,0,false
Alcester,1,1,0,0,0,false
Alcoa,2,1,1,0,0,false
Aleknagik,1,1,0,0,0,false
Alexander City,2,0,2,0,0,false
Alexandria,1,1,0,0,0,false
Algona,1,0,1,0,0,false
Alice,1,1,0,0,0,false
Allegan,1,1,0,0,0,false
Allendale,1,1,0,0,0,false
Allendale charter,1,1,0,0,0,false
Allenstown,3,1,2,0,0,false
Alliance,2,0,2,0,0,false
Alma,3,3,0,0,0,false
Alpena,3,3,0,0,0,false
Alpharetta,1,1,0,0,0,false
Alpine,1,1,0,0,0,false
Alsip,4,3,0,1,0,false
Altavista,1,1,0,0,0,false
Alton,2,2,0,0,0,false
Alva,3,3,0,0,0,false
Alvin,3,3,0,0,0,false
Ambler,1,1,0,0,0,false
Ambridge,1,0,1,0,0,false
American,1,1,0,0,0,false
American Falls,2,2,0,0,0,false
Amery,2,2,0,0,0,false
Amherst,5,5,0,0,0,false
Amite City,2,1,1,0,0,false
Amity,3,1,2,0,0,false
Amityville,2,1,1,0,0,false
Anadarko,1,0,1,0,0,false
Anamosa,1,1,0,0,0,false
Andalusia,1,1,0,0,0,false
Anderson,5,5,0,0,0,false
Andover,5,1,4,0,0,false
Andrews,2,2,0,0,0,false
Angel Fire,1,1,0,0,0,false
Angier,2,0,2,0,0,false
Angleton,1,1,0,0,0,false
Angola,1,1,0,0,0,false
Angoon,2,2,0,0,0,false
Anna,4,1,3,0,0,false
Anniston,2,2,0,0,0,false
Ansted,2,2,0,0,0,false
Anthony,2,2,0,0,0,false
Antioch,2,1,1,0,0,false
Antwerp,1,1,0,0,0,false
Apache Junction,3,1,2,0,0,false
Apex,1,0,1,0,0,false
Appomattox,2,2,0,0,0,false
Arab,1,1,0,0,0,false
Arcadia,4,4,0,0,0,false
Arcanum,2,2,0,0,0,false
Archbald,2,0,2,0,0,false
Archdale,1,1,0,0,0,false
Arco,2,2,0,0,0,false
Arden,2,2,0,0,0,false
Arden Hills,2,2,0,0,0,false
Ardmore,2,2,0,0,0,false
Argusville,1,1,0,0,0,false
Arkansas City,2,1,1,0,0,false
Arlington,2,2,0,0,0,false
Armour,1,0,1,0,0,false
Artesia,4,0,4,0,0,false
Asbury,2,1,1,0,0,false
Asheboro,1,1,0,0,0,false
Ashland,6,2,4,0,0,false
Ashland City,1,1,0,0,0,false
Aspen,2,1,1,0,0,false
Atchison,2,2,0,0,0,false
Athena,2,2,0,0,0,false
Athens,5,5,0,0,0,false
Athol,4,1,3,0,0,false
Atkinson,4,2,2,0,0,false
Atlanta,1,1,0,0,0,false
Atlantic Beach,1,1,0,0,0,false
Atoka,2,0,2,0,0,false
Atqasuk,1,1,0,0,0,false
Attalla,1,1,0,0,0,false
Auburn,9,3,6,0,0,false
Audubon,2,2,0,0,0,false
Augusta,1,1,0,0,0,false
Ault,1,0,1,0,0,false
Aumsville,2,1,1,0,0,false
Aurora,5,2,2,1,0,false
Austell,1,1,0,0,0,false
Austin,1,1,0,0,0,false
Austintown,3,3,0,0,0,false
Avenal,4,3,1,0,0,false
Avon,4,3,1,0,0,false
Avon Park,2,0,2,0,0,false
Azle,4,4,0,0,0,false
Aztec,1,1,0,0,0,false
Azusa,2,0,2,0,0,false
Babylon,1,1,0,0,0,false
Bainville,2,2,0,0,0,false
Baker,1,1,0,0,0,false
Baldwin,6,4,2,0,0,false
Baldwin Park,2,0,2,0,0,false
Baldwinsville,1,0,1,0,0,false
Ball,3,0,3,0,0,false
Baltimore,2,2,0,0,0,false
Bandon,3,0,3,0,0,false
Banks,1,1,0,0,0,false
Bar Harbor,1,1,0,0,0,false
Bar Nunn,3,3,0,0,0,false
Barboursville,2,1,1,0,0,false
Bardstown,3,2,1,0,0,false
Barling,2,0,2,0,0,false
Barnstead,2,1,1,0,0,false
Barnwell,2,2,0,0,0,false
Barrington,9,7,2,0,0,false
Barton,1,1,0,0,0,false
Basalt,2,0,2,0,0,false
Basehor,2,1,1,0,0,false
Bastrop,1,1,0,0,0,false
Batavia,4,2,2,0,0,false
Batesburg-Leesville,3,1,2,0,0,false
Batesville,5,4,1,0,0,false
Bath,5,4,1,0,0,false
Battlefield,3,0,3,0,0,false
Baxter,2,0,2,0,0,false
Baxter Springs,2,2,0,0,0,false
Bay City,5,0,5,0,0,false
Bay Harbor Islands,2,0,2,0,0,false
Bay Minette,3,0,3,0,0,false
Bay St. Louis,1,1,0,0,0,false
Bayard,3,3,0,0,0,false
Bayfield,1,0,1,0,0,false
Bayside,1,1,0,0,0,false
Beach,2,1,1,0,0,false
Beach Park,1,1,0,0,0,false
Beachwood,1,0,1,0,0,false
Bear River,1,1,0,0,0,false
Beaumont,2,1,1,0,0,false
Beavercreek,1,1,0,0,0,false
Beaverton,3,3,0,0,0,false
Becker,3,3,0,0,0,false
Bedford,7,1,6,0,0,false
Beebe,1,1,0,0,0,false
Beech Grove,2,2,0,0,0,false
Beekman,1,1,0,0,0,false
Beeville,1,1,0,0,0,false
Bel Aire,1,1,0,0,0,false
Belchertown,3,0,3,0,0,false
Belding,1,1,0,0,0,false
Belgrade,3,2,1,0,0,false
Belington,1,1,0,0,0,false
Bella Vista,1,1,0,0,0,false
Belle,2,2,0,0,0,false
Belle Isle,1,1,0,0,0,false
Belle Plaine,1,1,0,0,0,false
Bellefontaine Neighbors,1,1,0,0,0,false
Bellefonte,4,4,0,0,0,false
Belleview,1,1,0,0,0,false
Belleville,2,2,0,0,0,false
Bellevue,2,1,1,0,0,false
Bellingham,5,0,5,0,0,false
Bellmawr,2,1,1,0,0,false
Bellows Falls,1,0,1,0,0,false
Bellwood,2,2,0,0,0,false
Belmont,5,3,2,0,0,false
Belton,4,4,0,0,0,false
Belvidere,2,0,2,0,0,false
Benbrook,3,1,2,0,0,false
Bennet,1,1,0,0,0,false
Bennettsville,2,2,0,0,0,false
Bennington,4,4,0,0,0,false
Bensalem,1,0,1,0,0,false
Bensenville,3,0,3,0,0,false
Benton,4,4,0,0,0,false
Benton charter,3,3,0,0,0,false
Benwood,1,1,0,0,0,false
Berea,2,0,2,0,0,false
Beresford,1,1,0,0,0,false
Berkeley,2,2,0,0,0,false
Berkeley Heights,3,3,0,0,0,false
Berlin,5,3,2,0,0,false
Bernardsville,2,2,0,0,0,false
Berthold,1,1,0,0,0,false
Berwick,5,5,0,0,0,false
Berwyn,1,1,0,0,0,false
Berwyn Heights,1,1,0,0,0,false
Bessemer,2,1,1,0,0,false
Bethany,2,0,2,0,0,false
Bethel,4,2,1,1,0,false
Bethlehem,1,0,1,0,0,false
Beulah,1,1,0,0,0,false
Beverly Hills,3,3,0,0,0,false
Big Lake,2,1,1,0,0,false
Big Rapids,1,0,1,0,0,false
Big Sandy,1,1,0,0,0,false
Big Spring,2,1,1,0,0,false
Big Stone Gap,2,2,0,0,0,false
Billerica,1,0,1,0,0,false
Bisbee,1,0,1,0,0,false
Bishopville,2,1,1,0,0,false
Black Diamond,2,0,2,0,0,false
Black Jack,2,2,0,0,0,false
Black River Falls,2,1,1,0,0,false
Blackfoot,2,1,1,0,0,false
Blackstone,2,0,2,0,0,false
Blades,1,1,0,0,0,false
Blaine,3,0,3,0,0,false
Blair,1,0,1,0,0,false
Blanchard,1,1,0,0,0,false
Bloom,1,1,0,0,0,false
Bloomer,2,1,1,0,0,false
Bloomfield,9,4,5,0,0,false
Bloomington,5,1,4,0,0,false
Bloomington City,1,1,0,0,0,false
Blue Ash,1,1,0,0,0,false
Blue Springs,2,0,2,0,0,false
Bluefield,1,1,0,0,0,false
Blythe,4,4,0,0,0,false
Blytheville,1,0,1,0,0,false
Blythewood,1,1,0,0,0,false
Boardman,5,5,0,0,0,false
Boerne,2,1,1,0,0,false
Bogota,2,1,1,0,0,false
Bolivar,6,4,2,0,0,false
Bonner Springs,2,1,1,0,0,false
Bonners Ferry,2,0,2,0,0,false
Boone,2,1,1,0,0,false
Booneville,3,3,0,0,0,false
Boonsboro,2,2,0,0,0,false
Boonton,2,0,2,0,0,false
Boonville,3,2,1,0,0,false
Boscawen,3,3,0,0,0,false
Boscobel,2,2,0,0,0,false
Bosque Farms,2,0,2,0,0,false
Bottineau,1,1,0,0,0,false
Boulder,1,0,0,1,0,false
Bourbonnais,1,1,0,0,0,false
Bourne,4,1,3,0,0,false
Bow,2,0,2,0,0,false
Bowers,1,1,0,0,0,false
Bradford,4,4,0,0,0,false
Bradley,3,3,0,0,0,false
Brandon,1,1,0,0,0,false
Branford,3,0,3,0,0,false
Brattleboro,1,1,0,0,0,false
Brazil,2,2,0,0,0,false
Breaux Bridge,2,2,0,0,0,false
Bremen,1,0,1,0,0,false
Brenham,1,1,0,0,0,false
Brentwood,9,5,4,0,0,false
Brevard,2,0,2,0,0,false
Brewster,3,1,2,0,0,false
Briarcliff Manor,2,2,0,0,0,false
Brick,1,0,1,0,0,false
Bridgeport,2,2,0,0,0,false
Bridger,1,1,0,0,0,false
Bridgeton,3,0,3,0,0,false
Bridgeview,1,1,0,0,0,false
Bridgeville,2,2,0,0,0,false
Bridgewater,3,2,1,0,0,false
Bridgton,1,1,0,0,0,false
Brigantine,2,0,2,0,0,false
Brigham City,2,2,0,0,0,false
Brighton,4,3,1,0,0,false
Bristol,9,5,4,0,0,false
Bristow,3,3,0,0,0,false
Britton,1,1,0,0,0,false
Broadus,1,1,0,0,0,false
Brockport,2,2,0,0,0,false
Brodhead,1,1,0,0,0,false
Broken Bow,1,1,0,0,0,false
Brookfield,8,7,1,0,0,false
Brookhaven,7,4,3,0,0,false
Brookland,3,2,1,0,0,false
Brookline,4,3,1,0,0,false
Brooklyn,3,1,2,0,0,false
Brooksville,1,0,1,0,0,false
Brownsville,2,1,1,0,0,false
Brownwood,3,1,2,0,0,false
Brunswick,6,3,3,0,0,false
Brush,1,1,0,0,0,false
Bryant,1,0,1,0,0,false
Buckeye,1,1,0,0,0,false
Buckhannon,2,2,0,0,0,false
Buckley,3,1,2,0,0,false
Bucksport,1,1,0,0,0,false
Bucyrus,1,1,0,0,0,false
Buena Park,1,0,1,0,0,false
Buena Vista,6,4,2,0,0,false
Buffalo,3,2,1,0,0,false
