municipality,verification_rows,verified_reachable,unavailable,blocked_or_timeout,verification_error,global_analysis_readiness
Abbeville,4,4,0,0,0,false
Abbotsford,1,0,1,0,0,false
Aberdeen,4,1,3,0,0,false
Abilene,4,1,3,0,0,false
Abingdon,1,0,1,0,0,false
Abington,6,3,3,0,0,false
Abita Springs,2,2,0,0,0,false
Absecon,4,4,0,0,0,false
Acton,6,0,6,0,0,false
Acworth,5,4,1,0,0,false
Ada,5,2,3,0,0,false
Adams,3,3,0,0,0,false
Addis,4,4,0,0,0,false
Addison,1,0,1,0,0,false
Adel,2,1,1,0,0,false
Afton,2,2,0,0,0,false
Agoura Hills,1,1,0,0,0,false
Aiken,2,2,0,0,0,false
Ainsworth,2,2,0,0,0,false
Airmont,1,1,0,0,0,false
Airway Heights,2,1,1,0,0,false
Akutan,1,1,0,0,0,false
Alabaster,1,1,0,0,0,false
Alachua,3,2,1,0,0,false
Alamo,2,2,0,0,0,false
Alamosa,1,1,0,0,0,false
Albany,3,0,3,0,0,false
Albemarle,3,0,3,0,0,false
Alberton,3,3,0,0,0,false
Albertville,5,0,5,0,0,false
Albia,3,3,0,0,0,false
Albion,6,6,0,0,0,false
Albuquerque,1,1,0,0,0,false
Alburgh,3,3,0,0,0,false
Alcester,1,1,0,0,0,false
Alcoa,2,1,1,0,0,false
Alderson,1,0,1,0,0,false
Aleknagik,1,1,0,0,0,false
Alexander City,3,0,3,0,0,false
Alexandria,1,1,0,0,0,false
Algoma,1,1,0,0,0,false
Algona,3,1,2,0,0,false
Alice,1,1,0,0,0,false
Allegan,1,1,0,0,0,false
Allendale,2,2,0,0,0,false
Allendale charter,2,2,0,0,0,false
Allenstown,4,1,3,0,0,false
Alliance,3,0,3,0,0,false
Alma,4,4,0,0,0,false
Alpena,3,3,0,0,0,false
Alpharetta,2,2,0,0,0,false
Alpine,2,2,0,0,0,false
Alsip,5,4,0,1,0,false
Altavista,1,1,0,0,0,false
Alton,3,3,0,0,0,false
Alva,3,3,0,0,0,false
Alvin,4,3,1,0,0,false
Ambler,1,1,0,0,0,false
Ambridge,1,0,1,0,0,false
American,1,1,0,0,0,false
American Falls,2,2,0,0,0,false
Americus,2,1,1,0,0,false
Amery,2,2,0,0,0,false
Amherst,7,7,0,0,0,false
Amite City,3,2,1,0,0,false
Amity,4,2,2,0,0,false
Amityville,2,1,1,0,0,false
Anadarko,2,1,1,0,0,false
Anaktuvuk Pass,1,1,0,0,0,false
Anamosa,2,2,0,0,0,false
Andalusia,1,1,0,0,0,false
Anderson,7,7,0,0,0,false
Andover,7,2,5,0,0,false
Andrews,2,2,0,0,0,false
Angel Fire,1,1,0,0,0,false
Angier,2,0,2,0,0,false
Angleton,2,1,1,0,0,false
Angola,2,2,0,0,0,false
Angoon,3,3,0,0,0,false
Anna,4,1,3,0,0,false
Anniston,3,3,0,0,0,false
Ansted,2,2,0,0,0,false
Anthony,2,2,0,0,0,false
Antioch,3,1,2,0,0,false
Antwerp,2,2,0,0,0,false
Apache Junction,4,1,3,0,0,false
Apex,2,0,2,0,0,false
Appalachia,1,1,0,0,0,false
Apple Creek,1,1,0,0,0,false
Appomattox,2,2,0,0,0,false
Arab,1,1,0,0,0,false
Arcadia,5,5,0,0,0,false
Arcanum,2,2,0,0,0,false
Archbald,2,0,2,0,0,false
Archdale,2,2,0,0,0,false
Arco,2,2,0,0,0,false
Arden,3,3,0,0,0,false
Arden Hills,2,2,0,0,0,false
Ardmore,2,2,0,0,0,false
Argusville,2,2,0,0,0,false
Arkadelphia,1,0,1,0,0,false
Arkansas City,2,1,1,0,0,false
Arlington,3,3,0,0,0,false
Armour,2,1,1,0,0,false
Artesia,5,1,4,0,0,false
Asbury,2,1,1,0,0,false
Asheboro,2,2,0,0,0,false
Ashland,9,3,6,0,0,false
Ashland City,1,1,0,0,0,false
Asotin,1,1,0,0,0,false
Aspen,3,1,2,0,0,false
Atchison,2,2,0,0,0,false
Athena,2,2,0,0,0,false
Athens,10,9,1,0,0,false
Athol,6,2,4,0,0,false
Atkinson,4,2,2,0,0,false
Atlanta,1,1,0,0,0,false
Atlantic Beach,2,2,0,0,0,false
Atoka,3,0,3,0,0,false
Atqasuk,1,1,0,0,0,false
Attalla,1,1,0,0,0,false
Auburn,15,4,11,0,0,false
Audubon,3,3,0,0,0,false
Augusta,2,2,0,0,0,false
Ault,1,0,1,0,0,false
Aumsville,2,1,1,0,0,false
Aurora,7,3,2,2,0,false
Austell,2,2,0,0,0,false
Austin,1,1,0,0,0,false
Austintown,4,4,0,0,0,false
Avenal,5,4,1,0,0,false
Avon,4,3,1,0,0,false
Avon Park,3,0,3,0,0,false
Azle,5,5,0,0,0,false
Aztec,2,2,0,0,0,false
Azusa,2,0,2,0,0,false
Babylon,2,2,0,0,0,false
Bainville,2,2,0,0,0,false
Baker,1,1,0,0,0,false
Baldwin,7,4,3,0,0,false
Baldwin Park,3,0,3,0,0,false
Baldwinsville,1,0,1,0,0,false
Ball,3,0,3,0,0,false
Baltimore,2,2,0,0,0,false
Bandon,4,1,3,0,0,false
Banks,2,2,0,0,0,false
Bar Harbor,2,2,0,0,0,false
Bar Nunn,3,3,0,0,0,false
Barboursville,2,1,1,0,0,false
Bardstown,5,3,2,0,0,false
Barling,3,0,3,0,0,false
Barnstead,3,2,1,0,0,false
Barnwell,2,2,0,0,0,false
Barrington,12,9,3,0,0,false
Barton,1,1,0,0,0,false
Basalt,3,0,3,0,0,false
Basehor,2,1,1,0,0,false
Bastrop,2,2,0,0,0,false
Batavia,4,2,2,0,0,false
Batesburg-Leesville,4,1,3,0,0,false
Batesville,7,5,2,0,0,false
Bath,7,5,2,0,0,false
Battlefield,3,0,3,0,0,false
Baxter,2,0,2,0,0,false
Baxter Springs,2,2,0,0,0,false
Bay City,7,0,7,0,0,false
Bay Harbor Islands,3,1,2,0,0,false
Bay Minette,3,0,3,0,0,false
Bay St. Louis,1,1,0,0,0,false
Bayard,4,4,0,0,0,false
Bayfield,2,0,2,0,0,false
Bayside,2,2,0,0,0,false
Beach,3,1,2,0,0,false
Beach Park,3,3,0,0,0,false
Beachwood,2,0,2,0,0,false
Bear River,1,1,0,0,0,false
Beaufort,1,1,0,0,0,false
Beaumont,2,1,1,0,0,false
Beaver Falls,1,1,0,0,0,false
Beavercreek,1,1,0,0,0,false
Beaverton,3,3,0,0,0,false
Becker,3,3,0,0,0,false
Bedford,8,1,7,0,0,false
Beebe,2,2,0,0,0,false
Beech Grove,2,2,0,0,0,false
Beekman,1,1,0,0,0,false
Beeville,2,2,0,0,0,false
Bel Aire,2,2,0,0,0,false
Belchertown,5,1,4,0,0,false
Belding,2,2,0,0,0,false
Belgrade,4,3,1,0,0,false
Belington,2,2,0,0,0,false
Bella Vista,1,1,0,0,0,false
Belle,3,3,0,0,0,false
Belle Isle,2,2,0,0,0,false
Belle Plaine,1,1,0,0,0,false
Belleair,1,1,0,0,0,false
Bellefontaine Neighbors,2,2,0,0,0,false
Bellefonte,4,4,0,0,0,false
Belleview,1,1,0,0,0,false
Belleville,3,3,0,0,0,false
Bellevue,3,1,2,0,0,false
Bellingham,7,0,7,0,0,false
Bellmawr,3,2,1,0,0,false
Bellows Falls,1,0,1,0,0,false
Bellwood,5,4,1,0,0,false
Belmont,6,4,2,0,0,false
Belton,4,4,0,0,0,false
Belvidere,3,0,3,0,0,false
Benbrook,4,1,3,0,0,false
Bennet,1,1,0,0,0,false
Bennettsville,3,3,0,0,0,false
Bennington,6,6,0,0,0,false
Bensalem,1,0,1,0,0,false
Bensenville,4,0,4,0,0,false
Benton,6,6,0,0,0,false
Benton City,1,1,0,0,0,false
Benton charter,3,3,0,0,0,false
Benwood,1,1,0,0,0,false
Berea,3,0,3,0,0,false
Beresford,1,1,0,0,0,false
Berkeley,3,3,0,0,0,false
Berkeley Heights,3,3,0,0,0,false
Berlin,7,5,2,0,0,false
Bernardsville,2,2,0,0,0,false
Berthold,1,1,0,0,0,false
Berwick,6,6,0,0,0,false
Berwyn,1,1,0,0,0,false
Berwyn Heights,1,1,0,0,0,false
Bessemer,3,1,1,1,0,false
Bethany,2,0,2,0,0,false
Bethel,5,3,1,1,0,false
Bethlehem,1,0,1,0,0,false
Beulah,1,1,0,0,0,false
Beverly Hills,3,3,0,0,0,false
Big Lake,2,1,1,0,0,false
Big Rapids,2,1,1,0,0,false
Big Sandy,2,2,0,0,0,false
Big Spring,2,1,1,0,0,false
Big Stone Gap,2,2,0,0,0,false
Billerica,1,0,1,0,0,false
Bisbee,2,0,2,0,0,false
Bishopville,3,1,2,0,0,false
Black Diamond,3,0,3,0,0,false
Black Jack,2,2,0,0,0,false
Black River Falls,2,1,1,0,0,false
Blackfoot,3,1,2,0,0,false
Blackstone,2,0,2,0,0,false
Blades,2,2,0,0,0,false
Blaine,3,0,3,0,0,false
Blair,1,0,1,0,0,false
Blakely,1,1,0,0,0,false
Blanchard,2,1,1,0,0,false
Bloom,1,1,0,0,0,false
Bloomer,4,2,2,0,0,false
Bloomfield,11,5,6,0,0,false
Bloomington,7,1,6,0,0,false
Bloomington City,1,1,0,0,0,false
Blue Ash,2,2,0,0,0,false
Blue Springs,2,0,2,0,0,false
Bluefield,2,2,0,0,0,false
Blythe,6,6,0,0,0,false
Blytheville,1,0,1,0,0,false
Blythewood,1,1,0,0,0,false
Boardman,5,5,0,0,0,false
Boerne,3,2,1,0,0,false
Bogota,2,1,1,0,0,false
Bolivar,6,4,2,0,0,false
Bonner Springs,2,1,1,0,0,false
Bonners Ferry,3,0,3,0,0,false
Boone,3,1,2,0,0,false
Booneville,4,4,0,0,0,false
Boonsboro,3,3,0,0,0,false
Boonton,3,0,3,0,0,false
Boonville,4,3,1,0,0,false
Boothbay,1,1,0,0,0,false
Boscawen,3,3,0,0,0,false
Boscobel,2,2,0,0,0,false
Bosque Farms,2,0,2,0,0,false
Bottineau,1,1,0,0,0,false
Boulder,2,1,0,1,0,false
Bourbonnais,2,2,0,0,0,false
Bourne,6,1,5,0,0,false
Bow,3,0,3,0,0,false
Bowers,1,1,0,0,0,false
Bradford,6,6,0,0,0,false
Bradley,3,3,0,0,0,false
Brandenburg,1,1,0,0,0,false
Brandon,1,1,0,0,0,false
Branford,4,0,4,0,0,false
Brattleboro,2,2,0,0,0,false
Brazil,3,3,0,0,0,false
Breaux Bridge,2,2,0,0,0,false
Bremen,2,1,1,0,0,false
Brenham,2,2,0,0,0,false
Brentwood,12,5,7,0,0,false
Brevard,2,0,2,0,0,false
Brewster,3,1,2,0,0,false
Briarcliff Manor,2,2,0,0,0,false
Brick,2,0,2,0,0,false
Bridgeport,3,3,0,0,0,false
Bridger,1,1,0,0,0,false
Bridgeton,4,0,4,0,0,false
Bridgeview,1,1,0,0,0,false
Bridgeville,3,3,0,0,0,false
Bridgewater,5,3,2,0,0,false
Bridgton,2,2,0,0,0,false
Brier,1,1,0,0,0,false
Brigantine,2,0,2,0,0,false
Brigham City,3,3,0,0,0,false
Brighton,6,5,1,0,0,false
Bristol,11,6,5,0,0,false
Bristow,3,3,0,0,0,false
Britton,1,1,0,0,0,false
Broadus,2,2,0,0,0,false
Broadway,1,1,0,0,0,false
Brockport,2,2,0,0,0,false
Brodhead,1,1,0,0,0,false
Broken Bow,2,2,0,0,0,false
Brookfield,11,10,1,0,0,false
Brookhaven,7,4,3,0,0,false
Brookland,3,2,1,0,0,false
Brookline,5,4,1,0,0,false
Brooklyn,4,1,3,0,0,false
Brooksville,2,0,2,0,0,false
Brownstown charter,1,1,0,0,0,false
Brownsville,2,1,1,0,0,false
Brownwood,4,2,2,0,0,false
Brunswick,8,4,4,0,0,false
Brush,1,1,0,0,0,false
Brusly,1,1,0,0,0,false
Bryant,1,0,1,0,0,false
Buckeye,1,1,0,0,0,false
Buckhannon,3,3,0,0,0,false
Buckingham,2,2,0,0,0,false
Buckley,3,1,2,0,0,false
Bucksport,1,1,0,0,0,false
Bucyrus,1,1,0,0,0,false
Buena Park,2,0,2,0,0,false
Buena Vista,7,5,2,0,0,false
Buffalo,4,3,1,0,0,false
Buffalo Grove,1,1,0,0,0,false
Buford,3,3,0,0,0,false
Buhl,2,2,0,0,0,false
Bullhead City,2,2,0,0,0,false
Bunnell,3,0,3,0,0,false
Burbank,1,1,0,0,0,false
Burlington,16,5,11,0,0,false
Burns,1,1,0,0,0,false
Burnsville,3,3,0,0,0,false
Burr Ridge,3,2,1,0,0,false
Burrillville,3,2,1,0,0,false
Butler,5,5,0,0,0,false
Butner,2,0,2,0,0,false
Buxton,1,1,0,0,0,false
Byhalia,1,1,0,0,0,false
Byron,2,2,0,0,0,false
Cadillac,3,3,0,0,0,false
Cahokia Heights,1,1,0,0,0,false
Calais,2,2,0,0,0,false
Caldwell,3,1,2,0,0,false
Caledonia,3,3,0,0,0,false
Calera,9,3,6,0,0,false
Calhoun,3,3,0,0,0,false
Caliente,1,1,0,0,0,false
California City,4,3,1,0,0,false
Calimesa,3,3,0,0,0,false
Calumet,2,2,0,0,0,false
Camanche,2,0,2,0,0,false
Cambridge,2,1,1,0,0,false
Camden,4,4,0,0,0,false
Cameron,2,2,0,0,0,false
Camillus,3,3,0,0,0,false
Camp Hill,1,1,0,0,0,false
Camp Verde,1,1,0,0,0,false
Campbellsville,2,0,2,0,0,false
Campton,4,2,2,0,0,false
Canaan,3,0,3,0,0,false
Canandaigua,3,3,0,0,0,false
Cando,2,2,0,0,0,false
Canfield,2,2,0,0,0,false
Cannon Beach,5,0,5,0,0,false
Cannon Falls,2,1,1,0,0,false
Canton,16,4,12,0,0,false
Canton charter,4,0,4,0,0,false
Canyon,1,0,1,0,0,false
Canyon Lake,2,2,0,0,0,false
Canyonville,3,3,0,0,0,false
Cape Elizabeth,2,0,2,0,0,false
Capitan,2,1,1,0,0,false
Capitol Heights,1,0,1,0,0,false
Capitola,3,0,3,0,0,false
Carefree,2,2,0,0,0,false
Carencro,2,2,0,0,0,false
Carey,3,3,0,0,0,false
Carl Junction,2,1,1,0,0,false
Carlin,3,3,0,0,0,false
Carlisle,4,2,2,0,0,false
Carmel,3,1,2,0,0,false
Carnation,2,1,0,1,0,false
Carnegie,2,2,0,0,0,false
Carpinteria,3,3,0,0,0,false
Carrboro,2,1,1,0,0,false
Carrington,2,2,0,0,0,false
Carrizozo,3,3,0,0,0,false
Carroll,2,2,0,0,0,false
Carrollton,2,2,0,0,0,false
Carson,1,0,1,0,0,false
Carter Lake,2,2,0,0,0,false
Cartersville,2,1,1,0,0,false
Carthage,2,2,0,0,0,false
Caruthersville,1,1,0,0,0,false
Carver,6,6,0,0,0,false
Cary,3,1,2,0,0,false
Cascade,3,3,0,0,0,false
Cascade Locks,1,1,0,0,0,false
Casco,1,1,0,0,0,false
Caseyville,1,1,0,0,0,false
Cashmere,1,1,0,0,0,false
Castle Dale,2,2,0,0,0,false
Castle Pines,2,2,0,0,0,false
Castle Rock,6,3,3,0,0,false
Castle Shannon,1,1,0,0,0,false
Castleton,2,1,1,0,0,false
Castlewood,4,4,0,0,0,false
Catasauqua,1,1,0,0,0,false
Catoosa,1,1,0,0,0,false
Cave City,5,5,0,0,0,false
Cave Creek,3,1,2,0,0,false
Cave Springs,2,0,2,0,0,false
Cayce,2,2,0,0,0,false
Cañon City,3,3,0,0,0,false
Cecil,3,3,0,0,0,false
Cecilton,3,3,0,0,0,false
Cedar Creek,2,2,0,0,0,false
Cedar Grove,1,0,1,0,0,false
Cedar Hills,2,2,0,0,0,false
Cedar Lake,5,5,0,0,0,false
Cedaredge,2,0,2,0,0,false
Center,2,2,0,0,0,false
Center Line,1,1,0,0,0,false
Center Point,2,2,0,0,0,false
Centerton,1,0,1,0,0,false
Centerville,3,1,2,0,0,false
Centralia,6,0,6,0,0,false
Centre,1,1,0,0,0,false
Centreville,3,0,3,0,0,false
Ceredo,1,1,0,0,0,false
Ceres,2,2,0,0,0,false
Ceresco,1,1,0,0,0,false
Chadron,2,0,2,0,0,false
Chagrin Falls,2,2,0,0,0,false
Chama,2,0,2,0,0,false
Chamblee,1,1,0,0,0,false
Champaign City,2,2,0,0,0,false
Channahon,4,4,0,0,0,false
Chanute,2,2,0,0,0,false
Chariton,2,2,0,0,0,false
Charles City,3,3,0,0,0,false
Charles Town,1,1,0,0,0,false
Charleston,7,7,0,0,0,false
Charlestown,5,4,1,0,0,false
Charlotte,5,4,1,0,0,false
Charlton,5,0,5,0,0,false
Chase City,3,3,0,0,0,false
Chaska,1,1,0,0,0,false
Chatfield,1,1,0,0,0,false
Chatham,5,1,2,2,0,false
Chattahoochee,1,1,0,0,0,false
Cheboygan,3,3,0,0,0,false
Checotah,2,2,0,0,0,false
Cheektowaga,1,1,0,0,0,false
Chehalis,3,1,2,0,0,false
Chelan,2,0,2,0,0,false
Chelmsford,4,0,4,0,0,false
Chelsea,1,1,0,0,0,false
Cheney,2,2,0,0,0,false
Cheraw,1,0,1,0,0,false
Cherokee,3,1,2,0,0,false
Cherokee Village,2,2,0,0,0,false
Cherry Hill,1,0,1,0,0,false
Cherry Hills Village,3,2,1,0,0,false
Cherry Valley,3,0,3,0,0,false
Cherryvale,2,2,0,0,0,false
Chesapeake,3,0,3,0,0,false
Cheshire,5,1,4,0,0,false
Chester,6,6,0,0,0,false
Chesterfield,5,0,5,0,0,false
Chesterton,6,1,5,0,0,false
Cheswold,2,2,0,0,0,false
Cheverly,1,1,0,0,0,false
Chevy Chase,1,0,1,0,0,false
Chevy Chase Village,2,0,2,0,0,false
Chewelah,2,0,2,0,0,false
Chicago Ridge,4,0,4,0,0,false
Chickasaw,2,2,0,0,0,false
Chickasha,5,3,2,0,0,false
Chilhowie,2,2,0,0,0,false
Chilton,2,1,1,0,0,false
China,2,2,0,0,0,false
Chincoteague,2,2,0,0,0,false
Chino,1,0,1,0,0,false
Chino Valley,4,0,4,0,0,false
Chinook,2,0,2,0,0,false
Chisholm,2,2,0,0,0,false
Choctaw,2,2,0,0,0,false
Choteau,2,1,1,0,0,false
Chowchilla,2,0,2,0,0,false
Christiansburg,5,3,2,0,0,false
Chubbuck,4,3,1,0,0,false
Church Hill,3,3,0,0,0,false
Church Point,3,3,0,0,0,false
Cicero,3,3,0,0,0,false
Cimarron,1,1,0,0,0,false
Cincinnati,4,4,0,0,0,false
Circle,2,2,0,0,0,false
Citrus Heights,1,1,0,0,0,false
Claremore,2,2,0,0,0,false
Clarendon,1,1,0,0,0,false
Clarinda,2,2,0,0,0,false
Clarion,2,2,0,0,0,false
Clark,4,3,1,0,0,false
Clark Fork,2,2,0,0,0,false
Clarkdale,2,0,2,0,0,false
Clarkston,8,7,1,0,0,false
Clatskanie,3,2,1,0,0,false
Clawson,1,1,0,0,0,false
Clay,2,0,0,2,0,false
Clayton,6,0,6,0,0,false
Cle Elum,2,2,0,0,0,false
Clear Lake,4,4,0,0,0,false
Clearmont,2,2,0,0,0,false
Clearwater,2,2,0,0,0,false
Clemmons,4,4,0,0,0,false
Clemson,2,2,0,0,0,false
Cleveland,10,9,1,0,0,false
Cleves,4,0,4,0,0,false
Clewiston,1,0,1,0,0,false
Clifton,2,2,0,0,0,false
Clifton Forge,2,2,0,0,0,false
Clifton Heights,2,1,1,0,0,false
Clinton,19,8,11,0,0,false
Clinton charter,5,0,5,0,0,false
Clintonville,2,0,2,0,0,false
Closter,1,0,1,0,0,false
Cloudcroft,5,3,2,0,0,false
Clover,2,2,0,0,0,false
Cloverdale,3,0,3,0,0,false
Clyde Hill,2,2,0,0,0,false
Clyde Park,2,2,0,0,0,false
Coalville,1,0,1,0,0,false
Coburg,1,1,0,0,0,false
Cocoa Beach,1,1,0,0,0,false
Coffeyville,2,2,0,0,0,false
Colby,3,3,0,0,0,false
Colchester,8,6,2,0,0,false
Cold Spring,3,3,0,0,0,false
Coldwater,1,1,0,0,0,false
Colerain,2,1,1,0,0,false
Colfax,2,0,2,0,0,false
College Place,1,0,1,0,0,false
Colleyville,3,0,3,0,0,false
Collingdale,3,2,1,0,0,false
Collinsville,4,4,0,0,0,false
Colman,1,0,1,0,0,false
Colonial Beach,1,0,1,0,0,false
Colonial Heights,2,1,1,0,0,false
Colorado City,3,3,0,0,0,false
Colstrip,2,2,0,0,0,false
Colton,2,2,0,0,0,false
Columbia,7,2,5,0,0,false
Columbia City,3,3,0,0,0,false
Columbus,8,4,4,0,0,false
Columbus Grove,3,1,2,0,0,false
Colusa,1,1,0,0,0,false
Colville,1,0,1,0,0,false
Combined Locks,2,2,0,0,0,false
Commerce,1,0,1,0,0,false
Commerce City,2,2,0,0,0,false
Commerce charter,3,3,0,0,0,false
Comstock charter,2,1,1,0,0,false
Concord,9,5,4,0,0,false
Connell,3,3,0,0,0,false
