scout_candidate_id,scout_target_id,lane_id,shard_id,worker_id,state,region,municipality,county,unit_type_hint,occupation_group_hint,possible_bargaining_unit,possible_cycle_or_year,source_title,source_locator_or_url,source_domain,normalized_locator,source_family_hint,document_type_hint,source_family_confidence,possible_mechanism_hints,sanitized_snippet,search_query_family,broad_geographic_target_reason,source_family_diversification_reason,matched_safety_non_safety_opportunity_flag,duplicate_locator_flag,prior_seen_locator_flag,candidate_quality_tier,verification_status,download_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes,discovery_run_id,lane_completed_at,candidate_id,canonical_review_locator,review_score,review_score_reasons,primary_bucket,priority_bucket,prior_duplicate_source,cba_non_cba_hint,review_method,source_review_status
B4X2500LIVE-20260729-000039,B4X2500-20260729-00036,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Lamont,Buchanan County (19019; primary),unclear,unclear,,unclear,"Code of Ordinances (Lamont, IA) - wage/compensation provisions (blocked)",https://www.lamontiowa.com/wp-content/uploads/2019/08/Code-of-Ordinances-Lamont-IA.pdf,lamontiowa.com,https://lamontiowa.com/wp-content/uploads/2019/08/Code-of-Ordinances-Lamont-IA.pdf,unknown_or_needs_review,index_page,low,,Municipal codes may include compensation/wage setting and related HR/policy sections for city employees or departments.,broad_pay_document_index,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.,BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,2026-07-30T01:00:23.506104-04:00,B4X2500LIVE-20260729-000039,https://lamontiowa.com/wp-content/uploads/2019/08/Code-of-Ordinances-Lamont-IA.pdf,29,upstream_quality_low_candidate:5;source_family_unknown_or_needs_review:2;document_type_index_page:3;family_confidence_low:0;unit_hint_unclear:2;structured_web_locator:5;document_shaped_locator:5;compensation_or_labor_terms:5;non_cba_source_diversity:2,repair_needed,repair_needed,,non_cba_or_other_hint,local_metadata_title_snippet_url_only,not_source_reviewed
B4X2500LIVE-20260729-000041,B4X2500-20260729-00038,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Lone Tree,Johnson County (19103; primary),non_safety,non_safety,,unclear,"Employee Handbook (City of Lone Tree, IA) (2-3-2025)",https://lonetreeiowa.com/documents/754/Employee_Handbook_-_2-3-2025.pdf,lonetreeiowa.com,https://lonetreeiowa.com/documents/754/Employee_Handbook_-_2-3-2025.pdf,unknown_or_needs_review,insufficient_source,low,strike_or_no_strike_constraint,May reference the mechanism for setting compensation (City Council resolution) and could point to where binding wage materials are maintained.,mou_settlement,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,medium_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.,BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,2026-07-30T01:00:23.506104-04:00,B4X2500LIVE-20260729-000041,https://lonetreeiowa.com/documents/754/Employee_Handbook_-_2-3-2025.pdf,39,upstream_quality_medium_candidate:12;source_family_unknown_or_needs_review:2;document_type_insufficient_source:-10;family_confidence_low:0;unit_hint_non_safety:10;mechanism_hint_present:8;structured_web_locator:5;document_shaped_locator:5;compensation_or_labor_terms:5;non_cba_source_diversity:2,repair_needed,repair_needed,,non_cba_or_other_hint,local_metadata_title_snippet_url_only,not_source_reviewed
B4X2500LIVE-20260729-000043,B4X2500-20260729-00040,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Lowden,Cedar County (19031; primary),non_safety,non_safety,,unclear,"Lowden, Iowa Code (includes city employee compensation authority; no specific wage schedule located in inspected PDF text)",https://lowden.gov/wp-content/uploads/2025/09/LowdenCode2024.pdf,lowden.gov,https://lowden.gov/wp-content/uploads/2025/09/LowdenCode2024.pdf,wage_schedule,unknown,high,non_safety_constraint_signal,A city code can contain ordinances/policies setting compensation mechanisms for non-safety municipal employees.,salary_wage_schedule,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,medium_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.,BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,2026-07-30T01:00:23.506104-04:00,B4X2500LIVE-20260729-000043,https://lowden.gov/wp-content/uploads/2025/09/LowdenCode2024.pdf,73,upstream_quality_medium_candidate:12;source_family_wage_schedule:24;document_type_unknown:-10;family_confidence_high:8;unit_hint_non_safety:10;mechanism_hint_present:8;structured_web_locator:5;document_shaped_locator:5;government_domain_hint:4;compensation_or_labor_terms:5;non_cba_source_diversity:2,repair_needed,repair_needed,,non_cba_or_other_hint,local_metadata_title_snippet_url_only,not_source_reviewed
B4X2500LIVE-20260729-000056,B4X2500-20260729-00049,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Montrose,Lee County (19111; primary),non_safety,non_safety,,unclear,"FY26 Budget (Fiscal Year July 1, 2025 - June 30, 2026) - City of Montrose, Iowa (public safety line items and employee benefit levy references)",https://montroseiowa.com/documents/609/FY26_Budget.pdf,montroseiowa.com,https://montroseiowa.com/documents/609/FY26_Budget.pdf,budget_or_pay_plan,unknown,high,non_safety_constraint_signal;fiscal_constraint_signal,"Municipal budgets often contain employee-related compensation/benefit information and may reference adopted pay policies; public safety lines appear, but comparator (police/fire vs non_safety) wage applicability not established.",cba_agreement,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.,BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,2026-07-30T01:00:23.506104-04:00,B4X2500LIVE-20260729-000056,https://montroseiowa.com/documents/609/FY26_Budget.pdf,54,upstream_quality_low_candidate:5;source_family_budget_or_pay_plan:16;document_type_unknown:-10;family_confidence_high:8;unit_hint_non_safety:10;mechanism_hint_present:8;structured_web_locator:5;document_shaped_locator:5;compensation_or_labor_terms:5;non_cba_source_diversity:2,repair_needed,repair_needed,,non_cba_or_other_hint,local_metadata_title_snippet_url_only,not_source_reviewed
B4X2500LIVE-20260729-000071,B4X2500-20260729-00061,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Paullina,O'Brien County (19141; primary),non_safety,non_safety,,unclear,Part-Time Cleaning Person (job posting attachment; wage/policy not inspectable due to file type),https://cityofpaullina.com/part-time-cleaning-person/,cityofpaullina.com,https://cityofpaullina.com/part-time-cleaning-person,unknown_or_needs_review,blocked_or_unreadable,low,non_safety_constraint_signal,"May be an authoritative city-set wage setting for a non-safety civilian position, but it is currently unreadable for operative terms.",cba_agreement,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.,BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,2026-07-30T01:00:23.506104-04:00,B4X2500LIVE-20260729-000071,https://cityofpaullina.com/part-time-cleaning-person,27,upstream_quality_low_candidate:5;source_family_unknown_or_needs_review:2;document_type_blocked_or_unreadable:-10;family_confidence_low:0;unit_hint_non_safety:10;mechanism_hint_present:8;structured_web_locator:5;compensation_or_labor_terms:5;non_cba_source_diversity:2,repair_needed,repair_needed,,non_cba_or_other_hint,local_metadata_title_snippet_url_only,not_source_reviewed
B4X2500LIVE-20260729-000083,B4X2500-20260729-00069,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Sac City,Sac County (19161; primary),unclear,unclear,,unclear,Code of Ordinances (hosted code library; official ordinance text; may include personnel/compensation provisions),https://codelibrary.amlegal.com/codes/saccityia/latest/,codelibrary.amlegal.com,https://codelibrary.amlegal.com/codes/saccityia/latest,unknown_or_needs_review,index_page,low,,"Municipal compensation mechanisms are often codified in ordinances/policies (e.g., personnel provisions, compensation-setting authority, wage-related rules).",agenda_minutes_attachment,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.,BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,2026-07-30T01:00:23.506104-04:00,B4X2500LIVE-20260729-000083,https://codelibrary.amlegal.com/codes/saccityia/latest,24,upstream_quality_low_candidate:5;source_family_unknown_or_needs_review:2;document_type_index_page:3;family_confidence_low:0;unit_hint_unclear:2;structured_web_locator:5;compensation_or_labor_terms:5;non_cba_source_diversity:2,repair_needed,repair_needed,,non_cba_or_other_hint,local_metadata_title_snippet_url_only,not_source_reviewed
B4X2500LIVE-20260729-000144,B4X2500-20260729-00120,scout_lane_001,broad_4x2500_shard_001,worker_001,IL,Midwest,Jerseyville,Jersey County (17083; primary),non_safety,non_safety,"AFSCME Local 1479 (American Federation of State, County and Municipal Employees Council 31)","July 1, 2026 to June 30, 2030 (as stated in article)",Jerseyville approves new four-year contract with union city workers (AFSCME Local 1479) — news report,https://www.thetelegraph.com/news/article/jerseyville-union-contract-approval-city-workers-22354938.php,thetelegraph.com,https://thetelegraph.com/news/article/jerseyville-union-contract-approval-city-workers-22354938.php,unknown_or_needs_review,index_page,low,,Provides a purported multi-year municipal workers contract term for Jerseyville with AFSCME Local 1479.,broad_pay_document_index,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.,BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,2026-07-30T01:00:23.506104-04:00,B4X2500LIVE-20260729-000144,https://thetelegraph.com/news/article/jerseyville-union-contract-approval-city-workers-22354938.php,32,upstream_quality_low_candidate:5;source_family_unknown_or_needs_review:2;document_type_index_page:3;family_confidence_low:0;unit_hint_non_safety:10;cycle_or_year_present:5;structured_web_locator:5;non_cba_source_diversity:2,repair_needed,repair_needed,,non_cba_or_other_hint,local_metadata_title_snippet_url_only,not_source_reviewed
B4X2500LIVE-20260729-000169,B4X2500-20260729-00128,scout_lane_001,broad_4x2500_shard_001,worker_001,IL,Midwest,Lincolnwood,Cook County (17031; primary),unknown,unknown,,unclear,Government Transparency page listing Village union contracts (FOP and Teamsters) with date ranges,https://www.lincolnwoodil.org/403/Government-Transparency,lincolnwoodil.org,https://lincolnwoodil.org/403/Government-Transparency,unknown_or_needs_review,index_page,low,,Provides discoverability and likely authoritative date ranges for Lincolnwood union contracts (FOP and Teamsters).,personnel_policy,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,medium_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.,BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,2026-07-30T01:00:23.506104-04:00,B4X2500LIVE-20260729-000169,https://lincolnwoodil.org/403/Government-Transparency,26,upstream_quality_medium_candidate:12;source_family_unknown_or_needs_review:2;document_type_index_page:3;family_confidence_low:0;unit_hint_unknown:2;structured_web_locator:5;non_cba_source_diversity:2,repair_needed,repair_needed,,non_cba_or_other_hint,local_metadata_title_snippet_url_only,not_source_reviewed
B4X2500LIVE-20260729-000175,B4X2500-20260729-00130,scout_lane_001,broad_4x2500_shard_001,worker_001,IL,Midwest,Marseilles,LaSalle County (17099; primary),unclear,unclear,,unclear,Employee Compensation (landing page listing compensation letters/reports),https://www.cityofmarseilles.com/employee-compensation/,cityofmarseilles.com,https://cityofmarseilles.com/employee-compensation,unknown_or_needs_review,index_page,low,non_safety_constraint_signal;fiscal_constraint_signal,Provides discovery path to city-hosted compensation documents that may cover police/non-safety compensation for specific fiscal years.,local_pay_policy,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.,BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,2026-07-30T01:00:23.506104-04:00,B4X2500LIVE-20260729-000175,https://cityofmarseilles.com/employee-compensation,32,upstream_quality_low_candidate:5;source_family_unknown_or_needs_review:2;document_type_index_page:3;family_confidence_low:0;unit_hint_unclear:2;mechanism_hint_present:8;structured_web_locator:5;compensation_or_labor_terms:5;non_cba_source_diversity:2,repair_needed,repair_needed,,non_cba_or_other_hint,local_metadata_title_snippet_url_only,not_source_reviewed
B4X2500LIVE-20260729-000177,B4X2500-20260729-00131,scout_lane_001,broad_4x2500_shard_001,worker_001,IL,Midwest,Maryville,Madison County (17119; primary),unclear,unclear,,unclear,Employee Compensation (Open Meetings Act posting; includes police/fire positions and pay),https://vil.maryville.il.us/278/Employee-Compensation,vil.maryville.il.us,https://vil.maryville.il.us/278/Employee-Compensation,unknown_or_needs_review,context_only,low,fiscal_constraint_signal,"Provides municipal pay benchmarks across departments (including police and fire) that may help contextualize wage levels, but is not itself an executed labor instrument.",labor_relations_index,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.,BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,2026-07-30T01:00:23.506104-04:00,B4X2500LIVE-20260729-000177,https://vil.maryville.il.us/278/Employee-Compensation,36,upstream_quality_low_candidate:5;source_family_unknown_or_needs_review:2;document_type_context_only:3;family_confidence_low:0;unit_hint_unclear:2;mechanism_hint_present:8;structured_web_locator:5;government_domain_hint:4;compensation_or_labor_terms:5;non_cba_source_diversity:2,repair_needed,repair_needed,,non_cba_or_other_hint,local_metadata_title_snippet_url_only,not_source_reviewed
