state,region,completed_target_count,parseable_municipality_count,failed_or_stopped_target_count,candidate_count
AK,West,39,39,0,20
AL,South,334,334,0,161
AR,South,334,334,0,121
CA,West,82,82,0,166
CO,West,154,154,0,125
CT,Northeast,58,57,1,47
FL,South,169,169,0,144
GA,South,334,334,0,286
IA,Midwest,334,334,0,359
ID,West,83,83,0,50
IL,Midwest,333,328,5,577
IN,Midwest,334,331,3,298
KS,Midwest,333,331,2,352
KY,South,298,298,0,170
LA,South,184,183,1,153
MA,Northeast,193,193,0,447
MD,South,22,22,0,6
ME,Northeast,334,334,0,237
MI,Midwest,334,332,2,443
MN,Midwest,333,329,4,399
MO,Midwest,334,334,0,309
MS,South,168,168,0,19
MT,West,9,9,0,2
NC,South,334,334,0,431
ND,Midwest,334,334,0,128
NE,Midwest,334,334,0,188
NH,Northeast,124,124,0,102
NJ,Northeast,334,334,0,775
NY,Northeast,334,332,2,548
OH,Midwest,333,333,0,473
OK,South,334,334,0,155
OR,West,74,74,0,59
PA,Northeast,333,331,2,500
SC,South,166,166,0,78
SD,Midwest,334,333,1,119
TN,South,222,222,0,168
TX,South,334,334,0,437
UT,West,119,119,0,140
VA,South,106,106,0,74
VT,Northeast,171,169,2,146
WA,West,94,94,0,89
WI,Midwest,334,327,7,424
WV,South,122,122,0,52
