scout_candidate_id,scout_target_id,lane_id,shard_id,worker_id,state,region,municipality,county,unit_type_hint,occupation_group_hint,possible_bargaining_unit,possible_cycle_or_year,source_title,source_locator_or_url,source_domain,normalized_locator,source_family_hint,document_type_hint,source_family_confidence,possible_mechanism_hints,sanitized_snippet,search_query_family,broad_geographic_target_reason,source_family_diversification_reason,matched_safety_non_safety_opportunity_flag,duplicate_locator_flag,prior_seen_locator_flag,candidate_quality_tier,verification_status,download_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
B4X2500LIVE-20260729-000001,B4X2500-20260729-00001,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Albert City,Buena Vista County (19021; primary),non_safety,non_safety,,unclear,"City of Albert City, Iowa — Minutes/Packet (includes approval of pay increases and FY budget action)",https://zeta.creativecirclecdn.com/storm/files/20240613-112821-b2d-2023-02-03.pdf,zeta.creativecirclecdn.com,https://zeta.creativecirclecdn.com/storm/files/20240613-112821-b2d-2023-02-03.pdf,budget_or_pay_plan,meeting_minutes,high,non_safety_constraint_signal,"May contain council-approved non-safety pay increases/policy affecting general municipal employees, but not verifiable as a bargaining agreement or executed wage MOU.",cba_agreement,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4X2500LIVE-20260729-000002,B4X2500-20260729-00001,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Albert City,Buena Vista County (19021; primary),unclear,unclear,,unclear,"City of Albert City, Iowa — 2023 Municipal Code of Ordinances (may include compensation/wage-related ordinances)",https://cdn3.creativecirclemedia.com/storm/files/20240613-113100-68d-2023-05-17.pdf,cdn3.creativecirclemedia.com,https://cdn3.creativecirclemedia.com/storm/files/20240613-113100-68d-2023-05-17.pdf,budget_or_pay_plan,ordinance_or_policy,high,non_safety_constraint_signal,"If the municipal code contains a wage schedule/pay plan or compensation classifications, it could serve as a non-safety authoritative wage-setting reference; not confirmed.",cba_agreement,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4X2500LIVE-20260729-000003,B4X2500-20260729-00007,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Cambridge,Story County (19169; primary),unclear,unclear,,unclear,Cambridge City Council Meeting Minutes (includes action: Resolution No. 24-08 setting FY25 employee salaries),https://www.cambridge-ia.us/_files/ugd/65ff49_1dcee94b9cb64d8ba22082fcbd43b196.pdf,cambridge-ia.us,https://cambridge-ia.us/_files/ugd/65ff49_1dcee94b9cb64d8ba22082fcbd43b196.pdf,wage_schedule,meeting_minutes,high,non_safety_constraint_signal,"Indicates the City set FY25 employee salaries via a resolution (potentially including non-safety and/or safety employees), which may lead to a wage schedule/policy source if the resolution document is located.",compensation_classification_study,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4X2500LIVE-20260729-000004,B4X2500-20260729-00008,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Center Point,Linn County (19113; primary),non_safety,non_safety,,unclear,Center Point City Council Special Session Minutes (Resolution 2022-71 salary range increase reference),https://www.centerpointia.com/vertical/sites/%7B32EA0EF7-6DAC-4DE3-AA03-A01E8049B5D0%7D/uploads/2022-06-02_Minutes.pdf,centerpointia.com,https://centerpointia.com/vertical/sites/%7B32EA0EF7-6DAC-4DE3-AA03-A01E8049B5D0%7D/uploads/2022-06-02_Minutes.pdf,agenda_packet_or_minutes,meeting_minutes,high,non_safety_constraint_signal,"This is a municipal personnel compensation action (non-safety role salary range increase) referenced in official city council minutes for Center Point, IA.",personnel_policy,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,medium_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4X2500LIVE-20260729-000005,B4X2500-20260729-00009,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Central City,Linn County (19113; primary),unclear,unclear,,unclear,City Council Agendas and Minutes (landing page),https://www.centralcityia.gov/agenda_minutes,centralcityia.gov,https://centralcityia.gov/agenda_minutes,agenda_packet_or_minutes,index_page,high,,City council agenda/minutes pages are the most likely public municipal source for labor/payerelated ordinance/policy attachments.,agenda_minutes_attachment,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,medium_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4X2500LIVE-20260729-000006,B4X2500-20260729-00009,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Central City,Linn County (19113; primary),unclear,unclear,,unclear,Code of Ordinances (landing page) — download link hosted on Central City SharePoint,https://www.centralcityia.gov/code,centralcityia.gov,https://centralcityia.gov/code,budget_or_pay_plan,index_page,high,non_safety_constraint_signal,"If Central City uses ordinance-based wage schedules or pay plans for non-safety or other civilian municipal employees, the provisions would typically be within the codified ordinances.",agenda_minutes_attachment,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4X2500LIVE-20260729-000007,B4X2500-20260729-00010,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Charter Oak,Crawford County (19047; primary),non_safety,non_safety,,unclear,City of Charter Oak Employee Wage Report for 2024 (published minutes/wages notice),https://iaarchives.newzgroup.com/IALegals/2025/45979-2025-01-23_1003.pdf,iaarchives.newzgroup.com,https://iaarchives.newzgroup.com/IALegals/2025/45979-2025-01-23_1003.pdf,agenda_packet_or_minutes,meeting_minutes,high,non_safety_constraint_signal,"Contains a municipal wage-related document for Charter Oak (employee wages for 2024), which could potentially support a non-safety compensation baseline if it is official and properly scoped.",local_pay_policy,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4X2500LIVE-20260729-000008,B4X2500-20260729-00010,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Charter Oak,Crawford County (19047; primary),unclear,unclear,,unclear,Ordinance 196-23: Amending provisions pertaining to Mayor compensation (salary/meeting pay),https://delta.creativecirclecdn.com/movalley/files/20230815-131217-8.17.23%20MP.pdf,delta.creativecirclecdn.com,https://delta.creativecirclecdn.com/movalley/files/20230815-131217-8.17.23%20MP.pdf,other_local_government_pay_policy,ordinance_or_policy,medium,non_safety_constraint_signal,"Municipal pay/compensation ordinance document for Charter Oak may provide context on wage-setting mechanisms, but is not a direct safety/non-safety comparator.",local_pay_policy,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4X2500LIVE-20260729-000009,B4X2500-20260729-00011,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Clarksville,Butler County (19023; primary),non_safety,non_safety,,unclear,"November 2, 2020 - City Council Meeting Minutes (Resolution 20-739: personnel policy modification; personnel policy attached by reference)",https://clarksvilleiowa.com/pdfs/2020/november-2-2020-minutes.pdf,clarksvilleiowa.com,https://clarksvilleiowa.com/pdfs/2020/november-2-2020-minutes.pdf,personnel_policy,agenda_cover_sheet,high,non_safety_constraint_signal,"Personnel/HR policy can contain wage, compensation, or classification language for ordinary municipal employees (non-sworn/non-safety), but binding labor terms are not confirmed from the minutes alone.",labor_relations_index,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,low_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4X2500LIVE-20260729-000010,B4X2500-20260729-00012,scout_lane_001,broad_4x2500_shard_001,worker_001,IA,Midwest,Colfax,Jasper County (19099; primary),unknown,unknown,Teamsters #238,unclear,Election Obligations & Results (Public Collective Bargaining) — City of Colfax / Teamsters #238,https://eab.iowa.gov/public-collective-bargaining/election-obligations-results,eab.iowa.gov,https://eab.iowa.gov/public-collective-bargaining/election-obligations-results,cba,index_page,high,,Confirms City of Colfax has a collective bargaining election result involving Teamsters #238 (potentially relevant starting point for later obtaining contract text).,broad_pay_document_index,unscouted municipality selected through state-balanced priority ranking,rotate official local-government labor and pay document families; non-CBA families deliberately included,false,false,false,medium_candidate,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
