weighting_method,scope,year,mechanism,unit_type,mean_growth_percent,median_growth_percent,standard_deviation,min_growth_percent,max_growth_percent,count_records,count_municipalities,count_cycles,computed_route_count,source_reported_route_count,tier_scope,display_status,caveat
matched_cycle_only_average,overall,all,COLA_CPI,all_safety,3.2,3.2,0.0,3.2,3.2,1,1,1,0,1,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,overall,all,COLA_CPI,non_safety,3.2,3.2,0.0,3.2,3.2,1,1,1,0,1,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,overall,all,COLA_CPI,police,3.2,3.2,0.0,3.2,3.2,1,1,1,0,1,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,overall,all,across_the_board_percentage_raise,all_safety,2.0,2.0,0.0,2.0,2.0,1,1,1,0,1,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,overall,all,across_the_board_percentage_raise,non_safety,3.0,3.0,0.0,3.0,3.0,2,1,1,0,2,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,overall,all,across_the_board_percentage_raise,police,2.0,2.0,0.0,2.0,2.0,1,1,1,0,1,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,time_series,2021,across_the_board_percentage_raise,all_safety,2.0,2.0,0.0,2.0,2.0,1,1,1,0,1,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,time_series,2021,across_the_board_percentage_raise,non_safety,3.0,3.0,0.0,3.0,3.0,2,1,1,0,2,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,time_series,2021,across_the_board_percentage_raise,police,2.0,2.0,0.0,2.0,2.0,1,1,1,0,1,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,time_series,2023,COLA_CPI,all_safety,3.2,3.2,0.0,3.2,3.2,1,1,1,0,1,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,time_series,2023,COLA_CPI,non_safety,3.2,3.2,0.0,3.2,3.2,1,1,1,0,1,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
matched_cycle_only_average,time_series,2023,COLA_CPI,police,3.2,3.2,0.0,3.2,3.2,1,1,1,0,1,source-reported plus computed tiers 1+2,insufficient_observations,Processed normalized corpus only; not population weighted or nationally representative.
