annualization_assumption,annualization_hours_used,base_or_non_base,candidate_id,cba_non_cba_hint,character_end_offset,character_start_offset,classification_evidence_basis,codified_record_id,comparison_cycle_candidate,direction_bucket,effective_period_end,effective_period_start,evidence_category,extraction_id,final_locator,grade,growth_mechanism_claim_caveat,growth_mechanism_claim_text,growth_mechanism_type,growth_value_type,lane_position,line_offset,mechanism_attributes,mechanism_claim_ready,municipality,municipality_cycle_id_candidate,non_base_component_type,normalization_blocker_tags,normalization_needed_for_gap_claim,normalization_notes,normalization_status,normalized_annual_equivalent,normalized_at,normalized_growth_type,normalized_hourly_equivalent,normalized_pay_basis,normalized_percentage_growth,normalized_record_id,normalized_value_confidence,occupation_or_classification,original_locator,original_normalization_status,page_number,paragraph_offset,parsed_annual_salary,parsed_biweekly_rate,parsed_cola_cpi_value,parsed_contract_year,parsed_currency_amount,parsed_cycle_label,parsed_daily_rate,parsed_effective_date,parsed_end_date,parsed_fiscal_year,parsed_growth_period,parsed_growth_unit,parsed_growth_value,parsed_hourly_rate,parsed_lump_sum,parsed_monthly_rate,parsed_percentage_value,parsed_premium_amount,parsed_premium_percentage,parsed_start_date,parsed_step_or_grade_value,parsed_stipend_or_allowance,parsed_weekly_rate,payband,primary_mechanism_cluster,prior_comparable_wage_candidate_link,priority_bucket,quant_span_types,quantitative_growth_value_present,rank,rating_id,raw_base_nonbase_text,raw_compensation_text,raw_context_notes,raw_effective_period_text,raw_paraphrase,raw_rank_step_grade_text,raw_span_text,raw_unit_or_group_text,raw_unit_text,raw_value_text,raw_values_preserved,readiness_id,region,report_usability_bucket,rescue_basket,rescue_completed_at,rescue_id,rescue_lane,rescue_status,retained_source_id,safety_category,scout_target_id,section_heading,source_family,source_id,source_review_download_id,source_title,span_id,span_sha256,state,step,unit_or_group,verification_row_id,why_not_gap_comparable
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008916,non_cba_or_other_hint,14689,14663,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-3a33684e76b8e918ab258da8,1992,not_applicable,1991-01-01,1992-07-10,quantitative_compensation,B4X2500TXT-20260730-d7b05cfe242802cb8d16,https://perb.ny.gov/system/files/documents/2024/03/ia91-020-award-7-10-92.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,577,460,"[""implementation_or_retroactivity_advantage""]",False,Cortlandt,B4X2500MC-2f9a881bb51501d8f1efb2cf,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved"", ""cycle_outside_2014_2024_observation_window""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:38Z,unknown,,unknown,,B4X2500NORM-000e5cfcfa1978852dc29ce4,moderate,police,https://perb.ny.gov/system/files/documents/2024/03/ia91-020-award-7-10-92.pdf,normalization_mechanism_only,,182,,,,1992,,1992,,1992-07-10,1991-01-01,,,,,,,,,,,1992-07-10,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-6fdb40c79c9113db8123f64d,,"effective January 1, 1991;","PERB IA91-020: M-91-082 (Town of Cortlandt Police Benevolent Association) - Award / Conclusion / Determination (Received July 10, 1992);",1992-07-10; 1991-01-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"effective January 1, 1991;",police,effective_date,,True,B4X2500RDY-20260730-703e01f23284776dc515,Northeast,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737183Z,B4X2500RESCUE-dbe4996bdcbfd2bf59552590,rescue_lane_003,downgraded_unusable,B4X2500SRD-20260730-339f4d3b52338ebaf889,police,B4X2500-20260729-08778,,arbitration_award,B4X2500LIVE-20260729-008916,B4X2500SRD-20260730-339f4d3b52338ebaf889,"PERB IA91-020: M-91-082 (Town of Cortlandt Police Benevolent Association) - Award / Conclusion / Determination (Received July 10, 1992)",B4X2500SPAN-20260730-8b02e97e28a761490705c3fb,12650bb144605e51a63d074dce5823b7f27896d62edfba77c4a28108313fed94,NY,,police,B4X2500V-20260730-00967,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-002991,non_cba_or_other_hint,3747,3637,"[""prior_normalization_metadata"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-09eea950aa3e6cb39ac86412,2025-2026,neutral_or_general,2026-12-31,2025-05-14,quantitative_compensation,B4X2500TXT-20260730-f79a741aa0e1e4865178,https://cms2.revize.com/revize/yorktwp/Boards%20and%20Commissions/Board%20of%20Trustees/2025/5-13-2025%20BOT%20Packet.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,452,84,"[""implementation_or_retroactivity_advantage""]",False,York charter,B4X2500MC-bd06ef538d5a954e6c7c1b26,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved"", ""cycle_outside_2014_2024_observation_window""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-001d084dac37d629026d4b1a,moderate,utilities,https://cms2.revize.com/revize/yorktwp/Boards%20and%20Commissions/Board%20of%20Trustees/2025/5-13-2025%20BOT%20Packet.pdf,normalization_mechanism_only,,13,,,,2025,40.0,2025-2026,,2025-05-14,2026-12-31,,,,,,,,,,,2025-05-14,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-a6c5b46bb4eccb9f38debc63,,"a $40.00 fee for both Home Additions and Solar (non-rooftop) zoning application fees, effective May 14, 2025.","Employment Agreement to Provide for Building Official, Zoning Inspector, Ordinance Officer, and for Services to Provide for Proper Maintenance and Operation of the Township’s Water and Sewer Utilities (2025 - 2026);",2025-05-14,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"a $40.00 fee for both Home Additions and Solar (non-rooftop) zoning application fees, effective May 14, 2025.",utilities,effective_date,$40.00,True,B4X2500RDY-20260730-43ffc5528d0766f334ff,Midwest,pi_report_context_only,mechanism_only_repair,2026-07-30T23:32:32.737369Z,B4X2500RESCUE-82556723b51d71bea2c55a44,rescue_lane_002,downgraded_unusable,B4X2500SRD-20260730-32e1cce1d71e058298c3,non_safety,B4X2500-20260729-02917,,mou_or_memorandum,B4X2500LIVE-20260729-002991,B4X2500SRD-20260730-32e1cce1d71e058298c3,"Employment Agreement to Provide for Building Official, Zoning Inspector, Ordinance Officer, and for Services to Provide for Proper Maintenance and Operation of the Township’s Water and Sewer Utilities (2025 - 2026)",B4X2500SPAN-20260730-fc61c6abb63baf0478af7a48,9aec73675a18790fa54dca816a856c43b474d13c4f3bf2b3990de0b055ef6dd7,MI,,utilities,B4X2500V-20260730-03452,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-004536,non_cba_or_other_hint,16532,16483,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-fc3c487ffc4b489d1a47e021,2025-2026,not_applicable,2026-12-31,2025-06-10,quantitative_compensation,B4X2500TXT-20260730-87de5695b75c9fd9f62a,https://whitelakenc.org/_files/ugd/ffdcb9_fd123da0098942acb0a8e585786112f9.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,1263,377,[],False,White Lake,B4X2500MC-0214bf845d1d4222dd177cc0,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved"", ""cycle_outside_2014_2024_observation_window""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:38Z,unknown,,unknown,,B4X2500NORM-002c80d7a9324aa7fdc64865,moderate,unknown,https://www.whitelakenc.org/_files/ugd/ffdcb9_fd123da0098942acb0a8e585786112f9.pdf,normalization_mechanism_only,,87,,,,2025,,2025-2026,,2025-06-10,2026-12-31,2025,,,,,,,,,,2025-06-10,,,,,weak_context_exclusion,,high_priority_verification_ready,"[""contract_year_or_fiscal_year""]",False,,B4X2500-RATING-20260730-f1c6f2154b7bd6991dcb5b0e,,PROPOSED FISCAL YEAR 2025-26 BUDGET PRESENTATION,"TOWN OF WHITE LAKE BOARD OF COMMISSIONER'S MEETING (June 10, 2025) — SECTION 12: CLASSIFICATION AND PAY PLAN (in 2025-2026 Budget Ordinance packet);",2025-06-10,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,PROPOSED FISCAL YEAR 2025-26 BUDGET PRESENTATION,,contract_year_or_fiscal_year,,True,B4X2500RDY-20260730-150171fa4c37e8c49835,South,exclude_from_report,mechanism_only_repair,2026-07-30T23:32:32.737404Z,B4X2500RESCUE-d7b977c9b519d0c7e6c96737,rescue_lane_002,downgraded_unusable,B4X2500SRD-20260730-e7b9d12c7ae0a43b5356,unclear,B4X2500-20260729-04513,,budget_or_pay_plan,B4X2500LIVE-20260729-004536,B4X2500SRD-20260730-e7b9d12c7ae0a43b5356,"TOWN OF WHITE LAKE BOARD OF COMMISSIONER'S MEETING (June 10, 2025) — SECTION 12: CLASSIFICATION AND PAY PLAN (in 2025-2026 Budget Ordinance packet)",B4X2500SPAN-20260730-50e085f891612aa2733fbe64,47dce15c3a33d428645a71151f3b27647b25efda26ebf50963ec821cbcb52b73,NC,,unresolved_unit,B4X2500V-20260730-02169,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-005495,non_cba_or_other_hint,76697,76614,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-638c80594b0c2b523d8254c1,2026,neutral_or_general,,2026-01-01,quantitative_compensation,B4X2500TXT-20260730-117fe73ce64b94f75ed0,https://cityofcrosby.com/vertical/sites/%7B21369B1E-BDE3-49AF-B806-A73777724DC7%7D/uploads/10-14-2025_Council_Packet.pdf,s,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,541,1894,"[""implementation_or_retroactivity_advantage""]",False,Crosby,B4X2500MC-ecb85425d00652fc9ded8e83,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved"", ""cycle_outside_2014_2024_observation_window""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:38Z,unknown,,unknown,,B4X2500NORM-002e2cdb0f9a06eeaa1a2c48,moderate,public_works,https://www.cityofcrosby.com/vertical/sites/{21369B1E-BDE3-49AF-B806-A73777724DC7}/uploads/10-14-2025_Council_Packet.pdf,normalization_mechanism_only,,452,,,,2026,,2026,,,,,,,,,,,,,,2026-01-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-47c490199bead96474725722,,"b,2026 Wage Adjustment - Effective January 7,2026, all wage grades and steps shall",MOU / Labor Agreement (Teamsters General Local Union 346) — City of Crosby Public Works/Clerical (includes Article 32 wage schedule);,2026,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",step s; grade s,"b,2026 Wage Adjustment - Effective January 7,2026, all wage grades and steps shall",public_works,effective_date,,True,B4X2500RDY-20260730-f14f139447c8d7208a12,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737542Z,B4X2500RESCUE-ba3a45185d87470f2c5cd10f,rescue_lane_002,downgraded_unusable,B4X2500SRD-20260730-17b82f7c86047c12a811,non_safety,B4X2500-20260729-05438,,wage_schedule,B4X2500LIVE-20260729-005495,B4X2500SRD-20260730-17b82f7c86047c12a811,MOU / Labor Agreement (Teamsters General Local Union 346) — City of Crosby Public Works/Clerical (includes Article 32 wage schedule),B4X2500SPAN-20260730-8168e6bd3ed163b3bc8187a3,d365df9634007fb424f7b4e6c2cd0ab2666d20306c9665076b0bfe6892daff54,MN,s,clerical_admin,B4X2500V-20260730-00638,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-006989,non_cba_or_other_hint,5647,5606,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-c1a1b795518c7b30329514a9,2025-2026,neutral_or_general,2026-12-31,2025-01-01,quantitative_compensation,B4X2500TXT-20260730-bb1ede73ce6a04a3732a,https://townofkurebeach.civicweb.net/document/51780,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,1004,221,[],False,Kure Beach,B4X2500MC-8b2c87bd962f8378b6ec7c66,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved"", ""cycle_outside_2014_2024_observation_window""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:38Z,unknown,,unknown,,B4X2500NORM-0035d1a9727156cb57a84fca,moderate,unknown,https://townofkurebeach.civicweb.net/document/51780/,normalization_mechanism_only,,73,,,,2025,,2025-2026,,,2026-12-31,2025,,,,,,,,,,2025-01-01,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""contract_year_or_fiscal_year""]",False,,B4X2500-RATING-20260730-898521d82f68e55215432d2d,,carried forward to Fiscal Year 2025-2026.,Budget Ordinance FY 2025-2026 (Section IV. Salaries and Staffing: Pay Plan); Section VII. Encumbrances: All outstanding encumbrances from prior fiscal years are to be,2025; 2026,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,carried forward to Fiscal Year 2025-2026.,,contract_year_or_fiscal_year,,True,B4X2500RDY-20260730-c3a2700dfea491731e08,South,pi_report_context_only,mechanism_only_repair,2026-07-30T23:32:32.737586Z,B4X2500RESCUE-99cd64b7629286140964e10f,rescue_lane_002,downgraded_unusable,B4X2500SRD-20260730-849191e6e67b38fd9063,unclear,B4X2500-20260729-06973,Section VII. Encumbrances: All outstanding encumbrances from prior fiscal years are to be,budget_or_pay_plan,B4X2500LIVE-20260729-006989,B4X2500SRD-20260730-849191e6e67b38fd9063,Budget Ordinance FY 2025-2026 (Section IV. Salaries and Staffing: Pay Plan),B4X2500SPAN-20260730-d3c7d9e8b3d76ed80a9bc51f,daebb07fadbb1cfbe99373b8bb9711741fadd6fabf3f449005c9ad47c78193be,NC,,unresolved_unit,B4X2500V-20260730-03598,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-006769,non_cba_or_other_hint,33517,33419,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-f2ad458000ec51ea4081c2a6,2023,not_applicable,,2023-04-01,quantitative_compensation,B4X2500TXT-20260730-71a9dbd5d6ed4fc30b6f,https://cms7files.revize.com/oceanridgefl/document_center/Meeting%20Packages/Full%20Agenda%20Packet%20230815.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,407,587,"[""implementation_or_retroactivity_advantage""]",False,Ocean Ridge,B4X2500MC-100d9fb7d4668f8ad7ff8d89,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-00745a2672fd3659717381c3,moderate,unknown,https://cms7files.revize.com/oceanridgefl/document_center/Meeting%20Packages/Full%20Agenda%20Packet%20230815.pdf,normalization_mechanism_only,,107,,,,2023,,2023,,2023-04-01,,,2023,,,,,,,,,2023-04-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-43ee890f040b505a937bd729,,"Effective April 1, 2023 swo rn members shall receive an adjustment to their minimum salary in an",Full Agenda Packet 20230815 (compensation system/pay plan description; classification/compensation study excerpt); WAGES,2023-04-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective April 1, 2023 swo rn members shall receive an adjustment to their minimum salary in an",,effective_date,,True,B4X2500RDY-20260730-868c350c9716d417850e,South,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737638Z,B4X2500RESCUE-743563fe334c0e024239053d,rescue_lane_001,mechanism_with_no_quant_value,B4X2500SRD-20260730-85aa0534c3defb76a113,unclear,B4X2500-20260729-06669,WAGES,compensation_study,B4X2500LIVE-20260729-006769,B4X2500SRD-20260730-85aa0534c3defb76a113,Full Agenda Packet 20230815 (compensation system/pay plan description; classification/compensation study excerpt),B4X2500SPAN-20260730-3f197c4802e442f5f80a52ed,f6216f57e701f97c4344aa45f808336a69ac5ebdd999012380bd66d1f524767d,FL,,unresolved_unit,B4X2500V-20260730-00115,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-005405,non_cba_or_other_hint,92345,92301,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-dcde351e29cc1aefc8993640,2024,neutral_or_general,,2024-01-01,quantitative_compensation,B4X2500TXT-20260730-90aa8a60023aceb1e15f,https://ithacami.com/download/9830/city-council-minutes-full-year-2024.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,236,2072,"[""implementation_or_retroactivity_advantage""]",False,Ithaca,B4X2500MC-0b44850f2ed1d661aee23dc7,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-009427a24b6026db8b3ee548,moderate,unknown,https://www.ithacami.com/download/9830/city-council-minutes-full-year-2024.pdf,normalization_mechanism_only,,538,,,,2024,,2024,,,,,2024,,,,,,,,,2024-01-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-5633d3c1ad454cfe3231fc93,,"This renewal will be effective December 1,","City Council Minutes (approved) — AFSCME Union Contract approval (Jan 1, 2024–Dec 31, 2026);",2024; 2026,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"This renewal will be effective December 1,",,effective_date,,True,B4X2500RDY-20260730-39e19484949759aee029,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737663Z,B4X2500RESCUE-d9c8b41ae32acb2ea74c9deb,rescue_lane_002,mechanism_with_no_quant_value,B4X2500SRD-20260730-0a6daec64d89df48a587,unclear,B4X2500-20260729-05376,,agenda_packet_or_minutes,B4X2500LIVE-20260729-005405,B4X2500SRD-20260730-0a6daec64d89df48a587,"City Council Minutes (approved) — AFSCME Union Contract approval (Jan 1, 2024–Dec 31, 2026)",B4X2500SPAN-20260730-cfb14235d4e6a053479296da,5ec8e4333ca39c10a5d957cf30f42b3f29ac7f77158eacbe262f5a70b62c7883,MI,,unresolved_unit,B4X2500V-20260730-03414,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-005425,cba_hint,14902,14852,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-3300b06567ea57e54ad649aa,2019,neutral_or_general,,2019-01-01,mixed_quantitative_qualitative,B4X2500TXT-20260730-9a22cd3973ab180f1dbe,https://poam.net/signed-and-sealed/signed-and-sealed-2019,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,305,619,"[""automatic_raise_mechanism""]",False,Northfield,B4X2500MC-0c072a9c8bec1461059e2777,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,COLA_CPI,,unknown,,B4X2500NORM-00acc4f9cdf9e3f0a3c8acd9,moderate,police,https://www.poam.net/signed-and-sealed/signed-and-sealed-2019/,normalization_mechanism_only,,310,,,,2019,,2019,,,,,2019,,,,,,,,,2019-01-01,,,,,automatic_wage_growth,,high_priority_verification_ready,"[""COLA_or_CPI_adjustment""]",False,,B4X2500-RATING-20260730-85912201588aface4c7a5bfb,,"Pensions bridged B-4, freeze COLA as of 12/31/18.",Signed and Sealed 2019 (Northfield Township Police Officers Association) — duration listed;,2019,The passage combines a raw compensation term with possible wage-setting context for later review.,,"Pensions bridged B-4, freeze COLA as of 12/31/18.",police,COLA_or_CPI_adjustment,,True,B4X2500RDY-20260730-f0415c1e7aac15c38f06,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737717Z,B4X2500RESCUE-1f2c44e3905b55bf46f236ce,rescue_lane_002,mechanism_with_no_quant_value,B4X2500SRD-20260730-07ba58e66f23cfba5984,police,B4X2500-20260729-05387,,cba,B4X2500LIVE-20260729-005425,B4X2500SRD-20260730-07ba58e66f23cfba5984,Signed and Sealed 2019 (Northfield Township Police Officers Association) — duration listed,B4X2500SPAN-20260730-52b109fac108797c9735cb17,0db8c48399de449651495650c317df557bc9fe3fde0542f2961f45bbd180fea5,MI,,police,B4X2500V-20260730-03444,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-005739,cba_hint,21465,21414,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-b6e8940439f90b679d3f5b05,2021,not_applicable,,2021-01-01,quantitative_compensation,B4X2500TXT-20260730-395a9d1f3f295778ae17,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1303.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,1276,391,"[""implementation_or_retroactivity_advantage""]",False,Chester,B4X2500MC-5876fbe864754b12dcea3902,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-00acdafa6783eb823cfcc5c6,moderate,police,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1303.pdf,normalization_mechanism_only,,96,,,,2021,,2021,,,,,2021,,,,,,,,,2021-01-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-47e50eeb643f2c1d0dd36b00,,"Effective January 1 of each year, bargaining unit",Negotiated Agreement between Chester Township and the Ohio Patrolmen's Benevolent Association (SERB Case Nos. 2021-MED-10-1303 (Patrol) / 2021-MED-10-1304 (Sergeant)); Section 2. Holiday Accrual and Usage.,2021,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective January 1 of each year, bargaining unit",police,effective_date,,True,B4X2500RDY-20260730-0cb0a86d4af574da0db8,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737775Z,B4X2500RESCUE-486e579e8b040ae20c6525a4,rescue_lane_003,mechanism_with_no_quant_value,B4X2500SRD-20260730-4b9c89799ffc20d9c68c,police,B4X2500-20260729-05765,Section 2. Holiday Accrual and Usage.,cba,B4X2500LIVE-20260729-005739,B4X2500SRD-20260730-4b9c89799ffc20d9c68c,Negotiated Agreement between Chester Township and the Ohio Patrolmen's Benevolent Association (SERB Case Nos. 2021-MED-10-1303 (Patrol) / 2021-MED-10-1304 (Sergeant)),B4X2500SPAN-20260730-42d610b8daae82fba8b180c6,9bf0812cb62d98b63da36713c0d77f28ea5a7abbf7f814b7ad3139da795306ab,OH,,police,B4X2500V-20260730-05402,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_applicable,,unclear,B4X2500LIVE-20260729-002697,non_cba_or_other_hint,82281,82238,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-ed126018a1f8c64cc3eccead,2020,neutral_or_general,2023-04-30,2020-05-01,quantitative_compensation,B4X2500TXT-20260730-08c65252d921b9886e04,https://static1.squarespace.com/static/57ced2d71b631bb8d8f3a628/t/618af42dfc5da7240bf8b449/1636496430279/2020+to+2023+-+AFSCME+Union+Agreement.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,percentage_raise,percentage_raise,889,1697,"[""automatic_raise_mechanism""]",False,Wilmington,B4X2500MC-c191631ba8c70a83bf864d6d,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,across_the_board_raise,,percentage,2.5,B4X2500NORM-00af1a96ddcd4b8590d7f2e1,moderate,unknown,https://www.wilmington-il.com/s/2020-to-2023-AFSCME-Union-Agreement.pdf,normalization_mechanism_only,,434,,,,2020,,2020,,2020-05-01,2023-04-30,2021,2020,percent,2.75,,,,2.5,,,2020-05-01,,,,,automatic_wage_growth,,high_priority_verification_ready,"[""percentage_raise""]",True,,B4X2500-RATING-20260730-63d52fab8522225240a11424,,2.5% increase 2.75% increase 2.5% increase,"COLLECTIVE BARGAINING AGREEMENT BETWEEN THE CITY OF WILMINGTON AND AFSCME COUNCIL 31, AFL-CIO, LOCAL 1909 (May 1, 2020 - April 30, 2023); FY 2021 FY 2022 FY 2023",2020-05-01; 2023-04-30,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,2.5% increase 2.75% increase 2.5% increase,,percentage_raise,2.5%; 2.75%; 2.5%,True,B4X2500RDY-20260730-cd3dda41eb5dd4c5d671,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737841Z,B4X2500RESCUE-f5abd9f673c8dce1554844de,rescue_lane_001,source_reported_percentage_growth_supported,B4X2500SRD-20260730-9adbc9f0c505b618825e,unclear,B4X2500-20260729-02664,FY 2021 FY 2022 FY 2023,wage_schedule,B4X2500LIVE-20260729-002697,B4X2500SRD-20260730-9adbc9f0c505b618825e,"COLLECTIVE BARGAINING AGREEMENT BETWEEN THE CITY OF WILMINGTON AND AFSCME COUNCIL 31, AFL-CIO, LOCAL 1909 (May 1, 2020 - April 30, 2023)",B4X2500SPAN-20260730-da31d80765032e4e7230c5a7,4ae75c8f16a949be692e6e0f2a8530804b139cff26e4c4479b2b135bd791514c,IL,,unresolved_unit,B4X2500V-20260730-03168,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
