annualization_assumption,annualization_hours_used,base_or_non_base,candidate_id,cba_non_cba_hint,character_end_offset,character_start_offset,classification_evidence_basis,codified_record_id,comparison_cycle_candidate,direction_bucket,effective_period_end,effective_period_start,evidence_category,extraction_id,final_locator,grade,growth_mechanism_claim_caveat,growth_mechanism_claim_text,growth_mechanism_type,growth_value_type,lane_position,line_offset,mechanism_attributes,mechanism_claim_ready,municipality,municipality_cycle_id_candidate,non_base_component_type,normalization_blocker_tags,normalization_needed_for_gap_claim,normalization_notes,normalization_status,normalized_annual_equivalent,normalized_at,normalized_growth_type,normalized_hourly_equivalent,normalized_pay_basis,normalized_percentage_growth,normalized_record_id,normalized_value_confidence,occupation_or_classification,original_locator,original_normalization_status,page_number,paragraph_offset,parsed_annual_salary,parsed_biweekly_rate,parsed_cola_cpi_value,parsed_contract_year,parsed_currency_amount,parsed_cycle_label,parsed_daily_rate,parsed_effective_date,parsed_end_date,parsed_fiscal_year,parsed_growth_period,parsed_growth_unit,parsed_growth_value,parsed_hourly_rate,parsed_lump_sum,parsed_monthly_rate,parsed_percentage_value,parsed_premium_amount,parsed_premium_percentage,parsed_start_date,parsed_step_or_grade_value,parsed_stipend_or_allowance,parsed_weekly_rate,payband,primary_mechanism_cluster,prior_comparable_wage_candidate_link,priority_bucket,quant_span_types,quantitative_growth_value_present,rank,rating_id,raw_base_nonbase_text,raw_compensation_text,raw_context_notes,raw_effective_period_text,raw_paraphrase,raw_rank_step_grade_text,raw_span_text,raw_unit_or_group_text,raw_unit_text,raw_value_text,raw_values_preserved,readiness_id,region,report_usability_bucket,rescue_basket,rescue_completed_at,rescue_id,rescue_lane,rescue_status,retained_source_id,safety_category,scout_target_id,section_heading,source_family,source_id,source_review_download_id,source_title,span_id,span_sha256,state,step,unit_or_group,verification_row_id,why_not_gap_comparable
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-006769,non_cba_or_other_hint,33517,33419,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-f2ad458000ec51ea4081c2a6,2023,not_applicable,,2023-04-01,quantitative_compensation,B4X2500TXT-20260730-71a9dbd5d6ed4fc30b6f,https://cms7files.revize.com/oceanridgefl/document_center/Meeting%20Packages/Full%20Agenda%20Packet%20230815.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,407,587,"[""implementation_or_retroactivity_advantage""]",False,Ocean Ridge,B4X2500MC-100d9fb7d4668f8ad7ff8d89,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-00745a2672fd3659717381c3,moderate,unknown,https://cms7files.revize.com/oceanridgefl/document_center/Meeting%20Packages/Full%20Agenda%20Packet%20230815.pdf,normalization_mechanism_only,,107,,,,2023,,2023,,2023-04-01,,,2023,,,,,,,,,2023-04-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-43ee890f040b505a937bd729,,"Effective April 1, 2023 swo rn members shall receive an adjustment to their minimum salary in an",Full Agenda Packet 20230815 (compensation system/pay plan description; classification/compensation study excerpt); WAGES,2023-04-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective April 1, 2023 swo rn members shall receive an adjustment to their minimum salary in an",,effective_date,,True,B4X2500RDY-20260730-868c350c9716d417850e,South,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737638Z,B4X2500RESCUE-743563fe334c0e024239053d,rescue_lane_001,mechanism_with_no_quant_value,B4X2500SRD-20260730-85aa0534c3defb76a113,unclear,B4X2500-20260729-06669,WAGES,compensation_study,B4X2500LIVE-20260729-006769,B4X2500SRD-20260730-85aa0534c3defb76a113,Full Agenda Packet 20230815 (compensation system/pay plan description; classification/compensation study excerpt),B4X2500SPAN-20260730-3f197c4802e442f5f80a52ed,f6216f57e701f97c4344aa45f808336a69ac5ebdd999012380bd66d1f524767d,FL,,unresolved_unit,B4X2500V-20260730-00115,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-005405,non_cba_or_other_hint,92345,92301,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-dcde351e29cc1aefc8993640,2024,neutral_or_general,,2024-01-01,quantitative_compensation,B4X2500TXT-20260730-90aa8a60023aceb1e15f,https://ithacami.com/download/9830/city-council-minutes-full-year-2024.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,236,2072,"[""implementation_or_retroactivity_advantage""]",False,Ithaca,B4X2500MC-0b44850f2ed1d661aee23dc7,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-009427a24b6026db8b3ee548,moderate,unknown,https://www.ithacami.com/download/9830/city-council-minutes-full-year-2024.pdf,normalization_mechanism_only,,538,,,,2024,,2024,,,,,2024,,,,,,,,,2024-01-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-5633d3c1ad454cfe3231fc93,,"This renewal will be effective December 1,","City Council Minutes (approved) — AFSCME Union Contract approval (Jan 1, 2024–Dec 31, 2026);",2024; 2026,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"This renewal will be effective December 1,",,effective_date,,True,B4X2500RDY-20260730-39e19484949759aee029,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737663Z,B4X2500RESCUE-d9c8b41ae32acb2ea74c9deb,rescue_lane_002,mechanism_with_no_quant_value,B4X2500SRD-20260730-0a6daec64d89df48a587,unclear,B4X2500-20260729-05376,,agenda_packet_or_minutes,B4X2500LIVE-20260729-005405,B4X2500SRD-20260730-0a6daec64d89df48a587,"City Council Minutes (approved) — AFSCME Union Contract approval (Jan 1, 2024–Dec 31, 2026)",B4X2500SPAN-20260730-cfb14235d4e6a053479296da,5ec8e4333ca39c10a5d957cf30f42b3f29ac7f77158eacbe262f5a70b62c7883,MI,,unresolved_unit,B4X2500V-20260730-03414,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-005425,cba_hint,14902,14852,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-3300b06567ea57e54ad649aa,2019,neutral_or_general,,2019-01-01,mixed_quantitative_qualitative,B4X2500TXT-20260730-9a22cd3973ab180f1dbe,https://poam.net/signed-and-sealed/signed-and-sealed-2019,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,305,619,"[""automatic_raise_mechanism""]",False,Northfield,B4X2500MC-0c072a9c8bec1461059e2777,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,COLA_CPI,,unknown,,B4X2500NORM-00acc4f9cdf9e3f0a3c8acd9,moderate,police,https://www.poam.net/signed-and-sealed/signed-and-sealed-2019/,normalization_mechanism_only,,310,,,,2019,,2019,,,,,2019,,,,,,,,,2019-01-01,,,,,automatic_wage_growth,,high_priority_verification_ready,"[""COLA_or_CPI_adjustment""]",False,,B4X2500-RATING-20260730-85912201588aface4c7a5bfb,,"Pensions bridged B-4, freeze COLA as of 12/31/18.",Signed and Sealed 2019 (Northfield Township Police Officers Association) — duration listed;,2019,The passage combines a raw compensation term with possible wage-setting context for later review.,,"Pensions bridged B-4, freeze COLA as of 12/31/18.",police,COLA_or_CPI_adjustment,,True,B4X2500RDY-20260730-f0415c1e7aac15c38f06,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737717Z,B4X2500RESCUE-1f2c44e3905b55bf46f236ce,rescue_lane_002,mechanism_with_no_quant_value,B4X2500SRD-20260730-07ba58e66f23cfba5984,police,B4X2500-20260729-05387,,cba,B4X2500LIVE-20260729-005425,B4X2500SRD-20260730-07ba58e66f23cfba5984,Signed and Sealed 2019 (Northfield Township Police Officers Association) — duration listed,B4X2500SPAN-20260730-52b109fac108797c9735cb17,0db8c48399de449651495650c317df557bc9fe3fde0542f2961f45bbd180fea5,MI,,police,B4X2500V-20260730-03444,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-005739,cba_hint,21465,21414,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-b6e8940439f90b679d3f5b05,2021,not_applicable,,2021-01-01,quantitative_compensation,B4X2500TXT-20260730-395a9d1f3f295778ae17,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1303.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,1276,391,"[""implementation_or_retroactivity_advantage""]",False,Chester,B4X2500MC-5876fbe864754b12dcea3902,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-00acdafa6783eb823cfcc5c6,moderate,police,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1303.pdf,normalization_mechanism_only,,96,,,,2021,,2021,,,,,2021,,,,,,,,,2021-01-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-47e50eeb643f2c1d0dd36b00,,"Effective January 1 of each year, bargaining unit",Negotiated Agreement between Chester Township and the Ohio Patrolmen's Benevolent Association (SERB Case Nos. 2021-MED-10-1303 (Patrol) / 2021-MED-10-1304 (Sergeant)); Section 2. Holiday Accrual and Usage.,2021,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective January 1 of each year, bargaining unit",police,effective_date,,True,B4X2500RDY-20260730-0cb0a86d4af574da0db8,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.737775Z,B4X2500RESCUE-486e579e8b040ae20c6525a4,rescue_lane_003,mechanism_with_no_quant_value,B4X2500SRD-20260730-4b9c89799ffc20d9c68c,police,B4X2500-20260729-05765,Section 2. Holiday Accrual and Usage.,cba,B4X2500LIVE-20260729-005739,B4X2500SRD-20260730-4b9c89799ffc20d9c68c,Negotiated Agreement between Chester Township and the Ohio Patrolmen's Benevolent Association (SERB Case Nos. 2021-MED-10-1303 (Patrol) / 2021-MED-10-1304 (Sergeant)),B4X2500SPAN-20260730-42d610b8daae82fba8b180c6,9bf0812cb62d98b63da36713c0d77f28ea5a7abbf7f814b7ad3139da795306ab,OH,,police,B4X2500V-20260730-05402,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008472,non_cba_or_other_hint,85,59,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-eabdbe85b73d53efc910262a,2021,neutral_or_general,,2021-01-01,quantitative_compensation,B4X2500TXT-20260730-528bdbf2c7f7073f2270,https://townofshelbywi.gov/uploads/content_files/files/Shelby%20Employee%20Guide%20Effective%20January%201%202021.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,1288,6,"[""implementation_or_retroactivity_advantage""]",False,Shelby,B4X2500MC-dfc7e761bcbbac9eeb0e377e,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-012e786d3d176d1006b146ee,moderate,unknown,https://townofshelbywi.gov/uploads/content_files/files/Shelby%20Employee%20Guide%20Effective%20January%201%202021.pdf,normalization_mechanism_only,,2,,,,2021,,2021,,2021-01-01,,,2021,,,,,,,,,2021-01-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-61c591611627fbf39cbcf048,,"Effective January 1, 2021","Shelby Employee Guide (Effective January 1, 2021);",2021-01-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective January 1, 2021",,effective_date,,True,B4X2500RDY-20260730-0059881bf91709157d4b,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.738035Z,B4X2500RESCUE-b35ef31c2e30af1b266f0ac9,rescue_lane_004,mechanism_with_no_quant_value,B4X2500SRD-20260730-1a5e192c0104575c4d39,unclear,B4X2500-20260729-08482,,other_local_government_pay_policy,B4X2500LIVE-20260729-008472,B4X2500SRD-20260730-1a5e192c0104575c4d39,"Shelby Employee Guide (Effective January 1, 2021)",B4X2500SPAN-20260730-f5024a4e9a3ffa4a222f77d4,d851def58e2fe5b218f14449773e2e26ce91a5b7124e646b114b9d6f27d57057,WI,,unresolved_unit,B4X2500V-20260730-02861,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,base,B4X2500LIVE-20260729-005076,cba_hint,90287,90185,"[""unit_specific_source_title"", ""prior_normalization_metadata"", ""prior_normalization_metadata""]",B4X2500COD-20260730-4b749b99ce03a7c5b16623cc,2018-2022,not_applicable,2022-12-31,2015-07-01,quantitative_compensation,B4X2500TXT-20260730-66c80f80b86c3ec2dabd,https://cityofgeneseo.com/wp-content/uploads/2019/09/FOP-2018-2022-Geneseo-Final-CBA.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,751,1290,"[""base_wage_direct_value"", ""implementation_or_retroactivity_advantage""]",False,Geneseo,B4X2500MC-1489eede4213c5bda2dadf6d,,"[""pay_basis_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-0140cf46e0d14d937d951551,moderate,police,https://www.cityofgeneseo.com/wp-content/uploads/2019/09/FOP-2018-2022-Geneseo-Final-CBA.pdf,normalization_mechanism_only,,155,,,,2018,1.5,2018-2022,,2015-07-01,2022-12-31,,2018-2022,,,,,,,,,2015-07-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date"", ""hourly_rate""]",False,,B4X2500-RATING-20260730-d017c77c855858f771cada45,base,"at a rate of one dollar fifty cents ($1.50) effective July 1, 2015, and one dollar seventy-five cents",FOP 2018-2022 Geneseo Final CBA; Section 22.8 Stand-By Pay,2015-07-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"at a rate of one dollar fifty cents ($1.50) effective July 1, 2015, and one dollar seventy-five cents",police,effective_date;hourly_rate,$1.50,True,B4X2500RDY-20260730-9b68d53e166b1f942b2a,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.738243Z,B4X2500RESCUE-d1ca0477446c44ebe3fd1321,rescue_lane_001,mechanism_with_no_quant_value,B4X2500SRD-20260730-af8e1fd468dc6fc29b17,police,B4X2500-20260729-05107,Section 22.8 Stand-By Pay,cba,B4X2500LIVE-20260729-005076,B4X2500SRD-20260730-af8e1fd468dc6fc29b17,FOP 2018-2022 Geneseo Final CBA,B4X2500SPAN-20260730-b25671c64c2218b1dfbd13ca,bce462c290725a9d94e30aff813c3f22a4e779b52a41e27a3cb9aff7c6f2ab7b,IL,,police,B4X2500V-20260730-03094,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-002077,non_cba_or_other_hint,66847,66785,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-5c7e0820a0d21b28efc35be3,2017,neutral_or_general,,2017-01-01,quantitative_compensation,B4X2500TXT-20260730-c816445df369bbfeb370,https://cms9files.revize.com/woodfinnc/Document%20Center/Departments/Human%20Resources/2023.01.17%20Woodfin%20Personnel%20Manual.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,1280,753,"[""implementation_or_retroactivity_advantage""]",False,Woodfin,B4X2500MC-f522c394a82bb6f41fdfc15c,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:38Z,unknown,,unknown,,B4X2500NORM-01e24d82a25ddf0aa02f92cd,moderate,unknown,https://www.woodfin-nc.gov/Document%20Center/Departments/Human%20Resources/2023.01.17%20Woodfin%20Personnel%20Manual.pdf,normalization_mechanism_only,,62,,,,2017,,2017,,,,,2017,,,,,,,,,2017-01-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-1bea4b60071c96368940112f,,and will become effective on July first of the following year.,Town of Woodfin Personnel Manual & Policies (Adopted 06/20/2017; Revised 01/17/2023); Section 13 – Consumer Price Index Salary Adjustment,2017; 2023,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,and will become effective on July first of the following year.,,effective_date,,True,B4X2500RDY-20260730-68915e672fa8bf780c37,South,pi_report_context_only,mechanism_only_repair,2026-07-30T23:32:32.738436Z,B4X2500RESCUE-4d4d55e975b2d34446209a7e,rescue_lane_002,mechanism_with_no_quant_value,B4X2500SRD-20260730-9c688a02c2cb722a7248,unclear,B4X2500-20260729-02014,Section 13 – Consumer Price Index Salary Adjustment,budget_or_pay_plan,B4X2500LIVE-20260729-002077,B4X2500SRD-20260730-9c688a02c2cb722a7248,Town of Woodfin Personnel Manual & Policies (Adopted 06/20/2017; Revised 01/17/2023),B4X2500SPAN-20260730-b51155e7f8c69049754ccbac,9d881454743f0ce3266e4086ce6cac392f40c11fc4f4b235bb2d386534e4da92,NC,,unresolved_unit,B4X2500V-20260730-03611,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008531,cba_hint,47585,47493,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-535ea4518a04a7938ce93dd7,2022,not_applicable,2013-07-01,2022-07-01,quantitative_compensation,B4X2500TXT-20260730-a09b9461c98336ae092f,https://cohassetma.gov/DocumentCenter/View/11910/Police-Patrol_Sergeant-CBA-FY23-FY25-PDF,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,1130,833,"[""implementation_or_retroactivity_advantage""]",False,Cohasset,B4X2500MC-cf54c0a6b70cead4b0691be4,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:38Z,unknown,,unknown,,B4X2500NORM-0255830e4fd389b4fe44cda9,moderate,police,https://www.cohassetma.gov/DocumentCenter/View/11910/Police-Patrol_Sergeant-CBA-FY23-FY25-PDF,normalization_mechanism_only,,182,,,,2022,,2022,,2022-07-01,2013-07-01,,2022,,,,,,,,,2022-07-01,,,,,timing_implementation,B4X2500PAIR-135c2af830ae72a07f682eac,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-90757f6ba797aa3403654118,,"Effective July 1, 2013, Up to ½ of unused vacation time or personal time will be reimbursed","Police Patrol/Sergeant CBA (Local 66 NEPBA) — July 1, 2022 through June 30, 2025; Article.",2022-07-01; 2025-06-30; 2013-07-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective July 1, 2013, Up to ½ of unused vacation time or personal time will be reimbursed",police,effective_date,,True,B4X2500RDY-20260730-16f720fcc9871b6c779d,Northeast,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.738838Z,B4X2500RESCUE-8935a578ee53c4444d880f71,rescue_lane_001,mechanism_with_no_quant_value,B4X2500SRD-20260730-07f1d4a83e79a5f4d484,police,B4X2500-20260729-08526,Article.,cba,B4X2500LIVE-20260729-008531,B4X2500SRD-20260730-07f1d4a83e79a5f4d484,"Police Patrol/Sergeant CBA (Local 66 NEPBA) — July 1, 2022 through June 30, 2025",B4X2500SPAN-20260730-d87c2436edc9482a5b8d557a,39e998d776c700d8dde9a9313f57eb2f43a0ec95b0c106ba5c262f39aaf42358,MA,,police,B4X2500V-20260730-03306,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-000852,cba_hint,120595,120533,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-57c2860e048004cfedb7c14c,2021,neutral_or_general,,2021-10-04,quantitative_compensation,B4X2500TXT-20260730-5a3beb67c14530ea0458,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-07-0724.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,275,2150,"[""implementation_or_retroactivity_advantage""]",False,Scioto,B4X2500MC-2a18f99f0038400a16f7eec9,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:38Z,unknown,,unknown,,B4X2500NORM-02cc0d1bc65e003608c6521e,moderate,fire,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-07-0724.pdf,normalization_mechanism_only,,428,,,,2021,,2021,,2021-10-04,,,2021,,,,,,,,,2021-10-04,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-9a419830a62d7b98863ff8fe,,"will move to Bi-Weekly pay periods effective October 4, 2021.",Collective Bargaining Agreement by and Between the Scioto Township Fire Department and the International Association of Firefighters Local 4000; Section 27.4,2021-10-04,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"will move to Bi-Weekly pay periods effective October 4, 2021.",fire,effective_date,,True,B4X2500RDY-20260730-98dee7fa235e1d19f07c,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:32:32.739267Z,B4X2500RESCUE-973ffb547fc3bb2a3dc4f027,rescue_lane_004,mechanism_with_no_quant_value,B4X2500SRD-20260730-bf97cde7e1b8e597d1c8,fire,B4X2500-20260729-00822,Section 27.4,cba,B4X2500LIVE-20260729-000852,B4X2500SRD-20260730-bf97cde7e1b8e597d1c8,Collective Bargaining Agreement by and Between the Scioto Township Fire Department and the International Association of Firefighters Local 4000,B4X2500SPAN-20260730-c2c2dcb813eea7c743ac5d91,2e32c44d1f732283df1fea0c661e317a44a2c957c1cdfa6834ba03f228304c8a,OH,,fire,B4X2500V-20260730-05426,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
not_applicable,,unclear,B4X2500LIVE-20260729-001808,non_cba_or_other_hint,26556,26461,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-6108f8beb3383ef59f2e74c1,2021-2022,not_applicable,2022-12-31,2021-01-01,quantitative_compensation,B4X2500TXT-20260730-90dc6f69d5c09b8fcdbf,https://d3n9y02raazwpg.cloudfront.net/tsp/8ce34755-f3a8-11eb-81b1-0050569183fa-0fb664a0-faa5-4b04-a314-61ae93e51503-1630589504.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,436,591,[],False,Sewall's Point,B4X2500MC-93a8a28dc77364c3ede33184,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:38Z,scheduled_raise,,percentage,16.82,B4X2500NORM-02e21a7bee31810924539921,moderate,unknown,https://d3n9y02raazwpg.cloudfront.net/tsp/8ce34755-f3a8-11eb-81b1-0050569183fa-0fb664a0-faa5-4b04-a314-61ae93e51503-1630589504.pdf,normalization_mechanism_only,,108,,,,2021,,2021-2022,,,2022-12-31,2021,2021-2022,,,,,,16.82,,,2021-01-01,,,,,weak_context_exclusion,,high_priority_verification_ready,"[""contract_year_or_fiscal_year""]",False,,B4X2500-RATING-20260730-383485c839fcc9f98cd6378d,,The percentage increase in property taxes for Fiscal Year 2021-2022 is 16.82 % and the Town’s,Human Resources Policy Manual (includes Position Classification and Compensation Plan; Salary Schedule establishes pay ranges); STRATEGIC PRIORITY – FINANCE/BUDGETING,2021; 2022,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,The percentage increase in property taxes for Fiscal Year 2021-2022 is 16.82 % and the Town’s,,contract_year_or_fiscal_year,16.82%,True,B4X2500RDY-20260730-53d3b7a9200c277881a9,South,exclude_from_report,mechanism_only_repair,2026-07-30T23:32:32.739339Z,B4X2500RESCUE-5adc638329207cbe5193059e,rescue_lane_001,mechanism_with_no_quant_value,B4X2500SRD-20260730-616b1bb5fc985c65c6a1,unclear,B4X2500-20260729-01679,STRATEGIC PRIORITY – FINANCE/BUDGETING,civil_service_or_hr_pay_plan,B4X2500LIVE-20260729-001808,B4X2500SRD-20260730-616b1bb5fc985c65c6a1,Human Resources Policy Manual (includes Position Classification and Compensation Plan; Salary Schedule establishes pay ranges),B4X2500SPAN-20260730-f359939558ed69cc8a76b526,0c292c306e1752294d36faee9187c00ac4d078df0aae149c6a07c73f3a834d0c,FL,,unresolved_unit,B4X2500V-20260730-02997,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period."
