readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,observed_file_size_bytes,observed_sha256,file_integrity_status,content_type,page_count,encrypted_or_locked_flag,corrupt_or_broken_flag,has_text_layer_flag,bounded_text_probe_page_count,bounded_text_probe_character_count,estimated_text_density_chars_per_probed_page,table_layout_indicator,likely_scanned_or_image_only_flag,oversized_flag,local_html_payload_exists_flag,html_visible_character_count,html_link_count,html_script_count,html_mostly_scripts_or_boilerplate_flag,other_document_non_ocr_extraction_feasible_flag,primary_readiness_status,reason_code,classified_at,full_text_persisted_flag,ocr_run_flag
B4X2500RDY-20260730-116b8544ffbbbc458804,readiness_lane_001,26,html,html,B4X2500SRD-20260730-e36deed2bae9d04cce50,B4X2500V-20260730-04726,B4X2500LIVE-20260729-009383,B4X2500-20260729-09270,KY,South,Blue Ridge Manor,City Meeting Minutes (Google Drive folder) — City of Blue Ridge Manor,https://drive.google.com/drive/folders/1kfCjk_BMBmdAKZzN5mEMDp7OLVeWaS3F?usp=sharing,https://drive.google.com/drive/folders/1kfCjk_BMBmdAKZzN5mEMDp7OLVeWaS3F,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-e36deed2bae9d04cce50.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-e36deed2bae9d04cce50.html,sha256:fe0b7feff6d3c2f0d03e0c07fc3edcc6648af20bb54050e3d3c789fd42abe1c7,locally_available,local_only_not_replicated,local_research_workspace,390233,fe0b7feff6d3c2f0d03e0c07fc3edcc6648af20bb54050e3d3c789fd42abe1c7,390233,fe0b7feff6d3c2f0d03e0c07fc3edcc6648af20bb54050e3d3c789fd42abe1c7,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,503,6,16,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:05Z,false,false
B4X2500RDY-20260730-ba0e20451a7fce865794,readiness_lane_001,30,html,html,B4X2500SRD-20260730-23241c33ed5f7fa4a2c3,B4X2500V-20260730-04722,B4X2500LIVE-20260729-005322,B4X2500-20260729-05316,KS,Midwest,Potwin,Article 4. Personnel Policy and Employee Benefits (Uniform Personnel Policies and Guidelines for the City of Potwin),https://potwinks.citycode.net/artiPersPoliAndEmplBene.htm,https://potwinks.citycode.net/artiPersPoliAndEmplBene.htm,wage_schedule,medium_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-23241c33ed5f7fa4a2c3.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-23241c33ed5f7fa4a2c3.html,sha256:ba00b513c0a4e7e54d1a4f210bcd95cd03f3ad497e4958a66be0e3b6c166797d,locally_available,local_only_not_replicated,local_research_workspace,4756,ba00b513c0a4e7e54d1a4f210bcd95cd03f3ad497e4958a66be0e3b6c166797d,4756,ba00b513c0a4e7e54d1a4f210bcd95cd03f3ad497e4958a66be0e3b6c166797d,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,773,25,5,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:06Z,false,false
B4X2500RDY-20260730-d5a1d73ed2d7cbe0d2c9,readiness_lane_001,35,html,html,B4X2500SRD-20260730-715f2319b58c778997eb,B4X2500V-20260730-03440,B4X2500LIVE-20260729-000384,B4X2500-20260729-00336,MI,Midwest,Augusta charter,Augusta Township Fire Firefighters 2015-18 — Contract (Contract Duration 4-1-15 to 3-31-18; wage increase and longevity notes),https://maff.org/archives/35-2015,https://maff.org/archives/35-2015,cba,high_priority_verification_ready,cba_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-715f2319b58c778997eb.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-715f2319b58c778997eb.html,sha256:3217830fe5e552e6e4dba16af1c3178ff23145d07216cf67eab9e5f64732d5b9,locally_available,local_only_not_replicated,local_research_workspace,39740,3217830fe5e552e6e4dba16af1c3178ff23145d07216cf67eab9e5f64732d5b9,39740,3217830fe5e552e6e4dba16af1c3178ff23145d07216cf67eab9e5f64732d5b9,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,13192,63,15,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:06Z,false,false
B4X2500RDY-20260730-661fd588b1b65647279f,readiness_lane_001,57,html,html,B4X2500SRD-20260730-70fdb69a2b6dbdef8bc9,B4X2500V-20260730-03174,B4X2500LIVE-20260729-000243,B4X2500-20260729-00178,IN,Midwest,Burns Harbor,"RESOLUTION 2026-02 AMENDING RESOLUTION 2025-27 2025 SALARY and WAGES for the Town of Burns Harbor, Porter County, Indiana",https://www.burnsharbor-in.gov/AgendaCenter/ViewFile/Minutes/_01142026-1031,https://in.gov/core/404,mou_or_memorandum,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-70fdb69a2b6dbdef8bc9.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-70fdb69a2b6dbdef8bc9.html,sha256:419c08889a6f884726eb4bad492f522565f80cec8d49b8e80814a667c387d8a4,locally_available,local_only_not_replicated,local_research_workspace,51650,419c08889a6f884726eb4bad492f522565f80cec8d49b8e80814a667c387d8a4,51650,419c08889a6f884726eb4bad492f522565f80cec8d49b8e80814a667c387d8a4,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,2438,111,16,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:06Z,false,false
B4X2500RDY-20260730-a636cad41cc835965c1c,readiness_lane_001,71,html,html,B4X2500SRD-20260730-33d3c972d4ba644773d8,B4X2500V-20260730-00356,B4X2500LIVE-20260729-001868,B4X2500-20260729-01768,KY,South,Bellemeade,Commission Minutes (NSAP Increase: Neighborhood Security and Asset Protection hourly rate),https://bellemeade-ky.gov/?page_id=1997,https://bellemeade-ky.gov,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-33d3c972d4ba644773d8.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-33d3c972d4ba644773d8.html,sha256:49eff6a52ca44279a436fff1fe871f199d34a851a8267933a01b2487e2ab82c4,locally_available,local_only_not_replicated,local_research_workspace,36765,49eff6a52ca44279a436fff1fe871f199d34a851a8267933a01b2487e2ab82c4,36765,49eff6a52ca44279a436fff1fe871f199d34a851a8267933a01b2487e2ab82c4,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,2077,114,3,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:06Z,false,false
B4X2500RDY-20260730-3ef07a7d9cc0379502ba,readiness_lane_001,93,html,html,B4X2500SRD-20260730-2eba18c1581483626ec5,B4X2500V-20260730-04010,B4X2500LIVE-20260729-003312,B4X2500-20260729-03299,OH,Midwest,Ottoville,"ORDINANCE NO. Q{ 5 3: AN ORDINANCE FIXING SALARIES, WAGES AND BONDS FOR OFFICIALS AND EMPLOYEES OF THE VILLAGE OF OTTOVILLE, OHIO.",https://www.villageofottoville.org/village-government/ordinances?download=550%3Aord-0253-an-ordinance-fixing-salarieswages-and-bonds-for-officials-and-employees-of-the-village-of-ottovilleohio&start=200,https://villageofottoville.org/index.php,other_local_government_pay_policy,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-2eba18c1581483626ec5.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-2eba18c1581483626ec5.html,sha256:304a8f1ca9c857c679b1016c1f39c3b3282479b1dc6b90727502e4cde2a3788d,locally_available,local_only_not_replicated,local_research_workspace,59648,304a8f1ca9c857c679b1016c1f39c3b3282479b1dc6b90727502e4cde2a3788d,59648,304a8f1ca9c857c679b1016c1f39c3b3282479b1dc6b90727502e4cde2a3788d,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,2652,108,30,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:07Z,false,false
B4X2500RDY-20260730-28ba512ce11e4b424617,readiness_lane_001,98,html,html,B4X2500SRD-20260730-52daadbf771aa9f08efb,B4X2500V-20260730-02264,B4X2500LIVE-20260729-003219,B4X2500-20260729-03202,NE,Midwest,Ewing,"Proceedings Village of Ewing Board of Trustees (Dec 17, 2025 publication; meeting Dec 8, 2025)",https://www.summerlandadvocate.com/story/2025/12/17/legal-notices/proceedings-village-of-ewing-board-of-trustees/8726.html,https://summerlandadvocate.com/story/2025/12/17/legal-notices/proceedings-village-of-ewing-board-of-trustees/8726.html,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-52daadbf771aa9f08efb.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-52daadbf771aa9f08efb.html,sha256:aec34c73525a970d399e59d66f01f32e29754db7fd6fe7423d5017b9a829156c,locally_available,local_only_not_replicated,local_research_workspace,45412,aec34c73525a970d399e59d66f01f32e29754db7fd6fe7423d5017b9a829156c,45412,aec34c73525a970d399e59d66f01f32e29754db7fd6fe7423d5017b9a829156c,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,1638,78,24,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:07Z,false,false
B4X2500RDY-20260730-1184bcf0dfe2dd04ba27,readiness_lane_001,106,html,html,B4X2500SRD-20260730-a788b021399b5b277062,B4X2500V-20260730-04895,B4X2500LIVE-20260729-002967,B4X2500-20260729-02898,MI,Midwest,Port Huron charter,Port Huron Township Fire Fighters - Contract Settlements (wage increases),https://www.maff.org/contracts,https://maff.org/contracts,mou_or_memorandum,high_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-a788b021399b5b277062.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-a788b021399b5b277062.html,sha256:bc3dd0eee53328ae8fa2362b9fac25d92ca018e9066d3d3a477e4a3ca693c425,locally_available,local_only_not_replicated,local_research_workspace,28371,bc3dd0eee53328ae8fa2362b9fac25d92ca018e9066d3d3a477e4a3ca693c425,28371,bc3dd0eee53328ae8fa2362b9fac25d92ca018e9066d3d3a477e4a3ca693c425,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,5548,62,11,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:07Z,false,false
B4X2500RDY-20260730-c13448758625ded666b7,readiness_lane_001,117,html,html,B4X2500SRD-20260730-ae9bb7b02fdce1377f7b,B4X2500V-20260730-00350,B4X2500LIVE-20260729-002860,B4X2500-20260729-02803,KS,Midwest,Mount Hope,Article 4. Personnel Policy and Employee Benefits — § 1-401 Personnel rules and regulations (incorporates by reference the City of Mount Hope “Uniform Personnel Rules and Regulations”),https://mounthopeks.citycode.net/artiPersPoliAndEmplBene.htm,https://mounthopeks.citycode.net/artiPersPoliAndEmplBene.htm,personnel_policy,high_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-ae9bb7b02fdce1377f7b.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-ae9bb7b02fdce1377f7b.html,sha256:2d239e065789772469d5525866ba99e3b8882431e2285c0cf5ca610911e40d0f,locally_available,local_only_not_replicated,local_research_workspace,4369,2d239e065789772469d5525866ba99e3b8882431e2285c0cf5ca610911e40d0f,4369,2d239e065789772469d5525866ba99e3b8882431e2285c0cf5ca610911e40d0f,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,778,15,5,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:07Z,false,false
B4X2500RDY-20260730-3743b360455d117a0bd4,readiness_lane_001,136,html,html,B4X2500SRD-20260730-168b29625fb217b73dfb,B4X2500V-20260730-02932,B4X2500LIVE-20260729-009834,B4X2500-20260729-09851,CA,West,Colma,Peace Officers MOU,https://www.colma.ca.gov/documents/peace-officers-mou/,https://colma.ca.gov/documents/peace-officers-mou,mou_or_memorandum,high_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-168b29625fb217b73dfb.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-168b29625fb217b73dfb.html,sha256:718b8ea923ad54ccc7e6e5b33c9e8f0ed527f0b5b876ae8657b9d892f68b2909,locally_available,local_only_not_replicated,local_research_workspace,72246,718b8ea923ad54ccc7e6e5b33c9e8f0ed527f0b5b876ae8657b9d892f68b2909,72246,718b8ea923ad54ccc7e6e5b33c9e8f0ed527f0b5b876ae8657b9d892f68b2909,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,696,54,57,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:08Z,false,false
