readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,observed_file_size_bytes,observed_sha256,file_integrity_status,content_type,page_count,encrypted_or_locked_flag,corrupt_or_broken_flag,has_text_layer_flag,bounded_text_probe_page_count,bounded_text_probe_character_count,estimated_text_density_chars_per_probed_page,table_layout_indicator,likely_scanned_or_image_only_flag,oversized_flag,local_html_payload_exists_flag,html_visible_character_count,html_link_count,html_script_count,html_mostly_scripts_or_boilerplate_flag,other_document_non_ocr_extraction_feasible_flag,primary_readiness_status,reason_code,classified_at,full_text_persisted_flag,ocr_run_flag
B4X2500RDY-20260730-42ff812741a19ea8b1ad,readiness_lane_001,86,html,html,B4X2500SRD-20260730-6b4b4ad0afbc2e1cc820,B4X2500V-20260730-00836,B4X2500LIVE-20260729-000707,B4X2500-20260729-00679,NE,Midwest,Clatonia,Ordinance archive document (Google Docs link from Village of Clatonia site),https://docs.google.com/document/d/1IYpL3OV5J_sykXPQ10EFGn9Kq0oNVFuKPJbYqU4TX74/edit?usp=sharing,https://docs.google.com/document/d/1IYpL3OV5J_sykXPQ10EFGn9Kq0oNVFuKPJbYqU4TX74/edit,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-6b4b4ad0afbc2e1cc820.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-6b4b4ad0afbc2e1cc820.html,sha256:47c308b27c8ffb278f76230592bad1f2a4102ba53c3a8466cdea4a2a0d0f1042,locally_available,local_only_not_replicated,local_research_workspace,9206000,47c308b27c8ffb278f76230592bad1f2a4102ba53c3a8466cdea4a2a0d0f1042,9206000,47c308b27c8ffb278f76230592bad1f2a4102ba53c3a8466cdea4a2a0d0f1042,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,182,2,28,true,not_applicable,shell_or_navigation_only,bounded_html_signal_is_shell_navigation_or_script_heavy,2026-07-30T14:28:07Z,false,false
B4X2500RDY-20260730-0545055557273e088ad1,readiness_lane_001,338,html,html,B4X2500SRD-20260730-a3ecf626e11d56f5eead,B4X2500V-20260730-01808,B4X2500LIVE-20260729-007781,B4X2500-20260729-07763,KS,Midwest,Claflin,"CITY COUNCIL MINUTES (Dropbox PDFs linked from City of Claflin website) — June 15, 2026 Special Meeting Minutes",https://www.dropbox.com/scl/fi/86q15f8553bataxscs8hs/2026-June-15-special-mtg-minutes.pdf?dl=0&rlkey=szz8jk7onhxoq647m25sineix&st=vumdyw5v,https://dropbox.com/scl/fi/86q15f8553bataxscs8hs/2026-June-15-special-mtg-minutes.pdf,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-a3ecf626e11d56f5eead.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-a3ecf626e11d56f5eead.html,sha256:c02363baba1a101d6c9df67e5b1acf91ed9cf26ce08af451baf9fa411cfd7d37,locally_available,local_only_not_replicated,local_research_workspace,186418,c02363baba1a101d6c9df67e5b1acf91ed9cf26ce08af451baf9fa411cfd7d37,186418,c02363baba1a101d6c9df67e5b1acf91ed9cf26ce08af451baf9fa411cfd7d37,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,7,0,124,true,not_applicable,shell_or_navigation_only,bounded_html_signal_is_shell_navigation_or_script_heavy,2026-07-30T14:28:12Z,false,false
B4X2500RDY-20260730-3d34fc120e9ca203b7fa,readiness_lane_001,438,html,html,B4X2500SRD-20260730-60499f77d9a8a7e4c671,B4X2500V-20260730-05520,B4X2500LIVE-20260729-007113,B4X2500-20260729-07127,SC,South,Quinby,"Code of the Town of Quinby, South Carolina (Chapter 2, Sec. 2.120 Salaries)",https://www.townofquinby.com/chapter-2,https://townofquinby.com/chapter-2,salary_ordinance,medium_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-60499f77d9a8a7e4c671.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-60499f77d9a8a7e4c671.html,sha256:e46ec87218b76b2ec24f510d79136625c01bb2311050f1a2fe619b897e10bca0,locally_available,local_only_not_replicated,local_research_workspace,729075,e46ec87218b76b2ec24f510d79136625c01bb2311050f1a2fe619b897e10bca0,729075,e46ec87218b76b2ec24f510d79136625c01bb2311050f1a2fe619b897e10bca0,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,55,1,20,true,not_applicable,shell_or_navigation_only,bounded_html_signal_is_shell_navigation_or_script_heavy,2026-07-30T14:28:14Z,false,false
B4X2500RDY-20260730-bd286fec85a6aa6f4ef1,readiness_lane_001,483,html,html,B4X2500SRD-20260730-f6f1c018e11b6a762906,B4X2500V-20260730-05349,B4X2500LIVE-20260729-008304,B4X2500-20260729-08295,OH,Midwest,McConnelsville,23-05 Employee (VA) Ordinance,https://drive.google.com/file/d/1lJ3N3uEN0EradcUnGUkFvoP6x62Q_N0E/view?usp=share_link,https://drive.google.com/file/d/1lJ3N3uEN0EradcUnGUkFvoP6x62Q_N0E/view,other_local_government_pay_policy,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-f6f1c018e11b6a762906.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-f6f1c018e11b6a762906.html,sha256:5461df73ae11a433210c927af94b7441c731df0f5f115131f6fa2d307c56ee15,locally_available,local_only_not_replicated,local_research_workspace,79127,5461df73ae11a433210c927af94b7441c731df0f5f115131f6fa2d307c56ee15,79127,5461df73ae11a433210c927af94b7441c731df0f5f115131f6fa2d307c56ee15,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,50,1,26,true,not_applicable,shell_or_navigation_only,bounded_html_signal_is_shell_navigation_or_script_heavy,2026-07-30T14:28:15Z,false,false
B4X2500RDY-20260730-a73c9daf095b02bedea2,readiness_lane_001,590,html,html,B4X2500SRD-20260730-e9fd912654f90dbfea40,B4X2500V-20260730-03079,B4X2500LIVE-20260729-007548,B4X2500-20260729-07582,IA,Midwest,Whiting,"Council Minutes (July 7, 2026) - City of Whiting Iowa",https://docs.google.com/document/d/1TKsPrBiEF_i37ze8KozZJVVbHptDi9aEqwu5INy2ujs/edit?usp=sharing,https://docs.google.com/document/d/1TKsPrBiEF_i37ze8KozZJVVbHptDi9aEqwu5INy2ujs/edit,wage_schedule,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-e9fd912654f90dbfea40.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-e9fd912654f90dbfea40.html,sha256:e1a0482bc7fdc3515f85c7af78a10390f5ae262ebfe957e25f085467f643fd47,locally_available,local_only_not_replicated,local_research_workspace,185483,e1a0482bc7fdc3515f85c7af78a10390f5ae262ebfe957e25f085467f643fd47,185483,e1a0482bc7fdc3515f85c7af78a10390f5ae262ebfe957e25f085467f643fd47,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,150,2,33,true,not_applicable,shell_or_navigation_only,bounded_html_signal_is_shell_navigation_or_script_heavy,2026-07-30T14:28:17Z,false,false
B4X2500RDY-20260730-a9ccfa98149a2235eac0,readiness_lane_001,599,html,html,B4X2500SRD-20260730-8430492eeb2b231be05e,B4X2500V-20260730-04462,B4X2500LIVE-20260729-007549,B4X2500-20260729-07582,IA,Midwest,Whiting,"Council Minutes (January 12, 2025.pdf) - City of Whiting Iowa",https://drive.google.com/file/d/1VxdiIrtnxWm3AQmeCrkDzP2slAGpDGlt/view?usp=sharing,https://drive.google.com/file/d/1VxdiIrtnxWm3AQmeCrkDzP2slAGpDGlt/view,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-8430492eeb2b231be05e.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-8430492eeb2b231be05e.html,sha256:a330996b5aed74c4e6d4f97b8d377dfb61661e7e9f705f2b72331d5cac112e8f,locally_available,local_only_not_replicated,local_research_workspace,79115,a330996b5aed74c4e6d4f97b8d377dfb61661e7e9f705f2b72331d5cac112e8f,79115,a330996b5aed74c4e6d4f97b8d377dfb61661e7e9f705f2b72331d5cac112e8f,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,36,1,26,true,not_applicable,shell_or_navigation_only,bounded_html_signal_is_shell_navigation_or_script_heavy,2026-07-30T14:28:17Z,false,false
B4X2500RDY-20260730-620d288a2185fe001751,readiness_lane_001,657,html,html,B4X2500SRD-20260730-259dcab24ac6a40f345b,B4X2500V-20260730-03020,B4X2500LIVE-20260729-007517,B4X2500-20260729-07554,IA,Midwest,Monona,City Council Minutes (folders list),https://drive.google.com/drive/mobile/folders/1DiuZ4n0I1mpBqmDGhxGMxI5TKLZ7jMWT?usp=drive_open,https://drive.google.com/drive/mobile/folders/1DiuZ4n0I1mpBqmDGhxGMxI5TKLZ7jMWT,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-259dcab24ac6a40f345b.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-259dcab24ac6a40f345b.html,sha256:2d735c5cbe409cd8c1608adfc75ba22edcfa92972bd5fc22bbb2e6d370cff8eb,locally_available,local_only_not_replicated,local_research_workspace,143755,2d735c5cbe409cd8c1608adfc75ba22edcfa92972bd5fc22bbb2e6d370cff8eb,143755,2d735c5cbe409cd8c1608adfc75ba22edcfa92972bd5fc22bbb2e6d370cff8eb,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,18,0,9,true,not_applicable,shell_or_navigation_only,bounded_html_signal_is_shell_navigation_or_script_heavy,2026-07-30T14:28:18Z,false,false
B4X2500RDY-20260730-e53b45975e73337d9f5a,readiness_lane_001,659,html,html,B4X2500SRD-20260730-b1788c52ebf323a24795,B4X2500V-20260730-03307,B4X2500LIVE-20260729-009406,B4X2500-20260729-09316,KY,South,Richlawn,"Meeting Minutes, 2022 (City of Richlawn - Google Doc landing page)",https://docs.google.com/document/d/1WNAzhcK3_IDnzkPiBhVqQarQoy2-9yb9yHePCI0Yyo4/edit?usp=sharing,https://docs.google.com/document/d/1WNAzhcK3_IDnzkPiBhVqQarQoy2-9yb9yHePCI0Yyo4/edit,agenda_packet_or_minutes,low_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-b1788c52ebf323a24795.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-b1788c52ebf323a24795.html,sha256:e13f137fdb9322dbcd8ccc71f35f021ca52d07b3c5de783d212975cde3bc4338,locally_available,local_only_not_replicated,local_research_workspace,548475,e13f137fdb9322dbcd8ccc71f35f021ca52d07b3c5de783d212975cde3bc4338,548475,e13f137fdb9322dbcd8ccc71f35f021ca52d07b3c5de783d212975cde3bc4338,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,168,2,28,true,not_applicable,shell_or_navigation_only,bounded_html_signal_is_shell_navigation_or_script_heavy,2026-07-30T14:28:18Z,false,false
B4X2500RDY-20260730-164f4fee4b5d3a87e80b,readiness_lane_001,828,html,html,B4X2500SRD-20260730-76edf36aab0a55a6e2ed,B4X2500V-20260730-02243,B4X2500LIVE-20260729-005655,B4X2500-20260729-05625,ND,Midwest,Lignite,Chapter 5 - Police Department (embedded in City of Lignite municipal ordinances set),https://drive.google.com/file/d/1IGmdkf5hZ9rqa4X3pgLYEmzavTlEg51j/view?usp=drive_open,https://drive.google.com/file/d/1IGmdkf5hZ9rqa4X3pgLYEmzavTlEg51j/view,other_local_government_pay_policy,medium_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-76edf36aab0a55a6e2ed.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-76edf36aab0a55a6e2ed.html,sha256:04ba0aaf8f5fca963b865844be82ca3d80e950bf5712917a0f77f6aa864f7eb9,locally_available,local_only_not_replicated,local_research_workspace,79078,04ba0aaf8f5fca963b865844be82ca3d80e950bf5712917a0f77f6aa864f7eb9,79078,04ba0aaf8f5fca963b865844be82ca3d80e950bf5712917a0f77f6aa864f7eb9,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,35,1,26,true,not_applicable,shell_or_navigation_only,bounded_html_signal_is_shell_navigation_or_script_heavy,2026-07-30T14:28:22Z,false,false
B4X2500RDY-20260730-49c73fd93fef76688f0d,readiness_lane_002,49,html,html,B4X2500SRD-20260730-982377c995f0487687a4,B4X2500V-20260730-04649,B4X2500LIVE-20260729-007813,B4X2500-20260729-07789,KS,Midwest,Linn,City Council Minutes: 5/11/26,https://www.cityoflinnks.com/post/city-council-minutes-5-11-26-1,https://cityoflinnks.com/post/city-council-minutes-5-11-26-1,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-982377c995f0487687a4.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-982377c995f0487687a4.html,sha256:7e7aed1dea5cba0a9360bb5ade6234d5a823cf6a1131e302cad70a2fc2440551,locally_available,local_only_not_replicated,local_research_workspace,1459849,7e7aed1dea5cba0a9360bb5ade6234d5a823cf6a1131e302cad70a2fc2440551,1459849,7e7aed1dea5cba0a9360bb5ade6234d5a823cf6a1131e302cad70a2fc2440551,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,23,0,16,true,not_applicable,shell_or_navigation_only,bounded_html_signal_is_shell_navigation_or_script_heavy,2026-07-30T14:36:06Z,false,false
