scout_target_id,shard_id,shard_sequence,state,region,municipality,municipality_id,prior_scout_covered_flag,newly_planned_this_wave_flag,source_family_query_family,target_quality_tier,dry_run_status,live_status
B4X2500-20260729-05001,broad_4x2500_shard_003,1,IA,Midwest,Akron,cog_2025_126687,false,true,arbitration_factfinding,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-05002,broad_4x2500_shard_003,2,IA,Midwest,Allerton,cog_2025_164596,false,true,salary_wage_schedule,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-05003,broad_4x2500_shard_003,3,IA,Midwest,Aplington,cog_2025_164312,false,true,budget_pay_plan,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-05004,broad_4x2500_shard_003,4,IA,Midwest,Arnolds Park,cog_2025_201757,false,true,civil_service_hr_pay,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-05005,broad_4x2500_shard_003,5,IA,Midwest,Badger,cog_2025_138249,false,true,compensation_classification_study,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-05006,broad_4x2500_shard_003,6,IA,Midwest,Bancroft,cog_2025_164464,false,true,personnel_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-05007,broad_4x2500_shard_003,7,IA,Midwest,Belle Plaine,cog_2025_164290,false,true,agenda_minutes_attachment,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-05008,broad_4x2500_shard_003,8,IA,Midwest,Buffalo Center,cog_2025_164605,false,true,local_pay_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-05009,broad_4x2500_shard_003,9,IA,Midwest,Carson,cog_2025_185408,false,true,labor_relations_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-05010,broad_4x2500_shard_003,10,IA,Midwest,Coggon,cog_2025_104427,false,true,broad_pay_document_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-05011,broad_4x2500_shard_003,11,IA,Midwest,Dakota City,cog_2025_208024,false,true,cba_agreement,acceptable_broad_target,prepared_no_call,not_run
B4X2500-20260729-05012,broad_4x2500_shard_003,12,IA,Midwest,Delmar,cog_2025_104370,false,true,mou_settlement,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-05013,broad_4x2500_shard_003,13,IA,Midwest,Denver,cog_2025_126569,false,true,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
