scout_target_id,shard_id,shard_sequence,state,region,municipality,municipality_id,census_gov_id,county,population,government_name,prior_scout_covered_flag,newly_planned_this_wave_flag,unit_type_hint,occupation_group_hint,matched_safety_non_safety_opportunity_flag,source_family_query_family,source_family_diversification_reason,broad_geographic_target_reason,planned_search_query_family,planned_search_terms_redacted_or_sanitized,expected_source_family_hints,prior_candidate_overlap_flag,prior_seen_locator_risk_flag,target_quality_tier,target_inclusion_reason,expected_units_to_search,scout_purpose,search_hint_1,search_hint_2,search_hint_3,search_hint_4,search_hint_5,dry_run_status,live_status,verification_status,download_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
B4X2500-20260729-07501,broad_4x2500_shard_004,1,IA,Midwest,Ackley,cog_2025_164416,164416,Hardin County (19083; primary); Franklin County (19069),1538,CITY OF ACKLEY,false,true,broad_discovery_unspecified,police; fire; non_safety,false,salary_wage_schedule,rotate official local-government labor and pay document families; non-CBA families deliberately included,unscouted municipality selected through state-balanced priority ranking,broad_geographic_source_family_diverse,salary ordinance wage schedule compensation schedule,salary_ordinance; wage_schedule,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=334; unique_unscouted_municipality,police; fire; non_safety/general municipal,broad_geographic_source_family_diverse_discovery,"""Ackley"" IA labor agreement MOU settlement","""Ackley"" IA arbitration factfinding labor","""Ackley"" IA salary ordinance wage schedule pay plan","""Ackley"" IA civil service HR compensation classification personnel","""Ackley"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning row only; map inclusion requires a later committed parseable live result.
B4X2500-20260729-07502,broad_4x2500_shard_004,2,IA,Midwest,Adair,cog_2025_126556,126556,Adair County (19001; primary); Guthrie County (19077),781,CITY OF ADAIR,false,true,broad_discovery_unspecified,police; fire; non_safety,false,budget_pay_plan,rotate official local-government labor and pay document families; non-CBA families deliberately included,unscouted municipality selected through state-balanced priority ranking,broad_geographic_source_family_diverse,municipal budget pay plan compensation plan,budget_or_pay_plan,false,false,strong_source_family_diversification_target,priority=Tier 3; state_quota=334; unique_unscouted_municipality,police; fire; non_safety/general municipal,broad_geographic_source_family_diverse_discovery,"""Adair"" IA labor agreement MOU settlement","""Adair"" IA arbitration factfinding labor","""Adair"" IA salary ordinance wage schedule pay plan","""Adair"" IA civil service HR compensation classification personnel","""Adair"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning row only; map inclusion requires a later committed parseable live result.
B4X2500-20260729-07503,broad_4x2500_shard_004,3,IA,Midwest,Agency,cog_2025_164586,164586,Wapello County (19179; primary),614,CITY OF AGENCY,false,true,broad_discovery_unspecified,police; fire; non_safety,false,civil_service_hr_pay,rotate official local-government labor and pay document families; non-CBA families deliberately included,unscouted municipality selected through state-balanced priority ranking,broad_geographic_source_family_diverse,civil service HR pay plan classification,civil_service_or_hr_pay_plan,false,false,strong_source_family_diversification_target,priority=Tier 3; state_quota=334; unique_unscouted_municipality,police; fire; non_safety/general municipal,broad_geographic_source_family_diverse_discovery,"""Agency"" IA labor agreement MOU settlement","""Agency"" IA arbitration factfinding labor","""Agency"" IA salary ordinance wage schedule pay plan","""Agency"" IA civil service HR compensation classification personnel","""Agency"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning row only; map inclusion requires a later committed parseable live result.
B4X2500-20260729-07504,broad_4x2500_shard_004,4,IA,Midwest,Alden,cog_2025_164417,164417,Hardin County (19083; primary),738,CITY OF ALDEN,false,true,broad_discovery_unspecified,police; fire; non_safety,false,compensation_classification_study,rotate official local-government labor and pay document families; non-CBA families deliberately included,unscouted municipality selected through state-balanced priority ranking,broad_geographic_source_family_diverse,compensation study classification study pay,compensation_study; classification_study,false,false,strong_source_family_diversification_target,priority=Tier 3; state_quota=334; unique_unscouted_municipality,police; fire; non_safety/general municipal,broad_geographic_source_family_diverse_discovery,"""Alden"" IA labor agreement MOU settlement","""Alden"" IA arbitration factfinding labor","""Alden"" IA salary ordinance wage schedule pay plan","""Alden"" IA civil service HR compensation classification personnel","""Alden"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning row only; map inclusion requires a later committed parseable live result.
B4X2500-20260729-07505,broad_4x2500_shard_004,5,IA,Midwest,Allison,cog_2025_126575,126575,Butler County (19023; primary),942,CITY OF ALLISON,false,true,broad_discovery_unspecified,police; fire; non_safety,false,personnel_policy,rotate official local-government labor and pay document families; non-CBA families deliberately included,unscouted municipality selected through state-balanced priority ranking,broad_geographic_source_family_diverse,personnel policy employee compensation wages,personnel_policy,false,false,strong_source_family_diversification_target,priority=Tier 3; state_quota=334; unique_unscouted_municipality,police; fire; non_safety/general municipal,broad_geographic_source_family_diverse_discovery,"""Allison"" IA labor agreement MOU settlement","""Allison"" IA arbitration factfinding labor","""Allison"" IA salary ordinance wage schedule pay plan","""Allison"" IA civil service HR compensation classification personnel","""Allison"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning row only; map inclusion requires a later committed parseable live result.
B4X2500-20260729-07506,broad_4x2500_shard_004,6,IA,Midwest,Ashton,cog_2025_208047,208047,Osceola County (19143; primary),432,CITY OF ASHTON,false,true,broad_discovery_unspecified,police; fire; non_safety,false,agenda_minutes_attachment,rotate official local-government labor and pay document families; non-CBA families deliberately included,unscouted municipality selected through state-balanced priority ranking,broad_geographic_source_family_diverse,council agenda minutes attached labor pay record,agenda_packet_or_minutes,false,false,strong_source_family_diversification_target,priority=Tier 4; state_quota=334; unique_unscouted_municipality,police; fire; non_safety/general municipal,broad_geographic_source_family_diverse_discovery,"""Ashton"" IA labor agreement MOU settlement","""Ashton"" IA arbitration factfinding labor","""Ashton"" IA salary ordinance wage schedule pay plan","""Ashton"" IA civil service HR compensation classification personnel","""Ashton"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning row only; map inclusion requires a later committed parseable live result.
B4X2500-20260729-07507,broad_4x2500_shard_004,7,IA,Midwest,Atkins,cog_2025_164289,164289,Benton County (19011; primary),2140,CITY OF ATKINS,false,true,broad_discovery_unspecified,police; fire; non_safety,false,local_pay_policy,rotate official local-government labor and pay document families; non-CBA families deliberately included,unscouted municipality selected through state-balanced priority ranking,broad_geographic_source_family_diverse,local government pay policy labor relations compensation,other_local_government_pay_policy,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=334; unique_unscouted_municipality,police; fire; non_safety/general municipal,broad_geographic_source_family_diverse_discovery,"""Atkins"" IA labor agreement MOU settlement","""Atkins"" IA arbitration factfinding labor","""Atkins"" IA salary ordinance wage schedule pay plan","""Atkins"" IA civil service HR compensation classification personnel","""Atkins"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning row only; map inclusion requires a later committed parseable live result.
B4X2500-20260729-07508,broad_4x2500_shard_004,8,IA,Midwest,Aurelia,cog_2025_164335,164335,Cherokee County (19035; primary),970,CITY OF AURELIA,false,true,broad_discovery_unspecified,police; fire; non_safety,false,labor_relations_index,rotate official local-government labor and pay document families; non-CBA families deliberately included,unscouted municipality selected through state-balanced priority ranking,broad_geographic_source_family_diverse,official labor relations agreements awards index,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,false,strong_source_family_diversification_target,priority=Tier 3; state_quota=334; unique_unscouted_municipality,police; fire; non_safety/general municipal,broad_geographic_source_family_diverse_discovery,"""Aurelia"" IA labor agreement MOU settlement","""Aurelia"" IA arbitration factfinding labor","""Aurelia"" IA salary ordinance wage schedule pay plan","""Aurelia"" IA civil service HR compensation classification personnel","""Aurelia"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning row only; map inclusion requires a later committed parseable live result.
B4X2500-20260729-07509,broad_4x2500_shard_004,9,IA,Midwest,Bedford,cog_2025_208067,208067,Taylor County (19173; primary),1503,CITY OF BEDFORD,false,true,broad_discovery_unspecified,police; fire; non_safety,false,broad_pay_document_index,rotate official local-government labor and pay document families; non-CBA families deliberately included,unscouted municipality selected through state-balanced priority ranking,broad_geographic_source_family_diverse,official municipal pay document source index,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,false,strong_source_family_diversification_target,priority=Tier 3; state_quota=334; unique_unscouted_municipality,police; fire; non_safety/general municipal,broad_geographic_source_family_diverse_discovery,"""Bedford"" IA labor agreement MOU settlement","""Bedford"" IA arbitration factfinding labor","""Bedford"" IA salary ordinance wage schedule pay plan","""Bedford"" IA civil service HR compensation classification personnel","""Bedford"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning row only; map inclusion requires a later committed parseable live result.
B4X2500-20260729-07510,broad_4x2500_shard_004,10,IA,Midwest,Bellevue,cog_2025_208027,208027,Jackson County (19097; primary),2320,CITY OF BELLEVUE,false,true,broad_discovery_unspecified,police; fire; non_safety,false,cba_agreement,rotate official local-government labor and pay document families; non-CBA families deliberately included,unscouted municipality selected through state-balanced priority ranking,broad_geographic_source_family_diverse,collective bargaining agreement labor contract,cba,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=334; unique_unscouted_municipality,police; fire; non_safety/general municipal,broad_geographic_source_family_diverse_discovery,"""Bellevue"" IA labor agreement MOU settlement","""Bellevue"" IA arbitration factfinding labor","""Bellevue"" IA salary ordinance wage schedule pay plan","""Bellevue"" IA civil service HR compensation classification personnel","""Bellevue"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning row only; map inclusion requires a later committed parseable live result.
