readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,observed_file_size_bytes,observed_sha256,file_integrity_status,content_type,page_count,encrypted_or_locked_flag,corrupt_or_broken_flag,has_text_layer_flag,bounded_text_probe_page_count,bounded_text_probe_character_count,estimated_text_density_chars_per_probed_page,table_layout_indicator,likely_scanned_or_image_only_flag,oversized_flag,local_html_payload_exists_flag,html_visible_character_count,html_link_count,html_script_count,html_mostly_scripts_or_boilerplate_flag,other_document_non_ocr_extraction_feasible_flag,primary_readiness_status,reason_code,classified_at,full_text_persisted_flag,ocr_run_flag,extraction_id,extraction_lane_id,extraction_lane_sequence,locked_source_path,queue_locked_at,extraction_status,extraction_method,extraction_timestamp,extracted_text_artifact_path,extracted_text_sha256,extracted_text_byte_size,character_count,approximate_word_count,line_count,page_count_input,pages_successfully_parsed,empty_page_count,characters_per_page,quality_flags,boilerplate_or_noise_flag,error_class,error_message_redacted,span_extraction_run_flag,rating_run_flag,ingestion_run_flag,codification_run_flag,span_queue_id,span_lane_id,span_lane_sequence,span_queue_locked_at,primary_span_extraction_status,span_candidate_count,rating_eligible_span_count,quantitative_span_count,qualitative_span_count,mixed_span_count,non_base_span_count,source_navigation_span_count,weak_span_count,span_extraction_timestamp
B4X2500RDY-20260730-6850faf1a2af8f234f51,readiness_lane_004,664,pdf,pdf,B4X2500SRD-20260730-304f860b3f68d6ad52ec,B4X2500V-20260730-01839,B4X2500LIVE-20260729-004422,B4X2500-20260729-04372,LA,South,Napoleonville,Council Minutes (Resolution 24-01) - Amendments to the Personnel Policy Manual (Act 393 Open Meeting Law Compliance),https://napoleonvillela.com/documents/474/12February2024_Regular_Meeting_Minutes.pdf,https://napoleonvillela.com/documents/474/12February2024_Regular_Meeting_Minutes.pdf,wage_schedule,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-304f860b3f68d6ad52ec.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-304f860b3f68d6ad52ec.pdf,sha256:2e91820b61ae23efb19e98c29c650094877c23213a1a4b4eb5cdd6afe7e282b8,locally_available,local_only_not_replicated,local_research_workspace,112051,2e91820b61ae23efb19e98c29c650094877c23213a1a4b4eb5cdd6afe7e282b8,112051,2e91820b61ae23efb19e98c29c650094877c23213a1a4b4eb5cdd6afe7e282b8,integrity_pass,application/pdf,2,false,false,true,2,2704,1352.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,no_bounded_compensation_or_mechanism_rule_match,2026-07-30T14:52:19Z,false,false,B4X2500TXT-20260730-93a5e48ee74c29f44f98,text_extraction_lane_003,312,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-304f860b3f68d6ad52ec.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:51:53Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_003/B4X2500TXT-20260730-93a5e48ee74c29f44f98.txt,e0a74c2a7f734a8a55b2402355a748215f2c1ac2e590235ff575a7fa10158fdc,3390,3370,505,67,2,2,,1685.0,,false,,,false,false,false,false,B4X2500SPQ-20260730-b139f22131d10c4ad5d6,span_extraction_lane_001,18,2026-07-30T17:24:01Z,no_relevant_spans_found,0,0,0,0,0,0,0,0,2026-07-30T17:24:11Z
B4X2500RDY-20260730-802bcc49c9304b8d506b,readiness_lane_003,134,pdf,pdf,B4X2500SRD-20260730-b7e035c8b32973a5b865,B4X2500V-20260730-05756,B4X2500LIVE-20260729-005906,B4X2500-20260729-05944,WI,Midwest,Farmington,Town of Farmington General Labor Time Sheet,https://storage.googleapis.com/juniper-media-library/393/2025/11/Wage-Sheet_General-Labor.pdf,https://storage.googleapis.com/juniper-media-library/393/2025/11/Wage-Sheet_General-Labor.pdf,wage_schedule,high_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-b7e035c8b32973a5b865.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-b7e035c8b32973a5b865.pdf,sha256:83270db97e2d463b32099caf3efc2491687ed2335e35b2a6a28322dcaf8421d6,locally_available,local_only_not_replicated,local_research_workspace,86364,83270db97e2d463b32099caf3efc2491687ed2335e35b2a6a28322dcaf8421d6,86364,83270db97e2d463b32099caf3efc2491687ed2335e35b2a6a28322dcaf8421d6,integrity_pass,application/pdf,1,false,false,true,1,444,444.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,no_bounded_compensation_or_mechanism_rule_match,2026-07-30T14:44:08Z,false,false,B4X2500TXT-20260730-59e96a551f1690a8bb20,text_extraction_lane_003,280,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-b7e035c8b32973a5b865.pdf,2026-07-30T16:27:48Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:51:52Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_003/B4X2500TXT-20260730-59e96a551f1690a8bb20.txt,c4614ccc59d8f13abd6f39b38d0d7b4cad432210138e82e2d087978b13c697ea,1800,1040,84,17,1,1,,1040.0,,false,,,false,false,false,false,B4X2500SPQ-20260730-88f438aec5e2edfe10e3,span_extraction_lane_001,26,2026-07-30T17:24:01Z,no_relevant_spans_found,0,0,0,0,0,0,0,0,2026-07-30T17:24:11Z
B4X2500RDY-20260730-56ef42f9825ab2cf059e,readiness_lane_004,799,pdf,pdf,B4X2500SRD-20260730-15a52b5e26d69d70cef8,B4X2500V-20260730-02648,B4X2500LIVE-20260729-005843,B4X2500-20260729-05866,SD,Midwest,Hosmer,"Hosmer City Board of Trustees Regular Meeting Minutes (Dec 9, 2025) - includes payroll/claims overview and personnel executive session reference (no attached binding wage policy identified in scanned text)",https://hosmer.municipalimpact.com/documents/649/HOSMER_CITY_BOARD_OF_TRUSTEES_-_MINUTES_FOR_DEC_9_2025_REGULAR_MEETING.pdf,https://hosmer.municipalimpact.com/documents/649/HOSMER_CITY_BOARD_OF_TRUSTEES_-_MINUTES_FOR_DEC_9_2025_REGULAR_MEETING.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-15a52b5e26d69d70cef8.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-15a52b5e26d69d70cef8.pdf,sha256:8d580b52223d399d2fe0fb17b43e2042b46de581517697c0b31d51271bf18151,locally_available,local_only_not_replicated,local_research_workspace,139145,8d580b52223d399d2fe0fb17b43e2042b46de581517697c0b31d51271bf18151,139145,8d580b52223d399d2fe0fb17b43e2042b46de581517697c0b31d51271bf18151,integrity_pass,application/pdf,6,false,false,true,3,3028,1009.333,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,no_bounded_compensation_or_mechanism_rule_match,2026-07-30T14:52:22Z,false,false,B4X2500TXT-20260730-37db69cfcf47d909f0bd,text_extraction_lane_004,293,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-15a52b5e26d69d70cef8.pdf,2026-07-30T16:27:50Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:59:52Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-37db69cfcf47d909f0bd.txt,7c48f3edf2e1221416c081948a3a749709701322d825920f8b6d7f7df6e0c792,6683,6641,1101,221,6,6,,1106.83,,false,,,false,false,false,false,B4X2500SPQ-20260730-f314b6b3f38895951fe6,span_extraction_lane_001,39,2026-07-30T17:24:01Z,no_relevant_spans_found,0,0,0,0,0,0,0,0,2026-07-30T17:24:11Z
B4X2500RDY-20260730-0442ef40e2eadca5ef63,readiness_lane_004,633,pdf,pdf,B4X2500SRD-20260730-65e21fb5f192b130217f,B4X2500V-20260730-00439,B4X2500LIVE-20260729-001943,B4X2500-20260729-01866,LA,South,Loreauville,"Proceedings of the Mayor and Board of Aldermen of the Village of Loreauville (Minutes 6/9/2025) — Amendment to Code of Ordinance Appendix B, Employee Benefits",https://d1xezj3q1e25rk.cloudfront.net/50/523650.pdf,https://d1xezj3q1e25rk.cloudfront.net/50/523650.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-65e21fb5f192b130217f.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-65e21fb5f192b130217f.pdf,sha256:4fa76da7bb9f8dfe0ebde11b0625df53ad37dd719a9225b48f2ecd30cb01b3fb,locally_available,local_only_not_replicated,local_research_workspace,141972,4fa76da7bb9f8dfe0ebde11b0625df53ad37dd719a9225b48f2ecd30cb01b3fb,141972,4fa76da7bb9f8dfe0ebde11b0625df53ad37dd719a9225b48f2ecd30cb01b3fb,integrity_pass,application/pdf,1,false,false,true,1,3234,3234.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,no_bounded_compensation_or_mechanism_rule_match,2026-07-30T14:52:18Z,false,false,B4X2500TXT-20260730-5d1078a8bdfa9952b9d4,text_extraction_lane_004,645,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-65e21fb5f192b130217f.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T17:00:11Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-5d1078a8bdfa9952b9d4.txt,42ff576278c454202c7e5c572bb79322be7d5ef5989a2d8e64968bd0b2090245,4147,4139,714,151,1,1,,4139.0,,false,,,false,false,false,false,B4X2500SPQ-20260730-02f4147130f748cf1022,span_extraction_lane_001,51,2026-07-30T17:24:01Z,no_relevant_spans_found,0,0,0,0,0,0,0,0,2026-07-30T17:24:11Z
B4X2500RDY-20260730-0165a60314543100bc97,readiness_lane_002,74,pdf,pdf,B4X2500SRD-20260730-2059a61ae7ee581eb41e,B4X2500V-20260730-04105,B4X2500LIVE-20260729-002130,B4X2500-20260729-02119,SC,South,McCormick,Minutes — Regular Town Council Meeting (Ordinance 2022-06-14-01 tabled re police officer salary raises),https://www.townofmccormicksc.com/wp-content/uploads/M-06142022.pdf,https://townofmccormicksc.com/wp-content/uploads/M-06142022.pdf,salary_ordinance,high_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-2059a61ae7ee581eb41e.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-2059a61ae7ee581eb41e.pdf,sha256:7254ce94ae78eb2ad39cbfdf09bffbefab9b47afea634f13d59395fd41df9e4f,locally_available,local_only_not_replicated,local_research_workspace,31337,7254ce94ae78eb2ad39cbfdf09bffbefab9b47afea634f13d59395fd41df9e4f,31337,7254ce94ae78eb2ad39cbfdf09bffbefab9b47afea634f13d59395fd41df9e4f,integrity_pass,application/pdf,5,false,false,true,3,4962,1654.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,no_bounded_compensation_or_mechanism_rule_match,2026-07-30T14:36:07Z,false,false,B4X2500TXT-20260730-0b0d5665a1d11af1ab45,text_extraction_lane_003,452,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-2059a61ae7ee581eb41e.pdf,2026-07-30T16:27:47Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:51:59Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_003/B4X2500TXT-20260730-0b0d5665a1d11af1ab45.txt,7f736cd608d3f552b6bdda1fee9f135c3dfdfe7121d363a87af323eb237e0231,7734,7666,1205,185,5,5,,1533.2,,false,,,false,false,false,false,B4X2500SPQ-20260730-4786660518220a9b51e4,span_extraction_lane_001,56,2026-07-30T17:24:01Z,no_relevant_spans_found,0,0,0,0,0,0,0,0,2026-07-30T17:24:12Z
B4X2500RDY-20260730-3fcbbf68f9bd69630c71,readiness_lane_004,238,pdf,pdf,B4X2500SRD-20260730-ca32f8bf82dd4acaa80c,B4X2500V-20260730-04302,B4X2500LIVE-20260729-008459,B4X2500-20260729-08475,WI,Midwest,Pleasant Valley,"Ordinance 26-15-01 — Chapter 10 Personnel Management (Employee Handbook adoption) (Passed April 13, 2026)",https://storage.googleapis.com/juniper-media-library/494/2026/04/Ordinance%20No.%2026-15-01%20Chap%2010%20Personnel%20Mgmt%20-%20Employee%20Handbook.pdf,https://storage.googleapis.com/juniper-media-library/494/2026/04/Ordinance%20No.%2026-15-01%20Chap%2010%20Personnel%20Mgmt%20-%20Employee%20Handbook.pdf,other_local_government_pay_policy,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-ca32f8bf82dd4acaa80c.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-ca32f8bf82dd4acaa80c.pdf,sha256:b7dcac35d618de0f7409e22d6f4f1fd611c177e64f0555ea21fa44dc6018d1f9,locally_available,local_only_not_replicated,local_research_workspace,82038,b7dcac35d618de0f7409e22d6f4f1fd611c177e64f0555ea21fa44dc6018d1f9,82038,b7dcac35d618de0f7409e22d6f4f1fd611c177e64f0555ea21fa44dc6018d1f9,integrity_pass,application/pdf,1,false,false,true,1,567,567.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,no_bounded_compensation_or_mechanism_rule_match,2026-07-30T14:52:10Z,false,false,B4X2500TXT-20260730-e176ba60a05e10bc970b,text_extraction_lane_001,242,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-ca32f8bf82dd4acaa80c.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:35:49Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-e176ba60a05e10bc970b.txt,360d1f492cc62ea605e575695517dacbe1794e6230c9210be39dc3d215f1bb42,821,819,116,28,1,1,,819.0,,false,,,false,false,false,false,B4X2500SPQ-20260730-b52679dce88bd52b6f26,span_extraction_lane_001,71,2026-07-30T17:24:01Z,no_relevant_spans_found,0,0,0,0,0,0,0,0,2026-07-30T17:24:12Z
B4X2500RDY-20260730-879629d723bd42fd20d3,readiness_lane_002,352,pdf,pdf,B4X2500SRD-20260730-3f8567889c2307ad9813,B4X2500V-20260730-02776,B4X2500LIVE-20260729-006641,B4X2500-20260729-06431,VT,Northeast,Benson,Benson Fire Department Meeting Minutes 5/19/26 (Unapproved),https://www.bensonvermont.gov/wp-content/uploads/2026/06/Benson_Fire_Dept_Meeting_Minutes_5_19_26_Unapproved.pdf,https://bensonvermont.gov/wp-content/uploads/2026/06/Benson_Fire_Dept_Meeting_Minutes_5_19_26_Unapproved.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-3f8567889c2307ad9813.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-3f8567889c2307ad9813.pdf,sha256:fdff653745d484bbc947aba859d191052c23a23da58778c8b448cb91d5cd0a92,locally_available,local_only_not_replicated,local_research_workspace,52532,fdff653745d484bbc947aba859d191052c23a23da58778c8b448cb91d5cd0a92,52532,fdff653745d484bbc947aba859d191052c23a23da58778c8b448cb91d5cd0a92,integrity_pass,application/pdf,1,false,false,true,1,1237,1237.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,no_bounded_compensation_or_mechanism_rule_match,2026-07-30T14:36:13Z,false,false,B4X2500TXT-20260730-7896cbbecf77912bfdd2,text_extraction_lane_003,544,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-3f8567889c2307ad9813.pdf,2026-07-30T16:27:47Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:52:04Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_003/B4X2500TXT-20260730-7896cbbecf77912bfdd2.txt,212de4b782a554ceae36b66241d6b9c01c0b09a0495f451dd9540166b873ff97,1556,1542,238,33,1,1,,1542.0,,false,,,false,false,false,false,B4X2500SPQ-20260730-df4714dddafb672d4210,span_extraction_lane_001,72,2026-07-30T17:24:01Z,no_relevant_spans_found,0,0,0,0,0,0,0,0,2026-07-30T17:24:12Z
B4X2500RDY-20260730-8c4526fa0bb60defc61a,readiness_lane_001,882,pdf,pdf,B4X2500SRD-20260730-64dea1b0e7c39c322666,B4X2500V-20260730-02180,B4X2500LIVE-20260729-007029,B4X2500-20260729-06993,NC,South,Ranlo,Town of Ranlo Board of Commissioners — May 2025 Minutes (Adoption of Town Personnel Policy Manual FY25-26),https://townofranlo.org/wp2/wp-content/uploads/2025/09/May-2025-Minutes.pdf,https://townofranlo.org/wp2/wp-content/uploads/2025/09/May-2025-Minutes.pdf,personnel_policy,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-64dea1b0e7c39c322666.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-64dea1b0e7c39c322666.pdf,sha256:e1f8859f4feacdfb2879e07aec94932479a4ebaf782c96fbbe0e3311f2890848,locally_available,local_only_not_replicated,local_research_workspace,144292,e1f8859f4feacdfb2879e07aec94932479a4ebaf782c96fbbe0e3311f2890848,144292,e1f8859f4feacdfb2879e07aec94932479a4ebaf782c96fbbe0e3311f2890848,integrity_pass,application/pdf,5,false,false,true,3,3302,1100.667,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,no_bounded_compensation_or_mechanism_rule_match,2026-07-30T14:28:24Z,false,false,B4X2500TXT-20260730-c22394a0f9917289fccc,text_extraction_lane_002,643,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-64dea1b0e7c39c322666.pdf,2026-07-30T16:27:47Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:44:11Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-c22394a0f9917289fccc.txt,9bcd7d09f52bd09ff841c9b72aac29db668899d73c7c4c83cfcdf6fc18bc28fd,7233,7221,1207,160,5,5,,1444.2,,false,,,false,false,false,false,B4X2500SPQ-20260730-306167769c44d44f0376,span_extraction_lane_001,104,2026-07-30T17:24:01Z,no_relevant_spans_found,0,0,0,0,0,0,0,0,2026-07-30T17:24:13Z
B4X2500RDY-20260730-9ebaf02b742a7bfb851b,readiness_lane_004,27,html,html,B4X2500SRD-20260730-727f0683ab77f75e9222,B4X2500V-20260730-00086,B4X2500LIVE-20260729-001767,B4X2500-20260729-01619,AR,South,Ravenden,Ravenden City Council Minutes January 2013,https://www.imbodenlive.com/2013/01/15/ravenden-city-council-minutes-january-2013/,https://imbodenlive.com/2013/01/15/ravenden-city-council-minutes-january-2013,agenda_packet_or_minutes,low_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-727f0683ab77f75e9222.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-727f0683ab77f75e9222.html,sha256:27ccbdf7911febb63855cd36ed04649866324a246cddcba1719038fb234d6ae2,locally_available,local_only_not_replicated,local_research_workspace,145110,27ccbdf7911febb63855cd36ed04649866324a246cddcba1719038fb234d6ae2,145110,27ccbdf7911febb63855cd36ed04649866324a246cddcba1719038fb234d6ae2,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,7444,131,43,false,not_applicable,html_text_ready,no_bounded_compensation_or_mechanism_rule_match,2026-07-30T14:52:06Z,false,false,B4X2500TXT-20260730-760b90494d275b0a19a3,text_extraction_lane_004,654,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-727f0683ab77f75e9222.html,2026-07-30T16:27:49Z,extracted_ok,stdlib_htmlparser_visible_text_cleanup,2026-07-30T17:00:11Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-760b90494d275b0a19a3.txt,d0faa80cfb9a28b7ccbb2e38dfdb7f3b49bc1283fa01c59d2377f50e9ebcca31,5011,4989,821,70,,,,,,false,,,false,false,false,false,B4X2500SPQ-20260730-16e19fa2a7a53dc02b0c,span_extraction_lane_001,106,2026-07-30T17:24:01Z,no_relevant_spans_found,0,0,0,0,0,0,0,0,2026-07-30T17:24:13Z
B4X2500RDY-20260730-8967758c6efa1bb2946b,readiness_lane_002,917,pdf,pdf,B4X2500SRD-20260730-0e45b3866b989f255e2f,B4X2500V-20260730-04637,B4X2500LIVE-20260729-002801,B4X2500-20260729-02756,KS,Midwest,Belle Plaine,"City Council Minutes — July 2, 2025 (approval references “Payroll Ordinance 06-26-25” as consent items)",https://www.bpks.org/sites/default/files/2025-07/minutes-07-02-25.pdf,https://bpks.org/sites/default/files/2025-07/minutes-07-02-25.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-0e45b3866b989f255e2f.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-0e45b3866b989f255e2f.pdf,sha256:f268e506bfaa5078f5d99a3054be2a2f53a4ad0e6786278670bce5f5fa79040f,locally_available,local_only_not_replicated,local_research_workspace,157361,f268e506bfaa5078f5d99a3054be2a2f53a4ad0e6786278670bce5f5fa79040f,157361,f268e506bfaa5078f5d99a3054be2a2f53a4ad0e6786278670bce5f5fa79040f,integrity_pass,application/pdf,5,false,false,true,3,2889,963.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,no_bounded_compensation_or_mechanism_rule_match,2026-07-30T14:36:27Z,false,false,B4X2500TXT-20260730-fcb8044af8231417ad37,text_extraction_lane_001,147,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-0e45b3866b989f255e2f.pdf,2026-07-30T16:27:48Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:35:46Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-fcb8044af8231417ad37.txt,db521a50cb5a52dd8f863568c3f255ab214410767edd01972f21be29caf24fe9,5555,5519,876,178,5,5,,1103.8,,false,,,false,false,false,false,B4X2500SPQ-20260730-ab44f92a2795abaddb8d,span_extraction_lane_001,125,2026-07-30T17:24:01Z,no_relevant_spans_found,0,0,0,0,0,0,0,0,2026-07-30T17:24:14Z
