readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,observed_file_size_bytes,observed_sha256,file_integrity_status,content_type,page_count,encrypted_or_locked_flag,corrupt_or_broken_flag,has_text_layer_flag,bounded_text_probe_page_count,bounded_text_probe_character_count,estimated_text_density_chars_per_probed_page,table_layout_indicator,likely_scanned_or_image_only_flag,oversized_flag,local_html_payload_exists_flag,html_visible_character_count,html_link_count,html_script_count,html_mostly_scripts_or_boilerplate_flag,other_document_non_ocr_extraction_feasible_flag,primary_readiness_status,reason_code,classified_at,full_text_persisted_flag,ocr_run_flag,extraction_id,extraction_lane_id,extraction_lane_sequence,locked_source_path,queue_locked_at,extraction_status,extraction_method,extraction_timestamp,extracted_text_artifact_path,extracted_text_sha256,extracted_text_byte_size,character_count,approximate_word_count,line_count,page_count_input,pages_successfully_parsed,empty_page_count,characters_per_page,quality_flags,boilerplate_or_noise_flag,error_class,error_message_redacted,span_extraction_run_flag,rating_run_flag,ingestion_run_flag,codification_run_flag,span_queue_id,span_lane_id,span_lane_sequence,span_queue_locked_at,primary_span_extraction_status,span_candidate_count,rating_eligible_span_count,quantitative_span_count,qualitative_span_count,mixed_span_count,non_base_span_count,source_navigation_span_count,weak_span_count,span_extraction_timestamp
B4X2500RDY-20260730-628ee08fa933ef44c233,readiness_lane_001,736,html,html,B4X2500SRD-20260730-a340a11b9a464c60167e,B4X2500V-20260730-00668,B4X2500LIVE-20260729-003122,B4X2500-20260729-03038,MO,Midwest,Kahoka,"Kahoka City Wage Ordinance (fiscal year beginning April 1, 2008; ending March 31, 2009)",https://www.kahokamedia.com/2008/04/15/kahoka-city-wage-ordinance/,https://kahokamedia.com/2008/04/15/kahoka-city-wage-ordinance,other_local_government_pay_policy,high_priority_verification_ready,non_cba_or_other_hint,fiscal_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-a340a11b9a464c60167e.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-a340a11b9a464c60167e.html,sha256:e0ab857cff42f3016ee9443e71289f17b806ecfe8184cf25ddc87b04f189bdae,locally_available,local_only_not_replicated,local_research_workspace,74247,e0ab857cff42f3016ee9443e71289f17b806ecfe8184cf25ddc87b04f189bdae,74247,e0ab857cff42f3016ee9443e71289f17b806ecfe8184cf25ddc87b04f189bdae,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,5295,61,70,false,not_applicable,html_text_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:28:20Z,false,false,B4X2500TXT-20260730-919746300775a0f0aaa8,text_extraction_lane_003,334,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-a340a11b9a464c60167e.html,2026-07-30T16:27:47Z,extracted_ok,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:51:54Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_003/B4X2500TXT-20260730-919746300775a0f0aaa8.txt,c34cd455e0c37a029f81c259a2cbfbae11540f4b2e7add0bd8c6288752073397,6048,6044,1031,100,,,,,,false,,,false,false,false,false,B4X2500SPQ-20260730-ea8a86af5414e4116315,span_extraction_lane_001,1,2026-07-30T17:24:01Z,positive_spans_found,8,8,3,0,0,5,0,0,2026-07-30T17:24:10Z
B4X2500RDY-20260730-6c0f1bbaf23f6f58a262,readiness_lane_004,285,html,html,B4X2500SRD-20260730-47a9e2eef9feabe2f9e4,B4X2500V-20260730-05528,B4X2500LIVE-20260729-000880,B4X2500-20260729-00855,SD,Midwest,Farmer,PUBLIC NOTICE — TOWN OF FARMER — Minutes from August 2025 Meeting,https://fliphtml5.com/xbrzz/hkcg/Special_8.14.25/,https://fliphtml5.com/xbrzz/hkcg/Special_8.14.25,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-47a9e2eef9feabe2f9e4.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-47a9e2eef9feabe2f9e4.html,sha256:ffed1f2346df97fa150b2cde5e8ebc44e3f89ec395fe3168adb3f03984d3cd4c,locally_available,local_only_not_replicated,local_research_workspace,486405,ffed1f2346df97fa150b2cde5e8ebc44e3f89ec395fe3168adb3f03984d3cd4c,486405,ffed1f2346df97fa150b2cde5e8ebc44e3f89ec395fe3168adb3f03984d3cd4c,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,84731,247,21,false,not_applicable,html_text_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:52:11Z,false,false,B4X2500TXT-20260730-79365159daf076f30604,text_extraction_lane_004,170,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-47a9e2eef9feabe2f9e4.html,2026-07-30T16:27:49Z,extracted_ok,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:59:45Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-79365159daf076f30604.txt,1a1eb4391bc6bfb2754b05f1c767a5c734effe68f31ad3abf5e6d94831d671b6,271345,269818,44105,20355,,,,,,false,,,false,false,false,false,B4X2500SPQ-20260730-5f855a7d4c8e43bf8b6a,span_extraction_lane_001,2,2026-07-30T17:24:01Z,positive_spans_found,8,8,3,2,0,3,0,0,2026-07-30T17:24:10Z
B4X2500RDY-20260730-6466471957afda287a6f,readiness_lane_001,841,pdf,pdf,B4X2500SRD-20260730-50a6e08a17124b0be9c9,B4X2500V-20260730-02585,B4X2500LIVE-20260729-009607,B4X2500-20260729-09581,OK,South,Pond Creek,Pond Creek City Council Regular Meeting Minutes (Pay rate for swimming pool manager/assistant manager/lifeguards; one-time pay adjustment),https://static1.squarespace.com/static/62ec2be6c69284302a7c78df/t/67cf39095723fb38d3a89cf7/1741633801662/MEETING%2BMINUTES%2BGEN%2B2-13-25.pdf,https://static1.squarespace.com/static/62ec2be6c69284302a7c78df/t/67cf39095723fb38d3a89cf7/1741633801662/MEETING%2BMINUTES%2BGEN%2B2-13-25.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-50a6e08a17124b0be9c9.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-50a6e08a17124b0be9c9.pdf,sha256:dbd4e244c5a5db24014fb53796beae5b97913ba7d83901a0ed3f8338629e3f64,locally_available,local_only_not_replicated,local_research_workspace,95696,dbd4e244c5a5db24014fb53796beae5b97913ba7d83901a0ed3f8338629e3f64,95696,dbd4e244c5a5db24014fb53796beae5b97913ba7d83901a0ed3f8338629e3f64,integrity_pass,application/pdf,2,false,false,true,2,3233,1616.5,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:28:23Z,false,false,B4X2500TXT-20260730-f7acd5b14cfe57e8d23e,text_extraction_lane_004,638,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-50a6e08a17124b0be9c9.pdf,2026-07-30T16:27:47Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T17:00:10Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-f7acd5b14cfe57e8d23e.txt,7e980af551c36ef8c8b16b673736954a76c11055c3caf6d6de0e47b247b62968,4086,4082,668,62,2,2,,2041.0,,false,,,false,false,false,false,B4X2500SPQ-20260730-b5666182ba1cd64d0b55,span_extraction_lane_001,3,2026-07-30T17:24:01Z,positive_spans_found,3,3,3,0,0,0,0,0,2026-07-30T17:24:10Z
B4X2500RDY-20260730-150171fa4c37e8c49835,readiness_lane_001,39,pdf,pdf,B4X2500SRD-20260730-e7b9d12c7ae0a43b5356,B4X2500V-20260730-02169,B4X2500LIVE-20260729-004536,B4X2500-20260729-04513,NC,South,White Lake,"TOWN OF WHITE LAKE BOARD OF COMMISSIONER'S MEETING (June 10, 2025) — SECTION 12: CLASSIFICATION AND PAY PLAN (in 2025-2026 Budget Ordinance packet)",https://www.whitelakenc.org/_files/ugd/ffdcb9_fd123da0098942acb0a8e585786112f9.pdf,https://whitelakenc.org/_files/ugd/ffdcb9_fd123da0098942acb0a8e585786112f9.pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal;fiscal_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-e7b9d12c7ae0a43b5356.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-e7b9d12c7ae0a43b5356.pdf,sha256:5f196345983c52950a904cdf773a7c62fb5d53da2011c5274c63b7f4e5b4fd2c,locally_available,local_only_not_replicated,local_research_workspace,15425910,5f196345983c52950a904cdf773a7c62fb5d53da2011c5274c63b7f4e5b4fd2c,15425910,5f196345983c52950a904cdf773a7c62fb5d53da2011c5274c63b7f4e5b4fd2c,integrity_pass,application/pdf,150,false,false,true,3,1336,445.333,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:28:06Z,false,false,B4X2500TXT-20260730-87de5695b75c9fd9f62a,text_extraction_lane_002,465,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-e7b9d12c7ae0a43b5356.pdf,2026-07-30T16:27:46Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:44:03Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-87de5695b75c9fd9f62a.txt,a00282a193ca512f8d2d8136be6d6bd6992f39cbbcea023cce8818898562c09f,200274,198800,34523,4628,150,150,,1325.33,,false,,,false,false,false,false,B4X2500SPQ-20260730-2c1c4f3811d9263edc3d,span_extraction_lane_001,4,2026-07-30T17:24:01Z,positive_spans_found,16,16,5,6,1,4,0,0,2026-07-30T17:24:10Z
B4X2500RDY-20260730-2e362c5790724ea14a01,readiness_lane_002,865,pdf,pdf,B4X2500SRD-20260730-51972c2956d739e99c83,B4X2500V-20260730-04433,B4X2500LIVE-20260729-009267,B4X2500-20260729-09154,FL,South,Greenville,ORDINANCE NO. 2024-284 (signed) — Final Budget (includes Compensation Budget / salary schedule references),https://mygreenvillefl.com/wp-content/uploads/Ordinance-2024-284-signed.pdf,https://mygreenvillefl.com/wp-content/uploads/Ordinance-2024-284-signed.pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-51972c2956d739e99c83.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-51972c2956d739e99c83.pdf,sha256:ba287c59f859bd81a716823a35b753fe1d77d30d78d18ac3f61c3922a20b3ae8,locally_available,local_only_not_replicated,local_research_workspace,7680988,ba287c59f859bd81a716823a35b753fe1d77d30d78d18ac3f61c3922a20b3ae8,7680988,ba287c59f859bd81a716823a35b753fe1d77d30d78d18ac3f61c3922a20b3ae8,integrity_pass,application/pdf,8,false,false,true,3,2628,876.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:36:25Z,false,false,B4X2500TXT-20260730-b04ed6ed079617a7264c,text_extraction_lane_001,148,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-51972c2956d739e99c83.pdf,2026-07-30T16:27:48Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:35:46Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-b04ed6ed079617a7264c.txt,0f8004f47434841ec2f7fdc3f21df92ff1a3aace06d56ffb136357b139290fb7,10269,10266,1904,262,8,8,,1283.25,,false,,,false,false,false,false,B4X2500SPQ-20260730-698e31bf73c3fa6a4f57,span_extraction_lane_001,5,2026-07-30T17:24:01Z,positive_spans_found,9,9,7,2,0,0,0,0,2026-07-30T17:24:10Z
B4X2500RDY-20260730-b8ce1b655f346c794a78,readiness_lane_004,689,pdf,pdf,B4X2500SRD-20260730-9fc666270231f1319858,B4X2500V-20260730-05451,B4X2500LIVE-20260729-009086,B4X2500-20260729-08894,PA,Northeast,McCandless,"Town Council Meeting Minutes — April 24, 2023 (Extension of Teamsters Local 636 collective bargaining agreement to April 30, 2024)",https://www.townofmccandless.org/AgendaCenter/ViewFile/Minutes/_04242023-17,https://townofmccandless.org/AgendaCenter/ViewFile/Minutes/_04242023-17,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-9fc666270231f1319858.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-9fc666270231f1319858.pdf,sha256:4dafc84b36f85043d7070c366208aee018959cdcc29efee133e2f760f0d8e509,locally_available,local_only_not_replicated,local_research_workspace,70368,4dafc84b36f85043d7070c366208aee018959cdcc29efee133e2f760f0d8e509,70368,4dafc84b36f85043d7070c366208aee018959cdcc29efee133e2f760f0d8e509,integrity_pass,application/pdf,5,false,false,true,3,4038,1346.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:52:19Z,false,false,B4X2500TXT-20260730-631c66a3528a441ebc9f,text_extraction_lane_001,688,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-9fc666270231f1319858.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:36:10Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-631c66a3528a441ebc9f.txt,d50fc9b728aba4846cb4a01e80c2ea62a4bf5c2541366ee1114a9cac8ca129e0,7133,7103,1112,216,5,5,,1420.6,,false,,,false,false,false,false,B4X2500SPQ-20260730-aa7c032f560c54d8d396,span_extraction_lane_001,7,2026-07-30T17:24:01Z,positive_spans_found,3,3,0,0,0,0,0,0,2026-07-30T17:24:10Z
B4X2500RDY-20260730-649a294840efc2a63c09,readiness_lane_001,219,pdf,pdf,B4X2500SRD-20260730-49385aaa1e1fa2d91b77,B4X2500V-20260730-04909,B4X2500LIVE-20260729-005470,B4X2500-20260729-05412,MI,Midwest,Three Oaks,Village of Three Oaks Employee Handbook (2022) - FINAL,https://webgen1files1.revize.com/villagethreeoaksmi/Document_Center/Department/Village%20Manager/Employee%20Handbook%20-%202022%20-%20FINAL.pdf,https://webgen1files1.revize.com/villagethreeoaksmi/Document_Center/Department/Village%20Manager/Employee%20Handbook%20-%202022%20-%20FINAL.pdf,other_local_government_pay_policy,medium_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-49385aaa1e1fa2d91b77.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-49385aaa1e1fa2d91b77.pdf,sha256:b99ded3eda09f61bf656d600d1e2394da2bd6cd14116c4c47c854199899c2fea,locally_available,local_only_not_replicated,local_research_workspace,370199,b99ded3eda09f61bf656d600d1e2394da2bd6cd14116c4c47c854199899c2fea,370199,b99ded3eda09f61bf656d600d1e2394da2bd6cd14116c4c47c854199899c2fea,integrity_pass,application/pdf,21,false,false,true,3,5223,1741.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:28:09Z,false,false,B4X2500TXT-20260730-9304e956ce94b6ff458b,text_extraction_lane_001,34,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-49385aaa1e1fa2d91b77.pdf,2026-07-30T16:27:46Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:35:40Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-9304e956ce94b6ff458b.txt,0814d91d89875e9a0ee14aa4c5b4b51c3ec7a36d78b3a0e8891e6b00858561d7,58616,58180,9418,1044,21,21,,2770.48,,false,,,false,false,false,false,B4X2500SPQ-20260730-5404cc671fe12d746df0,span_extraction_lane_001,8,2026-07-30T17:24:01Z,positive_spans_found,6,6,2,1,0,3,0,0,2026-07-30T17:24:10Z
B4X2500RDY-20260730-7e22c09b1938dff0e1a3,readiness_lane_001,75,pdf,pdf,B4X2500SRD-20260730-fa6b3ec0fdbb2d7fc268,B4X2500V-20260730-05689,B4X2500LIVE-20260729-007445,B4X2500-20260729-07484,WA,West,Entiat,Ordinance 2023-878 — 2024 Budget (Includes 2024 Salary Schedule — Exhibit B),https://cms2.revize.com/revize/entiatwa/12.14.2023%20Council%20Packet.pdf,https://cms2.revize.com/revize/entiatwa/12.14.2023%20Council%20Packet.pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-fa6b3ec0fdbb2d7fc268.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-fa6b3ec0fdbb2d7fc268.pdf,sha256:c984b6cbfa5cb25b864a8b28986099b274570cb5dcb79955a2d04406d518ae23,locally_available,local_only_not_replicated,local_research_workspace,7098203,c984b6cbfa5cb25b864a8b28986099b274570cb5dcb79955a2d04406d518ae23,7098203,c984b6cbfa5cb25b864a8b28986099b274570cb5dcb79955a2d04406d518ae23,integrity_pass,application/pdf,179,false,false,true,3,3961,1320.333,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:28:06Z,false,false,B4X2500TXT-20260730-e274251c26db379a5269,text_extraction_lane_001,548,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-fa6b3ec0fdbb2d7fc268.pdf,2026-07-30T16:27:46Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:36:04Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-e274251c26db379a5269.txt,098d7a07a90992c14e22e3f35fec112c50bcca6a9569e8a8453024bff2e1aa4a,308063,307479,53921,7391,179,179,,1717.76,,false,,,false,false,false,false,B4X2500SPQ-20260730-93d9e0d62d9c49969ec0,span_extraction_lane_001,9,2026-07-30T17:24:01Z,positive_spans_found,18,18,16,2,0,0,0,0,2026-07-30T17:24:10Z
B4X2500RDY-20260730-9cbd372a81beeae52896,readiness_lane_003,333,pdf,pdf,B4X2500SRD-20260730-6a89b5e6da4ee050f45a,B4X2500V-20260730-04625,B4X2500LIVE-20260729-007759,B4X2500-20260729-07748,IN,Midwest,White River,WRT 2013-07 RESOLUTION Establishing Salaries of Township Officers and Employees (Township Form No. 17) — year 2014,https://whiterivertownship.org/wp-content/uploads/2014/02/WRT-Resolution-2013-07-Township-Form-17-Establishing-Salaries-for-2014.pdf,https://whiterivertownship.org/wp-content/uploads/2014/02/WRT-Resolution-2013-07-Township-Form-17-Establishing-Salaries-for-2014.pdf,other_local_government_pay_policy,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-6a89b5e6da4ee050f45a.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-6a89b5e6da4ee050f45a.pdf,sha256:a8656c6121bb5fb8621910a594b26a5fa35a1775d9bf4ab21365e6d92a54ff94,locally_available,local_only_not_replicated,local_research_workspace,116114,a8656c6121bb5fb8621910a594b26a5fa35a1775d9bf4ab21365e6d92a54ff94,116114,a8656c6121bb5fb8621910a594b26a5fa35a1775d9bf4ab21365e6d92a54ff94,integrity_pass,application/pdf,1,false,false,true,1,715,715.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:44:12Z,false,false,B4X2500TXT-20260730-0a9ab2b576788a702648,text_extraction_lane_004,544,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-6a89b5e6da4ee050f45a.pdf,2026-07-30T16:27:48Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T17:00:06Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-0a9ab2b576788a702648.txt,3d382b7ff9880cf004176742279800d4d9863eb4c18b9ee42ec19c0046dcdaed,934,931,159,43,1,1,,931.0,,false,,,false,false,false,false,B4X2500SPQ-20260730-78c7839793094fe8d726,span_extraction_lane_001,10,2026-07-30T17:24:01Z,positive_spans_found,3,3,3,0,0,0,0,0,2026-07-30T17:24:10Z
B4X2500RDY-20260730-61c386cf76fccfac7100,readiness_lane_002,287,pdf,pdf,B4X2500SRD-20260730-85b47187657ffb59e83b,B4X2500V-20260730-03059,B4X2500LIVE-20260729-007483,B4X2500-20260729-07533,IA,Midwest,Fruitland,"Fruitland City Code of Ordinances (2020; Updated January 13, 2026) — Title 2, Chapter 4: Salaries of Municipal Officers (2-4-4 Other Officers)",https://fruitlandia.com/wp-content/uploads/2026/03/Fruitland-Code-of-Ordinances-2020_1-13-26-Update.pdf,https://fruitlandia.com/wp-content/uploads/2026/03/Fruitland-Code-of-Ordinances-2020_1-13-26-Update.pdf,wage_schedule,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-85b47187657ffb59e83b.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-85b47187657ffb59e83b.pdf,sha256:565f05d4cdf5e29ef372e70f8ef210c073114e8e34088f7e318d89073db1e1ee,locally_available,local_only_not_replicated,local_research_workspace,1809827,565f05d4cdf5e29ef372e70f8ef210c073114e8e34088f7e318d89073db1e1ee,1809827,565f05d4cdf5e29ef372e70f8ef210c073114e8e34088f7e318d89073db1e1ee,integrity_pass,application/pdf,323,false,false,true,3,710,236.667,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:36:12Z,false,false,B4X2500TXT-20260730-6ac23d3bfd8a27147b7d,text_extraction_lane_001,115,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-85b47187657ffb59e83b.pdf,2026-07-30T16:27:47Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:35:44Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-6ac23d3bfd8a27147b7d.txt,15d6a911091670fdedf7ee2af4b8c9444b3719aecc0b79dcf087bd2d8ac54dc0,461448,460039,71803,10798,323,323,,1424.27,,false,,,false,false,false,false,B4X2500SPQ-20260730-f35c816478521be8a77d,span_extraction_lane_001,11,2026-07-30T17:24:01Z,positive_spans_found,13,12,2,7,0,2,1,0,2026-07-30T17:24:11Z
