readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,observed_file_size_bytes,observed_sha256,file_integrity_status,content_type,page_count,encrypted_or_locked_flag,corrupt_or_broken_flag,has_text_layer_flag,bounded_text_probe_page_count,bounded_text_probe_character_count,estimated_text_density_chars_per_probed_page,table_layout_indicator,likely_scanned_or_image_only_flag,oversized_flag,local_html_payload_exists_flag,html_visible_character_count,html_link_count,html_script_count,html_mostly_scripts_or_boilerplate_flag,other_document_non_ocr_extraction_feasible_flag,primary_readiness_status,reason_code,classified_at,full_text_persisted_flag,ocr_run_flag,extraction_id,extraction_lane_id,extraction_lane_sequence,locked_source_path,queue_locked_at,extraction_status,extraction_method,extraction_timestamp,extracted_text_artifact_path,extracted_text_sha256,extracted_text_byte_size,character_count,approximate_word_count,line_count,page_count_input,pages_successfully_parsed,empty_page_count,characters_per_page,quality_flags,boilerplate_or_noise_flag,error_class,error_message_redacted,span_extraction_run_flag,rating_run_flag,ingestion_run_flag,codification_run_flag,span_queue_id,span_lane_id,span_lane_sequence,span_queue_locked_at,primary_span_extraction_status,span_candidate_count,rating_eligible_span_count,quantitative_span_count,qualitative_span_count,mixed_span_count,non_base_span_count,source_navigation_span_count,weak_span_count,span_extraction_timestamp
B4X2500RDY-20260730-f51730e4a70b0a6af560,readiness_lane_001,458,pdf,pdf,B4X2500SRD-20260730-db3c91724aca489e085d,B4X2500V-20260730-00029,B4X2500LIVE-20260729-004217,B4X2500-20260729-04001,AL,South,Good Hope,"May 27, 2025 Minutes (City of Good Hope Council Meeting) — Resolution approving revision of pay for the city attorney",https://webgen1files1.revize.com/goodhopeal/May%2027%2C%202025%20%20Minutes.pdf,https://webgen1files1.revize.com/goodhopeal/May%2027%2C%202025%20%20Minutes.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,market_or_comparability_pressure,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-db3c91724aca489e085d.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-db3c91724aca489e085d.pdf,sha256:c37eba32e12108f23b5a6f910976b4fca336ae404fcaebeda2a365855309880a,locally_available,local_only_not_replicated,local_research_workspace,122005,c37eba32e12108f23b5a6f910976b4fca336ae404fcaebeda2a365855309880a,122005,c37eba32e12108f23b5a6f910976b4fca336ae404fcaebeda2a365855309880a,integrity_pass,application/pdf,2,false,false,true,2,2094,1047.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,generic_compensation_terms_without_rule_specific_context,2026-07-30T14:28:14Z,false,false,B4X2500TXT-20260730-e5ca2fba5d0103ece90b,text_extraction_lane_003,596,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-db3c91724aca489e085d.pdf,2026-07-30T16:27:46Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:52:09Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_003/B4X2500TXT-20260730-e5ca2fba5d0103ece90b.txt,12cfae0b7daa8aceab8c8a33b2626dc8bf959663a4c37bb887a06d25563dce24,2649,2649,432,76,2,2,,1324.5,,false,,,false,false,false,false,B4X2500SPQ-20260730-a66e3b6977c886a2c95a,span_extraction_lane_002,1,2026-07-30T17:24:01Z,weak_or_ambiguous_spans_only,1,0,0,0,0,0,0,1,2026-07-30T17:32:10Z
B4X2500RDY-20260730-852d0cb4978a94ab4844,readiness_lane_002,284,pdf,pdf,B4X2500SRD-20260730-55d3648fe0f051c48325,B4X2500V-20260730-05445,B4X2500LIVE-20260729-003261,B4X2500-20260729-03266,OH,Midwest,De Graff,"Ordinance No. 2025-14 — Providing Compensation and Employing a Village Solicitor for the Village of DeGraff, Ohio (One-year term: Apr 1, 2025–Mar 31, 2026)",https://degraffoh.com/wp-content/uploads/Ord-25-14.pdf,https://degraffoh.com/wp-content/uploads/Ord-25-14.pdf,other_local_government_pay_policy,high_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-55d3648fe0f051c48325.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-55d3648fe0f051c48325.pdf,sha256:0f5ecfe36855fbeea1b29d2fac50e21e20855286437571dfce00f9f03886cf48,locally_available,local_only_not_replicated,local_research_workspace,50173,0f5ecfe36855fbeea1b29d2fac50e21e20855286437571dfce00f9f03886cf48,50173,0f5ecfe36855fbeea1b29d2fac50e21e20855286437571dfce00f9f03886cf48,integrity_pass,application/pdf,2,false,false,true,2,2986,1493.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:36:12Z,false,false,B4X2500TXT-20260730-d0eac98b6228236a53d9,text_extraction_lane_004,203,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-55d3648fe0f051c48325.pdf,2026-07-30T16:27:47Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:59:47Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-d0eac98b6228236a53d9.txt,09517fbf152bd40e7880de7b6575de46bc17d63245ba7bf67a4f3851ec4e508c,3997,3989,613,77,2,2,,1994.5,,false,,,false,false,false,false,B4X2500SPQ-20260730-6b18ee13155c516d7dec,span_extraction_lane_002,2,2026-07-30T17:24:01Z,positive_spans_found,1,1,1,0,0,0,0,0,2026-07-30T17:32:10Z
B4X2500RDY-20260730-ec4af0e1ceea799bae9b,readiness_lane_003,297,pdf,pdf,B4X2500SRD-20260730-95a4d52ff228544d5378,B4X2500V-20260730-03399,B4X2500LIVE-20260729-008630,B4X2500-20260729-08571,ME,Northeast,Bradford,"Town of Bradford, Maine Personnel Policy (Revised 02/08/2021; First effective date January 1, 2012)",https://www.bradfordme.gov/_files/ugd/b42461_37cb69ad6d0d48e18037f06dfa796d8d.pdf,https://bradfordme.gov/_files/ugd/b42461_37cb69ad6d0d48e18037f06dfa796d8d.pdf,personnel_policy,high_priority_verification_ready,non_cba_or_other_hint,strike_or_no_strike_constraint,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-95a4d52ff228544d5378.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-95a4d52ff228544d5378.pdf,sha256:cf8f302874c339a2f1e45ef24889bf327dbbb7986b6299284910f9463d862fee,locally_available,local_only_not_replicated,local_research_workspace,163597,cf8f302874c339a2f1e45ef24889bf327dbbb7986b6299284910f9463d862fee,163597,cf8f302874c339a2f1e45ef24889bf327dbbb7986b6299284910f9463d862fee,integrity_pass,application/pdf,15,false,false,true,3,7114,2371.333,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:44:12Z,false,false,B4X2500TXT-20260730-ed400951a2e83e338ad8,text_extraction_lane_004,253,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-95a4d52ff228544d5378.pdf,2026-07-30T16:27:48Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:59:50Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-ed400951a2e83e338ad8.txt,3fc0c84ad65c83058ce540eeed6cddda979fe79db0b24cfa31fab0ac7eae9e06,36088,35933,5823,717,15,15,,2395.53,,false,,,false,false,false,false,B4X2500SPQ-20260730-c9705d1a998130ba6b2d,span_extraction_lane_002,3,2026-07-30T17:24:01Z,positive_spans_found,11,11,3,2,0,4,0,0,2026-07-30T17:32:10Z
B4X2500RDY-20260730-bf150bba940aa245b0d3,readiness_lane_004,500,pdf,pdf,B4X2500SRD-20260730-3617c6a7e62afb97323c,B4X2500V-20260730-01781,B4X2500LIVE-20260729-007855,B4X2500-20260729-07824,KS,Midwest,Towanda,"Employee Handbook, Personnel Policies, and Guidelines (Version 1.2.2023) — Ordinance No. 709 (includes Pay Range Plan / Pay Plan provisions)",https://www.cityoftowanda.com/_files/ugd/3e0885_230169ec01544697a25f50385f00dbda.pdf,https://cityoftowanda.com/_files/ugd/3e0885_230169ec01544697a25f50385f00dbda.pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-3617c6a7e62afb97323c.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-3617c6a7e62afb97323c.pdf,sha256:487dd566ab6df6601d49294ea2156221b62832079171ac2f543c67e880534167,locally_available,local_only_not_replicated,local_research_workspace,749613,487dd566ab6df6601d49294ea2156221b62832079171ac2f543c67e880534167,749613,487dd566ab6df6601d49294ea2156221b62832079171ac2f543c67e880534167,integrity_pass,application/pdf,37,false,false,true,3,2173,724.333,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:52:15Z,false,false,B4X2500TXT-20260730-20940443333f2b1ffe60,text_extraction_lane_001,520,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-3617c6a7e62afb97323c.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:36:02Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-20940443333f2b1ffe60.txt,aa18eb799a81f9872346bf2d3e127743e70a0c24165f53592f26173ffbe954e0,93103,92874,15023,1763,37,37,,2510.11,,false,,,false,false,false,false,B4X2500SPQ-20260730-9273e363a7249810c1b3,span_extraction_lane_002,4,2026-07-30T17:24:01Z,positive_spans_found,12,11,0,4,0,4,1,0,2026-07-30T17:32:10Z
B4X2500RDY-20260730-82d0aff86acf55062409,readiness_lane_003,472,pdf,pdf,B4X2500SRD-20260730-10a793697bb08647f800,B4X2500V-20260730-05537,B4X2500LIVE-20260729-000883,B4X2500-20260729-00869,SD,Midwest,Jefferson,UNAPPROVED MINUTES OF THE REGU (includes a Budget Ordinance section for Public Safety / Police & Fire/Ambulance line items),https://www.jeffersonsd.com/hubfs/City%20Council%20Minutes/2025-September-Jefferson-City%20Council-Minutes.pdf?hsLang=en,https://jeffersonsd.com/hubfs/City%20Council%20Minutes/2025-September-Jefferson-City%20Council-Minutes.pdf,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-10a793697bb08647f800.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-10a793697bb08647f800.pdf,sha256:0240b794c7fdaa843ccc915c130bb4ff18e070df3c563264a7734823ad8af876,locally_available,local_only_not_replicated,local_research_workspace,321102,0240b794c7fdaa843ccc915c130bb4ff18e070df3c563264a7734823ad8af876,321102,0240b794c7fdaa843ccc915c130bb4ff18e070df3c563264a7734823ad8af876,integrity_pass,application/pdf,9,false,false,true,3,3546,1182.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:44:15Z,false,false,B4X2500TXT-20260730-edc2b923b88f4e9a961f,text_extraction_lane_004,112,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-10a793697bb08647f800.pdf,2026-07-30T16:27:48Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:59:42Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-edc2b923b88f4e9a961f.txt,ae6ce44f96169921f4ad2ca3b4c43ddc1bc18f813b421924b9237e6fbeeae7bc,13552,13494,2307,428,9,9,,1499.33,,false,,,false,false,false,false,B4X2500SPQ-20260730-f0476ac132c416c01393,span_extraction_lane_002,5,2026-07-30T17:24:01Z,positive_spans_found,3,3,1,2,0,0,0,0,2026-07-30T17:32:10Z
B4X2500RDY-20260730-5341a2276b1da1fc4f94,readiness_lane_002,725,pdf,pdf,B4X2500SRD-20260730-8875c4640d90309f1cd0,B4X2500V-20260730-04840,B4X2500LIVE-20260729-006116,B4X2500-20260729-06067,ME,Northeast,Andover,"Personnel Policy Ordinance (Town of Andover) — employment classifications, overtime, benefits, and personnel rules",https://www.andovermaine.gov/wp-content/uploads/2020/05/Personnel-Policy-Ordinance-1.pdf,https://andovermaine.gov/wp-content/uploads/2020/05/Personnel-Policy-Ordinance-1.pdf,personnel_policy,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-8875c4640d90309f1cd0.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-8875c4640d90309f1cd0.pdf,sha256:5cb5cf5aea83d5b34a295e32b5e4129accec723b45fc208aa4c165091af77a37,locally_available,local_only_not_replicated,local_research_workspace,8106169,5cb5cf5aea83d5b34a295e32b5e4129accec723b45fc208aa4c165091af77a37,8106169,5cb5cf5aea83d5b34a295e32b5e4129accec723b45fc208aa4c165091af77a37,integrity_pass,application/pdf,13,false,false,true,3,5258,1752.667,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:36:22Z,false,false,B4X2500TXT-20260730-004c4f458513f027ff6e,text_extraction_lane_002,220,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-8875c4640d90309f1cd0.pdf,2026-07-30T16:27:48Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:49Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-004c4f458513f027ff6e.txt,91a2c7d647b8f6a6d5820a726c4b13e68f258f2784facbdb1b168a0602a457cc,25746,25742,4234,532,13,13,,1980.15,,false,,,false,false,false,false,B4X2500SPQ-20260730-638895d1503fff35a868,span_extraction_lane_002,6,2026-07-30T17:24:01Z,positive_spans_found,3,3,1,0,0,2,0,0,2026-07-30T17:32:10Z
B4X2500RDY-20260730-0dc1852061a20d389823,readiness_lane_002,597,pdf,pdf,B4X2500SRD-20260730-1d993dcfc93a08bb18dc,B4X2500V-20260730-04264,B4X2500LIVE-20260729-005952,B4X2500-20260729-05978,WI,Midwest,Owen,City of Owen Common Council Meeting Minutes (O-W Police Dept handbook PTO schedule update language),https://www.cityofowen.com/uploads/05_19_20_Council_meeting_minutes.pdf,https://cityofowen.com/uploads/05_19_20_Council_meeting_minutes.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,strike_or_no_strike_constraint,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-1d993dcfc93a08bb18dc.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-1d993dcfc93a08bb18dc.pdf,sha256:50d9cfeae6477eb6b410f06fb0c4c1e055d893e87e7c7f66512ed918f0bdaa8d,locally_available,local_only_not_replicated,local_research_workspace,95109,50d9cfeae6477eb6b410f06fb0c4c1e055d893e87e7c7f66512ed918f0bdaa8d,95109,50d9cfeae6477eb6b410f06fb0c4c1e055d893e87e7c7f66512ed918f0bdaa8d,integrity_pass,application/pdf,4,false,false,true,3,7150,2383.333,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:36:19Z,false,false,B4X2500TXT-20260730-231292cefcc6f415fe28,text_extraction_lane_001,262,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-1d993dcfc93a08bb18dc.pdf,2026-07-30T16:27:48Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:35:50Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-231292cefcc6f415fe28.txt,4557e7ca63a1d3382a18d02324500b0aeb8b46ecc7444223a9d1e899be7c850a,9159,9125,1538,158,4,4,,2281.25,,false,,,false,false,false,false,B4X2500SPQ-20260730-59075f6e0faef0c37dc6,span_extraction_lane_002,7,2026-07-30T17:24:01Z,positive_spans_found,3,3,0,0,0,3,0,0,2026-07-30T17:32:10Z
B4X2500RDY-20260730-782645a1aa7f4678f902,readiness_lane_003,730,pdf,pdf,B4X2500SRD-20260730-c82ee9a048eaa6a69eaf,B4X2500V-20260730-03485,B4X2500LIVE-20260729-007989,B4X2500-20260729-07936,MN,Midwest,Dawson,Dawson City Council Minutes (10-21-25) — 'Police contract was presented' (mentions 2026-2027 COLA and shift differential),https://www.dawsonmn.com/documents/98/10-21-25_Council_Minutes.pdf,https://dawsonmn.com/documents/98/10-21-25_Council_Minutes.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-c82ee9a048eaa6a69eaf.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-c82ee9a048eaa6a69eaf.pdf,sha256:60867c3f78d6f330ec5f3173101baad5968ffcb8fecaeff27a4596d4803131fe,locally_available,local_only_not_replicated,local_research_workspace,101560,60867c3f78d6f330ec5f3173101baad5968ffcb8fecaeff27a4596d4803131fe,101560,60867c3f78d6f330ec5f3173101baad5968ffcb8fecaeff27a4596d4803131fe,integrity_pass,application/pdf,3,false,false,true,3,5422,1807.333,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:44:21Z,false,false,B4X2500TXT-20260730-c785999bc917e894193a,text_extraction_lane_001,168,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-c82ee9a048eaa6a69eaf.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:35:47Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-c785999bc917e894193a.txt,2e368167347850a309ef768a3f4cfcab49e1c8db2b3329eeb8c4344690a41c30,6887,6821,1095,129,3,3,,2273.67,,false,,,false,false,false,false,B4X2500SPQ-20260730-a043a6b509cd92917fed,span_extraction_lane_002,8,2026-07-30T17:24:01Z,positive_spans_found,1,1,0,0,1,0,0,0,2026-07-30T17:32:10Z
B4X2500RDY-20260730-7eb401a9aa24ceaffb13,readiness_lane_002,905,pdf,pdf,B4X2500SRD-20260730-987899af37f9f31aebbf,B4X2500V-20260730-05636,B4X2500LIVE-20260729-004879,B4X2500-20260729-04951,UT,West,Boulder,Boulder Town Council Regular Meeting Minutes (Employees Duties and Pay: start pay and re-evaluation language),https://boulder.utah.gov/wp-content/uploads/2023/03/March-2023-TC-meeting-minutes-2.pdf,https://boulder.utah.gov/wp-content/uploads/2023/03/March-2023-TC-meeting-minutes-2.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-987899af37f9f31aebbf.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-987899af37f9f31aebbf.pdf,sha256:d16e74fb55c6026278784603c2b9e1678e5387a4410824564e68e963c5b175b1,locally_available,local_only_not_replicated,local_research_workspace,166177,d16e74fb55c6026278784603c2b9e1678e5387a4410824564e68e963c5b175b1,166177,d16e74fb55c6026278784603c2b9e1678e5387a4410824564e68e963c5b175b1,integrity_pass,application/pdf,5,false,false,true,3,6825,2275.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,generic_compensation_terms_without_rule_specific_context,2026-07-30T14:36:26Z,false,false,B4X2500TXT-20260730-f29148f3d76ad2589eb9,text_extraction_lane_001,721,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-987899af37f9f31aebbf.pdf,2026-07-30T16:27:48Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:36:12Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-f29148f3d76ad2589eb9.txt,eee7fc503cc21b90459287048e39ff58a6b9459f1b301b01af09943aa0ae2b5d,12121,12105,2125,231,5,5,,2421.0,,false,,,false,false,false,false,B4X2500SPQ-20260730-00e3b6329103da51563e,span_extraction_lane_002,9,2026-07-30T17:24:01Z,weak_or_ambiguous_spans_only,1,0,0,0,0,0,0,1,2026-07-30T17:32:10Z
B4X2500RDY-20260730-69f48afd2b76b1969171,readiness_lane_003,512,pdf,pdf,B4X2500SRD-20260730-3da08bfda119eeffeecf,B4X2500V-20260730-03947,B4X2500LIVE-20260729-000759,B4X2500-20260729-00755,OH,Midwest,Auburn,Minutes of Meeting (includes Resolution 2024-26 approving Personnel Policies & Procedure Manual update; Exhibit A: 2010 Edition Personnel Policies and Procedures Manual),https://auburntownship.com/wp-content/uploads/2024/12/Meeting-Minutes-11-18-2024.pdf,https://auburntownship.com/wp-content/uploads/2024/12/Meeting-Minutes-11-18-2024.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-3da08bfda119eeffeecf.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-3da08bfda119eeffeecf.pdf,sha256:a5c1bd24a5340416e9855debac62242e22d213a59f7da552d9caaab7540c6da8,locally_available,local_only_not_replicated,local_research_workspace,8501604,a5c1bd24a5340416e9855debac62242e22d213a59f7da552d9caaab7540c6da8,8501604,a5c1bd24a5340416e9855debac62242e22d213a59f7da552d9caaab7540c6da8,integrity_pass,application/pdf,20,false,false,true,3,7354,2451.333,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,one_or_more_rating_eligible_deterministic_spans_found,2026-07-30T14:44:16Z,false,false,B4X2500TXT-20260730-315e8229ddaa1e8a8dbc,text_extraction_lane_002,715,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-3da08bfda119eeffeecf.pdf,2026-07-30T16:27:48Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:44:15Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-315e8229ddaa1e8a8dbc.txt,02c7374526d857c1009964322e755f3a027baed872cb115494a80400a5c6a8ce,37751,37665,5961,888,20,20,,1883.25,,false,,,false,false,false,false,B4X2500SPQ-20260730-e60f75fb408627b146b1,span_extraction_lane_002,10,2026-07-30T17:24:01Z,positive_spans_found,4,4,0,1,0,1,0,0,2026-07-30T17:32:10Z
