readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,observed_file_size_bytes,observed_sha256,file_integrity_status,content_type,page_count,encrypted_or_locked_flag,corrupt_or_broken_flag,has_text_layer_flag,bounded_text_probe_page_count,bounded_text_probe_character_count,estimated_text_density_chars_per_probed_page,table_layout_indicator,likely_scanned_or_image_only_flag,oversized_flag,local_html_payload_exists_flag,html_visible_character_count,html_link_count,html_script_count,html_mostly_scripts_or_boilerplate_flag,other_document_non_ocr_extraction_feasible_flag,primary_readiness_status,reason_code,classified_at,full_text_persisted_flag,ocr_run_flag,extraction_id,extraction_lane_id,extraction_lane_sequence,locked_source_path,queue_locked_at,extraction_status,extraction_method,extraction_timestamp,extracted_text_artifact_path,extracted_text_sha256,extracted_text_byte_size,character_count,approximate_word_count,line_count,page_count_input,pages_successfully_parsed,empty_page_count,characters_per_page,quality_flags,boilerplate_or_noise_flag,error_class,error_message_redacted,span_extraction_run_flag,rating_run_flag,ingestion_run_flag,codification_run_flag
B4X2500RDY-20260730-5269fc4e46d939df302a,readiness_lane_001,916,html,html,B4X2500SRD-20260730-c6baa0d0dbb5c7d932fb,B4X2500V-20260730-01194,B4X2500LIVE-20260729-004588,B4X2500-20260729-04635,SC,South,Turbeville,"Turbeville Town Council Meeting Minutes - May 12th, 2026",https://townofturbeville.com/download/turbeville-town-council-meeting-minutes-may-12th-2026/?filename=Minutes+-+5.12.26+T%27ville+Council+Meeting.docx&ind=1780601199134&refresh=6a6abd3ba01591785380155&wpdmdl=1968,https://townofturbeville.com/download/turbeville-town-council-meeting-minutes-may-12th-2026,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-c6baa0d0dbb5c7d932fb.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-c6baa0d0dbb5c7d932fb.html,sha256:0e302137b4bb3b2fa794e248aca278ded9a485979901035e92a4715a19962db1,locally_available,local_only_not_replicated,local_research_workspace,86673,0e302137b4bb3b2fa794e248aca278ded9a485979901035e92a4715a19962db1,86673,0e302137b4bb3b2fa794e248aca278ded9a485979901035e92a4715a19962db1,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,1265,47,55,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:25Z,false,false,B4X2500TXT-20260730-cfd01a22c5cb9c1b7ff2,text_extraction_lane_001,36,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-c6baa0d0dbb5c7d932fb.html,2026-07-30T16:27:47Z,html_noisy_or_boilerplate,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:35:40Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-cfd01a22c5cb9c1b7ff2.txt,82e9d19acb2a47228e1de88b9322edbd4ca2fa3975aece1541b37e021988c82a,649,647,100,47,,,,,html_low_word_count_or_link_dense,true,,,false,false,false,false
B4X2500RDY-20260730-65c426ea08f62a7d10aa,readiness_lane_003,373,html,html,B4X2500SRD-20260730-592b866d785db130eb0f,B4X2500V-20260730-03386,B4X2500LIVE-20260729-006113,B4X2500-20260729-06066,ME,Northeast,Amherst,"Selectboard Meeting Minutes (2018 to current) - Amherst, ME",https://www.amherstme.com/general-5,https://amherstme.com/general-5,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-592b866d785db130eb0f.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-592b866d785db130eb0f.html,sha256:86023aded2b192bbfadfab919644660d00af2cb2e977b3108bb5a8c155133ff4,locally_available,local_only_not_replicated,local_research_workspace,397539,86023aded2b192bbfadfab919644660d00af2cb2e977b3108bb5a8c155133ff4,397539,86023aded2b192bbfadfab919644660d00af2cb2e977b3108bb5a8c155133ff4,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,898,52,28,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:44:13Z,false,false,B4X2500TXT-20260730-0515d19554565f6bf6ff,text_extraction_lane_001,72,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-592b866d785db130eb0f.html,2026-07-30T16:27:48Z,html_noisy_or_boilerplate,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:35:41Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-0515d19554565f6bf6ff.txt,f1eb3727a2b28207126746ad61408d8781daf8802ceb675e89616e267e71a07c,809,809,123,97,,,,,html_low_word_count_or_link_dense,true,,,false,false,false,false
B4X2500RDY-20260730-9eff8929d78b8ffd7ed9,readiness_lane_003,915,html,html,B4X2500SRD-20260730-b180d797b14238effe2a,B4X2500V-20260730-01692,B4X2500LIVE-20260729-005045,B4X2500-20260729-05088,IL,Midwest,Benton,"COUNCIL MEETING MINUTES — May 27, 2025 (includes statement re: Memorandum of Understanding from Fraternal Order of Police Labor Council addressing police officer residency)",https://bentonil.com/?p=6439,https://bentonil.com,mou_or_memorandum,medium_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-b180d797b14238effe2a.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-b180d797b14238effe2a.html,sha256:94eb0a8d86ac7d8962ae45a65b867816df5b9fa9d146b808edd3111bd14d4fcc,locally_available,local_only_not_replicated,local_research_workspace,105000,94eb0a8d86ac7d8962ae45a65b867816df5b9fa9d146b808edd3111bd14d4fcc,105000,94eb0a8d86ac7d8962ae45a65b867816df5b9fa9d146b808edd3111bd14d4fcc,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,5442,214,42,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:44:24Z,false,false,B4X2500TXT-20260730-49e9503a59cd62eaafa7,text_extraction_lane_001,81,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-b180d797b14238effe2a.html,2026-07-30T16:27:49Z,html_noisy_or_boilerplate,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:35:42Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-49e9503a59cd62eaafa7.txt,bc5a342032f10ace16882c2f2915c99f7ad481034f575ace48f0721692b2adbf,5245,5187,792,445,,,,,html_low_word_count_or_link_dense,true,,,false,false,false,false
B4X2500RDY-20260730-232fe067daa0021ba493,readiness_lane_004,875,html,html,B4X2500SRD-20260730-75ac54fba9a3db31eb2d,B4X2500V-20260730-00169,B4X2500LIVE-20260729-002554,B4X2500-20260729-02568,IA,Midwest,Shellsburg,"City Council Minutes (links to PDF minutes; may include council action on municipal pay, payroll, wage-related ordinances/policies)",https://www.shellsburg.com/city-council-minutes.html,https://shellsburg.com/city-council-minutes.html,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-75ac54fba9a3db31eb2d.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-75ac54fba9a3db31eb2d.html,sha256:8f284175522a0d518c7565b1de56f422689280bacad6311354c0b83d7e965d2e,locally_available,local_only_not_replicated,local_research_workspace,98281,8f284175522a0d518c7565b1de56f422689280bacad6311354c0b83d7e965d2e,98281,8f284175522a0d518c7565b1de56f422689280bacad6311354c0b83d7e965d2e,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,1966,144,26,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:52:23Z,false,false,B4X2500TXT-20260730-ab1d4270ac919468bf1d,text_extraction_lane_001,118,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-75ac54fba9a3db31eb2d.html,2026-07-30T16:27:50Z,html_noisy_or_boilerplate,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:35:45Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-ab1d4270ac919468bf1d.txt,cb958a715c3f09556c2e1150842eb7bb52cddce33fde82e5be300fa4a4e8df9f,2622,2591,459,168,,,,,html_low_word_count_or_link_dense,true,,,false,false,false,false
B4X2500RDY-20260730-c3f5456b115f282d3361,readiness_lane_004,470,html,html,B4X2500SRD-20260730-79014854dbcf1c3c49b8,B4X2500V-20260730-00380,B4X2500LIVE-20260729-001873,B4X2500-20260729-01783,KY,South,Cumberland,City Ordinances (index/landing page; indicates digitization not available),https://www.cumberlandky.us/public-information/city-ordinances,https://cumberlandky.us/public-information/city-ordinances,wage_schedule,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-79014854dbcf1c3c49b8.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-79014854dbcf1c3c49b8.html,sha256:678f80132c59db1b5650f77fddaa65fcad71e21606252561e2d3620dc7ab0511,locally_available,local_only_not_replicated,local_research_workspace,159442,678f80132c59db1b5650f77fddaa65fcad71e21606252561e2d3620dc7ab0511,159442,678f80132c59db1b5650f77fddaa65fcad71e21606252561e2d3620dc7ab0511,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,1956,90,16,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:52:15Z,false,false,B4X2500TXT-20260730-d79af4013dd2c970010f,text_extraction_lane_001,139,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-79014854dbcf1c3c49b8.html,2026-07-30T16:27:49Z,html_noisy_or_boilerplate,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:35:45Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-d79af4013dd2c970010f.txt,9d3b5b56d90742003f09370237854e275fe9684d5a2668fe2390492961d91032,391,391,63,29,,,,,html_low_word_count_or_link_dense,true,,,false,false,false,false
B4X2500RDY-20260730-c5bf41fc70ec16de9d81,readiness_lane_001,529,html,html,B4X2500SRD-20260730-aa42b000e1e009cc180d,B4X2500V-20260730-02367,B4X2500LIVE-20260729-003873,B4X2500-20260729-03753,NJ,Northeast,Vernon,Ordinance No. 20-06 — Ordinance Amending the Salary Ordinance for “Non-Union” Employees (salary ranges and wage rates),https://vernontwp.com/index.php/articles/ordinances/2020-ordinances/ordinance-no-20-6,https://vernontwp.com/index.php/articles/ordinances/2020-ordinances/ordinance-no-20-6,salary_ordinance,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-aa42b000e1e009cc180d.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-aa42b000e1e009cc180d.html,sha256:61c8781b61e253c2905aece4e40f7a2a36c3c43e8315f3c833a973d5847ec03f,locally_available,local_only_not_replicated,local_research_workspace,179237,61c8781b61e253c2905aece4e40f7a2a36c3c43e8315f3c833a973d5847ec03f,179237,61c8781b61e253c2905aece4e40f7a2a36c3c43e8315f3c833a973d5847ec03f,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,11320,540,33,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:28:16Z,false,false,B4X2500TXT-20260730-8ccb7321cfd77caf4604,text_extraction_lane_001,154,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-aa42b000e1e009cc180d.html,2026-07-30T16:27:47Z,html_noisy_or_boilerplate,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:35:46Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-8ccb7321cfd77caf4604.txt,a351235c10c5d72964203d727ce98324175a726d879101dbbd4cd4d2db26555c,9321,9281,1423,778,,,,,html_low_word_count_or_link_dense,true,,,false,false,false,false
B4X2500RDY-20260730-5a9e7aec0823b09ab963,readiness_lane_004,687,html,html,B4X2500SRD-20260730-422c92e8da084d2baf3e,B4X2500V-20260730-04664,B4X2500LIVE-20260729-005282,B4X2500-20260729-05268,KS,Midwest,Elwood,2024 Minutes (City of Elwood) — meeting dates list,https://www.elwoodks.org/2024-minutes,https://elwoodks.org/2024-minutes,agenda_packet_or_minutes,low_priority_verification_ready,non_cba_or_other_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-422c92e8da084d2baf3e.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-422c92e8da084d2baf3e.html,sha256:edfef788ef89d887fc960f314ffe1d4eb75b72a62b137a4701cd82915cf055ad,locally_available,local_only_not_replicated,local_research_workspace,527274,edfef788ef89d887fc960f314ffe1d4eb75b72a62b137a4701cd82915cf055ad,527274,edfef788ef89d887fc960f314ffe1d4eb75b72a62b137a4701cd82915cf055ad,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,854,45,28,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:52:19Z,false,false,B4X2500TXT-20260730-e9e6b5e3f98056a1f096,text_extraction_lane_001,171,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-422c92e8da084d2baf3e.html,2026-07-30T16:27:49Z,html_noisy_or_boilerplate,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:35:47Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-e9e6b5e3f98056a1f096.txt,ae564eabc689226c119c9fdf6e6d507aa3523d501750c7c0f1fb396beef5c342,643,643,106,57,,,,,html_low_word_count_or_link_dense,true,,,false,false,false,false
B4X2500RDY-20260730-ca773f041931234ee9b2,readiness_lane_003,307,html,html,B4X2500SRD-20260730-e920de76eb2171e490d9,B4X2500V-20260730-00320,B4X2500LIVE-20260729-005231,B4X2500-20260729-05215,IN,Midwest,Monon,Council meeting minutes (includes discussion of 2026 salary ordinance approach; fire run pay noted as contract rather than salary ordinance),https://townofmonon.com/documents/43/2025-9-3_Regular_minutes_-_signed.pdf,https://townofmonon.com/404.html,salary_ordinance,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-e920de76eb2171e490d9.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-e920de76eb2171e490d9.html,sha256:9c64d4dc2db0c956fb4ec920102f18a6c450b58ca18b0c755f27f0c44b7bc0b3,locally_available,local_only_not_replicated,local_research_workspace,37014,9c64d4dc2db0c956fb4ec920102f18a6c450b58ca18b0c755f27f0c44b7bc0b3,37014,9c64d4dc2db0c956fb4ec920102f18a6c450b58ca18b0c755f27f0c44b7bc0b3,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,2226,100,12,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:44:12Z,false,false,B4X2500TXT-20260730-1c2ddecad3b744182adc,text_extraction_lane_001,186,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-e920de76eb2171e490d9.html,2026-07-30T16:27:48Z,html_noisy_or_boilerplate,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:35:47Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-1c2ddecad3b744182adc.txt,f94fc799c64b72f36dec8bb7d6b84842a30c75e167d914752597736957b4192f,308,305,56,14,,,,,html_low_word_count_or_link_dense,true,,,false,false,false,false
B4X2500RDY-20260730-8df6ed83560216ec583a,readiness_lane_002,315,html,html,B4X2500SRD-20260730-2e2c31a6dbfd93daa75d,B4X2500V-20260730-02172,B4X2500LIVE-20260729-009522,B4X2500-20260729-09474,NC,South,Mocksville,"Personnel Policy – Password Protected (Mocksville) — likely internal HR/compensation policy (non-safety potentially, but not accessible)",https://mocksvillenc.org/personnel-policy-password-protected/,https://mocksvillenc.org/personnel-policy-password-protected,civil_service_or_hr_pay_plan,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-2e2c31a6dbfd93daa75d.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-2e2c31a6dbfd93daa75d.html,sha256:bc94ac89009baee400224d1f7a05e0b2dce85b0a65495ba68c4fdb995dc27a8f,locally_available,local_only_not_replicated,local_research_workspace,140930,bc94ac89009baee400224d1f7a05e0b2dce85b0a65495ba68c4fdb995dc27a8f,140930,bc94ac89009baee400224d1f7a05e0b2dce85b0a65495ba68c4fdb995dc27a8f,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,4835,153,110,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:36:12Z,false,false,B4X2500TXT-20260730-c1fd2093c28cdb1f36b7,text_extraction_lane_001,344,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-2e2c31a6dbfd93daa75d.html,2026-07-30T16:27:47Z,html_noisy_or_boilerplate,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:35:53Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-c1fd2093c28cdb1f36b7.txt,a2656d4fa6c48b066b37b5c10dd309ce21fb5c44ca8e796f08ddea4b348efb60,3268,3259,495,75,,,,,html_low_word_count_or_link_dense,true,,,false,false,false,false
B4X2500RDY-20260730-189224cb3aba87dbbd0b,readiness_lane_003,319,html,html,B4X2500SRD-20260730-6356a1df1e9e8cb7c902,B4X2500V-20260730-03390,B4X2500LIVE-20260729-006138,B4X2500-20260729-06101,ME,Northeast,Island Falls,Island Falls Selectboard Minutes (landing page; links to 2020-2026 minutes),https://www.islandfallsme.us/island-falls-minutes,https://islandfallsme.us/island-falls-minutes,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-6356a1df1e9e8cb7c902.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-6356a1df1e9e8cb7c902.html,sha256:e4a73420fec1f04f4d3993571eb106c8801ae2314cd21550339a7c52bbfc0820,locally_available,local_only_not_replicated,local_research_workspace,28387,e4a73420fec1f04f4d3993571eb106c8801ae2314cd21550339a7c52bbfc0820,28387,e4a73420fec1f04f4d3993571eb106c8801ae2314cd21550339a7c52bbfc0820,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,2633,167,17,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-07-30T14:44:12Z,false,false,B4X2500TXT-20260730-ab2f65dfd51cac3d8cb4,text_extraction_lane_001,405,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-6356a1df1e9e8cb7c902.html,2026-07-30T16:27:48Z,html_noisy_or_boilerplate,stdlib_htmlparser_visible_text_cleanup,2026-07-30T16:35:57Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-ab2f65dfd51cac3d8cb4.txt,e4d9caa3d4e85aaa7e436789b810afaee6f27d80d626d96107aabaff24e26322,261,261,36,31,,,,,html_low_word_count_or_link_dense,true,,,false,false,false,false
