readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,observed_file_size_bytes,observed_sha256,file_integrity_status,content_type,page_count,encrypted_or_locked_flag,corrupt_or_broken_flag,has_text_layer_flag,bounded_text_probe_page_count,bounded_text_probe_character_count,estimated_text_density_chars_per_probed_page,table_layout_indicator,likely_scanned_or_image_only_flag,oversized_flag,local_html_payload_exists_flag,html_visible_character_count,html_link_count,html_script_count,html_mostly_scripts_or_boilerplate_flag,other_document_non_ocr_extraction_feasible_flag,primary_readiness_status,reason_code,classified_at,full_text_persisted_flag,ocr_run_flag,extraction_id,extraction_lane_id,extraction_lane_sequence,locked_source_path,queue_locked_at,extraction_status,extraction_method,extraction_timestamp,extracted_text_artifact_path,extracted_text_sha256,extracted_text_byte_size,character_count,approximate_word_count,line_count,page_count_input,pages_successfully_parsed,empty_page_count,characters_per_page,quality_flags,boilerplate_or_noise_flag,error_class,error_message_redacted,ocr_run_flag,span_extraction_run_flag,rating_run_flag,ingestion_run_flag,codification_run_flag
B4X2500RDY-20260730-ad27845fc632dcca6b32,readiness_lane_004,242,pdf,pdf,B4X2500SRD-20260730-4cb34fd218d321dffa90,B4X2500V-20260730-01718,B4X2500LIVE-20260729-002744,B4X2500-20260729-02701,IN,Midwest,Jackson,"Jackson Township Board Minutes — January 6, 2022",https://jacksontownshipofmorganco.gov/wp-content/uploads/2025/08/January-6-2022.pdf,https://jacksontownshipofmorganco.gov/wp-content/uploads/2025/08/January-6-2022.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-4cb34fd218d321dffa90.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-4cb34fd218d321dffa90.pdf,sha256:df02ed982cd0aa53684b83ca9c1c5a7ac491fabc83200eb3d742bcb2f381f0d0,locally_available,local_only_not_replicated,local_research_workspace,37536,df02ed982cd0aa53684b83ca9c1c5a7ac491fabc83200eb3d742bcb2f381f0d0,37536,df02ed982cd0aa53684b83ca9c1c5a7ac491fabc83200eb3d742bcb2f381f0d0,integrity_pass,application/pdf,1,false,false,true,1,1815,1815.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-07-30T14:52:10Z,false,false,B4X2500TXT-20260730-ca5aec7aff1e0426ac35,text_extraction_lane_002,1,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-4cb34fd218d321dffa90.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:38Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-ca5aec7aff1e0426ac35.txt,9d1d6f76b21ca20576ad473c293a2297f33bfd095f0ce7c69ea8ea9ab1df3182,2265,2265,387,42,1,1,,2265.0,,false,,,false,false,false,false,false
B4X2500RDY-20260730-30092c3f883ec6d194c5,readiness_lane_001,189,pdf,pdf,B4X2500SRD-20260730-7e3192252d1b3e85c4ac,B4X2500V-20260730-01196,B4X2500LIVE-20260729-001580,B4X2500-20260729-01373,PA,Northeast,Kulpmont,"Kulpmont Borough Council Meeting Minutes (March 13, 2024) - police contract changed from 3 year to 4 year; hiring bonus and hourly starting rate discussed",https://boroughofkulpmont.org/wp-content/uploads/2024/05/March-13-2024-final.pdf,https://boroughofkulpmont.org/wp-content/uploads/2024/05/March-13-2024-final.pdf,mou_or_memorandum,high_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-7e3192252d1b3e85c4ac.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-7e3192252d1b3e85c4ac.pdf,sha256:9cefd1cc1519467e5b86669b3af0951cddc62cb0e42dfb57521cdc7349a1d865,locally_available,local_only_not_replicated,local_research_workspace,65174,9cefd1cc1519467e5b86669b3af0951cddc62cb0e42dfb57521cdc7349a1d865,65174,9cefd1cc1519467e5b86669b3af0951cddc62cb0e42dfb57521cdc7349a1d865,integrity_pass,application/pdf,12,false,false,true,3,4829,1609.667,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-07-30T14:28:09Z,false,false,B4X2500TXT-20260730-392ee4001787e9c6c102,text_extraction_lane_002,2,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-7e3192252d1b3e85c4ac.pdf,2026-07-30T16:27:46Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:38Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-392ee4001787e9c6c102.txt,b9c2d9592ef2fd29a15becdb8eec54addc031f8dda81529ee39ba515036545b3,25621,25523,4434,552,12,12,,2126.92,,false,,,false,false,false,false,false
B4X2500RDY-20260730-fbccd706072248c924d3,readiness_lane_003,683,pdf,pdf,B4X2500SRD-20260730-1d743dbb13f2d7feb8c3,B4X2500V-20260730-04941,B4X2500LIVE-20260729-005549,B4X2500-20260729-05479,MN,Midwest,Plainview,"Collective Bargaining Agreement (Law Enforcement Labor Services, Inc., Local No. 352) — City of Plainview, Minnesota",https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/6724da7c1fe71b37466937ae/1730468478434/ActiveContract%2B-%2BPlainview%2BPD%2B12-31-2026%2B.pdf,https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/6724da7c1fe71b37466937ae/1730468478434/ActiveContract%2B-%2BPlainview%2BPD%2B12-31-2026%2B.pdf,cba,high_priority_verification_ready,cba_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-1d743dbb13f2d7feb8c3.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-1d743dbb13f2d7feb8c3.pdf,sha256:0809ea344e976a3657d32c4615dfe0039788a8905c792f718924ce17bb358b47,locally_available,local_only_not_replicated,local_research_workspace,3159087,0809ea344e976a3657d32c4615dfe0039788a8905c792f718924ce17bb358b47,3159087,0809ea344e976a3657d32c4615dfe0039788a8905c792f718924ce17bb358b47,integrity_pass,application/pdf,17,false,false,true,3,1999,666.333,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-07-30T14:44:20Z,false,false,B4X2500TXT-20260730-2e19a35dc8669a8a1bdc,text_extraction_lane_002,3,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-1d743dbb13f2d7feb8c3.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:38Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-2e19a35dc8669a8a1bdc.txt,57b422643176cb3221e4435a14b1ae16e75cc3bc97815ddb8f0d40daba02a0b7,38260,38250,6137,764,17,17,,2250.0,,false,,,false,false,false,false,false
B4X2500RDY-20260730-5e490768f55ccd5541bb,readiness_lane_004,125,pdf,pdf,B4X2500SRD-20260730-c4317d6925a4546167fe,B4X2500V-20260730-01820,B4X2500LIVE-20260729-000336,B4X2500-20260729-00278,KS,Midwest,Glen Elder,"Ordinance establishing salaries of employees of the City of Glen Elder, Kansas (Ordinance No. 765) — takes effect Jan 1, 2025 earnings",https://kspublicnotices.newzgroup.com/KSLegals/2025/31078-2025-01-16_1001.pdf,https://kspublicnotices.newzgroup.com/KSLegals/2025/31078-2025-01-16_1001.pdf,other_local_government_pay_policy,medium_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-c4317d6925a4546167fe.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-c4317d6925a4546167fe.pdf,sha256:4385f1dd32e5708ba8e51a13d11b159c47491af5c2faa44bd374cc134a9d0efc,locally_available,local_only_not_replicated,local_research_workspace,104271,4385f1dd32e5708ba8e51a13d11b159c47491af5c2faa44bd374cc134a9d0efc,104271,4385f1dd32e5708ba8e51a13d11b159c47491af5c2faa44bd374cc134a9d0efc,integrity_pass,application/pdf,1,false,false,true,1,13383,13383.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-07-30T14:52:08Z,false,false,B4X2500TXT-20260730-281493d50665705fe6cc,text_extraction_lane_002,4,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-c4317d6925a4546167fe.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:38Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-281493d50665705fe6cc.txt,6b93a5aa4fb83bbaa68ae5bd7af511c5094af4e5740e7db72af9fa722da26ff2,17012,16952,3053,143,1,1,,16952.0,,false,,,false,false,false,false,false
B4X2500RDY-20260730-2953a98dd7328b696d71,readiness_lane_003,692,pdf,pdf,B4X2500SRD-20260730-8f408ba300ee1b49031b,B4X2500V-20260730-01113,B4X2500LIVE-20260729-006606,B4X2500-20260729-06403,PA,Northeast,Quarryville,"Quarryville Police Committee Meeting (Apr 3, 2023) (PDF)",https://quarryvilleborough.com/document/april-3-2023-police-committee-minutes/,https://quarryvilleborough.com/document/april-3-2023-police-committee-minutes,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-8f408ba300ee1b49031b.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-8f408ba300ee1b49031b.pdf,sha256:0aa5ed218d4ad401958bcd5e0e3f065d82ad0cd2fc17e7065dcebe9574156766,locally_available,local_only_not_replicated,local_research_workspace,68383,0aa5ed218d4ad401958bcd5e0e3f065d82ad0cd2fc17e7065dcebe9574156766,68383,0aa5ed218d4ad401958bcd5e0e3f065d82ad0cd2fc17e7065dcebe9574156766,integrity_pass,application/pdf,1,false,false,true,1,977,977.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-07-30T14:44:20Z,false,false,B4X2500TXT-20260730-530d5bc4d11538df5bd1,text_extraction_lane_002,5,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-8f408ba300ee1b49031b.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:38Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-530d5bc4d11538df5bd1.txt,21a66bcac89aa04b09e579ad2090cab4e5cdbe7e81905a0ea31a8ee2377baa14,1245,1239,208,32,1,1,,1239.0,,false,,,false,false,false,false,false
B4X2500RDY-20260730-197b9142bb211a628fa5,readiness_lane_001,653,pdf,pdf,B4X2500SRD-20260730-c97f7c415d4e46db3040,B4X2500V-20260730-01776,B4X2500LIVE-20260729-002863,B4X2500-20260729-02806,KS,Midwest,Nortonville,"CITY OF NORTONVILLE — June 10, 2026 City Council Regular Meeting Minutes (Personnel wage increase item)",https://nortonvilleks.com/Portals/nortonville/all%20documents/2026%20Minutes/061026minutes.pdf?ver=VPpzF81J67D6rcsYUkHN-w%3D%3D,https://nortonvilleks.com/Portals/nortonville/all%20documents/2026%20Minutes/061026minutes.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-c97f7c415d4e46db3040.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-c97f7c415d4e46db3040.pdf,sha256:62090179907801366fe9ab3ed47644bf8ce891a8754652121189ce38db741caa,locally_available,local_only_not_replicated,local_research_workspace,156461,62090179907801366fe9ab3ed47644bf8ce891a8754652121189ce38db741caa,156461,62090179907801366fe9ab3ed47644bf8ce891a8754652121189ce38db741caa,integrity_pass,application/pdf,3,false,false,true,3,4701,1567.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-07-30T14:28:18Z,false,false,B4X2500TXT-20260730-f1f53a89aac1f5a4cfce,text_extraction_lane_002,6,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-c97f7c415d4e46db3040.pdf,2026-07-30T16:27:47Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:38Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-f1f53a89aac1f5a4cfce.txt,846fe8d99175f98b05354788b55fe0695ff54d13b6c326f853fbdfb96a97e07b,6213,6041,1012,138,3,3,,2013.67,,false,,,false,false,false,false,false
B4X2500RDY-20260730-384235a4a054b6332c8e,readiness_lane_003,772,pdf,pdf,B4X2500SRD-20260730-92e0a9d9d0ab29109efc,B4X2500V-20260730-00081,B4X2500LIVE-20260729-004837,B4X2500-20260729-04881,CO,West,Keystone,Resolution 2025-06 (Exhibit A): Intergovernmental Agreement Between the Town of Dillon and the Town of Keystone for a Single Law Enforcement Agency,https://www.keystoneco.gov/media/Town-Council/01.28.2025/6.B.2-Resolution-2025-06.pdf?v=DhB5gYSgnn8xev7x5xhdPIKUsnEhs-87cEHooEGCGYw,https://keystoneco.gov/media/Town-Council/01.28.2025/6.B.2-Resolution-2025-06.pdf,mou_or_memorandum,high_priority_verification_ready,non_cba_or_other_hint,strike_or_no_strike_constraint,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-92e0a9d9d0ab29109efc.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-92e0a9d9d0ab29109efc.pdf,sha256:0e10798184a09e7f317afef1e7185d3c8294b27121b3ef3b7041e8a04182198c,locally_available,local_only_not_replicated,local_research_workspace,305387,0e10798184a09e7f317afef1e7185d3c8294b27121b3ef3b7041e8a04182198c,305387,0e10798184a09e7f317afef1e7185d3c8294b27121b3ef3b7041e8a04182198c,integrity_pass,application/pdf,14,false,false,true,3,3863,1287.667,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-07-30T14:44:21Z,false,false,B4X2500TXT-20260730-55eea6257825814994ae,text_extraction_lane_002,7,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-92e0a9d9d0ab29109efc.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:38Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-55eea6257825814994ae.txt,bccbf7b0f481b903093148de52563ac199f57adc14e1522bbd91edfdbf3186a5,38385,38250,6023,599,14,14,,2732.14,,false,,,false,false,false,false,false
B4X2500RDY-20260730-683b16032dbe5d2d9b74,readiness_lane_003,790,pdf,pdf,B4X2500SRD-20260730-3d1304fe5f56c41607f7,B4X2500V-20260730-05143,B4X2500LIVE-20260729-008803,B4X2500-20260729-08725,NJ,Northeast,Margate City,"Collective Bargaining Agreement between the City of Margate and the Police Benevolent Association, Lieutenants and Captains",https://margatenews.net/agreement.pdf,https://margatenews.net/agreement.pdf,cba,high_priority_verification_ready,cba_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-3d1304fe5f56c41607f7.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-3d1304fe5f56c41607f7.pdf,sha256:9bfc414cd9d4ea6205667e90eb0fd1ff59376d93d0975a949bc99b3b74153575,locally_available,local_only_not_replicated,local_research_workspace,598796,9bfc414cd9d4ea6205667e90eb0fd1ff59376d93d0975a949bc99b3b74153575,598796,9bfc414cd9d4ea6205667e90eb0fd1ff59376d93d0975a949bc99b3b74153575,integrity_pass,application/pdf,84,false,false,true,3,1646,548.667,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-07-30T14:44:22Z,false,false,B4X2500TXT-20260730-db5bce1eadc547704934,text_extraction_lane_002,8,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-3d1304fe5f56c41607f7.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:38Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-db5bce1eadc547704934.txt,4b7c1d1bd58611c32ecd6374049892f27cec849c72e4476b45dddb816de2f7de,124786,123352,20401,3459,84,84,,1468.48,,false,,,false,false,false,false,false
B4X2500RDY-20260730-3426e63cfca93f5e2d03,readiness_lane_004,296,pdf,pdf,B4X2500SRD-20260730-a4e2d14ab10ade509563,B4X2500V-20260730-02680,B4X2500LIVE-20260729-003376,B4X2500-20260729-03402,SD,Midwest,Roscoe,City Ordinances 2023 updated — Personnel compensation framework (set by resolution; effective January) and compliance with wage/hour laws,https://img1.wsimg.com/blobby/go/e8093a61-33ff-4247-83f4-9fd9f3b2d8c1/downloads/City%20Ordinances%202023%20updated%20%2802455335-2xB2D1A.pdf?ver=1783430322087,https://img1.wsimg.com/blobby/go/e8093a61-33ff-4247-83f4-9fd9f3b2d8c1/downloads/City%20Ordinances%202023%20updated%20%2802455335-2xB2D1A.pdf,wage_schedule,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-a4e2d14ab10ade509563.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-a4e2d14ab10ade509563.pdf,sha256:e677be51747fe1def33f898e21a7107c820f9e0031ce7f404ef81a2545961132,locally_available,local_only_not_replicated,local_research_workspace,637602,e677be51747fe1def33f898e21a7107c820f9e0031ce7f404ef81a2545961132,637602,e677be51747fe1def33f898e21a7107c820f9e0031ce7f404ef81a2545961132,integrity_pass,application/pdf,91,false,false,true,3,6522,2174.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-07-30T14:52:11Z,false,false,B4X2500TXT-20260730-2a26e97fd3c20d7dd25c,text_extraction_lane_002,9,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-a4e2d14ab10ade509563.pdf,2026-07-30T16:27:49Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:38Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-2a26e97fd3c20d7dd25c.txt,428ae194b29bc708231db9208521ba218a2bafaa8c2d77e3080c352c16835a3c,229890,229755,39617,4151,91,91,,2524.78,,false,,,false,false,false,false,false
B4X2500RDY-20260730-462d808425fbef6a97e9,readiness_lane_001,135,pdf,pdf,B4X2500SRD-20260730-6425b7f61edee28f1ee0,B4X2500V-20260730-01088,B4X2500LIVE-20260729-000826,B4X2500-20260729-00797,OH,Midwest,Madison,Collective Bargaining Agreement (Madison Township Police Department) - OPBA (term/renewal clause),https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1317.pdf,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1317.pdf,cba,high_priority_verification_ready,cba_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-6425b7f61edee28f1ee0.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-6425b7f61edee28f1ee0.pdf,sha256:6b8e595ef82e87ea54b1f320f58f89b2d7dd7a987fd22064d04b82ebcef34fea,locally_available,local_only_not_replicated,local_research_workspace,3357864,6b8e595ef82e87ea54b1f320f58f89b2d7dd7a987fd22064d04b82ebcef34fea,3357864,6b8e595ef82e87ea54b1f320f58f89b2d7dd7a987fd22064d04b82ebcef34fea,integrity_pass,application/pdf,28,false,false,true,3,2600,866.667,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-07-30T14:28:08Z,false,false,B4X2500TXT-20260730-1125065d7cf733d90225,text_extraction_lane_002,10,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-6425b7f61edee28f1ee0.pdf,2026-07-30T16:27:46Z,extracted_ok,poppler_pdftotext_layout_utf8_non_ocr,2026-07-30T16:43:38Z,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-1125065d7cf733d90225.txt,c3839892699f2f949891bf609c581f0889b834e41670ad3c106d1d18abad114d,59127,59120,9849,1099,28,28,,2111.43,,false,,,false,false,false,false,false
