state,region,municipality,possible_cycle_or_year,unit_type,candidate_count,verification_status
AK,West,Cordova,unclear (packet references an approving resolution; no attached full CBA text found in the packet content),non_safety,1,not_verified
AK,West,Cordova,"unclear (resolution states original effectiveness May 1, 2019–Dec 31, 2021 and continuation through Dec 31, 2023, but does not provide full CBA terms/wage schedule)",non_safety,1,not_verified
AK,West,Dillingham,"Effective July 1, 2025 (FY2026 salary schedule)",unclear,1,not_verified
AK,West,Dillingham,"July 1, 2019 through June 30, 2022",unknown,1,not_verified
AK,West,Dillingham,"July 1, 2022 through June 30, 2025 (effective July 1, 2022; duration clause indicates in effect May 1, 2023 through June 30, 2025)",police,1,not_verified
AK,West,Dillingham,"July 1, 2025 through June 30, 2028 (wage increases authorized in resolution: 0% on July 1, 2025; 1% on July 1, 2026; 2% on July 1, 2027)",non_safety,1,not_verified
AK,West,Dillingham,Resolution 2022-25 (personnel regulations attachment; no separate duration clause captured in extracted text),unclear,1,not_verified
AK,West,Houston,unclear,unclear,2,not_verified
AK,West,Kotzebue,unclear,non_safety,1,not_verified
AK,West,Kotzebue,unclear,unclear,4,not_verified
AK,West,Nome,"January 1, 2022 through December 31, 2024 (operative duration language also references continuation thereafter unless notice to amend; signing/ratification shown as 2022)",police,1,not_verified
AK,West,Nome,"January 1, 2025 through December 31, 2026",police,1,not_verified
AK,West,North Pole,unclear,non_safety,1,not_verified
AK,West,Seward,2026 pay plan (operative year referenced; attached pay plan text not retrievable from this source during scouting),unclear,1,not_verified
AK,West,Seward,"January 1, 2026 – December 31, 2028",unclear,1,not_verified
AK,West,Seward,unclear,unclear,1,not_verified
AK,West,Unalaska,"Jan 1, 2025 – June 30, 2026",fire,1,not_verified
AK,West,Unalaska,"July 1, 2024 through June 30, 2027",police,1,not_verified
AK,West,Unalaska,"July 1, 2025 - June 30, 2028",non_safety,1,not_verified
AK,West,Unalaska,unclear,unclear,2,not_verified
AK,West,Valdez,unclear,fire,1,not_verified
AK,West,Wrangell,"July 1, 2017 - June 30, 2020",non_safety,1,not_verified
AK,West,Wrangell,"July 1, 2021 - June 30, 2024",non_safety,1,not_verified
AK,West,Wrangell,unclear,unclear,1,not_verified
AL,South,Alabaster,unclear,non_safety,1,not_verified
AL,South,Athens,unclear,non_safety,2,not_verified
AL,South,Athens,unclear,unclear,1,not_verified
AL,South,Bessemer,unclear,non_safety,1,not_verified
AL,South,Bessemer,unclear,unclear,1,not_verified
AL,South,Daphne,unclear,non_safety,3,not_verified
AL,South,Daphne,unclear,unclear,1,not_verified
AL,South,Fairhope,unclear,unclear,2,not_verified
AL,South,Gadsden,unclear,non_safety,1,not_verified
AL,South,Gadsden,unclear,unclear,1,not_verified
AL,South,Homewood,unclear,non_safety,1,not_verified
AL,South,Northport,unclear,non_safety,1,not_verified
AL,South,Opelika,unclear,unclear,1,not_verified
AL,South,Pelham,unclear,non_safety,2,not_verified
AL,South,Pelham,unclear,unclear,2,not_verified
AR,South,Bella Vista,unclear,non_safety,1,not_verified
AR,South,Bella Vista,unclear,police,1,not_verified
AR,South,Bryant,"2022 (ordinance passed May 31, 2022) plus included 2022 approved pay tables (exact pay-table effective period not explicitly stated in the captured text)",fire,1,not_verified
AR,South,Centerton,"unclear (visible operative text references “effective January 1, 2013” and ordinance years; no CBA duration clause present)",fire,1,not_verified
AR,South,El Dorado,unclear,unclear,2,not_verified
AR,South,El Dorado,unknown,unknown,1,not_verified
AR,South,Jacksonville,unclear,non_safety,2,not_verified
AR,South,Jacksonville,unclear,police,1,not_verified
AR,South,Maumelle,unclear (budget year appears to be 2025; no CBA duration clause located),fire,1,not_verified
AR,South,Maumelle,unclear (rules/regulations document; not a labor CBA; operative period not framed as a contract term in the available snippet),unclear,1,not_verified
AR,South,Searcy,unclear,non_safety,1,not_verified
AR,South,Searcy,unclear,unclear,1,not_verified
AR,South,Siloam Springs,unclear,fire,1,not_verified
AR,South,Siloam Springs,unclear,non_safety,3,not_verified
AR,South,Siloam Springs,unclear,police,1,not_verified
AR,South,Van Buren,unclear,police,1,not_verified
AR,South,Van Buren,unclear,unclear,1,not_verified
AR,South,West Memphis,unclear,non_safety,1,not_verified
AR,South,West Memphis,unclear,unclear,1,not_verified
AZ,West,Apache Junction,Fiscal Year 2022-2023,non_safety,1,not_verified
AZ,West,Apache Junction,Fiscal Year 2025-2026,police,1,not_verified
AZ,West,Apache Junction,Fiscal Year 2026-2027,police,1,not_verified
AZ,West,Apache Junction,unclear,fire,1,not_verified
AZ,West,Apache Junction,unclear,non_safety,1,not_verified
AZ,West,Apache Junction,unclear,police,1,not_verified
AZ,West,Apache Junction,unclear,unclear,1,not_verified
AZ,West,Bullhead City,2024-07-01 through 2027-06-30 (term clause); plus potential holdover/successor conditions,police,1,not_verified
AZ,West,El Mirage,"July 1, 2024 through June 30, 2026",fire,1,not_verified
AZ,West,El Mirage,"July 1, 2025 through June 30, 2028",police,1,not_verified
AZ,West,Kingman,unclear,non_safety,1,not_verified
AZ,West,Kingman,unclear,police,1,not_verified
AZ,West,Oro Valley,2025–2026,non_safety,1,not_verified
AZ,West,Oro Valley,"FY 2026–2027 (effective date shown: Town of Oro Valley June 28, 2026)",police,1,not_verified
AZ,West,Oro Valley,"June 19, 2022–June 30, 2025; July 1, 2025–June 30, 2029",police,1,not_verified
AZ,West,Oro Valley,unclear,unclear,1,not_verified
AZ,West,Prescott Valley,FY 2022-23 (operative duration clause not extracted),police,1,not_verified
AZ,West,Prescott Valley,unclear,non_safety,1,not_verified
AZ,West,Prescott Valley,unclear,unclear,1,not_verified
AZ,West,Sahuarita,unclear,non_safety,1,not_verified
AZ,West,Sahuarita,unclear,police,2,not_verified
AZ,West,San Luis,unclear,unclear,2,not_verified
AZ,West,Sierra Vista,FY 23 (operates as fiscal-year pay plans; duration clause text not inspected),non_safety,1,not_verified
AZ,West,Sierra Vista,unclear,fire,2,not_verified
AZ,West,Sierra Vista,unclear,police,1,not_verified
AZ,West,Sierra Vista,unclear,unclear,1,not_verified
CA,West,Agoura Hills,unclear (no CBA/MOU term identified in accessible snippet),non_safety,1,not_verified
CA,West,Albany,"FY 2023-24, FY 2024-25, FY 2025-26 (effective 10/13/2025 shown on document)",unclear,1,not_verified
CA,West,Albany,"January 1, 2024–December 31, 2027",fire,1,not_verified
CA,West,Albany,"January 2, 2024–September 30, 2026",non_safety,1,not_verified
CA,West,Albany,"November 1, 2024–October 31, 2028",police,1,not_verified
CA,West,Chowchilla,"July 1, 2022 through June 30, 2025",non_safety,1,not_verified
CA,West,Chowchilla,"July 1, 2025 through June 30, 2028",police,1,not_verified
CA,West,Chowchilla,unclear,non_safety,1,not_verified
CA,West,Galt,"Effective July 1, 2026 (MOU reference to eff. 7/1/25; no explicit end date in visible salary schedule content)",non_safety,1,not_verified
CA,West,Galt,"Effective July 1, 2026 (no end date found in document content)",police,1,not_verified
CA,West,Galt,"July 1, 2025 through June 30, 2027 (term language appears in indexed snippet; full document could not be fetched)",police,1,not_verified
CA,West,Galt,"July 1, 2025 through June 30, 2028 (term language in side letter)",non_safety,1,not_verified
CA,West,Galt,"Policy manual revisions; last revision entries include 2025-47, 2025-61, 2025-93, 2026-15, 2026-53",non_safety,1,not_verified
CA,West,Imperial Beach,"Effective July 1, 2026 – June 30, 2027",non_safety,1,not_verified
CA,West,Imperial Beach,"July 1, 2025 – June 30, 2027",fire,1,not_verified
CA,West,Imperial Beach,"July 1, 2025 – June 30, 2027",non_safety,1,not_verified
CA,West,Imperial Beach,unclear,unknown,1,not_verified
CA,West,Laguna Beach,Effective 7/1/2025 (and includes sections effective 1/1/2026 for some units); year references are within the salary schedule PDF,non_safety,1,not_verified
CA,West,Laguna Beach,"Effective January 1, 2025 through June 30, 2027 (modifies EPP payment; “life of the current MOU which expires on June 30, 2027”)",fire,1,not_verified
CA,West,Laguna Beach,"July 1, 2024 - June 30, 2027",fire,1,not_verified
CA,West,Laguna Beach,"July 1, 2024 until June 30, 2026",police,1,not_verified
CA,West,Laguna Beach,"July 1, 2025 – September 30, 2026 (term shown in search snippet; full content could not be retrieved due to access restriction)",non_safety,1,not_verified
CA,West,Orinda,"July 1, 2025 - June 30, 2029",non_safety,1,not_verified
CA,West,Orinda,unclear,fire,1,not_verified
CA,West,Orinda,unclear,non_safety,1,not_verified
CA,West,Orinda,unclear,police,1,not_verified
CA,West,Seal Beach,"July 1, 2023 through June 30, 2025 (plus potential extension if both parties concur in writing)",police,1,not_verified
CA,West,Seal Beach,"June 30, 2023 (expiration visible); start/effective date unclear from accessible snippet",police,1,not_verified
CA,West,Seal Beach,"Unclear from document (shows effective date January 1, 2021; not a CBA term)",non_safety,1,not_verified
CA,West,South El Monte,2020-07-01 (effective); 2021-01-01 (salary schedule); 2021-07-01 (effective); 2022-01-01 (part-time effective) (operative dates shown in document),non_safety,1,not_verified
CA,West,South El Monte,unclear,non_safety,1,not_verified
CA,West,Yucca Valley,unclear,non_safety,1,not_verified
CA,West,Yucca Valley,unclear,unknown,1,not_verified
CO,West,Castle Rock,unclear,non_safety,1,not_verified
CO,West,Castle Rock,unclear,unclear,1,not_verified
