candidate_id,target_id,municipality_id,municipality,state,county,region,lane_id,source_family_query_family,source_corpus_routing_hint,candidate_title,candidate_url_or_locator,source_domain,normalized_locator,snippet,search_rank,source_owner,source_owner_type,unit_type_hint,union_name_hint,employer_hint,possible_cycle_or_year,document_type_hint,candidate_stage,document_completeness,visible_year_evidence,overlap_with_anchor_cycle,duplicate_risk,blocked_or_unreadable_flag,cycle_match_notes,comparator_role,wrong_employer_risk,context_only_flag,needs_verification_reason,why_relevant,confidence,source_family_hint,source_family_confidence,mechanism_source_family_hints,discovery_timestamp,candidate_quality_hint,duplicate_locator_flag,prior_seen_locator_flag,verification_status,download_status,source_review_status,extraction_status,rating_status,ingestion_status,normalization_status,global_analysis_readiness,lineage
BRM5C-BRM5-20260731-11230-01,BRM5-20260731-11230,cog_2025_225054,Burt,IA,Kossuth County (19109; primary),Midwest,scout_lane_004,budget_pay_plan,causal_or_pay_record,"February 2025 City Council Agenda (includes Resolution 2025-07, a resolution setting wage)",https://burtiowa.com/wp-content/uploads/2025/02/February-2025-City-Council-Agenda.pdf,burtiowa.com,https://burtiowa.com/wp-content/uploads/2025/02/February-2025-City-Council-Agenda.pdf,"Indicates the municipality adopted a wage-setting resolution (likely affecting non-base/step/longevity or other wage components), which is the target artifact family (budget_pay_plan).",1,,city,unclear,,Burt municipal government,unclear,agenda_cover_sheet,context_only_candidate,index_or_landing_page,index_or_snippet_only,unclear,none,no,Agenda item references Resolution 2025-07 (resolution setting wage) but the agenda text does not include the wage schedule/amounts or any operative compensation-plan text.,mechanism_context,none,yes,Resolution 2025-07 text/wage table is not included in the agenda document; wage amounts and duration clause are not inspectable here.,"Indicates the municipality adopted a wage-setting resolution (likely affecting non-base/step/longevity or other wage components), which is the target artifact family (budget_pay_plan).",medium,budget_or_pay_plan,high,,2026-07-31T20:21:51.720770+00:00,medium_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11230
BRM5C-BRM5-20260731-11230-02,BRM5-20260731-11230,cog_2025_225054,Burt,IA,Kossuth County (19109; primary),Midwest,scout_lane_004,budget_pay_plan,causal_or_pay_record,NOTICE: CITY OF BURT EMPLOYEE WAGE REPORT (published with Burt city council proceedings),https://iaarchives.newzgroup.com/IALegals/2026/44421-2026-01-23_1002.pdf,iaarchives.newzgroup.com,https://iaarchives.newzgroup.com/IALegals/2026/44421-2026-01-23_1002.pdf,"May help identify the existence/scale of Burt municipal wage-setting, but it is not a pay plan or bargaining artifact.",2,,third_party,unclear,,Burt municipal government,unclear,context_only,insufficient_candidate,partial_document,other_operative_text,unclear,none,no,This is a wage-report notice listing employee gross wages; it is not a compensation plan/pay schedule and does not provide duration/award period language for a wage plan.,no_comparator_role,possible,yes,"No wage schedule, longevity/shift/non-base pay specification, or operative duration clause appears to be present for a wage plan comparability use.","May help identify the existence/scale of Burt municipal wage-setting, but it is not a pay plan or bargaining artifact.",low,budget_or_pay_plan,high,non_safety_constraint_signal,2026-07-31T20:21:51.720770+00:00,low_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11230
BRM5C-BRM5-20260731-11232-01,BRM5-20260731-11232,cog_2025_126725,Callender,IA,Webster County (19187; primary),Midwest,scout_lane_004,personnel_policy,causal_or_pay_record,"Annual Publication of Wages (referenced in City Council meeting minutes) — January 14, 2025 (Regular Council Meeting Minutes)",https://cityofcallenderiowa.com/Assets/Files/Minutes/2025/20250114%20Regular%20Council%20Meeting%20Minutes.pdf,cityofcallenderiowa.com,https://cityofcallenderiowa.com/Assets/Files/Minutes/2025/20250114%20Regular%20Council%20Meeting%20Minutes.pdf,"Provides wage figures attributed to City employees under a stated ""Annual Publication of Wages"" label, which may relate to personnel policy / pay administration.",1,,city,non_safety,,Callender municipal government,unclear,meeting_minutes,insufficient_candidate,partial_document,other_operative_text,no_anchor_supplied,possible,no,"Minutes include a line item labeled ""Annual Publication of Wages 2024"" with multiple employee wage amounts; no explicit policy mechanism (pay plan, market-recruitment/retention review, or ordinance/policy language) and no duration/award clause found in the minutes content shown.",authoritative_civilian_wage_setting,none,no,Binding personnel policy / operative compensation-setting language and any effective-date/duration terms are not evident from the surfaced minutes excerpt alone.,"Provides wage figures attributed to City employees under a stated ""Annual Publication of Wages"" label, which may relate to personnel policy / pay administration.",medium,personnel_policy,high,market_or_comparability_pressure;non_safety_constraint_signal,2026-07-31T20:22:40.487927+00:00,medium_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11232
BRM5C-BRM5-20260731-11232-02,BRM5-20260731-11232,cog_2025_126725,Callender,IA,Webster County (19187; primary),Midwest,scout_lane_004,personnel_policy,causal_or_pay_record,"Annual Publication of Wages (referenced in City Council meeting minutes) — January 9, 2024 (Regular Council Meeting Minutes)",https://cityofcallenderiowa.com/Assets/Files/Minutes/2024/20240109%20Regular%20Council%20Meeting%20Minutes.pdf,cityofcallenderiowa.com,https://cityofcallenderiowa.com/Assets/Files/Minutes/2024/20240109%20Regular%20Council%20Meeting%20Minutes.pdf,Provides a prior-year wage disclosure that could support continuity/growth comparisons if paired with operative pay-setting mechanisms.,2,,city,non_safety,,Callender municipal government,unclear,meeting_minutes,insufficient_candidate,partial_document,other_operative_text,no_anchor_supplied,none,no,"Minutes include a line item labeled ""Annual Publication of Wages 2023"" with multiple employee wage amounts; no explicit pay policy document or operative duration clause shown in the surfaced minutes excerpt.",authoritative_civilian_wage_setting,none,no,"Must verify whether the publication reflects an operative personnel policy / pay plan vs. informational disclosure, and whether any effective dates/duration clauses exist elsewhere (e.g., ordinance/policy attachment).",Provides a prior-year wage disclosure that could support continuity/growth comparisons if paired with operative pay-setting mechanisms.,medium,agenda_packet_or_minutes,high,,2026-07-31T20:22:40.487927+00:00,medium_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11232
BRM5C-BRM5-20260731-11232-03,BRM5-20260731-11232,cog_2025_126725,Callender,IA,Webster County (19187; primary),Midwest,scout_lane_004,personnel_policy,causal_or_pay_record,"Callender, IA — Agendas & Minutes landing page",https://cityofcallenderiowa.com/AgendasAndMinutes.aspx,cityofcallenderiowa.com,https://cityofcallenderiowa.com/AgendasAndMinutes.aspx,"Primary municipal source index for locating any personnel policy / compensation-setting materials relevant to recruitment, retention, or wage reviews.",3,,city,unclear,,Callender municipal government,unclear,index_page,context_only_candidate,index_or_landing_page,index_or_snippet_only,no_anchor_supplied,none,no,Landing page provides pointers to specific agenda/minutes PDFs (2023-2026). Not a wage-policy document itself.,mechanism_context,none,yes,Must open individual agendas/minutes (and any attached wage/policy exhibits) to determine if there are operative personnel policy/wage-setting provisions.,"Primary municipal source index for locating any personnel policy / compensation-setting materials relevant to recruitment, retention, or wage reviews.",high,personnel_policy,high,market_or_comparability_pressure,2026-07-31T20:22:40.487927+00:00,high_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11232
BRM5C-BRM5-20260731-11240-01,BRM5-20260731-11240,cog_2025_204470,Corwith,IA,Hancock County (19081; primary),Midwest,scout_lane_004,wage_salary_schedule,causal_or_pay_record,Corwith City Council Minutes 4.8.25 (contains clerk pay motion),https://garnerleader.com/sites/default/files/Leader%20Legals.pdf,garnerleader.com,https://garnerleader.com/sites/default/files/Leader%20Legals.pdf,Provides a city-level civilian pay rate (City Clerk) suitable as wage/salary-setting reference material for non-safety municipal employment; no police/fire CBA evidence found for Corwith IA.,1,,third_party,non_safety,,Corwith municipal government,unclear,meeting_minutes,insufficient_candidate,partial_document,other_operative_text,unclear,none,no,"The PDF page content includes an operative motion setting City Clerk pay ($31.00/hour effective the day a new clerk starts), but it does not state a wage schedule term or duration/award period for a multi-year pay plan.",authoritative_civilian_wage_setting,possible,no,"Operative pay rate is present, but wage duration/coverage years are not stated (no contract/Wage Plan term). Also verify whether the minutes are exclusively for Corwith and not a composite publication excerpt.",Provides a city-level civilian pay rate (City Clerk) suitable as wage/salary-setting reference material for non-safety municipal employment; no police/fire CBA evidence found for Corwith IA.,low,agenda_packet_or_minutes,high,non_safety_constraint_signal,2026-07-31T20:26:02.332998+00:00,low_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11240
BRM5C-BRM5-20260731-11248-01,BRM5-20260731-11248,cog_2025_104499,Fertile,IA,Worth County (19195; primary),Midwest,scout_lane_004,local_pay_policy_payroll,causal_or_pay_record,City Council Meeting Minutes (includes reference to “list of employee wages and benefits”),https://fertileiowa.us/wp-content/uploads/Minutes-25-11.pdf,fertileiowa.us,https://fertileiowa.us/wp-content/uploads/Minutes-25-11.pdf,"Municipal civilian/non-safety compensation can be set/updated via city council materials (e.g., wage/benefits lists and resolutions).",1,,city,non_safety,,City of Fertile (municipal government),unclear,meeting_minutes,insufficient_candidate,partial_document,other_operative_text,no_anchor_supplied,none,no,"Minutes dated 2025-11-18 mention a list of employee wages and benefits, but the visible excerpt does not show wage rate tables or any binding wage-duration language.",ordinary_non_safety_comparator,none,no,No operative wage-rate table or wage-plan duration clause is visible in the provided document excerpt; may require locating the referenced wages/benefits list or associated resolution attachment on the site.,"Municipal civilian/non-safety compensation can be set/updated via city council materials (e.g., wage/benefits lists and resolutions).",low,agenda_packet_or_minutes,high,non_safety_constraint_signal,2026-07-31T20:29:39.489332+00:00,low_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11248
BRM5C-BRM5-20260731-11248-02,BRM5-20260731-11248,cog_2025_104499,Fertile,IA,Worth County (19195; primary),Midwest,scout_lane_004,local_pay_policy_payroll,causal_or_pay_record,Chapter 4 Salaries of Municipal Officers (compensation of other officers/employees set by City Council resolution),https://fertileiowa.us/5-2/code/chapter-4-salaries-of-municipal-officers/,fertileiowa.us,https://fertileiowa.us/5-2/code/chapter-4-salaries-of-municipal-officers,Establishes the mechanism/location where binding wage-setting documents should be found (City Council resolutions for employee compensation).,2,,city,unclear,,City of Fertile (municipal government),unclear,ordinance_or_policy,context_only_candidate,full_document,other_operative_text,no_anchor_supplied,none,no,This is a code provision stating compensation of “all other officers and employees” is set by City Council resolution; it does not provide wage rates or an award period.,mechanism_context,none,yes,Requires follow-on discovery of the specific City Council resolutions that set actual wages/benefits for non-safety employees (and any police/fire if applicable).,Establishes the mechanism/location where binding wage-setting documents should be found (City Council resolutions for employee compensation).,medium,other_local_government_pay_policy,medium,,2026-07-31T20:29:39.489332+00:00,medium_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11248
BRM5C-BRM5-20260731-11251-01,BRM5-20260731-11251,cog_2025_164352,Goose Lake,IA,Clinton County (19045; primary),Midwest,scout_lane_004,mou_memorandum_settlement,causal,"City Council Minutes (includes reference to Resolution No. 9419 cost of living increase of 4% effective July 1, 2022)",https://www.gooselakeiowa.org/docs/minutes/20220616.pdf,gooselakeiowa.org,https://gooselakeiowa.org/docs/minutes/20220616.pdf,"Indicates an official municipal wage/cola adjustment mechanism (4% effective 7/1/2022) that may align with the requested COLA/CPI wage-increase anchor, but does not evidence a labor-source agreement.",1,,city,non_safety,,Goose Lake municipal government,unclear,agenda_cover_sheet,insufficient_candidate,partial_document,other_operative_text,unclear,none,no,"Minutes text states council approved Resolution No. 9419 cost of living increase of 4% for all current employees as of July 1, 2022; binding CBA/MOU terms not identified.",authoritative_civilian_wage_setting,none,yes,"Source is council minutes; not a filed collective bargaining agreement/MOU/settlement with police/fire/non-safety bargaining unit scope, duration, or wage schedule language.","Indicates an official municipal wage/cola adjustment mechanism (4% effective 7/1/2022) that may align with the requested COLA/CPI wage-increase anchor, but does not evidence a labor-source agreement.",low,agenda_packet_or_minutes,high,,2026-07-31T20:31:09.407792+00:00,low_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11251
BRM5C-BRM5-20260731-11261-01,BRM5-20260731-11261,cog_2025_164338,Lawler,IA,Chickasaw County (19037; primary),Midwest,scout_lane_004,broad_pay_employee_compensation_index,discovery_route_separate_corpora,City Council Minutes (July 2026) — Resolution NO. 2026-07062026-2 wage amount for city employees,https://lawleriowa.us/,lawleriowa.us,https://lawleriowa.us,"Could indicate ordinary (non-safety) municipal wage setting/adjustment approved by the city council (potentially matching the anchor need for retroactive wage implementation effective date), but binding wage terms are not confirmed from the inspected content.",1,,city,non_safety,,Lawler municipal government municipal government,unclear,meeting_minutes,insufficient_candidate,partial_document,other_operative_text,no_anchor_supplied,none,no,"Observed resolution identifier (2026-07062026-2) approving a 'wage amount for city employees' in July 2026 council minutes, but no operative duration clause, coverage dates, or effective/retroactive implementation date was shown in the inspected excerpt.",ordinary_non_safety_comparator,possible,no,"Lead is a council-minutes page that mentions a wage resolution, but the inspected text does not include binding terms (e.g., duration/award period) or a retroactive effective date; wage amount details are not visible in the inspected excerpt.","Could indicate ordinary (non-safety) municipal wage setting/adjustment approved by the city council (potentially matching the anchor need for retroactive wage implementation effective date), but binding wage terms are not confirmed from the inspected content.",low,agenda_packet_or_minutes,high,non_safety_constraint_signal,2026-07-31T20:35:44.996950+00:00,low_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11261
