scope,name,overall_count,scout_lane_001,scout_lane_002,scout_lane_003,scout_lane_004,scout_lane_005
state,AL,15,3,3,3,3,3
state,AR,54,11,10,11,11,11
state,CT,1,1,0,0,0,0
state,DE,1,0,1,0,0,0
state,FL,1,0,0,0,0,1
state,GA,97,20,20,19,19,19
state,IA,472,94,95,95,94,94
state,IL,2172,435,435,434,434,434
state,IN,1107,221,221,222,221,222
state,KS,1382,277,276,277,276,276
state,LA,1,0,0,1,0,0
state,MA,1,0,0,0,1,0
state,ME,32,7,7,6,6,6
state,MI,1271,255,254,254,254,254
state,MN,2123,424,424,425,425,425
state,MO,740,148,148,148,148,148
state,NC,99,20,19,20,20,20
state,ND,1217,243,244,243,244,243
state,NE,413,82,83,82,83,83
state,NJ,57,11,11,11,12,12
state,NY,1025,205,205,205,205,205
state,OH,1475,295,295,295,295,295
state,OK,144,28,29,29,29,29
state,PA,2050,410,410,410,410,410
state,SD,756,152,151,151,151,151
state,TX,690,138,138,138,138,138
state,VT,2,0,1,1,0,0
state,WA,1,1,0,0,0,0
state,WI,1303,260,261,260,261,261
region,Midwest,14431,2886,2887,2886,2886,2886
region,Northeast,3168,634,634,633,634,633
region,South,1102,220,220,221,220,221
region,West,1,1,0,0,0,0
