growth_candidate_id,normalization_id,municipality,state,region,side_label,role_unit,growth_value,growth_value_candidates,growth_value_type,pay_basis,period_label,normalization_status,normalization_confidence,mechanism_class,quant_qual_link_id,growth_continuity_status,caveats,source_locator_lineage,cleaned_analysis_use_primary_category,cross_side_wage_level_comparison_forced
BRMGROWTHNORM-20260803-7d6f37ff8ceac3b1c2dd8154,BRMQNORM-20260803-009b264c17858bf657f99ca7,Perry,OH,Midwest,fire_direct,fire_role,2.0,[2.0],percentage,percentage_raise,2018–2019,normalized_growth_or_percentage_only,moderate,collective_bargaining,BRMQLINK-20260803-7d6f37ff8ceac3b1c2dd8154,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-09853-04"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-10-0993.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-10-0993.pdf"", ""scout_target_id"": ""BRM5-20260731-09853""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-3bc18b79b3fa85477e09aed5,BRMQNORM-20260803-01c4e3e41a76be56903aa406,Upper Uwchlan,PA,Northeast,police_direct,police_role,3.0,[3.0],percentage,budget_amount,2019–2020,normalized_budget_context_only,moderate,non_base_compensation,BRMQLINK-20260803-3bc18b79b3fa85477e09aed5,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10961-01"", ""final"": ""https://upperuwchlan-pa.gov/ArchiveCenter/ViewFile/Item/1764"", ""original"": ""https://www.upperuwchlan-pa.gov/ArchiveCenter/ViewFile/Item/1764"", ""scout_target_id"": ""BRM5-20260731-10961""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-781162d904733b33726c7a27,BRMQNORM-20260803-01fcb814ca45c1fa41f0dec4,Medford,WI,Midwest,police_direct,police_role,4.0,[4.0],percentage,percentage_raise,2026–2028,normalized_growth_or_percentage_only,moderate,non_base_compensation,BRMQLINK-20260803-781162d904733b33726c7a27,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02775-02"", ""final"": ""https://citymedfordwi.civicweb.net/document/178479/Ratification_%202026-2028%20Police%20Association%20Loca.pdf"", ""original"": ""https://citymedfordwi.civicweb.net/document/178479/Ratification_%202026-2028%20Police%20Association%20Loca.pdf?handle=B9673C1C75D746E5AA58F2E5D04B39C7"", ""scout_target_id"": ""BRM5-20260731-02775""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-ca68616ba871e1dd500d92c6,BRMQNORM-20260803-031809c4628c95952ca27483,Dunn,WI,Midwest,police_direct,police_role,1.0,[1.0],percentage,percentage_raise,2010,normalized_growth_or_percentage_only,moderate,cola_cpi_indexing,BRMQLINK-20260803-ca68616ba871e1dd500d92c6,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17657-01"", ""final"": ""https://werc.wi.gov/interest_awards/mia33091.pdf"", ""original"": ""https://werc.wi.gov/interest_awards/mia33091.pdf"", ""scout_target_id"": ""BRM5-20260731-17657""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-ffc1d318fc8653317717c21d,BRMQNORM-20260803-038a33f949dab952fc2438a5,Oakwood,OH,Midwest,police_direct,police_role,1.5,[1.5],percentage,percentage_raise,2019–2022,normalized_growth_or_percentage_only,moderate,other_pay_setting_mechanism,BRMQLINK-20260803-ffc1d318fc8653317717c21d,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06104-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-CON-02-1726.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-CON-02-1726.pdf"", ""scout_target_id"": ""BRM5-20260731-06104""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-f9fbc522504ec4e78d5b06fe,BRMQNORM-20260803-055460e860ee6d5165917e1c,Williamson,NY,Northeast,non_safety_direct,non_safety_role,17.68,[17.68],step_schedule_values,hourly,2014–2018,normalized_ready,high,,,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06850-01"", ""final"": ""https://williamsonny.gov/wp-content/uploads/2017/04/01-06-2015-Organizational.pdf"", ""original"": ""https://williamsonny.gov/wp-content/uploads/2017/04/01-06-2015-Organizational.pdf"", ""scout_target_id"": ""BRM5-20260731-06850""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-824ed092b0866585a5133f87,BRMQNORM-20260803-0693ac27ed9df9d8127cf31e,Evans Mills,NY,Northeast,non_safety_direct,non_safety_role,3.0,[3.0],percentage,percentage_raise,2026,normalized_growth_or_percentage_only,moderate,other_pay_setting_mechanism,BRMQLINK-20260803-824ed092b0866585a5133f87,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10447-01"", ""final"": ""https://a563717b-9cc7-4180-8fb4-c2dc95e07bf3.filesusr.com/ugd/272ab3_7a1b5cd86eb84df390d6d18de8b28e90.pdf"", ""original"": ""https://a563717b-9cc7-4180-8fb4-c2dc95e07bf3.filesusr.com/ugd/272ab3_7a1b5cd86eb84df390d6d18de8b28e90.pdf"", ""scout_target_id"": ""BRM5-20260731-10447""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-e30f25d77ec514ed048be87a,BRMQNORM-20260803-08308f68d9326d98c4ea9b35,Sherman,WI,Midwest,police_direct,police_role,47.0,[47.0],percentage,budget_amount,2020,normalized_budget_context_only,moderate,other_pay_setting_mechanism,BRMQLINK-20260803-e30f25d77ec514ed048be87a,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14062-02"", ""final"": ""https://townofshermandunn.com/assets/files/2021/10/october-15-2020-budget-planning-final.pdf"", ""original"": ""https://www.townofshermandunn.com/assets/files/2021/10/october-15-2020-budget-planning-final.pdf"", ""scout_target_id"": ""BRM5-20260731-14062""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-2f969789da7a7dd1bdf8c453,BRMQNORM-20260803-09e4ff63754f435348723e2c,Jefferson,WI,Midwest,police_direct,police_role,2.0,[2.0],percentage,percentage_raise,2022,normalized_growth_or_percentage_only,moderate,collective_bargaining,BRMQLINK-20260803-2f969789da7a7dd1bdf8c453,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10226-02"", ""final"": ""https://jeffersonwis.com/wp-content/uploads/2021/12/Mins11162021.pdf"", ""original"": ""https://jeffersonwis.com/wp-content/uploads/2021/12/Mins11162021.pdf"", ""scout_target_id"": ""BRM5-20260731-10226""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-67cdddbd20105291f5e2e863,BRMQNORM-20260803-0a4995a7b65eb8b652c76ccd,Huntington Bay,NY,Northeast,police_direct,police_role,100.0,[100.0],percentage,percentage_raise,2003,normalized_growth_or_percentage_only,moderate,other_pay_setting_mechanism,BRMQLINK-20260803-67cdddbd20105291f5e2e863,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06749-02"", ""final"": ""https://cf003.cdn.4science.cloud/4s-assetstore-prod--cornell--ecommons/52/64/44/52644425711511982953147163512948839496"", ""original"": ""https://ecommons.cornell.edu/bitstreams/e0135d07-b416-435f-90db-3ae765520d88/download"", ""scout_target_id"": ""BRM5-20260731-06749""}",same_side_growth_evidence,false
