cleaned_id,cleaned_unit_type,original_unit_id,normalization_id,match_id,span_id,source_rating_id,municipality,state,region,source_family,cba_non_cba_hint,original_evidence_category,original_evidence_family,claim_readiness_bucket,downstream_use_bucket,original_normalization_status,original_matching_status,original_blocker_flags,final_side_label,reconciliation_confidence,reconciliation_reason_codes,raw_value_tokens,raw_span_snippet_sha256,raw_bounded_context_snippet_sha256,raw_evidence_pointer,source_locator_lineage_sha256,cleaned_analysis_use_primary_category,cleaned_analysis_use_secondary_tags,cleaned_blocker_status,cleaned_repair_status,cleaned_downstream_route,cleaned_claim_boundary,cleaned_confidence,cleaned_caveats,cleaned_period_label,cleaned_period_status,cleaned_pay_basis,cleaned_compensation_type,cleaned_non_scalar_structure_type,quant_qual_link_status,national_readiness_status
BRMCLEAN-bbda82d06af7669aa2b7315c,matching_structure,BRMMATCH-20260803-00163c41dd18560d8efbd546,,BRMMATCH-20260803-00163c41dd18560d8efbd546,,,Cherry Valley,IL,Midwest,multiple_or_cluster,,matching_structure,derived_structure,,national_readiness_review,not_applicable_structure_unit,national_readiness_candidate,"[""missing_clear_cross_side_normalized_anchors""]",police_direct,,[],[],,,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/all_tier_matching_results.csv#BRMMATCH-20260803-00163c41dd18560d8efbd546,b9fd5c1e1aeb1c28bf668a82a1b67c0b62a6810b164dc0349d33a53104b2ff40,national_readiness_stratum_only,"[""national_stratum_candidate"",""same_period_cluster""]",missing_cross_side_anchor,routed_to_non_comparison_analysis_use,analysis_use_qa,"structure-level readiness only; no final wage-gap, national, prevalence, or causal claim",moderate,"[""provisional_internal_candidate_only"",""no_final_wage_gap_claim"",""no_causal_claim""]",,compatible_explicit_or_repaired,compatible_exact_basis_and_type,multiple_or_cluster,matching_structure,,
BRMCLEAN-862fc99cc20da58169835b11,matching_structure,BRMMATCH-20260803-00396e2cfa4f664bd2e66162,,BRMMATCH-20260803-00396e2cfa4f664bd2e66162,,,Skaneateles,NY,Northeast,multiple_or_cluster,,matching_structure,derived_structure,,national_readiness_review,not_applicable_structure_unit,national_readiness_candidate,"[""missing_clear_cross_side_normalized_anchors""]",non_safety_direct,,[],[],,,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/all_tier_matching_results.csv#BRMMATCH-20260803-00396e2cfa4f664bd2e66162,dc6db5ab9fa92a95e225ff7161a40686227091e6718bce381aadbabefe51f2a1,national_readiness_stratum_only,"[""national_stratum_candidate"",""same_period_cluster""]",missing_cross_side_anchor,routed_to_non_comparison_analysis_use,analysis_use_qa,"structure-level readiness only; no final wage-gap, national, prevalence, or causal claim",moderate,"[""provisional_internal_candidate_only"",""no_final_wage_gap_claim"",""no_causal_claim""]",,compatible_explicit_or_repaired,compatible_exact_basis_and_type,multiple_or_cluster,matching_structure,,
BRMCLEAN-d4f96dde1bba6b4ec965a7e8,matching_structure,BRMMATCH-20260803-00508a192b00d08b3ce75917,,BRMMATCH-20260803-00508a192b00d08b3ce75917,,,Resort,MI,Midwest,multiple_or_cluster,,matching_structure,derived_structure,,national_readiness_review,not_applicable_structure_unit,national_readiness_candidate,"[""missing_clear_cross_side_normalized_anchors""]",fire_direct,,[],[],,,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/all_tier_matching_results.csv#BRMMATCH-20260803-00508a192b00d08b3ce75917,0fe69bb18e78673e566eb4abfda4d67b8e5e9fdb6eec833dd7e88c4542fb9dab,national_readiness_stratum_only,"[""national_stratum_candidate"",""same_period_cluster""]",missing_cross_side_anchor,routed_to_non_comparison_analysis_use,analysis_use_qa,"structure-level readiness only; no final wage-gap, national, prevalence, or causal claim",moderate,"[""provisional_internal_candidate_only"",""no_final_wage_gap_claim"",""no_causal_claim""]",,compatible_explicit_or_repaired,compatible_exact_basis_and_type,multiple_or_cluster,matching_structure,,
BRMCLEAN-b2f3b00430ea35d70967ec65,matching_structure,BRMMATCH-20260803-0052443e7cb87eb2fe9798a7,,BRMMATCH-20260803-0052443e7cb87eb2fe9798a7,,,Rushville,NY,Northeast,multiple_or_cluster,,matching_structure,derived_structure,,national_readiness_review,not_applicable_structure_unit,national_readiness_candidate,"[""missing_clear_cross_side_normalized_anchors""]",non_safety_direct,,[],[],,,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/all_tier_matching_results.csv#BRMMATCH-20260803-0052443e7cb87eb2fe9798a7,32bb0f93e5721f8b52836ce72c9fc72eeb144128a3e59b86afcb99b4f37b31f5,national_readiness_stratum_only,"[""national_stratum_candidate"",""same_period_cluster""]",missing_cross_side_anchor,routed_to_non_comparison_analysis_use,analysis_use_qa,"structure-level readiness only; no final wage-gap, national, prevalence, or causal claim",moderate,"[""provisional_internal_candidate_only"",""no_final_wage_gap_claim"",""no_causal_claim""]",,compatible_explicit_or_repaired,compatible_exact_basis_and_type,multiple_or_cluster,matching_structure,,
BRMCLEAN-ae7ccfc4cd1c572f79072e5f,matching_structure,BRMMATCH-20260803-005e78a6c69987928765146c,,BRMMATCH-20260803-005e78a6c69987928765146c,,,Marion,OH,Midwest,multiple_or_cluster,,matching_structure,derived_structure,,national_readiness_review,not_applicable_structure_unit,national_readiness_candidate,"[""missing_clear_cross_side_normalized_anchors""]",police_direct,,[],[],,,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/all_tier_matching_results.csv#BRMMATCH-20260803-005e78a6c69987928765146c,e710edfaca177be86ecbe2f18412d8dd009a10f6071c41f7af2038a47436b1f0,national_readiness_stratum_only,"[""national_stratum_candidate"",""same_period_cluster""]",missing_cross_side_anchor,routed_to_non_comparison_analysis_use,analysis_use_qa,"structure-level readiness only; no final wage-gap, national, prevalence, or causal claim",moderate,"[""provisional_internal_candidate_only"",""no_final_wage_gap_claim"",""no_causal_claim""]",,compatible_explicit_or_repaired,compatible_exact_basis_and_type,multiple_or_cluster,matching_structure,,
BRMCLEAN-8ef2a6935236d3602362e906,matching_structure,BRMMATCH-20260803-006399992cc5563bd97d75e0,,BRMMATCH-20260803-006399992cc5563bd97d75e0,,,Ontario,NY,Northeast,multiple_or_cluster,,matching_structure,derived_structure,,national_readiness_review,not_applicable_structure_unit,national_readiness_candidate,"[""missing_clear_cross_side_normalized_anchors""]",non_safety_direct,,[],[],,,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/all_tier_matching_results.csv#BRMMATCH-20260803-006399992cc5563bd97d75e0,9f864e7fbf05baac1f099812b98ab580864a94979c0461eea2509b62ec5c4219,national_readiness_stratum_only,"[""national_stratum_candidate"",""same_period_cluster""]",missing_cross_side_anchor,routed_to_non_comparison_analysis_use,analysis_use_qa,"structure-level readiness only; no final wage-gap, national, prevalence, or causal claim",moderate,"[""provisional_internal_candidate_only"",""no_final_wage_gap_claim"",""no_causal_claim""]",,compatible_explicit_or_repaired,compatible_exact_basis_and_type,multiple_or_cluster,matching_structure,,
BRMCLEAN-c7e3e7ba7b163e9202c24513,matching_structure,BRMMATCH-20260803-006982474b494402c56aad8d,,BRMMATCH-20260803-006982474b494402c56aad8d,,,Patton Village,TX,South,multiple_or_cluster,,matching_structure,derived_structure,,national_readiness_review,not_applicable_structure_unit,national_readiness_candidate,"[""no_scalar_normalized_value"",""missing_clear_cross_side_normalized_anchors"",""pay_basis_or_compensation_type_incompatible"",""period_incompatible_or_missing""]",police_direct,,[],[],,,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/all_tier_matching_results.csv#BRMMATCH-20260803-006982474b494402c56aad8d,7852e21dcc88857e6fd047cdeb2745033366e048bda861a7fc8a98375cf0d427,national_readiness_stratum_only,"[""national_stratum_candidate""]",multiple_blockers,routed_to_non_comparison_analysis_use,analysis_use_qa,"structure-level readiness only; no final wage-gap, national, prevalence, or causal claim",moderate,"[""provisional_internal_candidate_only"",""no_final_wage_gap_claim"",""no_causal_claim""]",,missing_or_incompatible,blocked_or_unresolved,multiple_or_cluster,matching_structure,,
BRMCLEAN-f515d038f9818b366a0dfc11,matching_structure,BRMMATCH-20260803-008739654978c60bc3576166,,BRMMATCH-20260803-008739654978c60bc3576166,,,Ticonderoga,NY,Northeast,multiple_or_cluster,,matching_structure,derived_structure,,national_readiness_review,not_applicable_structure_unit,national_readiness_candidate,"[""missing_clear_cross_side_normalized_anchors""]",non_safety_direct,,[],[],,,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/all_tier_matching_results.csv#BRMMATCH-20260803-008739654978c60bc3576166,e3a75c01ccccd5cf9c65fbc0adf5e62a8d69913889917067727728a070a6fd47,national_readiness_stratum_only,"[""national_stratum_candidate"",""same_period_cluster""]",missing_cross_side_anchor,routed_to_non_comparison_analysis_use,analysis_use_qa,"structure-level readiness only; no final wage-gap, national, prevalence, or causal claim",moderate,"[""provisional_internal_candidate_only"",""no_final_wage_gap_claim"",""no_causal_claim""]",,compatible_explicit_or_repaired,compatible_exact_basis_and_type,multiple_or_cluster,matching_structure,,
BRMCLEAN-84cdebe3fd8d2b6e04bf68bc,matching_structure,BRMMATCH-20260803-00b66356cb955141ec768e71,,BRMMATCH-20260803-00b66356cb955141ec768e71,,,Forest View,IL,Midwest,multiple_or_cluster,,matching_structure,derived_structure,,national_readiness_review,not_applicable_structure_unit,national_readiness_candidate,"[""missing_clear_cross_side_normalized_anchors""]",police_direct,,[],[],,,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/all_tier_matching_results.csv#BRMMATCH-20260803-00b66356cb955141ec768e71,47bb0406b236891361543db5d43bb030b500970a3b514daffd84856f34d2a448,national_readiness_stratum_only,"[""national_stratum_candidate"",""same_period_cluster""]",missing_cross_side_anchor,routed_to_non_comparison_analysis_use,analysis_use_qa,"structure-level readiness only; no final wage-gap, national, prevalence, or causal claim",moderate,"[""provisional_internal_candidate_only"",""no_final_wage_gap_claim"",""no_causal_claim""]",,compatible_explicit_or_repaired,compatible_exact_basis_and_type,multiple_or_cluster,matching_structure,,
BRMCLEAN-0a1b0ca32d6ef2d1a5c60e6e,matching_structure,BRMMATCH-20260803-00d6c42c0b1da59c628870b1,,BRMMATCH-20260803-00d6c42c0b1da59c628870b1,,,Saxeville,WI,Midwest,multiple_or_cluster,,matching_structure,derived_structure,,national_readiness_review,not_applicable_structure_unit,national_readiness_candidate,"[""missing_clear_cross_side_normalized_anchors""]",non_safety_direct,,[],[],,,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/all_tier_matching_results.csv#BRMMATCH-20260803-00d6c42c0b1da59c628870b1,fe873c139084da125e4e0b8ddbe55c54dbbd7477d57c9716718e7780420c5e1c,national_readiness_stratum_only,"[""national_stratum_candidate"",""same_period_cluster""]",missing_cross_side_anchor,routed_to_non_comparison_analysis_use,analysis_use_qa,"structure-level readiness only; no final wage-gap, national, prevalence, or causal claim",moderate,"[""provisional_internal_candidate_only"",""no_final_wage_gap_claim"",""no_causal_claim""]",,compatible_explicit_or_repaired,compatible_exact_basis_and_type,multiple_or_cluster,matching_structure,,
