packet_id,source_rating_id,retained_source_id,rating_lane_id,status,attempt_count,expected_span_count,rated_span_count,request_id,error_type,error_code,quarantine_reason,completed_at,raw_prompt_saved,raw_response_saved
BRMGRP-20260802-c5161fbb7ffa71d73f8a7484,BRMGRS-20260802-1f24a82b95062a9c6be47db5,RMSRD-20260802-9828cd1c51e897ef4f04,gabriel_rating_lane_002,valid_rating,1,26,26,resp_09e20f6725ba7414006a6fbe0d4f348193afbc8638008545bb,,,,2026-08-02T22:01:27.150160+00:00,false,false
BRMGRP-20260802-811372a827af125894cf8cfc,BRMGRS-20260802-c5c09c4486e96082593d955c,RMSRD-20260802-dac8b4f02a867733495e,gabriel_rating_lane_002,valid_rating,2,24,24,resp_0b418476cbd513d0006a6fbeccb63c81909d42d1d919f5d038,,,,2026-08-02T22:04:27.601990+00:00,false,false
BRMGRP-20260802-dcc0e4f547db5bd28a0d8cd8,BRMGRS-20260802-6348541d8cd738a1ef59c97e,RMSRD-20260802-8f9e92f6149272f5fa41,gabriel_rating_lane_002,valid_rating,1,24,24,resp_06130859949fbec1006a6fbea877248190883c5c376a161398,,,,2026-08-02T22:03:55.909852+00:00,false,false
BRMGRP-20260802-02354ad611def69c10572454,BRMGRS-20260802-5feb5a1c80793ddbf12b1d6d,RMSRD-20260802-7679be28daa43d85640e,gabriel_rating_lane_002,valid_rating,1,24,24,resp_0aa0527e6c72e34a006a6fbea876408194bfe21a14c7e1fefb,,,,2026-08-02T22:03:55.911367+00:00,false,false
BRMGRP-20260802-6955ed3918a88f0dfef3a774,BRMGRS-20260802-12c43c8277346df0929fbcb5,RMSRD-20260802-76d4113fc2706513f96b,gabriel_rating_lane_002,valid_rating,1,23,23,resp_0068e00668cd4781006a6fbeebb5a48194a70c0eba78029095,,,,2026-08-02T22:05:01.689184+00:00,false,false
BRMGRP-20260802-e2e1862a8b8c45450e8c0b5a,BRMGRS-20260802-240efad8d956b78a91df73d0,RMSRD-20260802-09fda0ae1b716e8dcc7d,gabriel_rating_lane_002,valid_rating,1,23,23,resp_0b7ae5225ff7f32e006a6fbf2fbb748190a35cebe2533ab4be,,,,2026-08-02T22:06:06.644291+00:00,false,false
BRMGRP-20260802-6692ab948f81a513c4fb5b2d,BRMGRS-20260802-9102d78769036143f05bdbef,RMSRD-20260802-cbf2e5543dc62cfc636a,gabriel_rating_lane_002,valid_rating,1,22,22,resp_07a8919ff03c936d006a6fbf2fbab48196b91689f51d0911dc,,,,2026-08-02T22:06:06.645388+00:00,false,false
BRMGRP-20260802-525511ee2df18d6840ec8e58,BRMGRS-20260802-cc3115a02da00f048e317abb,RMSRD-20260802-a4714ee5d8ce43f06c4c,gabriel_rating_lane_002,valid_rating,1,22,22,resp_08539629cbb2c386006a6fbf2fbe2c81968abd8ebf4d1265e2,,,,2026-08-02T22:06:06.647393+00:00,false,false
BRMGRP-20260802-fc6fa2c6d5abfb2f29e94597,BRMGRS-20260802-b94ed40f1c489698afd0ad0f,RMSRD-20260802-0838cc386f5237c78b58,gabriel_rating_lane_002,valid_rating,1,21,21,resp_0ef8295b313ae4c2006a6fbf735ed48196a4bdb5fe382e506b,,,,2026-08-02T22:07:17.997723+00:00,false,false
BRMGRP-20260802-a0a4b738f99f5bfa85658bab,BRMGRS-20260802-ab07980563f5a92c8ae1636a,RMSRD-20260802-c27369fedd6757acf1ed,gabriel_rating_lane_002,valid_rating,1,21,21,resp_04a6fe842ae66f38006a6fbf736564819083f3803ee2f0455f,,,,2026-08-02T22:07:17.999030+00:00,false,false
BRMGRP-20260802-2e4fbe0e833dc8fd9aa79fbd,BRMGRS-20260802-19d47993a7513b74934cf64f,RMSRD-20260802-2d1648bf3570bbac6ed4,gabriel_rating_lane_002,valid_rating,1,21,21,resp_06428998011c2a4d006a6fbf735fe08195ae119081e3c36f1c,,,,2026-08-02T22:07:17.999888+00:00,false,false
