rating_id,span_id,source_rating_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,priority_bucket,cba_non_cba_hint,mechanism_source_family_hints,evidence_category,evidence_family,claim_readiness_bucket,quantitative_support_level,qualitative_support_level,mechanism_strength_level,side_relevance_rating,comparison_potential_rating,extraction_confidence_rating,source_context_quality_rating,downstream_use_bucket,reason_codes,concise_rating_rationale,flags,input_safety_side_hint,input_comparison_potential_flag,input_confidence_score,page_number,section_heading,character_start_offset,character_end_offset,rating_lane_id,packet_id,packet_attempt_count,gabriel_backend,gabriel_model,gabriel_request_id,rating_status,quarantine_reason,claim_boundary,global_analysis_readiness,ingestion_status,codification_status,normalization_status,matching_status,source_locator_lineage,source_span_lineage_sha256
BRMGRT-20260802-d4f9d2f8704e0424f8114838,BRMSPAN-20260802-246dedf9083cb131afef9d61,BRMGRS-20260802-8df62993d1b37a56b60c498e,RMSRD-20260802-3024f170ebbb67b6eb1f,RMSRD-20260802-3024f170ebbb67b6eb1f,BRM5C-BRM5-20260731-14053-01,Saukville,WI,Midwest,pdf,wage_schedule,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,qual_non_base_compensation_mechanism,qualitative_mechanism,quantitative_needs_normalization,moderate,weak,weak,unclear,none,high,weak,quantitative_normalization_candidate,explicit_max_days_and_lump_sum_choice_without_full_definition,"Mentions “up to…120 days” with a lump-sum payment option, but the underlying benefit/policy is not fully provided.",table_like_flag_true,unclear,false,0.86,,,29778,29864,gabriel_rating_lane_001,BRMGRP-20260802-36dddb3d396c0e6bf98c79c3,1,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_046f45397e29b34a006a6fbc2ea15081958e7016395d8c3324,valid_rating,,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-14053-01"", ""final"": ""https://ozaukeecounty.gov/ArchiveCenter/ViewFile/Item/425"", ""original"": ""https://www.ozaukeecounty.gov/ArchiveCenter/ViewFile/Item/425"", ""scout_target_id"": ""BRM5-20260731-14053""}",1ac7fdfac8cffa6183797c6620c4020e0f48888e7ca88329bb8645a6a12c0a61
BRMGRT-20260802-caf164359366eba3a445f937,BRMSPAN-20260802-ddb97a5cda51e8c03fc6b5da,BRMGRS-20260802-8df62993d1b37a56b60c498e,RMSRD-20260802-3024f170ebbb67b6eb1f,RMSRD-20260802-3024f170ebbb67b6eb1f,BRM5C-BRM5-20260731-14053-01,Saukville,WI,Midwest,pdf,wage_schedule,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_retroactive_pay_or_lump_sum,quantitative_compensation,quantitative_needs_normalization,moderate,weak,weak,unclear,none,moderate,weak,quantitative_normalization_candidate,explicit_max_days_and_lump_sum_choice_without_full_definition,"Repeats the partial quantitative “up to…120 days” and lump-sum option, but lacks the full surrounding policy text.",table_like_flag_true,unclear,false,0.84,,,29778,29864,gabriel_rating_lane_001,BRMGRP-20260802-36dddb3d396c0e6bf98c79c3,1,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_046f45397e29b34a006a6fbc2ea15081958e7016395d8c3324,valid_rating,,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-14053-01"", ""final"": ""https://ozaukeecounty.gov/ArchiveCenter/ViewFile/Item/425"", ""original"": ""https://www.ozaukeecounty.gov/ArchiveCenter/ViewFile/Item/425"", ""scout_target_id"": ""BRM5-20260731-14053""}",1ac7fdfac8cffa6183797c6620c4020e0f48888e7ca88329bb8645a6a12c0a61
BRMGRT-20260802-9c7b6d437d2cc76e8fbb004d,BRMSPAN-20260802-43bb56f93a430fe4a0d95541,BRMGRS-20260802-6aa4c26c6c4ab3998a8a9cf7,RMSRD-20260802-a15cc305cea123dded87,RMSRD-20260802-a15cc305cea123dded87,BRM5C-BRM5-20260731-06613-01,Waterloo,WI,Midwest,pdf,salary_ordinance,high_priority_verification_ready,non_cba_or_unresolved_hint,,quant_allowance_or_reimbursement,quantitative_compensation,quantitative_needs_normalization,moderate,moderate,moderate,unclear,none,moderate,moderate,quantitative_normalization_candidate,explicit_leave_week_values_4_paid_8_unpaid_12_week_max;mentions_not_16_weeks,Explicitly states leave allowance amounts (12 weeks total; 4 paid and 8 unpaid) and contrasts with “not 16 weeks.”,,unclear,false,0.84,,,46210,46318,gabriel_rating_lane_001,BRMGRP-20260802-10cc205307b2ff2ce0de98e3,2,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_06dd08b0b0f1b118006a6fbcaa8e04819787d34485f56db66d,valid_rating,,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-06613-01"", ""final"": ""https://waterloowi.us/documents/689/EmployeeHandbookApproved06-06-2022AMENDMENTS.pdf"", ""original"": ""https://waterloowi.us/documents/689/EmployeeHandbookApproved06-06-2022AMENDMENTS.pdf"", ""scout_target_id"": ""BRM5-20260731-06613""}",18f1027738453cadd719a022c38ebdc54a1c5935f66be5d30d579c5cc2191abe
BRMGRT-20260802-1a86a9015b6588f3db5e9927,BRMSPAN-20260802-b338eea63e8f9973d4d10afd,BRMGRS-20260802-6aa4c26c6c4ab3998a8a9cf7,RMSRD-20260802-a15cc305cea123dded87,RMSRD-20260802-a15cc305cea123dded87,BRM5C-BRM5-20260731-06613-01,Waterloo,WI,Midwest,pdf,salary_ordinance,high_priority_verification_ready,non_cba_or_unresolved_hint,,qual_non_base_compensation_mechanism,qualitative_mechanism,quantitative_needs_normalization,moderate,moderate,moderate,unclear,none,moderate,moderate,quantitative_normalization_candidate,explicit_leave_week_values_4_paid_8_unpaid_12_week_max;mentions_not_16_weeks,Contains the same explicit leave allowance content (12 weeks total; 4 paid and 8 unpaid) and contrasts with “not 16 weeks.”,,unclear,false,0.86,,,46210,46318,gabriel_rating_lane_001,BRMGRP-20260802-10cc205307b2ff2ce0de98e3,2,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_06dd08b0b0f1b118006a6fbcaa8e04819787d34485f56db66d,valid_rating,,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-06613-01"", ""final"": ""https://waterloowi.us/documents/689/EmployeeHandbookApproved06-06-2022AMENDMENTS.pdf"", ""original"": ""https://waterloowi.us/documents/689/EmployeeHandbookApproved06-06-2022AMENDMENTS.pdf"", ""scout_target_id"": ""BRM5-20260731-06613""}",18f1027738453cadd719a022c38ebdc54a1c5935f66be5d30d579c5cc2191abe
BRMGRT-20260802-6d666ca7d5b0b9b900886dbb,BRMSPAN-20260802-0264c899b6f89b4d3b1a7b7a,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,RMSRD-20260802-72326ebf42dd5c875a54,RMSRD-20260802-72326ebf42dd5c875a54,BRM5C-BRM5-20260731-17323-01,Norwalk,OH,Midwest,pdf,cba,medium_priority_verification_ready,cba_arbitration_factfinding_hint,,quant_step_schedule_progression,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,unclear,none,very_high,strong,quantitative_normalization_candidate,explicit_officer_step_pay_amounts_present;step_schedule_table_fragment,"Contains explicit officer step pay figures (step 3 and amounts), directly readable as quantitative compensation schedule elements.",table_like_flag_set,unclear,false,0.94,,"OFFICER-STEP 2 $29.59 $2,367.:W $30.33 $2,426.40 $31 .09 $2,487 .20",86196,86263,gabriel_rating_lane_001,BRMGRP-20260802-17449a816c9db4082ec1d4c9,1,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_02054c1c5aaaccd8006a6fbcd404408195bfd3e7cf22143f23,valid_rating,,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}",fc4a109d44c1ae2dfe233cc12fcc6b6a9ac3dc7faab4064c04f5b686be28bab0
BRMGRT-20260802-287b005fe09569f4d21ec56e,BRMSPAN-20260802-12d19708ba93630bf9d84ac0,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,RMSRD-20260802-72326ebf42dd5c875a54,RMSRD-20260802-72326ebf42dd5c875a54,BRM5C-BRM5-20260731-17323-01,Norwalk,OH,Midwest,pdf,cba,medium_priority_verification_ready,cba_arbitration_factfinding_hint,,quant_step_schedule_progression,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,unclear,none,very_high,strong,quantitative_normalization_candidate,explicit_officer_step_amounts_present;step_schedule_table_fragment,"Contains explicit officer step pay figures (step 2 and amounts), suitable for direct quantitative extraction from the snippet.",table_like_flag_set,unclear,false,0.94,,"OFFICER-STEP 1 $3 1.05 $2.484.00 $31 .83 $2,546.40 $32.63 $2,6 10.40",86128,86196,gabriel_rating_lane_001,BRMGRP-20260802-17449a816c9db4082ec1d4c9,1,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_02054c1c5aaaccd8006a6fbcd404408195bfd3e7cf22143f23,valid_rating,,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}",a2049b14f7701560e7fd62860fc7571068e90b423070af2e1c128fb882b38af5
BRMGRT-20260802-32a4b46d4782a28d1c8557c0,BRMSPAN-20260802-d88577882ba7042cab67ced6,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,RMSRD-20260802-72326ebf42dd5c875a54,RMSRD-20260802-72326ebf42dd5c875a54,BRM5C-BRM5-20260731-17323-01,Norwalk,OH,Midwest,pdf,cba,medium_priority_verification_ready,cba_arbitration_factfinding_hint,,quant_step_schedule_progression,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,unclear,none,very_high,strong,quantitative_normalization_candidate,explicit_step_schedule_pay_amounts_present_for_other_rank_office;table_fragment_mixed_with_officer_step1,Contains explicit pay figures for a sergeant step schedule and also includes officer step 1 amounts within the provided snippet.,table_like_flag_set,unclear,false,0.94,,SERGEANT $33.85 $2.708.00 $35.0 1 ~2.800.80 $35.89 $2.87 1.20,86059,86128,gabriel_rating_lane_001,BRMGRP-20260802-17449a816c9db4082ec1d4c9,1,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_02054c1c5aaaccd8006a6fbcd404408195bfd3e7cf22143f23,valid_rating,,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}",26d0cd1b3025080aa19a4d36b3c116c0c4e37a4b5ef47e8049c3f6e8b08f7857
BRMGRT-20260802-f0123c198a3521b19b8f27d7,BRMSPAN-20260802-69ea20eac7f04c658ce3ac07,BRMGRS-20260802-9f716d125a37e242e2fe04b2,RMSRD-20260802-d3e8ebb2122483cac772,RMSRD-20260802-d3e8ebb2122483cac772,BRM5C-BRM5-20260731-16374-01,Freeborn,MN,Midwest,pdf,arbitration_award,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,quant_percentage_raise_or_cola,quantitative_compensation,quantitative_direct_text_claim_ready,direct,weak,weak,unclear,none,high,moderate,quantitative_normalization_candidate,explicit_14_percent_value_present;conditional_implementation_language_missing_context,"Contains an explicit 14% figure in a conditional/implementation context (“proposed … would result …”), though surrounding sentence context is truncated.",,unclear,false,0.94,,,22100,22195,gabriel_rating_lane_001,BRMGRP-20260802-64de5b4e2f9ddda3166e7303,2,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0bbe1ec54534668c006a6fbdbe002081938f3c6b712496a7a0,valid_rating,,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-16374-01"", ""final"": ""https://mn.gov/bms/assets/25PN0433%20-%20Freeborn%20County_tcm1075-730653.pdf"", ""original"": ""https://mn.gov/bms/assets/25PN0433%20-%20Freeborn%20County_tcm1075-730653.pdf?sourcePage=%2Fbms%2Farbitration%2Fawards%2Fsummaries-index.jsp%3Fid%3D1075-730659"", ""scout_target_id"": ""BRM5-20260731-16374""}",4cf0de9a22efb377bc9e4d8b0d4078f3c84b3ab9fe1464f755cdec642f123c0d
BRMGRT-20260802-2b42bf898f3ab3d613624485,BRMSPAN-20260802-dc742ae3d5ef8b290a76c2ff,BRMGRS-20260802-9f716d125a37e242e2fe04b2,RMSRD-20260802-d3e8ebb2122483cac772,RMSRD-20260802-d3e8ebb2122483cac772,BRM5C-BRM5-20260731-16374-01,Freeborn,MN,Midwest,pdf,arbitration_award,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,quant_percentage_raise_or_cola,quantitative_compensation,quantitative_direct_text_claim_ready,direct,weak,none,unclear,none,high,strong,quantitative_normalization_candidate,explicit_2025_period_present;explicit_14_percent_and_3_percent_values_present,Direct quantitative statement of proposed wage increases for 2025 (14% vs 3%) is explicitly present.,,unclear,false,0.94,,,1733,1815,gabriel_rating_lane_001,BRMGRP-20260802-64de5b4e2f9ddda3166e7303,2,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0bbe1ec54534668c006a6fbdbe002081938f3c6b712496a7a0,valid_rating,,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-16374-01"", ""final"": ""https://mn.gov/bms/assets/25PN0433%20-%20Freeborn%20County_tcm1075-730653.pdf"", ""original"": ""https://mn.gov/bms/assets/25PN0433%20-%20Freeborn%20County_tcm1075-730653.pdf?sourcePage=%2Fbms%2Farbitration%2Fawards%2Fsummaries-index.jsp%3Fid%3D1075-730659"", ""scout_target_id"": ""BRM5-20260731-16374""}",73c634f01f7c88506af8f17112fde058da1fa948132a204374f55137e560a6ec
BRMGRT-20260802-e491fe466c6c73bf6a5ede33,BRMSPAN-20260802-87e8435253c6a8b39130fd62,BRMGRS-20260802-883db23b989cde1460b78a97,RMSRD-20260802-d68e68e0ec6dbf0d7bad,RMSRD-20260802-d68e68e0ec6dbf0d7bad,BRM5C-BRM5-20260731-14007-02,Milton,WI,Midwest,pdf,arbitration_award,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint;non_safety_constraint_signal,quant_base_wage_direct_value,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,unclear,none,very_high,moderate,quantitative_normalization_candidate,explicit_hourly_rate_value_present;explicit_yearly_hours_and_dollar_amount_present,"Provides an explicit hourly rate ($17.03) and derived annual figure ($1417) for a 2080 hour year, presented directly in the text.",,unclear,false,0.94,,,11130,11277,gabriel_rating_lane_001,BRMGRP-20260802-9b23c5e7cd17e05cd10f4f49,1,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0702c03ac5d7768d006a6fbd99518c8194a7a5ca9e7dff1994,valid_rating,,"bounded documentary rating only; not ingested or codified; no pay normalization, wage-gap estimate, national prevalence, treatment effect, or final causal claim; global analysis readiness remains false",false,not_ingested,not_codified,not_normalized,not_matched,"{""candidate_id"": ""BRM5C-BRM5-20260731-14007-02"", ""final"": ""https://werc.wi.gov/interest_awards/int30430.pdf"", ""original"": ""https://werc.wi.gov/interest_awards/int30430.pdf"", ""scout_target_id"": ""BRM5-20260731-14007""}",519b08120745c3f3ff781a76b8d642dd5cb3d1c7dbc983da3845599a4798f344
