readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,observed_file_size_bytes,observed_sha256,file_integrity_status,content_type,page_count,encrypted_or_locked_flag,corrupt_or_broken_flag,has_text_layer_flag,bounded_text_probe_page_count,bounded_text_probe_character_count,estimated_text_density_chars_per_probed_page,table_layout_indicator,likely_scanned_or_image_only_flag,oversized_flag,local_html_payload_exists_flag,html_visible_character_count,html_link_count,html_script_count,html_mostly_scripts_or_boilerplate_flag,other_document_non_ocr_extraction_feasible_flag,primary_readiness_status,reason_code,classified_at,full_text_persisted_flag,ocr_run_flag
RMRDY-20260802-99356d1b545f111bacf7,readiness_lane_005,1,pdf,pdf,RMSRD-20260802-631bd7ecd161c802a8e3,RMV-20260801-00814,BRM5C-BRM5-20260731-08569-01,BRM5-20260731-08569,MI,Midwest,Crystal Falls,"City of Crystal Falls — July 14, 2025 Regular Meeting (Resolution 25-31 signing proposed collective bargaining agreements with IBEW 906 and City Employees Association)",https://crystalfalls.org/wp-content/uploads/2025/08/July-14-2025-Regular-Meeting-1.pdf,https://crystalfalls.org/wp-content/uploads/2025/08/July-14-2025-Regular-Meeting-1.pdf,agenda_packet_or_minutes,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-631bd7ecd161c802a8e3.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-631bd7ecd161c802a8e3.pdf,sha256:6e3e9d3115b1a959c84538d1741624858a154b0851f451f83dd7c316fa8a013e,locally_available,local_only_not_replicated,local_research_workspace,104320,6e3e9d3115b1a959c84538d1741624858a154b0851f451f83dd7c316fa8a013e,104320,6e3e9d3115b1a959c84538d1741624858a154b0851f451f83dd7c316fa8a013e,integrity_pass,application/pdf,4,false,false,true,3,3826,1275.333,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:55:01Z,false,false
RMRDY-20260802-6f14b20685b4f1a00d56,readiness_lane_005,2,pdf,pdf,RMSRD-20260802-5db2959b66e2de9f56cc,RMV-20260801-02838,BRM5C-BRM5-20260731-06184-03,BRM5-20260731-06184,OH,Midwest,Wadsworth,"Fact-Finding Report: City of Wadsworth, Ohio and International Brotherhood of Electrical Workers, Local Union #306 (SERB case number 2016-MED-02-0097)",https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2016/16-MED-02-0097.pdf,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2016/16-MED-02-0097.pdf,factfinding_report,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint;non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-5db2959b66e2de9f56cc.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-5db2959b66e2de9f56cc.pdf,sha256:eb3ddbaf4cb95635fecfa619f3f82edf3b70545b41ca555f2fb83f731e5c8d56,locally_available,local_only_not_replicated,local_research_workspace,244039,eb3ddbaf4cb95635fecfa619f3f82edf3b70545b41ca555f2fb83f731e5c8d56,244039,eb3ddbaf4cb95635fecfa619f3f82edf3b70545b41ca555f2fb83f731e5c8d56,integrity_pass,application/pdf,16,false,false,true,3,2781,927.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:55:01Z,false,false
RMRDY-20260802-78e6c61c5aac983f9be4,readiness_lane_005,3,html,html,RMSRD-20260802-e1a9b3128132336bbc05,RMV-20260801-02691,BRM5C-BRM5-20260731-03233-01,BRM5-20260731-03233,PA,Northeast,Franklin,"Board Of Supervisors Meeting Minutes 2011 – Franklin Township, Adams County, PA",https://franklintwp.us/board-of-supervisors-meeting-minutes-2011/,https://franklintwp.us/board-of-supervisors-meeting-minutes-2011,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-e1a9b3128132336bbc05.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-e1a9b3128132336bbc05.html,sha256:15ec3223891528f54a87903905ba95e76e2e1d1dc6ab77b2a13b4c7163fd2954,locally_available,local_only_not_replicated,local_research_workspace,211927,15ec3223891528f54a87903905ba95e76e2e1d1dc6ab77b2a13b4c7163fd2954,211927,15ec3223891528f54a87903905ba95e76e2e1d1dc6ab77b2a13b4c7163fd2954,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,95608,100,26,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:55:01Z,false,false
RMRDY-20260802-6cc9115c76eca63d0f59,readiness_lane_005,4,html,html,RMSRD-20260802-ced9de80dcb622f844aa,RMV-20260801-02396,BRM5C-BRM5-20260731-12336-01,BRM5-20260731-12336,MI,Midwest,Fork,MINUTES-These are copies of approved minutes. Official minutes are held at the Fork Township Office.,https://forktownshipmichigan.com/minutes-2/,https://forktownshipmichigan.com/minutes-2,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,market_or_comparability_pressure,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-ced9de80dcb622f844aa.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-ced9de80dcb622f844aa.html,sha256:35a1c718e692d0199ba96944a0c0a4a2613c295765bebb4065cff3bd6315b6ff,locally_available,local_only_not_replicated,local_research_workspace,130679,35a1c718e692d0199ba96944a0c0a4a2613c295765bebb4065cff3bd6315b6ff,130679,35a1c718e692d0199ba96944a0c0a4a2613c295765bebb4065cff3bd6315b6ff,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,3959,216,23,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:55:01Z,false,false
RMRDY-20260802-a9027f53812dfec4a64d,readiness_lane_005,5,pdf,pdf,RMSRD-20260802-ba87d113f7cd0538c782,RMV-20260801-01284,BRM5C-BRM5-20260731-08570-02,BRM5-20260731-08570,MI,Midwest,Crystal Lake,Contract for Medical First Response Services (City of Frankfort & Crystal Lake Township) - 2024,https://www.crystallaketwp.org/uploads/1/1/7/1/117136988/mfr_2024.pdf,https://crystallaketwp.org/uploads/1/1/7/1/117136988/mfr_2024.pdf,mou_or_memorandum,high_priority_verification_ready,non_cba_or_unresolved_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-ba87d113f7cd0538c782.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-ba87d113f7cd0538c782.pdf,sha256:7eb6c154919664fd0038c8b8ba9ad7a0a9a80040648897547757611fcc6ecedc,locally_available,local_only_not_replicated,local_research_workspace,383729,7eb6c154919664fd0038c8b8ba9ad7a0a9a80040648897547757611fcc6ecedc,383729,7eb6c154919664fd0038c8b8ba9ad7a0a9a80040648897547757611fcc6ecedc,integrity_pass,application/pdf,3,false,false,false,3,8,2.667,no_strong_table_layout_signal,true,false,not_applicable,,,,not_applicable,not_applicable,ocr_later,bounded_first_three_pages_do_not_show_usable_text_layer,2026-08-02T16:55:01Z,false,false
RMRDY-20260802-12438580d7af8ca6a13f,readiness_lane_005,6,pdf,pdf,RMSRD-20260802-24678f6ce153a663a2cd,RMV-20260801-02653,BRM5C-BRM5-20260731-01435-01,BRM5-20260731-01435,MN,Midwest,Greenbush,Greenbush City Council – Regular Council Meeting Agenda (COLA / proposed wage increases in proposed 2020 budget),https://greenbushmn.govoffice2.com/vertical/sites/%7B597068FB-D7A0-4264-8FC4-DBD6F1AF221B%7D/uploads/Agenda_August_19_2019_-_Pdf.pdf,https://greenbushmn.govoffice2.com/vertical/sites/%7B597068FB-D7A0-4264-8FC4-DBD6F1AF221B%7D/uploads/Agenda_August_19_2019_-_Pdf.pdf,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-24678f6ce153a663a2cd.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-24678f6ce153a663a2cd.pdf,sha256:34208887fa573b67f16affcdb8eb6b440976a905fade1b944328559124fe894d,locally_available,local_only_not_replicated,local_research_workspace,1438033,34208887fa573b67f16affcdb8eb6b440976a905fade1b944328559124fe894d,1438033,34208887fa573b67f16affcdb8eb6b440976a905fade1b944328559124fe894d,integrity_pass,application/pdf,21,false,false,true,3,1496,498.667,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:55:01Z,false,false
RMRDY-20260802-5d6ee788867e01c1bf96,readiness_lane_005,7,pdf,pdf,RMSRD-20260802-9408f49f08a194a9b39c,RMV-20260801-02710,BRM5C-BRM5-20260731-03629-03,BRM5-20260731-03629,TX,South,Collinsville,City of Collinsville Budget FY 2025–2026 (PDF) — adopted/posted budget document,https://collinsvilletx.govoffice.com/vertical/Sites/%7BF0612566-01C2-490A-9154-D1A5BC3FF67B%7D/uploads/City_of_Collinsville_Budget_FY_2025-_2026%281%29.pdf,https://collinsvilletx.govoffice.com/vertical/Sites/%7BF0612566-01C2-490A-9154-D1A5BC3FF67B%7D/uploads/City_of_Collinsville_Budget_FY_2025-_2026%281%29.pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-9408f49f08a194a9b39c.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-9408f49f08a194a9b39c.pdf,sha256:2ea5456f9f80fb8d2d27f34d250045759d387247121ad387f491cb5c2ffd4283,locally_available,local_only_not_replicated,local_research_workspace,763087,2ea5456f9f80fb8d2d27f34d250045759d387247121ad387f491cb5c2ffd4283,763087,2ea5456f9f80fb8d2d27f34d250045759d387247121ad387f491cb5c2ffd4283,integrity_pass,application/pdf,7,false,false,true,3,2059,686.333,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:55:01Z,false,false
RMRDY-20260802-5cb2dbc7e0ffb6833ad4,readiness_lane_005,8,pdf,pdf,RMSRD-20260802-b61c5fb4ef3177d3539b,RMV-20260801-01763,BRM5C-BRM5-20260731-13934-01,BRM5-20260731-13934,WI,Midwest,Fennimore,2019-04-10 Personnel Admin Agenda,https://fennimore.com/wp-content/uploads/2019/04/2019-04-10-Personnel-Admin-Agenda.pdf,https://fennimore.com/wp-content/uploads/2019/04/2019-04-10-Personnel-Admin-Agenda.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-b61c5fb4ef3177d3539b.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-b61c5fb4ef3177d3539b.pdf,sha256:819608155fc56317ee3f6d7e91d4b9876c0c4d910e33a7faccb5080dd762316c,locally_available,local_only_not_replicated,local_research_workspace,67947,819608155fc56317ee3f6d7e91d4b9876c0c4d910e33a7faccb5080dd762316c,67947,819608155fc56317ee3f6d7e91d4b9876c0c4d910e33a7faccb5080dd762316c,integrity_pass,application/pdf,1,false,false,false,1,0,0.0,no_strong_table_layout_signal,true,false,not_applicable,,,,not_applicable,not_applicable,ocr_later,bounded_first_three_pages_do_not_show_usable_text_layer,2026-08-02T16:55:01Z,false,false
RMRDY-20260802-5fd57327e58ab84e721c,readiness_lane_005,9,pdf,pdf,RMSRD-20260802-5cd05f8fdeeefa596ec7,RMV-20260801-02543,BRM5C-BRM5-20260731-18247-02,BRM5-20260731-18247,PA,Northeast,Langhorne,"Council Meeting Agenda — December 10th, 2025 (contains police wage-resolution agenda item)",https://langhorneborough.com/wp-content/uploads/2025/12/Agenda-December-10th-Council-Meeting-Final.pdf,https://langhorneborough.com/wp-content/uploads/2025/12/Agenda-December-10th-Council-Meeting-Final.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,fiscal_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-5cd05f8fdeeefa596ec7.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-5cd05f8fdeeefa596ec7.pdf,sha256:02688b547a3609688ef5b35c4cfc5eb7ac33af7fc59ff92fb06d7345a59f3026,locally_available,local_only_not_replicated,local_research_workspace,280349,02688b547a3609688ef5b35c4cfc5eb7ac33af7fc59ff92fb06d7345a59f3026,280349,02688b547a3609688ef5b35c4cfc5eb7ac33af7fc59ff92fb06d7345a59f3026,integrity_pass,application/pdf,2,false,false,true,2,2920,1460.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:55:01Z,false,false
RMRDY-20260802-ab05620202f3b0790f3c,readiness_lane_005,10,pdf,pdf,RMSRD-20260802-1ccc3f257071da7f744a,RMV-20260801-03432,BRM5C-BRM5-20260731-12524-02,BRM5-20260731-12524,MN,Midwest,Avon,"Avon City Council — Minutes of December 1, 2025 (Personnel Policy Amendment / Updates Effective 01.01.2026)",https://cityofavonmn.gov/documents/577/12.01.2025.pdf,https://cityofavonmn.gov/documents/577/12.01.2025.pdf,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-1ccc3f257071da7f744a.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-1ccc3f257071da7f744a.pdf,sha256:da50877177b5f976e897619ad8e92c090fbdf4d85affd6bc01810e4b670666dd,locally_available,local_only_not_replicated,local_research_workspace,81356,da50877177b5f976e897619ad8e92c090fbdf4d85affd6bc01810e4b670666dd,81356,da50877177b5f976e897619ad8e92c090fbdf4d85affd6bc01810e4b670666dd,integrity_pass,application/pdf,2,false,false,true,2,4249,2124.5,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:55:01Z,false,false
