readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256
RMRDY-20260802-7242ae298321d4ba0c7d,readiness_lane_003,1,pdf,pdf,RMSRD-20260802-d384376f2918ef09612d,RMV-20260801-01837,BRM5C-BRM5-20260731-17736-01,BRM5-20260731-17736,WI,Midwest,Monroe,"City of Monroe, Dec. No. 25691-A (WERC) — Wisconsin Professional Police Association / Law Enforcement & Employee Relations Division v. City of Monroe (complaint, dispatchers unit)",https://werc.wi.gov/decisions/25691-A.pdf,https://werc.wi.gov/decisions/25691-A.pdf,arbitration_award,medium_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-d384376f2918ef09612d.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-d384376f2918ef09612d.pdf,sha256:09624fa133296f7ee81ec2aaccbea1ff00089e32488a199073ec31adb73082e6,locally_available,local_only_not_replicated,local_research_workspace,1283610,09624fa133296f7ee81ec2aaccbea1ff00089e32488a199073ec31adb73082e6
RMRDY-20260802-ac1fe095908ecc06ae83,readiness_lane_003,2,pdf,pdf,RMSRD-20260802-3bcd8ed4b8be2b292939,RMV-20260801-00273,BRM5C-BRM5-20260731-04793-02,BRM5-20260731-04793,MI,Midwest,Blue Lake,"Full Board Packet (January 7, 2026) — Revenue & Expenditure report shows wages line-items (2025-26)",https://www.bluelaketwpkalkaska.gov/download/19221/full-board-packet-january-7-2026.pdf,https://bluelaketwpkalkaska.gov/download/19221/full-board-packet-january-7-2026.pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-3bcd8ed4b8be2b292939.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-3bcd8ed4b8be2b292939.pdf,sha256:dc774e4642cee98e9ddb88b8c0c2db29dca040d3e69cd50cde8124d8818da230,locally_available,local_only_not_replicated,local_research_workspace,1188474,dc774e4642cee98e9ddb88b8c0c2db29dca040d3e69cd50cde8124d8818da230
RMRDY-20260802-00855e3a56c77f11a77f,readiness_lane_003,3,pdf,pdf,RMSRD-20260802-1253452d2313ba605080,RMV-20260801-02400,BRM5C-BRM5-20260731-01244-02,BRM5-20260731-01244,MI,Midwest,Sheridan,"Sheridan Township Board Meeting Minutes - January 9, 2025",https://www.sheridantwpclareco.com/wp-content/uploads/2025/02/January-2025-Meeting-Minutes.pdf,https://sheridantwpclareco.com/wp-content/uploads/2025/02/January-2025-Meeting-Minutes.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-1253452d2313ba605080.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-1253452d2313ba605080.pdf,sha256:247b1f9b33478d887df3283f03b0f6adb1cea45f16080e37f107a8af04184912,locally_available,local_only_not_replicated,local_research_workspace,261274,247b1f9b33478d887df3283f03b0f6adb1cea45f16080e37f107a8af04184912
RMRDY-20260802-7e8f3aee57d811cccedd,readiness_lane_003,4,html,html,RMSRD-20260802-c593506fe14cfe741687,RMV-20260801-01892,BRM5C-BRM5-20260731-18061-01,BRM5-20260731-18061,NY,Northeast,Westville,Public Notices & Info (contains Town Law §113 proposed salaries certification and other payroll-related amounts),https://www.townofwestvilleny.gov/general-1-2,https://townofwestvilleny.gov/general-1-2,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-c593506fe14cfe741687.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-c593506fe14cfe741687.html,sha256:c92ba8101c7e1a898d98e50384fb66d39b6d29555bac313ad0d2ca6a6d88df7f,locally_available,local_only_not_replicated,local_research_workspace,634897,c92ba8101c7e1a898d98e50384fb66d39b6d29555bac313ad0d2ca6a6d88df7f
RMRDY-20260802-9979cfaa24abc051c42e,readiness_lane_003,5,pdf,pdf,RMSRD-20260802-347e73722097b76d9279,RMV-20260801-01850,BRM5C-BRM5-20260731-16183-02,BRM5-20260731-16183,MI,Midwest,Resort,2024-03-20 Trustees Special Meeting Budget Minutes (salaries & wages line-item changes),https://www.resorttownship.gov/wp-content/uploads/2024/04/2024-03-20-Trustees-Special-Meeting-Budget-Minutes-Approved.pdf,https://resorttownship.gov/wp-content/uploads/2024/04/2024-03-20-Trustees-Special-Meeting-Budget-Minutes-Approved.pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-347e73722097b76d9279.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-347e73722097b76d9279.pdf,sha256:2386d977196b4d8d7be8475c08ced4b782635158103a06495cc3de470fe344bb,locally_available,local_only_not_replicated,local_research_workspace,51468,2386d977196b4d8d7be8475c08ced4b782635158103a06495cc3de470fe344bb
RMRDY-20260802-d40838de95890b30c446,readiness_lane_003,6,html,html,RMSRD-20260802-18db4e1f3a552909663c,RMV-20260801-03017,BRM5C-BRM5-20260731-18686-02,BRM5-20260731-18686,TX,South,Sundown,City of Sundown Public Notices (Meeting Minutes; Agendas) — landing page,https://sundowntx.com/public-notices/,https://sundowntx.com/public-notices,salary_ordinance,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-18db4e1f3a552909663c.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-18db4e1f3a552909663c.html,sha256:8aca97e3eb31bd1a1432c6eb6327832bd7d23975138e60a42195c4e993091077,locally_available,local_only_not_replicated,local_research_workspace,227853,8aca97e3eb31bd1a1432c6eb6327832bd7d23975138e60a42195c4e993091077
RMRDY-20260802-35f18c209b8b8e2dc12c,readiness_lane_003,7,pdf,pdf,RMSRD-20260802-4b8b44ba51fbd9de4152,RMV-20260801-02771,BRM5C-BRM5-20260731-06707-03,BRM5-20260731-06707,NY,Northeast,Dunkirk,"Agreement between the City of Dunkirk and American Federation of State, County and Municipal Employees, AFL-CIO Local 912",https://ecommons.cornell.edu/bitstream/handle/1813/90716/6777_12312000.pdf?isAllowed=y&sequence=1,https://cf003.cdn.4science.cloud/4s-assetstore-prod--cornell--ecommons/11/20/90/112090029121105453875704605319959896300,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-4b8b44ba51fbd9de4152.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-4b8b44ba51fbd9de4152.pdf,sha256:90a94b032ce091c594762b0d648781cd66481c3f51bda5b2eaa15cbe71c5cac6,locally_available,local_only_not_replicated,local_research_workspace,4129956,90a94b032ce091c594762b0d648781cd66481c3f51bda5b2eaa15cbe71c5cac6
RMRDY-20260802-b434baa3e0835773eba1,readiness_lane_003,8,pdf,pdf,RMSRD-20260802-8ffdb8c79d8734849574,RMV-20260801-00441,BRM5C-BRM5-20260731-09954-02,BRM5-20260731-09954,OH,Midwest,Wooster,"Collective Bargaining Agreement between Members of Wooster Fire Fighters Union and the City of Wooster, Ohio",https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-11-1499.pdf,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-11-1499.pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-8ffdb8c79d8734849574.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-8ffdb8c79d8734849574.pdf,sha256:c4bd273426cf5dbd46bfda7db3e1a182f47b3791fb908130546a34af504fc247,locally_available,local_only_not_replicated,local_research_workspace,366041,c4bd273426cf5dbd46bfda7db3e1a182f47b3791fb908130546a34af504fc247
RMRDY-20260802-9bc3999ee3820956991b,readiness_lane_003,9,pdf,pdf,RMSRD-20260802-342268ad2902116f3d3a,RMV-20260801-01856,BRM5C-BRM5-20260731-12273-01,BRM5-20260731-12273,MI,Midwest,Beaverton,FY25 City of Beaverton Budget Hearing (6.17.2024) — Current/Proposed Payroll & Benefits (Police rates shown “Per Contract”),https://beavertonmi.org/wp-content/uploads/2024/06/FY25-City-of-Beaverton-Budget-Hearing-6.17.2024.pdf,https://beavertonmi.org/wp-content/uploads/2024/06/FY25-City-of-Beaverton-Budget-Hearing-6.17.2024.pdf,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-342268ad2902116f3d3a.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-342268ad2902116f3d3a.pdf,sha256:66fd05773605c7a97a5366b6fc11f15b5fbab835e79eeaa8a43ccce3775bacff,locally_available,local_only_not_replicated,local_research_workspace,7954267,66fd05773605c7a97a5366b6fc11f15b5fbab835e79eeaa8a43ccce3775bacff
RMRDY-20260802-4de53fd1e2271b8cb678,readiness_lane_003,10,pdf,pdf,RMSRD-20260802-6d70bc9e63c5f2e0ee6a,RMV-20260801-00124,BRM5C-BRM5-20260731-09795-02,BRM5-20260731-09795,OH,Midwest,Licking,"Minutes of the Board of Licking Township Trustees, Special (02/18/2025) — zoning inspector monthly salary increase",https://www.lickingtwplc.gov/documents/trustees/minutes/2025/02-18-2025.pdf,https://lickingtwplc.gov/documents/trustees/minutes/2025/02-18-2025.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-6d70bc9e63c5f2e0ee6a.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-6d70bc9e63c5f2e0ee6a.pdf,sha256:3055d6176a1871d929774e18cbb6e1c3b34dc27929410b4f244d90252d3f6867,locally_available,local_only_not_replicated,local_research_workspace,110150,3055d6176a1871d929774e18cbb6e1c3b34dc27929410b4f244d90252d3f6867
