span_rating_id,source_rating_id,span_id,municipality,state,region,source_family,evidence_category,claim_readiness_bucket,downstream_use_bucket,final_side_relevance_rating,reconciliation_confidence,reconciliation_reason_codes,role_unit_anchor_category,period_cycle_anchor_category,primary_raw_period_anchor,pay_basis_hint,source_locator_lineage
BRMGRT-20260802-6b8bd29bd7fcd6cb25a6c71a,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-13d1502670ca3cdc93d9873a,Warren,MI,Midwest,cba,quant_other_compensation_value,quantitative_direct_text_claim_ready,supporting_example_candidate,police_direct,high,"[""source_title_anchor:police_direct""]",police_role,explicit_contract_period,1989-1992,allowance,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-acf4a871436d99c14d303e81,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-2480c2ce5e76ad544da1b4d4,Warren,MI,Midwest,cba,qual_non_base_compensation_mechanism,weak_or_not_supported,manual_review_candidate,police_direct,high,"[""source_title_anchor:police_direct""]",police_role,explicit_contract_period,1989-1992,overtime_rate,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-f7b0b98e7b9a3e6deffce61f,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-280acfe352455ce4eea7763d,Warren,MI,Midwest,cba,qual_market_recruitment_retention_pressure,local_context_only,local_context_candidate,police_direct,high,"[""source_title_anchor:police_direct""]",police_role,explicit_contract_period,1989-1992,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-fcbd39ebfea24d126ad034c2,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-405a5e325d93778da07b1c39,Warren,MI,Midwest,cba,qual_position_classification_or_civil_service_structure,weak_or_not_supported,manual_review_candidate,police_direct,high,"[""source_title_anchor:police_direct""]",police_role,explicit_contract_period,1989-1992,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-50484d9cc71644e693922588,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-699c77463eef68b551964471,Warren,MI,Midwest,cba,qual_strike_no_strike_or_labor_dispute_process,qualitative_mechanism_claim_ready,mechanism_summary_candidate,police_direct,high,"[""source_title_anchor:police_direct""]",police_role,explicit_contract_period,1989-1992,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-834776425884ca513fea01ee,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-80b32f8ef82ddfcdff221b44,Warren,MI,Midwest,cba,quant_overtime_or_holiday_rate,weak_or_not_supported,manual_review_candidate,police_direct,high,"[""source_title_anchor:police_direct""]",police_role,explicit_contract_period,1989-1992,overtime_rate,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-da4082b7ed480f71c21b629a,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-866e24d465e8e3f0ccb0e6bc,Warren,MI,Midwest,cba,qual_position_classification_or_civil_service_structure,qualitative_mechanism_claim_ready,mechanism_summary_candidate,police_direct,original_rating_preserved,[],police_role,explicit_contract_period,1989-1992,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-cd405cd7eeae768d8ce51a17,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-ae4115f2c58f14fba63a2cd1,Warren,MI,Midwest,cba,quant_overtime_or_holiday_rate,qualitative_mechanism_claim_ready,mechanism_summary_candidate,police_direct,high,"[""source_title_anchor:police_direct""]",police_role,explicit_contract_period,1989-1992,overtime_rate,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-4210009f842923788b559938,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-bd956e95ab5937685acf180a,Warren,MI,Midwest,cba,qual_non_base_compensation_mechanism,qualitative_mechanism_claim_ready,mechanism_summary_candidate,police_direct,high,"[""source_title_anchor:police_direct""]",police_role,explicit_contract_period,1989-1992,overtime_rate,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-d15a97bba99cb82a676f8ac9,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-c8656b818553f8e826845472,Warren,MI,Midwest,cba,qual_position_classification_or_civil_service_structure,qualitative_mechanism_claim_ready,mechanism_summary_candidate,police_direct,high,"[""source_title_anchor:police_direct""]",police_role,explicit_contract_period,1989-1992,unknown_or_mixed,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
