span_rating_id,source_rating_id,span_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,cba_non_cba_hint,evidence_category,evidence_family,claim_readiness_bucket,downstream_use_bucket,quantitative_support_level,qualitative_support_level,mechanism_strength_level,comparison_potential_rating,safety_side_hint,current_side_relevance_rating,span_text_snippet,bounded_context_snippet,page_number,section_heading,character_start_offset,character_end_offset,source_title,source_locator_lineage,source_level_rating_rationale,span_level_rating_rationale,reason_codes,input_confidence_score,extraction_confidence_rating,source_rating_confidence,neighboring_span_ids,source_level_evidence_flags,likely_role_or_unit_terms_detected,reconciliation_priority_tier,reconciliation_reason_codes,missing_metadata_flag,missing_metadata_fields,rating_lane_id,span_extraction_lane_id,packet_id,source_span_lineage_sha256,span_sha256,reconciliation_status,locked_lane_id,locked_queue_position
BRMGRT-20260802-58bc29273cb960c27ffdad5c,BRMGRS-20260802-883db23b989cde1460b78a97,BRMSPAN-20260802-fd7a5d4b31994999b11bf14d,RMSRD-20260802-d68e68e0ec6dbf0d7bad,RMSRD-20260802-d68e68e0ec6dbf0d7bad,BRM5C-BRM5-20260731-14007-02,Milton,WI,Midwest,pdf,arbitration_award,cba_arbitration_factfinding_hint,qual_comparability_or_parity_language,qualitative_mechanism,directional_hint_only,comparison_review_candidate,none,weak,none,weak_context_only,unclear,unclear,"community and in comparable communities.
",,,,3373,3414,City of Milton (Police Department) Dec. No. 30430-A (Teamsters Local Union No. 579) Interest Arbitration Award,"{""candidate_id"": ""BRM5C-BRM5-20260731-14007-02"", ""final"": ""https://werc.wi.gov/interest_awards/int30430.pdf"", ""original"": ""https://werc.wi.gov/interest_awards/int30430.pdf"", ""scout_target_id"": ""BRM5-20260731-14007""}",Aggregated 21 schema-valid bounded span ratings; strongest claim bucket quantitative_direct_text_claim_ready and downstream use supporting_example_candidate.,Mentions community/comparable communities but provides no structured comparison evidence within the span.,fragment_comparable_communities_reference;no_comparison_structure_in_snippet,0.86,high,0.8610,"[""BRMSPAN-20260802-23651937a5067fbee3fcf94d"", ""BRMSPAN-20260802-ad753660518573cb6ef5e8b8"", ""BRMSPAN-20260802-bc99f4906f18ac25844eb1ce"", ""BRMSPAN-20260802-972b79d0c61429ae52618d81""]","{""has_bargaining_or_dispute_process_evidence"": ""true"", ""has_comparison_potential"": ""false"", ""has_direct_quantitative_compensation_support"": ""true"", ""has_growth_continuity_potential"": ""false"", ""has_mixed_quant_qual_support"": ""true"", ""has_non_base_compensation_evidence"": ""true"", ""has_non_safety_side_relevance"": ""true"", ""has_qualitative_mechanism_support"": ""true"", ""has_safety_side_relevance"": ""true""}","[""police""]",tier_1_high_value_downstream,"[""high_value_downstream_use:comparison_review_candidate""]",false,[],gabriel_rating_lane_001,span_extraction_lane_003,,0d48dea2890991b943dc5caf5bc4dd2870294c04db84cd8c09a7b9b9a32672e9,0d48dea2890991b943dc5caf5bc4dd2870294c04db84cd8c09a7b9b9a32672e9,queued_not_run,side_relevance_reconciliation_lane_001,1
BRMGRT-20260802-a373552e0dcb1696b289309b,BRMGRS-20260802-676c542e888f0ef41dafe7e3,BRMSPAN-20260802-6771186d5862822c5f843a57,RMSRD-20260802-fd7174b8933bf0eca5aa,RMSRD-20260802-fd7174b8933bf0eca5aa,BRM5C-BRM5-20260731-13407-01,Athens,OH,Midwest,pdf,factfinding_report,cba_arbitration_factfinding_hint,qual_comparability_or_parity_language,qualitative_mechanism,directional_hint_only,comparison_review_candidate,none,moderate,weak,weak_context_only,unclear,unclear,"The Employer argues that a review of comparable jurisdictions shows the shift
",,,,25939,26017,"Fact-Finding Report and Recommended Language of the Fact Finder (SERB Case Numbers: 2017-MED-10-1301 / 2017-MED-10-1302 / 2017-MED-10-1303) — City of Athens, Ohio & Fraternal Order of Police, Ohio Labor Council, Inc.","{""candidate_id"": ""BRM5C-BRM5-20260731-13407-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2017/17-MED-10-1301.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2017/17-MED-10-1301.pdf"", ""scout_target_id"": ""BRM5-20260731-13407""}",Aggregated 28 schema-valid bounded span ratings; strongest claim bucket quantitative_direct_text_claim_ready and downstream use supporting_example_candidate.,"Says the Employer argues a review of comparable jurisdictions shows the shift, but the actual comparison evidence is not present.",references_comparable_jurisdictions_and_shift_review_but;snippet_is_cut_off_and_not_structured,0.86,high,0.8557,"[""BRMSPAN-20260802-8dc9a420e845f56f3b1d7328"", ""BRMSPAN-20260802-d94d28cf89249517d9e0ea1a"", ""BRMSPAN-20260802-a5f35c7a6f3bc7e9c53da54a"", ""BRMSPAN-20260802-f985a7160e558e66d8459338""]","{""has_bargaining_or_dispute_process_evidence"": ""true"", ""has_comparison_potential"": ""false"", ""has_direct_quantitative_compensation_support"": ""true"", ""has_growth_continuity_potential"": ""false"", ""has_mixed_quant_qual_support"": ""true"", ""has_non_base_compensation_evidence"": ""true"", ""has_non_safety_side_relevance"": ""false"", ""has_qualitative_mechanism_support"": ""true"", ""has_safety_side_relevance"": ""true""}","[""police""]",tier_1_high_value_downstream,"[""high_value_downstream_use:comparison_review_candidate""]",false,[],gabriel_rating_lane_003,span_extraction_lane_002,,d179b2510f737f0e540d498859477851be77dde44cbfc31203f4382c05230ad5,d179b2510f737f0e540d498859477851be77dde44cbfc31203f4382c05230ad5,queued_not_run,side_relevance_reconciliation_lane_001,7
BRMGRT-20260802-a78cab6cd4ceeb7f9431e734,BRMGRS-20260802-6d9df8f6a7e5930ad6e26a1f,BRMSPAN-20260802-e08558d4999ee3db6faacf43,RMSRD-20260802-206f99340457d1781a57,RMSRD-20260802-206f99340457d1781a57,BRM5C-BRM5-20260731-10227-01,Jefferson,WI,Midwest,pdf,arbitration_award,cba_arbitration_factfinding_hint,qual_collective_bargaining,qualitative_mechanism,mixed_quant_qual_claim_ready,comparison_review_candidate,none,moderate,weak,named_position_possible,unclear,unclear,"the comparable average and will maintain the bargaining unit's rank in the
",,,EMPLOYER'S POSITION,5962,6037,"Jefferson, City of (Police Department) — Decision No. 27007-A (Rice, 5/22/92)","{""candidate_id"": ""BRM5C-BRM5-20260731-10227-01"", ""final"": ""https://werc.wi.gov/interest_awards/mia_pre-99_vol_1_of_1/mia27007.pdf"", ""original"": ""https://werc.wi.gov/interest_awards/mia_pre-99_vol_1_of_1/mia27007.pdf"", ""scout_target_id"": ""BRM5-20260731-10227""}",Aggregated 18 schema-valid bounded span ratings; strongest claim bucket mixed_quant_qual_claim_ready and downstream use supporting_example_candidate.,Employer position links comparability/average to maintaining bargaining unit rank; comparison structure is hinted but not fully shown in snippet.,employer_comparability_language_present;maintain_bargaining_unit_rank_language_present;comparison_potential_flag_set,0.86,moderate,0.8911,"[""BRMSPAN-20260802-c79fb7357ef81967d3078813"", ""BRMSPAN-20260802-18b7c524550f0820027d8587"", ""BRMSPAN-20260802-97205e4b0bf7954d5ee17940"", ""BRMSPAN-20260802-840d1105e75182b165004e35""]","{""has_bargaining_or_dispute_process_evidence"": ""true"", ""has_comparison_potential"": ""true"", ""has_direct_quantitative_compensation_support"": ""true"", ""has_growth_continuity_potential"": ""false"", ""has_mixed_quant_qual_support"": ""true"", ""has_non_base_compensation_evidence"": ""false"", ""has_non_safety_side_relevance"": ""false"", ""has_qualitative_mechanism_support"": ""true"", ""has_safety_side_relevance"": ""false""}","[""police"", ""unit_or_role""]",tier_1_high_value_downstream,"[""high_value_downstream_use:comparison_review_candidate""]",false,[],gabriel_rating_lane_004,span_extraction_lane_004,,9494efa4f386ef2f82752285ff4938969fc5caddca6775874a180e0b057171d6,9494efa4f386ef2f82752285ff4938969fc5caddca6775874a180e0b057171d6,queued_not_run,side_relevance_reconciliation_lane_001,13
BRMGRT-20260802-d5209f91d7fe34b8ad5b17b9,BRMGRS-20260802-75fae3fe18ce40d368f2165e,BRMSPAN-20260802-3c474b7d4a9c7721675bce08,RMSRD-20260802-3a5b1480152847828761,RMSRD-20260802-3a5b1480152847828761,BRM5C-BRM5-20260731-14033-01,Port Edwards,WI,Midwest,pdf,budget_or_pay_plan,non_cba_or_unresolved_hint,qual_comparability_or_parity_language,qualitative_mechanism,qualitative_mechanism_claim_ready,comparison_review_candidate,none,moderate,moderate,weak_context_only,unclear,unclear," In selecting comparable municipalities, PAA selected villages
",,,,28360,28423,Village of Port Edwards organizational audit (job descriptions & salary schedule status),"{""candidate_id"": ""BRM5C-BRM5-20260731-14033-01"", ""final"": ""https://storage.googleapis.com/juniper-media-library/422/2025/10/organizational-audit-final-011320.pdf"", ""original"": ""https://storage.googleapis.com/juniper-media-library/422/2025/10/organizational-audit-final-011320.pdf"", ""scout_target_id"": ""BRM5-20260731-14033""}",Aggregated 20 schema-valid bounded span ratings; strongest claim bucket qualitative_mechanism_claim_ready and downstream use mechanism_summary_candidate.,"Indicates a process for selecting comparable municipalities, but the snippet alone does not show how positions/amounts are compared.",comparable_municipalities_selection_language;no_named_positions_or_explicit_comparison_results_in_snippet,0.86,high,0.8530,"[""BRMSPAN-20260802-ff5ceccecbde9f6020758693"", ""BRMSPAN-20260802-664780f16fd2e67494c8b972"", ""BRMSPAN-20260802-2d36d9474e8b2d665e0040ff"", ""BRMSPAN-20260802-708088991f30ef89ec80edca""]","{""has_bargaining_or_dispute_process_evidence"": ""false"", ""has_comparison_potential"": ""false"", ""has_direct_quantitative_compensation_support"": ""false"", ""has_growth_continuity_potential"": ""false"", ""has_mixed_quant_qual_support"": ""false"", ""has_non_base_compensation_evidence"": ""true"", ""has_non_safety_side_relevance"": ""false"", ""has_qualitative_mechanism_support"": ""true"", ""has_safety_side_relevance"": ""true""}","[""unit_or_role""]",tier_1_high_value_downstream,"[""high_value_downstream_use:comparison_review_candidate""]",false,[],gabriel_rating_lane_003,span_extraction_lane_001,,d6b5a4e356d56d6d6788aa414b31451f66b3e3fb3b0b0a656d7be1b68f809181,d6b5a4e356d56d6d6788aa414b31451f66b3e3fb3b0b0a656d7be1b68f809181,queued_not_run,side_relevance_reconciliation_lane_001,19
BRMGRT-20260802-d265f44a59c02a0d282a8d8f,BRMGRS-20260802-a3e1bf399109fb2fc10acd76,BRMSPAN-20260802-b0e8ad9158122357593b4ce0,RMSRD-20260802-09c49ab97b5b08a662cb,RMSRD-20260802-09c49ab97b5b08a662cb,BRM5C-BRM5-20260731-14173-01,Ellicott,NY,Northeast,pdf,civil_service_or_hr_pay_plan,non_cba_or_unresolved_hint,qual_comparability_or_parity_language,qualitative_mechanism,qualitative_mechanism_claim_ready,comparison_review_candidate,none,moderate,moderate,explicit_cross_side_comparison_possible,unclear,unclear,"employment in comparable communities;
",,,,4286,4324,"Opinion and Award (Compulsory Interest Arbitration) — Town of Ellicott and Ellicott Police Civil Service Employees Association Local 1000, AFSCME, AFL-CIO (PERB Case No. IA 96-038)","{""candidate_id"": ""BRM5C-BRM5-20260731-14173-01"", ""final"": ""https://perb.ny.gov/system/files/documents/2024/03/ia96-038-award-12-29-97.pdf"", ""original"": ""https://perb.ny.gov/town-ellicott-and-ellicott-police-civil-service-employees-association-local-1000-afscme-afl-cio"", ""scout_target_id"": ""BRM5-20260731-14173""}",Aggregated 16 schema-valid bounded span ratings; strongest claim bucket quantitative_direct_text_claim_ready and downstream use core_finding_candidate.,"Mentions employment in comparable communities, indicating a comparability basis that could support structured cross-comparison review within the arbitration framework.",references_employment_in_comparable_communities;comparability_basis_for_evaluation,0.86,high,0.8562,"[""BRMSPAN-20260802-e64361c29860ba536af92931"", ""BRMSPAN-20260802-34796cc7df0d1e6ee17188f4"", ""BRMSPAN-20260802-94ed59d7083a8f10381108c4"", ""BRMSPAN-20260802-8ea11a4a58074470262e5e8c""]","{""has_bargaining_or_dispute_process_evidence"": ""true"", ""has_comparison_potential"": ""true"", ""has_direct_quantitative_compensation_support"": ""true"", ""has_growth_continuity_potential"": ""false"", ""has_mixed_quant_qual_support"": ""true"", ""has_non_base_compensation_evidence"": ""false"", ""has_non_safety_side_relevance"": ""false"", ""has_qualitative_mechanism_support"": ""true"", ""has_safety_side_relevance"": ""false""}","[""police""]",tier_1_high_value_downstream,"[""high_value_downstream_use:comparison_review_candidate""]",false,[],gabriel_rating_lane_004,span_extraction_lane_001,,19790d9a13563e99bdf85a5340383e5614e181db05e967e644f5699e0ae45a99,19790d9a13563e99bdf85a5340383e5614e181db05e967e644f5699e0ae45a99,queued_not_run,side_relevance_reconciliation_lane_001,25
BRMGRT-20260802-f8cb5baa1b8ec5d5a1656169,BRMGRS-20260802-b3892452b36c3396a90cd714,BRMSPAN-20260802-4ff21bf01e4075fb78a2f057,RMSRD-20260802-27e64101e7f21c3f0987,RMSRD-20260802-27e64101e7f21c3f0987,BRM5C-BRM5-20260731-03741-02,Union Gap,WA,West,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_cola_or_indexing_mechanism,qualitative_mechanism,mixed_quant_qual_claim_ready,core_finding_candidate,direct,weak,moderate,none,unclear,unclear," There will be a 3% CPI wage increase for all three years of the contract.
",,,,142210,142285,Union Gap City Council Packet (Teamsters Local No. 760 - Office Clerical Bargaining Agreement; also includes retroactive/commencement wage details if present in attached agreement),"{""candidate_id"": ""BRM5C-BRM5-20260731-03741-02"", ""final"": ""https://uniongapwa.gov/council/wp-content/uploads/sites/4/1-28-19-Council-Packet.pdf"", ""original"": ""https://uniongapwa.gov/council/wp-content/uploads/sites/4/1-28-19-Council-Packet.pdf"", ""scout_target_id"": ""BRM5-20260731-03741""}",Aggregated 21 schema-valid bounded span ratings; strongest claim bucket mixed_quant_qual_claim_ready and downstream use core_finding_candidate.,The span explicitly states a 3% CPI wage increase over the contract term.,explicit_3_percent_cpi_wage_increase_stated,0.86,high,0.8676,"[""BRMSPAN-20260802-cafe9d51bec5ee94270213eb"", ""BRMSPAN-20260802-1f8917d2bcc8da0d6890c4a6"", ""BRMSPAN-20260802-2427de14f8cfea85a33f72e5"", ""BRMSPAN-20260802-fbfdb1a00d3f336161d491dc""]","{""has_bargaining_or_dispute_process_evidence"": ""true"", ""has_comparison_potential"": ""false"", ""has_direct_quantitative_compensation_support"": ""true"", ""has_growth_continuity_potential"": ""false"", ""has_mixed_quant_qual_support"": ""false"", ""has_non_base_compensation_evidence"": ""true"", ""has_non_safety_side_relevance"": ""false"", ""has_qualitative_mechanism_support"": ""false"", ""has_safety_side_relevance"": ""false""}","[""non_safety""]",tier_1_high_value_downstream,"[""high_value_downstream_use:core_finding_candidate""]",false,[],gabriel_rating_lane_004,span_extraction_lane_004,,a6235bbb27194d9d9663f6b7e8cda04dab696a831c9475529249322efdca57d8,a6235bbb27194d9d9663f6b7e8cda04dab696a831c9475529249322efdca57d8,queued_not_run,side_relevance_reconciliation_lane_001,31
BRMGRT-20260802-3baa8f79d0ef07c0f05dd84d,BRMGRS-20260802-fe05d488bff1722cf188b06a,BRMSPAN-20260802-ef1bb6c11abdc19e2c3eaa3c,RMSRD-20260802-6c6dcf7c7b9da8321cce,RMSRD-20260802-6c6dcf7c7b9da8321cce,BRM5C-BRM5-20260731-05418-01,Waterville,MN,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_mou_or_settlement,qualitative_mechanism,mixed_quant_qual_claim_ready,core_finding_candidate,direct,moderate,moderate,none,unclear,unclear,"Labor Services (LELS) is seeking a Memorandum of Understanding (MOU) to add a 15% base wage increase for
",,,,13622,13727,"Waterville City Council minutes (mention: Police Chief Contract effective May 4, 2026)","{""candidate_id"": ""BRM5C-BRM5-20260731-05418-01"", ""final"": ""https://cityofwatervillemn.gov/documents/769/5.5.26_Council_minutes.pdf"", ""original"": ""https://cityofwatervillemn.gov/documents/769/5.5.26_Council_minutes.pdf"", ""scout_target_id"": ""BRM5-20260731-05418""}",Aggregated 15 schema-valid bounded span ratings; strongest claim bucket mixed_quant_qual_claim_ready and downstream use core_finding_candidate.,Says L.E.L.S. seeks an MOU to add a 15% base wage increase (quantitative wage change plus MOU mechanism).,explicit_base_wage_increase_present;explicit_percent_value_present_15_percent;mou_seeking_language_present,0.86,high,0.8667,"[""BRMSPAN-20260802-55425ea48d873948b5db54dc"", ""BRMSPAN-20260802-8cacbb596b5f02e42c611c58"", ""BRMSPAN-20260802-fcaf09a88afbc00b441904fb"", ""BRMSPAN-20260802-7cd89728666bb8a44ce3ad56""]","{""has_bargaining_or_dispute_process_evidence"": ""true"", ""has_comparison_potential"": ""false"", ""has_direct_quantitative_compensation_support"": ""true"", ""has_growth_continuity_potential"": ""false"", ""has_mixed_quant_qual_support"": ""true"", ""has_non_base_compensation_evidence"": ""true"", ""has_non_safety_side_relevance"": ""false"", ""has_qualitative_mechanism_support"": ""true"", ""has_safety_side_relevance"": ""true""}","[""police""]",tier_1_high_value_downstream,"[""high_value_downstream_use:core_finding_candidate""]",false,[],gabriel_rating_lane_005,span_extraction_lane_004,,ba6b2978987d1c1b153f49907ad55a82b9b2046601aa7dfd402b8f68ecf94bf8,ba6b2978987d1c1b153f49907ad55a82b9b2046601aa7dfd402b8f68ecf94bf8,queued_not_run,side_relevance_reconciliation_lane_001,37
BRMGRT-20260802-b09696eba49ec8a588f8c8d4,BRMGRS-20260802-d564fd5f3931aee9268eb80d,BRMSPAN-20260802-19bdfa452dfc41d32249a94d,RMSRD-20260802-418a8504bd56d024cc18,RMSRD-20260802-418a8504bd56d024cc18,BRM5C-BRM5-20260731-10874-02,Ralpho,PA,Northeast,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,quant_base_wage_direct_value,quantitative_compensation,mixed_quant_qual_claim_ready,core_finding_candidate,direct,moderate,moderate,none,unclear,unclear,"▪ Willaims/Madara motioned to increase pay effective January 1, 2026 by $1.75 per hour for
",,,,5972,6063,Ralpho Township Supervisors Minutes (accept AFSCME Collective Bargaining Agreement effective 1/1/2026-12/31/2028),"{""candidate_id"": ""BRM5C-BRM5-20260731-10874-02"", ""final"": ""https://ralphotownship.org/app/download/16768904/20251209.pdf"", ""original"": ""https://www.ralphotownship.org/app/download/16768904/20251209.pdf"", ""scout_target_id"": ""BRM5-20260731-10874""}",Aggregated 6 schema-valid bounded span ratings; strongest claim bucket mixed_quant_qual_claim_ready and downstream use core_finding_candidate.,"States a motion to increase pay effective January 1, 2026 by $1.75 per hour (with the affected role presumably continuing beyond the snippet).",explicit_effective_date;explicit_dollar_per_hour_amount;qualitative_motion_to_increase_pay,0.94,high,0.9100,"[""BRMSPAN-20260802-ad130f80fb616896afe6fa6c"", ""BRMSPAN-20260802-b9e63451bfeb43b48ff33f49"", ""BRMSPAN-20260802-4b4ed201aea22fdd6e9a5ecd"", ""BRMSPAN-20260802-1121cbc0c64e00d0eacc2680""]","{""has_bargaining_or_dispute_process_evidence"": ""true"", ""has_comparison_potential"": ""false"", ""has_direct_quantitative_compensation_support"": ""true"", ""has_growth_continuity_potential"": ""false"", ""has_mixed_quant_qual_support"": ""true"", ""has_non_base_compensation_evidence"": ""false"", ""has_non_safety_side_relevance"": ""false"", ""has_qualitative_mechanism_support"": ""true"", ""has_safety_side_relevance"": ""false""}",[],tier_1_high_value_downstream,"[""high_value_downstream_use:core_finding_candidate""]",false,[],gabriel_rating_lane_004,span_extraction_lane_001,,e65539737f1cd4650261fc1337bc06fa0b2ec937fcc9234e250ba42a29d9cf53,e65539737f1cd4650261fc1337bc06fa0b2ec937fcc9234e250ba42a29d9cf53,queued_not_run,side_relevance_reconciliation_lane_001,43
BRMGRT-20260802-40325898c105fa269278c6c7,BRMGRS-20260802-b3892452b36c3396a90cd714,BRMSPAN-20260802-fbfdb1a00d3f336161d491dc,RMSRD-20260802-27e64101e7f21c3f0987,RMSRD-20260802-27e64101e7f21c3f0987,BRM5C-BRM5-20260731-03741-02,Union Gap,WA,West,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,quant_cpi_indexed_adjustment,quantitative_compensation,mixed_quant_qual_claim_ready,core_finding_candidate,direct,weak,moderate,none,unclear,unclear," There will be a 3% CPI wage increase for all three years of the contract.
",,,,143746,143821,Union Gap City Council Packet (Teamsters Local No. 760 - Office Clerical Bargaining Agreement; also includes retroactive/commencement wage details if present in attached agreement),"{""candidate_id"": ""BRM5C-BRM5-20260731-03741-02"", ""final"": ""https://uniongapwa.gov/council/wp-content/uploads/sites/4/1-28-19-Council-Packet.pdf"", ""original"": ""https://uniongapwa.gov/council/wp-content/uploads/sites/4/1-28-19-Council-Packet.pdf"", ""scout_target_id"": ""BRM5-20260731-03741""}",Aggregated 21 schema-valid bounded span ratings; strongest claim bucket mixed_quant_qual_claim_ready and downstream use core_finding_candidate.,It explicitly states a 3% CPI wage increase for all three years of the contract.,explicit_3_percent_cpi_wage_increase_stated,0.94,very_high,0.8676,"[""BRMSPAN-20260802-4ff21bf01e4075fb78a2f057"", ""BRMSPAN-20260802-2427de14f8cfea85a33f72e5"", ""BRMSPAN-20260802-b6eb9004ca60bdf56b45084b"", ""BRMSPAN-20260802-1635e45d84acf7a70d7cd9ad""]","{""has_bargaining_or_dispute_process_evidence"": ""true"", ""has_comparison_potential"": ""false"", ""has_direct_quantitative_compensation_support"": ""true"", ""has_growth_continuity_potential"": ""false"", ""has_mixed_quant_qual_support"": ""false"", ""has_non_base_compensation_evidence"": ""true"", ""has_non_safety_side_relevance"": ""false"", ""has_qualitative_mechanism_support"": ""false"", ""has_safety_side_relevance"": ""false""}","[""non_safety""]",tier_1_high_value_downstream,"[""high_value_downstream_use:core_finding_candidate""]",false,[],gabriel_rating_lane_004,span_extraction_lane_004,,a6235bbb27194d9d9663f6b7e8cda04dab696a831c9475529249322efdca57d8,a6235bbb27194d9d9663f6b7e8cda04dab696a831c9475529249322efdca57d8,queued_not_run,side_relevance_reconciliation_lane_001,49
BRMGRT-20260802-ecc01b9fcf07e482f21dcf2c,BRMGRS-20260802-2348e40fa5903ec89639f2a0,BRMSPAN-20260802-8e628a9735b0bea8f5bf54b3,RMSRD-20260802-4e3cd09438c704e8ddc3,RMSRD-20260802-4e3cd09438c704e8ddc3,BRM5C-BRM5-20260731-02742-01,Kaukauna,WI,Midwest,pdf,budget_or_pay_plan,non_cba_or_unresolved_hint,quant_percentage_raise_or_cola,quantitative_compensation,mixed_quant_qual_claim_ready,core_finding_candidate,moderate,weak,moderate,none,unclear,unclear,"$525 in 2026 base salaries, applied after the 3.5% increase is calculated on the previous pay scale.
",,,,99806,99907,Kaukauna Professional Police Association Contract Ratification (Tentative Agreement included) — 2026-2028 (packet includes wage-scale/longevity/shift-related edits),"{""candidate_id"": ""BRM5C-BRM5-20260731-02742-01"", ""final"": ""https://mccmeetings.blob.core.usgovcloudapi.net/kaukaunawi-pubu/MEET-Packet-250f1b7e8489470cab6a35d4fb8f0ea0.pdf"", ""original"": ""https://mccmeetings.blob.core.usgovcloudapi.net/kaukaunawi-pubu/MEET-Packet-250f1b7e8489470cab6a35d4fb8f0ea0.pdf"", ""scout_target_id"": ""BRM5-20260731-02742""}",Aggregated 27 schema-valid bounded span ratings; strongest claim bucket mixed_quant_qual_claim_ready and downstream use core_finding_candidate.,Provides an explicit $525 amount and describes how it is applied relative to a 3.5% increase (application order).,explicit_dollar_amount_present;explicit_cola_percent_context_present;describes_application_sequence,0.94,very_high,0.8756,"[""BRMSPAN-20260802-786d763409c37966ffa2c20a"", ""BRMSPAN-20260802-197d57f27fdbf936e02aef69"", ""BRMSPAN-20260802-7ff673e9127cab39cbc821e7"", ""BRMSPAN-20260802-204d18b9928a3a19cd4b2c96""]","{""has_bargaining_or_dispute_process_evidence"": ""true"", ""has_comparison_potential"": ""false"", ""has_direct_quantitative_compensation_support"": ""true"", ""has_growth_continuity_potential"": ""false"", ""has_mixed_quant_qual_support"": ""true"", ""has_non_base_compensation_evidence"": ""true"", ""has_non_safety_side_relevance"": ""false"", ""has_qualitative_mechanism_support"": ""true"", ""has_safety_side_relevance"": ""false""}","[""police""]",tier_1_high_value_downstream,"[""high_value_downstream_use:core_finding_candidate""]",false,[],gabriel_rating_lane_005,span_extraction_lane_003,,48a9634c2de989fb39f4fbba0570609ea86641ef10c059f3b0c1e1fc2606f251,48a9634c2de989fb39f4fbba0570609ea86641ef10c059f3b0c1e1fc2606f251,queued_not_run,side_relevance_reconciliation_lane_001,55
