source_review_download_id,source_review_lane_id,source_review_lane_sequence,verification_row_id,verification_lane_id,candidate_id,scout_candidate_id,scout_target_id,lane_id,shard_id,state,region,municipality,county,source_title,source_locator_or_url,source_domain,final_url_or_locator,final_canonical_locator,source_family_hint,document_type_hint,possible_mechanism_hints,search_query_family,discovery_run_id,priority_bucket,cba_non_cba_hint,verification_status,http_status_code,content_type,content_length_header,canonical_download_locator,source_review_status,final_download_locator,download_http_status,final_content_type,final_content_length,redirect_count,download_attempt_count,download_started_at,download_completed_at,transport_error_type,source_review_reason,file_extension,retained_file_type,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,duplicate_retained_sha256,duplicate_of_source_review_download_id,download_status,extraction_status,ocr_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
RMSRD-20260802-95822779d64619a86df2,source_review_lane_003,1,RMV-20260801-03608,verification_lane_005,BRM5C-BRM5-20260731-11029-01,BRM5C-BRM5-20260731-11029-01,BRM5-20260731-11029,scout_lane_003,,GA,South,Pinehurst,Dooly County (13093; primary),"Contract to Provide Law Enforcement Services to the City of Pinehurst, Georgia (effective January 1, 2007)",https://doolycountyga.com/wp-content/uploads/2024/10/2007-Minutes-01.04.2007-thru-12.20.2007.pdf,doolycountyga.com,https://doolycountyga.com/wp-content/uploads/2024/10/2007-Minutes-01.04.2007-thru-12.20.2007.pdf,https://doolycountyga.com/wp-content/uploads/2024/10/2007-Minutes-01.04.2007-thru-12.20.2007.pdf,factfinding_report,context_only,strike_or_no_strike_constraint,cba_agreement,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_003:BRM5-20260731-11029,high_priority_verification_ready,cba_arbitration_factfinding_hint,reachable,200,application/pdf,8212203,https://doolycountyga.com/wp-content/uploads/2024/10/2007-Minutes-01.04.2007-thru-12.20.2007.pdf,retained_pdf,https://doolycountyga.com/wp-content/uploads/2024/10/2007-Minutes-01.04.2007-thru-12.20.2007.pdf,200,application/pdf,8212203,0,1,2026-08-02T14:35:30Z,2026-08-02T14:35:30Z,,supported source retained in ignored artifact storage,.pdf,pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-95822779d64619a86df2.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-95822779d64619a86df2.pdf,sha256:13939c889ffe359a6c84a70ccecd2c534498e390bd2b778318fa7a08477f6d88,locally_available,local_only_not_replicated,local_research_workspace,8212203,13939c889ffe359a6c84a70ccecd2c534498e390bd2b778318fa7a08477f6d88,,,downloaded_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-84c299e5eca3b5397113,source_review_lane_003,2,RMV-20260801-00277,verification_lane_001,BRM5C-BRM5-20260731-03544-01,BRM5C-BRM5-20260731-03544-01,BRM5-20260731-03544,scout_lane_001,,GA,South,Lone Oak,Meriwether County (13199; primary),2023-2024 General Fund Fiscal Year Budget (Town of Lone Oak),https://loneoakga.com/wp-content/uploads/2023/10/2023-2024-General-Fund-Fiscal-Year-Budget.pdf,loneoakga.com,https://loneoakga.com/wp-content/uploads/2023/10/2023-2024-General-Fund-Fiscal-Year-Budget.pdf,https://loneoakga.com/wp-content/uploads/2023/10/2023-2024-General-Fund-Fiscal-Year-Budget.pdf,budget_or_pay_plan,context_only,non_safety_constraint_signal;fiscal_constraint_signal,salary_pay_ordinance,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_001:BRM5-20260731-03544,medium_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,application/pdf,88459,https://loneoakga.com/wp-content/uploads/2023/10/2023-2024-General-Fund-Fiscal-Year-Budget.pdf,retained_pdf,https://loneoakga.com/wp-content/uploads/2023/10/2023-2024-General-Fund-Fiscal-Year-Budget.pdf,200,application/pdf,88459,0,1,2026-08-02T14:35:30Z,2026-08-02T14:35:30Z,,supported source retained in ignored artifact storage,.pdf,pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-84c299e5eca3b5397113.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-84c299e5eca3b5397113.pdf,sha256:90c11730314396298bb61eaa08a3727f708d75785488c748f7f386c53e67b330,locally_available,local_only_not_replicated,local_research_workspace,88459,90c11730314396298bb61eaa08a3727f708d75785488c748f7f386c53e67b330,,,downloaded_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-6e1b6ae06e126d2e2064,source_review_lane_003,3,RMV-20260801-00003,verification_lane_001,BRM5C-BRM5-20260731-03752-01,BRM5C-BRM5-20260731-03752-01,BRM5-20260731-03752,scout_lane_002,,IA,Midwest,Bertram,Linn County (19113; primary),"Bertram City Council minutes (Resolution R-07-2023) — ""Increase wage for cleaning"" ($55 per month)",https://bertramia.com/bertram/images/gfxinfoblock/minutes_20230405_full.pdf,bertramia.com,https://bertramia.com/bertram/images/gfxinfoblock/minutes_20230405_full.pdf,https://bertramia.com/bertram/images/gfxinfoblock/minutes_20230405_full.pdf,agenda_packet_or_minutes,agenda_cover_sheet,non_safety_constraint_signal,mou_memorandum_settlement,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-03752,high_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,application/pdf,131353,https://bertramia.com/bertram/images/gfxinfoblock/minutes_20230405_full.pdf,retained_pdf,https://bertramia.com/bertram/images/gfxinfoblock/minutes_20230405_full.pdf,200,application/pdf,131353,0,1,2026-08-02T14:35:30Z,2026-08-02T14:35:30Z,,supported source retained in ignored artifact storage,.pdf,pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-6e1b6ae06e126d2e2064.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-6e1b6ae06e126d2e2064.pdf,sha256:d684569daddecb4b93ba9b1bfaab3b4a37fe34e3138bb0c69b4855926a9fd537,locally_available,local_only_not_replicated,local_research_workspace,131353,d684569daddecb4b93ba9b1bfaab3b4a37fe34e3138bb0c69b4855926a9fd537,,,downloaded_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-e7d24b2600f64c63486c,source_review_lane_003,4,RMV-20260801-02346,verification_lane_004,BRM5C-BRM5-20260731-11248-01,BRM5C-BRM5-20260731-11248-01,BRM5-20260731-11248,scout_lane_004,,IA,Midwest,Fertile,Worth County (19195; primary),City Council Meeting Minutes (includes reference to “list of employee wages and benefits”),https://fertileiowa.us/wp-content/uploads/Minutes-25-11.pdf,fertileiowa.us,https://fertileiowa.us/wp-content/uploads/Minutes-25-11.pdf,https://fertileiowa.us/wp-content/uploads/Minutes-25-11.pdf,agenda_packet_or_minutes,meeting_minutes,non_safety_constraint_signal,local_pay_policy_payroll,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11248,high_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,application/pdf,322559,https://fertileiowa.us/wp-content/uploads/Minutes-25-11.pdf,retained_pdf,https://fertileiowa.us/wp-content/uploads/Minutes-25-11.pdf,200,application/pdf,322559,0,1,2026-08-02T14:35:30Z,2026-08-02T14:35:30Z,,supported source retained in ignored artifact storage,.pdf,pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-e7d24b2600f64c63486c.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-e7d24b2600f64c63486c.pdf,sha256:7633cbb4b4bbf71f9eca7be5ba5bc89acd4514f4a4bbb196a6d889fe0a500aac,locally_available,local_only_not_replicated,local_research_workspace,322559,7633cbb4b4bbf71f9eca7be5ba5bc89acd4514f4a4bbb196a6d889fe0a500aac,,,downloaded_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-9e0e8fb7fac39aee5342,source_review_lane_003,5,RMV-20260801-03023,verification_lane_004,BRM5C-BRM5-20260731-14770-01,BRM5C-BRM5-20260731-14770-01,BRM5-20260731-14770,scout_lane_004,,GA,South,Shady Dale,Jasper County (13159; primary),2021 Municipal Wage and Salary Survey — Compensation for Municipal Elected Officials (includes Shady Dale),https://dca.georgia.gov/document/reports/2021municipalelectedofficialsfinalpdf/download,dca.georgia.gov,https://dca.georgia.gov/document/reports/2021municipalelectedofficialsfinalpdf/download,https://dca.georgia.gov/document/reports/2021municipalelectedofficialsfinalpdf/download,wage_schedule,wage_schedule_or_compensation_plan,non_safety_constraint_signal,budget_pay_plan,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-14770,medium_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,application/pdf,198009,https://dca.georgia.gov/document/reports/2021municipalelectedofficialsfinalpdf/download,retained_pdf,https://dca.georgia.gov/document/reports/2021municipalelectedofficialsfinalpdf/download,200,application/pdf,198009,0,1,2026-08-02T14:35:30Z,2026-08-02T14:35:30Z,,supported source retained in ignored artifact storage,.pdf,pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-9e0e8fb7fac39aee5342.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-9e0e8fb7fac39aee5342.pdf,sha256:cb8f870d22fbb79e9589f3e6db9baf622548f61c5bbb60d46c75d77515b2aedb,locally_available,local_only_not_replicated,local_research_workspace,198009,cb8f870d22fbb79e9589f3e6db9baf622548f61c5bbb60d46c75d77515b2aedb,,,downloaded_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-8af0a12c5e19ab2b02b7,source_review_lane_003,6,RMV-20260801-03125,verification_lane_005,BRM5C-BRM5-20260731-07567-02,BRM5C-BRM5-20260731-07567-02,BRM5-20260731-07567,scout_lane_003,,IA,Midwest,Stanhope,Hamilton County (19079; primary),"Police Board Minutes — January 4, 2024",https://www.stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,stanhopeiowa.com,https://stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,https://stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,agenda_packet_or_minutes,meeting_minutes,,personnel_policy,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_003:BRM5-20260731-07567,high_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,application/pdf,not_reported,https://stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,retained_pdf,https://stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,200,application/pdf,741914,0,1,2026-08-02T14:35:30Z,2026-08-02T14:35:31Z,,supported source retained in ignored artifact storage,.pdf,pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-8af0a12c5e19ab2b02b7.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-8af0a12c5e19ab2b02b7.pdf,sha256:8c7fbe8273a15e656beb37150976c7c7ec09d8018ca5c3213f4414ea5171ac13,locally_available,local_only_not_replicated,local_research_workspace,741914,8c7fbe8273a15e656beb37150976c7c7ec09d8018ca5c3213f4414ea5171ac13,,,downloaded_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-fdecb9357b27ed7e1794,source_review_lane_003,7,RMV-20260801-02595,verification_lane_004,BRM5C-BRM5-20260731-03834-02,BRM5C-BRM5-20260731-03834-02,BRM5-20260731-03834,scout_lane_002,,IA,Midwest,Worthington,Dubuque County (19061; primary),"City of Worthington - City Budget page (contains FY budget notices/items, likely including public safety line items)",https://www.worthingtoniowa.com/city-budget.html,worthingtoniowa.com,https://worthingtoniowa.com/city-budget.html,https://worthingtoniowa.com/city-budget.html,budget_or_pay_plan,wage_schedule_or_compensation_plan,non_safety_constraint_signal,broad_pay_employee_compensation_index,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-03834,high_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,text/html,6527,https://worthingtoniowa.com/city-budget.html,retained_html,https://worthingtoniowa.com/city-budget.html,200,text/html,40318,0,1,2026-08-02T14:35:30Z,2026-08-02T14:35:31Z,,supported source retained in ignored artifact storage,.html,html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-fdecb9357b27ed7e1794.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-fdecb9357b27ed7e1794.html,sha256:779e71f62a79abfb1ea5f1b8aaf3fea88ed692b1f8a3926655b18c28e08935a9,locally_available,local_only_not_replicated,local_research_workspace,40318,779e71f62a79abfb1ea5f1b8aaf3fea88ed692b1f8a3926655b18c28e08935a9,,,downloaded_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-c8919d5d341d92a4bd89,source_review_lane_003,8,RMV-20260801-00005,verification_lane_001,BRM5C-BRM5-20260731-03793-01,BRM5C-BRM5-20260731-03793-01,BRM5-20260731-03793,scout_lane_002,,IA,Midwest,Luxemburg,Dubuque County (19061; primary),City of Luxemburg council meeting minutes (includes RESOLUTION #2025-09 wage increase for named city personnel),https://www.luxemburgiowa.com/copy-of-24,luxemburgiowa.com,https://luxemburgiowa.com/copy-of-24,https://luxemburgiowa.com/copy-of-24,agenda_packet_or_minutes,context_only,non_safety_constraint_signal,personnel_policy,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-03793,medium_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,text/html,not_reported,https://luxemburgiowa.com/copy-of-24,retained_html,https://luxemburgiowa.com/copy-of-24,200,text/html,449618,1,1,2026-08-02T14:35:31Z,2026-08-02T14:35:31Z,,supported source retained in ignored artifact storage,.html,html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-c8919d5d341d92a4bd89.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-c8919d5d341d92a4bd89.html,sha256:44ccaa856ac01c56281987b2c79ca96455e5d1f07c198231cdf475f117cffaaa,locally_available,local_only_not_replicated,local_research_workspace,449618,44ccaa856ac01c56281987b2c79ca96455e5d1f07c198231cdf475f117cffaaa,,,downloaded_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-ce7d6225360819c1cf65,source_review_lane_003,9,RMV-20260801-02099,verification_lane_003,BRM5C-BRM5-20260731-11283-01,BRM5C-BRM5-20260731-11283-01,BRM5-20260731-11283,scout_lane_004,,IA,Midwest,Pilot Mound,Boone County (19015; primary),"2023 Pilot Mound Code of Ordinances (Title II, Chapter 4: Salaries of Municipal Officers; 2-4-4 Other Officers)",https://pilotmound.org/wp-content/uploads/2025/12/2023-pilot-mound-code.pdf,pilotmound.org,https://pilotmound.org/wp-content/uploads/2025/12/2023-pilot-mound-code.pdf,https://pilotmound.org/wp-content/uploads/2025/12/2023-pilot-mound-code.pdf,other_local_government_pay_policy,ordinance_or_policy,non_safety_constraint_signal,arbitration_factfinding_labor_relations,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11283,high_priority_verification_ready,cba_arbitration_factfinding_hint,reachable,200,application/pdf,1312777,https://pilotmound.org/wp-content/uploads/2025/12/2023-pilot-mound-code.pdf,retained_pdf,https://pilotmound.org/wp-content/uploads/2025/12/2023-pilot-mound-code.pdf,200,application/pdf,1312777,0,1,2026-08-02T14:35:31Z,2026-08-02T14:35:31Z,,supported source retained in ignored artifact storage,.pdf,pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-ce7d6225360819c1cf65.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-ce7d6225360819c1cf65.pdf,sha256:2071c7ee26e4eca1531a1dd1564efc2e9a769967306c35a15e692ee63351e9e1,locally_available,local_only_not_replicated,local_research_workspace,1312777,2071c7ee26e4eca1531a1dd1564efc2e9a769967306c35a15e692ee63351e9e1,,,downloaded_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-9bcc07b407d700d6c2cb,source_review_lane_003,10,RMV-20260801-03131,verification_lane_005,BRM5C-BRM5-20260731-07618-01,BRM5C-BRM5-20260731-07618-01,BRM5-20260731-07618,scout_lane_003,,IL,Midwest,Brimfield,Peoria County (17143; primary),"Village of Brimfield Board of Trustees Minutes (June 10, 2024) — employee compensation for 2024-2025 fiscal year",https://www.brimfieldil.org/_files/ugd/fd1b95_0879ee0d60654b3090ce7ed2bfdccef7.pdf,brimfieldil.org,https://brimfieldil.org/_files/ugd/fd1b95_0879ee0d60654b3090ce7ed2bfdccef7.pdf,https://brimfieldil.org/_files/ugd/fd1b95_0879ee0d60654b3090ce7ed2bfdccef7.pdf,agenda_packet_or_minutes,meeting_minutes,strike_or_no_strike_constraint;non_safety_constraint_signal;fiscal_constraint_signal,arbitration_factfinding_labor_relations,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_003:BRM5-20260731-07618,high_priority_verification_ready,cba_arbitration_factfinding_hint,reachable,200,application/pdf,125499,https://brimfieldil.org/_files/ugd/fd1b95_0879ee0d60654b3090ce7ed2bfdccef7.pdf,retained_pdf,https://brimfieldil.org/_files/ugd/fd1b95_0879ee0d60654b3090ce7ed2bfdccef7.pdf,200,application/pdf,125499,1,1,2026-08-02T14:35:31Z,2026-08-02T14:35:31Z,,supported source retained in ignored artifact storage,.pdf,pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-9bcc07b407d700d6c2cb.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-9bcc07b407d700d6c2cb.pdf,sha256:66e2cd65927cbefe4176224e287ced0ea6188799ce17cdc99ed5b7fa9c9fc5c4,locally_available,local_only_not_replicated,local_research_workspace,125499,66e2cd65927cbefe4176224e287ced0ea6188799ce17cdc99ed5b7fa9c9fc5c4,,,downloaded_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
