source_review_download_id,source_review_lane_id,source_review_lane_sequence,verification_row_id,verification_lane_id,candidate_id,scout_candidate_id,scout_target_id,lane_id,shard_id,state,region,municipality,county,source_title,source_locator_or_url,source_domain,final_url_or_locator,final_canonical_locator,source_family_hint,document_type_hint,possible_mechanism_hints,search_query_family,discovery_run_id,priority_bucket,cba_non_cba_hint,verification_status,http_status_code,content_type,content_length_header,canonical_download_locator,source_review_status,final_download_locator,download_http_status,final_content_type,final_content_length,redirect_count,download_attempt_count,download_started_at,download_completed_at,transport_error_type,source_review_reason,file_extension,retained_file_type,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,duplicate_retained_sha256,duplicate_of_source_review_download_id,download_status,extraction_status,ocr_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
RMSRD-20260802-a39640a971fbcabb4194,source_review_lane_001,208,RMV-20260801-01184,verification_lane_002,BRM5C-BRM5-20260731-01582-01,BRM5C-BRM5-20260731-01582-01,BRM5-20260731-01582,scout_lane_001,,MN,Midwest,Owatonna,Steele County (27147; primary),Resolution No. 13-22 — A RESOLUTION APPROVING LABOR AGREEMENT BETWEEN THE CITY OF OWATONNA AND MINNESOTA PUBLIC EMPLOYEES ASSOCIATION - PATROL,https://www.owatonna.gov/AgendaCenter/ViewFile/Item/4186?fileID=6365,owatonna.gov,https://owatonna.gov/AgendaCenter/ViewFile/Item/4186,https://owatonna.gov/AgendaCenter/ViewFile/Item/4186,cba,ordinance_or_policy,,arbitration_factfinding_labor_relations,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_001:BRM5-20260731-01582,medium_priority_verification_ready,cba_arbitration_factfinding_hint,reachable,200,application/pdf,158016,https://owatonna.gov/AgendaCenter/ViewFile/Item/4186,unavailable_on_download,https://owatonna.gov/AgendaCenter/ViewFile/Item/4186,404,text/html,112473,0,1,2026-08-02T14:22:40Z,2026-08-02T14:22:40Z,,GET returned 404,,,,,,,not_retained,not_applicable,,,,,,not_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-c73b3fafb1242f9ef7db,source_review_lane_001,470,RMV-20260801-00530,verification_lane_001,BRM5C-BRM5-20260731-18322-01,BRM5C-BRM5-20260731-18322-01,BRM5-20260731-18322,scout_lane_005,,PA,Northeast,North Fayette,Allegheny County (42003; primary),"Draft Memorandum of Understanding Regarding the Terms and Conditions Governing the Appointment of Donald J. Cokus, Jr. as the Chief of Police of the Township of North Fayette Police Department",https://north-fayette.com/AgendaCenter/ViewFile/Item/2696?fileID=1501,north-fayette.com,https://north-fayette.com/AgendaCenter/ViewFile/Item/2696,https://north-fayette.com/AgendaCenter/ViewFile/Item/2696,mou_or_memorandum,memorandum_or_settlement,,broad_pay_employee_compensation_index,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_005:BRM5-20260731-18322,high_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,application/pdf,810544,https://north-fayette.com/AgendaCenter/ViewFile/Item/2696,unavailable_on_download,https://north-fayette.com/AgendaCenter/ViewFile/Item/2696,404,text/html,94663,0,1,2026-08-02T14:24:00Z,2026-08-02T14:24:00Z,,GET returned 404,,,,,,,not_retained,not_applicable,,,,,,not_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-ba5f53a54cebe61d4578,source_review_lane_002,14,RMV-20260801-02348,verification_lane_004,BRM5C-BRM5-20260731-00165-02,BRM5C-BRM5-20260731-00165-02,BRM5-20260731-00165,scout_lane_001,,IL,Midwest,Chatsworth,Livingston County (17105; primary),2024-09-17 Regular Board Meeting (pdf) — contains an IMRF implementation reference (context),https://www.chatsworthil.gov/docs/2024/9/2024-09-17_Regular%20Boad%20Meeting.pdf,chatsworthil.gov,https://chatsworthil.gov/docs/2024/9/2024-09-17_Regular%20Boad%20Meeting.pdf,https://chatsworthil.gov/docs/2024/9/2024-09-17_Regular%20Boad%20Meeting.pdf,agenda_packet_or_minutes,meeting_minutes,,agenda_minutes_packet,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_001:BRM5-20260731-00165,medium_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,application/pdf,181518,https://chatsworthil.gov/docs/2024/9/2024-09-17_Regular%20Boad%20Meeting.pdf,unavailable_on_download,,,,,,1,2026-08-02T14:27:33Z,2026-08-02T14:27:33Z,TooManyRedirects,redirect chain exceeded bounded eight-redirect policy,,,,,,,not_retained,not_applicable,,,,,,not_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-c371052b76e47f487009,source_review_lane_002,17,RMV-20260801-03132,verification_lane_005,BRM5C-BRM5-20260731-03915-01,BRM5C-BRM5-20260731-03915-01,BRM5-20260731-03915,scout_lane_002,,IL,Midwest,Colfax,McLean County (17113; primary),JULY 2026 AGENDA (Village of Colfax Board of Trustees Meeting) — Colfax Police Dept section,https://colfaxillinois.com/news/view?id=387,colfaxillinois.com,https://colfaxillinois.com/news/view,https://colfaxillinois.com/news/view,agenda_packet_or_minutes,agenda_cover_sheet,,agenda_minutes_packet,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-03915,medium_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,text/html,not_reported,https://colfaxillinois.com/news/view,unavailable_on_download,https://colfaxillinois.com/news/view,404,text/html,0,0,1,2026-08-02T14:27:33Z,2026-08-02T14:27:34Z,,GET returned 404,,,,,,,not_retained,not_applicable,,,,,,not_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-6c3120e17216bd9a5f6c,source_review_lane_002,180,RMV-20260801-02416,verification_lane_004,BRM5C-BRM5-20260731-12664-01,BRM5C-BRM5-20260731-12664-01,BRM5-20260731-12664,scout_lane_004,,MN,Midwest,Hampton,Dakota County (27037; primary),"Hampton City Council Special Meeting and Regular Meeting Minutes for January 10, 2023 (includes discussion of Resolution #2023-01 setting salaries/fees; wage increase amounts discussed in minutes)",https://www.cityofhampton.us/2023/02/hampton-city-council-special-meeting.html?m=0,cityofhampton.us,https://cityofhampton.us/2023/02/hampton-city-council-special-meeting.html,https://cityofhampton.us/2023/02/hampton-city-council-special-meeting.html,agenda_packet_or_minutes,meeting_minutes,non_safety_constraint_signal,local_pay_policy_payroll,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-12664,high_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,text/html,0,https://cityofhampton.us/2023/02/hampton-city-council-special-meeting.html,unavailable_on_download,https://cityofhampton.us/2023/02/hampton-city-council-special-meeting.html,404,text/plain,10,0,1,2026-08-02T14:28:30Z,2026-08-02T14:28:30Z,,GET returned 404,,,,,,,not_retained,not_applicable,,,,,,not_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-c546bd804ddb45184ef0,source_review_lane_002,197,RMV-20260801-01079,verification_lane_002,BRM5C-BRM5-20260731-01521-02,BRM5C-BRM5-20260731-01521-02,BRM5-20260731-01521,scout_lane_001,,MN,Midwest,Maple Grove,Crow Wing County (27035; primary),"Approval of 2025 non-union pay plan (Request for Council Action - City Council, Dec 16, 2024)",https://www.maplegrovemn.gov/AgendaCenter/ViewFile/Item/6996?fileID=23778,maplegrovemn.gov,https://maplegrovemn.gov/AgendaCenter/ViewFile/Item/6996,https://maplegrovemn.gov/AgendaCenter/ViewFile/Item/6996,budget_or_pay_plan,wage_schedule_or_compensation_plan,non_safety_constraint_signal,agenda_minutes_packet,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_001:BRM5-20260731-01521,high_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,application/pdf,92840,https://maplegrovemn.gov/AgendaCenter/ViewFile/Item/6996,unavailable_on_download,https://maplegrovemn.gov/AgendaCenter/ViewFile/Item/6996,404,text/html,102639,0,1,2026-08-02T14:28:34Z,2026-08-02T14:28:34Z,,GET returned 404,,,,,,,not_retained,not_applicable,,,,,,not_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-6c8182f833bdeaa6cd7f,source_review_lane_002,201,RMV-20260801-01204,verification_lane_002,BRM5C-BRM5-20260731-01582-03,BRM5C-BRM5-20260731-01582-03,BRM5-20260731-01582,scout_lane_001,,MN,Midwest,Owatonna,Steele County (27147; primary),"Resolution No. 12-22 — A RESOLUTION APPROVING LABOR AGREEMENT BETWEEN THE CITY OF OWATONNA AND INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL NO. 70, AFL-CIO",https://www.owatonna.gov/AgendaCenter/ViewFile/Item/4164?fileID=6343,owatonna.gov,https://owatonna.gov/AgendaCenter/ViewFile/Item/4164,https://owatonna.gov/AgendaCenter/ViewFile/Item/4164,cba,ordinance_or_policy,non_safety_constraint_signal,arbitration_factfinding_labor_relations,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_001:BRM5-20260731-01582,high_priority_verification_ready,cba_arbitration_factfinding_hint,reachable,200,application/pdf,916192,https://owatonna.gov/AgendaCenter/ViewFile/Item/4164,unavailable_on_download,https://owatonna.gov/AgendaCenter/ViewFile/Item/4164,404,text/html,112473,0,1,2026-08-02T14:28:35Z,2026-08-02T14:28:35Z,,GET returned 404,,,,,,,not_retained,not_applicable,,,,,,not_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-40e2bcc31bbb664bbd29,source_review_lane_002,207,RMV-20260801-01965,verification_lane_003,BRM5C-BRM5-20260731-01582-02,BRM5C-BRM5-20260731-01582-02,BRM5-20260731-01582,scout_lane_001,,MN,Midwest,Owatonna,Steele County (27147; primary),"Resolution No. 28-22 — A RESOLUTION APPROVING LABOR AGREEMENT BETWEEN THE CITY OF OWATONNA AND THE INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS, LOCAL UNION NO. 1920",https://www.owatonna.gov/AgendaCenter/ViewFile/Item/4453?fileID=6833,owatonna.gov,https://owatonna.gov/AgendaCenter/ViewFile/Item/4453,https://owatonna.gov/AgendaCenter/ViewFile/Item/4453,cba,ordinance_or_policy,,arbitration_factfinding_labor_relations,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_001:BRM5-20260731-01582,medium_priority_verification_ready,cba_arbitration_factfinding_hint,reachable,200,application/pdf,257015,https://owatonna.gov/AgendaCenter/ViewFile/Item/4453,unavailable_on_download,https://owatonna.gov/AgendaCenter/ViewFile/Item/4453,404,text/html,112473,0,1,2026-08-02T14:28:36Z,2026-08-02T14:28:36Z,,GET returned 404,,,,,,,not_retained,not_applicable,,,,,,not_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-5c86926058d1951ab520,source_review_lane_002,216,RMV-20260801-02868,verification_lane_004,BRM5C-BRM5-20260731-01684-02,BRM5C-BRM5-20260731-01684-02,BRM5-20260731-01684,scout_lane_001,,MN,Midwest,Watertown,Carver County (27019; primary),City of Watertown Employee Handbook (Section 9 – Compensation; review annually; pay scale set by City Council),https://www.watertownmn.gov/AgendaCenter/ViewFile/Item/4554?fileID=2846,watertownmn.gov,https://watertownmn.gov/AgendaCenter/ViewFile/Item/4554,https://watertownmn.gov/AgendaCenter/ViewFile/Item/4554,other_local_government_pay_policy,ordinance_or_policy,non_safety_constraint_signal,salary_pay_ordinance,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_001:BRM5-20260731-01684,medium_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,application/pdf,735725,https://watertownmn.gov/AgendaCenter/ViewFile/Item/4554,unavailable_on_download,https://watertownmn.gov/AgendaCenter/ViewFile/Item/4554,404,text/html,101510,0,1,2026-08-02T14:28:38Z,2026-08-02T14:28:38Z,,GET returned 404,,,,,,,not_retained,not_applicable,,,,,,not_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
RMSRD-20260802-9919aa637e60951a5117,source_review_lane_002,477,RMV-20260801-03882,verification_lane_005,BRM5C-BRM5-20260731-07179-01,BRM5C-BRM5-20260731-07179-01,BRM5-20260731-07179,scout_lane_002,,PA,Northeast,South Fayette,Allegheny County (42003; primary),Collective Bargaining Agreement (Police) — South Fayette Township and South Fayette Police Department Wage and Policy Unit,https://southfayettepa.com/AgendaCenter/ViewFile/Item/1575?fileID=7504,southfayettepa.com,https://southfayettepa.com/AgendaCenter/ViewFile/Item/1575,https://southfayettepa.com/AgendaCenter/ViewFile/Item/1575,wage_schedule,cba,,agenda_minutes_packet,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-07179,medium_priority_verification_ready,non_cba_or_unresolved_hint,reachable,200,application/pdf,275067,https://southfayettepa.com/AgendaCenter/ViewFile/Item/1575,unavailable_on_download,https://southfayettepa.com/AgendaCenter/ViewFile/Item/1575,404,text/html,101608,0,1,2026-08-02T14:29:45Z,2026-08-02T14:29:45Z,,GET returned 404,,,,,,,not_retained,not_applicable,,,,,,not_retained,not_extracted,not_ocrd,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source-review/download metadata; no text extraction
