span_id,extraction_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,priority_bucket,cba_non_cba_hint,mechanism_source_family_hints,evidence_category,evidence_family,span_text_snippet,normalized_snippet_length,surrounding_context_snippet,page_number,section_heading,character_start_offset,character_end_offset,table_like_flag,currency_value_flag,percent_value_flag,date_or_effective_period_flag,position_or_unit_flag,safety_side_hint,comparison_potential_flag,mechanism_signal_flag,quantitative_signal_flag,confidence_score,reason_codes,source_locator_lineage,extracted_text_artifact_path,lane_id,span_sha256
BRMSPAN-20260802-05b28003287db93b3dd3815b,RMTXT-20260802-0011c53de4ee8d8863a1,RMSRD-20260802-e8b867566ca0039d6d6b,RMSRD-20260802-e8b867566ca0039d6d6b,BRM5C-BRM5-20260731-04223-01,Taylorville,IL,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_budget_or_pay_plan_amount,quantitative_compensation,"at a rate of $3,000.00 and to require all license holders to pay all fees in full at the time
",93,,,LIQUOR LICENSE REQUIREMENTS,14157,14251,True,True,False,False,False,unclear,False,False,True,0.94,Q001,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-01"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0011c53de4ee8d8863a1.txt,span_extraction_lane_003,df90d730fcdfd0193ce5bb5ee01617d44e3e8d0a87742f2c9ad3d08be6ef0a2b
BRMSPAN-20260802-db7a4ae7e14015b8bc303412,RMTXT-20260802-0011c53de4ee8d8863a1,RMSRD-20260802-e8b867566ca0039d6d6b,RMSRD-20260802-e8b867566ca0039d6d6b,BRM5C-BRM5-20260731-04223-01,Taylorville,IL,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_budget_or_pay_plan_amount,quantitative_compensation,"years, with rate of pay of $10.00 for year one, $11.00 for year two, and $12.00 for year
",88,,,DUMPSTER ATTENDANT AGREEMENT,16670,16759,True,True,False,False,False,unclear,False,False,True,0.94,Q001,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-01"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0011c53de4ee8d8863a1.txt,span_extraction_lane_003,7aabb798a8a68ebfcc8a4d186cceb8bd825cc149a8afb40f8b152035c3e21124
BRMSPAN-20260802-86c00c85a711e20dbd39f0f3,RMTXT-20260802-0011c53de4ee8d8863a1,RMSRD-20260802-e8b867566ca0039d6d6b,RMSRD-20260802-e8b867566ca0039d6d6b,BRM5C-BRM5-20260731-04223-01,Taylorville,IL,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_budget_or_pay_plan_amount,quantitative_compensation,"at a rate of $500.00 per month bank draft beginning May 1, 2020.",64,,,(RE: TREVIS PARKER),78878,78942,True,True,False,True,False,unclear,False,False,True,0.94,Q001,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-01"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0011c53de4ee8d8863a1.txt,span_extraction_lane_003,b2a3406d82b8cadac31b474d5b78e8e4b1a5301fc2304b24c609ce1fdbc2313f
BRMSPAN-20260802-7df40490e1a41f05723f2ecf,RMTXT-20260802-0011c53de4ee8d8863a1,RMSRD-20260802-e8b867566ca0039d6d6b,RMSRD-20260802-e8b867566ca0039d6d6b,BRM5C-BRM5-20260731-04223-01,Taylorville,IL,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_budget_or_pay_plan_amount,quantitative_compensation,"Clerk Cindy Dey, effective May 1, 2020.",39,,,RESIGNATION OF DEPUTY CLERK CINDY DEY,83778,83817,True,False,False,True,False,unclear,False,False,True,0.84,Q013,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-01"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0011c53de4ee8d8863a1.txt,span_extraction_lane_003,565b869026baf4173eeb1c8c1232b90cf6f0648d6ee0942492960612361a85ca
BRMSPAN-20260802-ccde0139db67685fbabfcea6,RMTXT-20260802-0011c53de4ee8d8863a1,RMSRD-20260802-e8b867566ca0039d6d6b,RMSRD-20260802-e8b867566ca0039d6d6b,BRM5C-BRM5-20260731-04223-01,Taylorville,IL,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_budget_or_pay_plan_amount,quantitative_compensation,"complete the applications for a fee of $25.00 per hour, with an estimated time of 25-30 hours
",93,,,,86223,86317,True,True,False,False,False,unclear,False,False,True,0.94,Q002,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-01"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0011c53de4ee8d8863a1.txt,span_extraction_lane_003,fb2037b6136b8cda05d906fcea9262a667b63294aa2e87e033c21a8b4988ae35
BRMSPAN-20260802-c8c245847b4a554e6d6ef54a,RMTXT-20260802-0011c53de4ee8d8863a1,RMSRD-20260802-e8b867566ca0039d6d6b,RMSRD-20260802-e8b867566ca0039d6d6b,BRM5C-BRM5-20260731-04223-01,Taylorville,IL,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_budget_or_pay_plan_amount,quantitative_compensation,"fill the position of Police Officer effective May 24, 2020 to enter the Police Academy at
",89,,,APRROVE HIRING OF POLICE OFFICER KAYLA SCHNEIDER,88432,88522,True,False,False,True,True,police,False,False,True,0.84,Q013,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-01"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0011c53de4ee8d8863a1.txt,span_extraction_lane_003,1aca8c2dd7abbd6023254ab6d45ad4b79b25afb961a57c5afe1d0aa5a2116133
BRMSPAN-20260802-ab4fc4af824d84d626a6f3ae,RMTXT-20260802-0011c53de4ee8d8863a1,RMSRD-20260802-e8b867566ca0039d6d6b,RMSRD-20260802-e8b867566ca0039d6d6b,BRM5C-BRM5-20260731-04223-01,Taylorville,IL,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_budget_or_pay_plan_amount,quantitative_compensation,"Tax Ward Money to hire 11 Summer Help at a rate of $10.00 per hour/40 hours per week for 10
",91,,,HIRING OF SUMMER HELP – 2% UTILITY TAX WARD MONEY,101857,101949,True,True,False,False,False,unclear,False,False,True,0.94,Q002,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-01"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0011c53de4ee8d8863a1.txt,span_extraction_lane_003,d17ac5e3d51155bc36463c968cc8d2a503c83fa7c24c660d5e61ad6e88ce3c35
BRMSPAN-20260802-66003e5b90eac3f0d08b3601,RMTXT-20260802-0011c53de4ee8d8863a1,RMSRD-20260802-e8b867566ca0039d6d6b,RMSRD-20260802-e8b867566ca0039d6d6b,BRM5C-BRM5-20260731-04223-01,Taylorville,IL,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_budget_or_pay_plan_amount,quantitative_compensation,"new prices will become effective on August 1, 2020.",51,,,OAK HILL CEMETERY PRICING CHANGES,139631,139682,True,False,False,True,False,unclear,False,False,True,0.84,Q013,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-01"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0011c53de4ee8d8863a1.txt,span_extraction_lane_003,2ddd27063863021b567f21bcbcac213d1700778ec487ea4c63c105d00ae1188e
BRMSPAN-20260802-88010a895aa12bc34af7b4b7,RMTXT-20260802-0011c53de4ee8d8863a1,RMSRD-20260802-e8b867566ca0039d6d6b,RMSRD-20260802-e8b867566ca0039d6d6b,BRM5C-BRM5-20260731-04223-01,Taylorville,IL,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_budget_or_pay_plan_amount,quantitative_compensation,"prepare the Appropriation Ordinance for the Fiscal Year 2020/2021 in the amount of
",82,,,,141174,141257,True,False,False,True,False,unclear,False,False,True,0.84,Q014,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-01"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0011c53de4ee8d8863a1.txt,span_extraction_lane_003,065b743d1a68fcbb5293808bcb294e8b6cf5905120a0e3016be103876ed834b9
BRMSPAN-20260802-2001f9825320d025921c1935,RMTXT-20260802-0011c53de4ee8d8863a1,RMSRD-20260802-e8b867566ca0039d6d6b,RMSRD-20260802-e8b867566ca0039d6d6b,BRM5C-BRM5-20260731-04223-01,Taylorville,IL,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_budget_or_pay_plan_amount,quantitative_compensation,"$65.00 per hour on all vehicles and equipment, as well as service calls, from Blueville
",87,,,BLUEVILLE GARAGE SERVICE RATE,171243,171331,True,True,False,False,False,unclear,False,False,True,0.94,Q002,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-01"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020mins.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0011c53de4ee8d8863a1.txt,span_extraction_lane_003,a47777260012d1752b9a18e733a8e1030cc4662d66ea4eddd44852937f503f35
