span_id,extraction_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,priority_bucket,cba_non_cba_hint,mechanism_source_family_hints,evidence_category,evidence_family,span_text_snippet,normalized_snippet_length,surrounding_context_snippet,page_number,section_heading,character_start_offset,character_end_offset,table_like_flag,currency_value_flag,percent_value_flag,date_or_effective_period_flag,position_or_unit_flag,safety_side_hint,comparison_potential_flag,mechanism_signal_flag,quantitative_signal_flag,confidence_score,reason_codes,source_locator_lineage,extracted_text_artifact_path,lane_id,span_sha256
BRMSPAN-20260802-eee7711e6bfc8df405a115db,RMTXT-20260802-00c5baf1ccb5b75199af,RMSRD-20260802-614f94c1a9c60ac9d4ce,RMSRD-20260802-614f94c1a9c60ac9d4ce,BRM5C-BRM5-20260731-06574-01,Russell,WI,Midwest,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_other_compensation_value,quantitative_compensation,"Letter of Resignation dated December 3, 2019, effective January 7, 2020, received from Terry Winkel.
",100,,,,1435,1536,True,False,False,True,False,unclear,False,False,True,0.84,Q013,"{""candidate_id"": ""BRM5C-BRM5-20260731-06574-01"", ""final"": ""https://townrussell.com/files/minutes/2020.pdf"", ""original"": ""https://townrussell.com/files/minutes/2020.pdf"", ""scout_target_id"": ""BRM5-20260731-06574""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_003/RMTXT-20260802-00c5baf1ccb5b75199af.txt,span_extraction_lane_001,3ceffc9477778f9906e0e22106c5893d14a0c4c55b0a5fefbe55408db241bf43
BRMSPAN-20260802-1b095582696aa045366cdc9b,RMTXT-20260802-00c5baf1ccb5b75199af,RMSRD-20260802-614f94c1a9c60ac9d4ce,RMSRD-20260802-614f94c1a9c60ac9d4ce,BRM5C-BRM5-20260731-06574-01,Russell,WI,Midwest,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_other_compensation_value,quantitative_compensation,"Willeford interim town chairman effective January 8, 2020 until the spring 2021 election, seconded by
",101,,,,1826,1928,True,False,False,True,False,unclear,False,False,True,0.84,Q013,"{""candidate_id"": ""BRM5C-BRM5-20260731-06574-01"", ""final"": ""https://townrussell.com/files/minutes/2020.pdf"", ""original"": ""https://townrussell.com/files/minutes/2020.pdf"", ""scout_target_id"": ""BRM5-20260731-06574""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_003/RMTXT-20260802-00c5baf1ccb5b75199af.txt,span_extraction_lane_001,87e4ce8ba4128f3f06b2f8420546974b1e091a3ad1ace97557c1c8ee0726f2f0
BRMSPAN-20260802-172ce202df81602d124a14e4,RMTXT-20260802-00c5baf1ccb5b75199af,RMSRD-20260802-614f94c1a9c60ac9d4ce,RMSRD-20260802-614f94c1a9c60ac9d4ce,BRM5C-BRM5-20260731-06574-01,Russell,WI,Midwest,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_base_wage_direct_value,quantitative_compensation,"Supervisor Ausloos to increase the recycling center caretaker’s hourly wage by $3.00 an
",87,,,,37197,37285,True,True,False,False,False,unclear,False,False,True,0.94,Q001,"{""candidate_id"": ""BRM5C-BRM5-20260731-06574-01"", ""final"": ""https://townrussell.com/files/minutes/2020.pdf"", ""original"": ""https://townrussell.com/files/minutes/2020.pdf"", ""scout_target_id"": ""BRM5-20260731-06574""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_003/RMTXT-20260802-00c5baf1ccb5b75199af.txt,span_extraction_lane_001,55e016371373389cfa14a4a128e5dfcd1b458cfe434cc6c99b3053ae20872c60
BRMSPAN-20260802-fc98738c44b4c0a365946139,RMTXT-20260802-00c5baf1ccb5b75199af,RMSRD-20260802-614f94c1a9c60ac9d4ce,RMSRD-20260802-614f94c1a9c60ac9d4ce,BRM5C-BRM5-20260731-06574-01,Russell,WI,Midwest,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_other_compensation_value,quantitative_compensation,"hour effective August 1, 2020.",30,,,,37285,37315,True,False,False,True,False,unclear,False,False,True,0.84,Q013,"{""candidate_id"": ""BRM5C-BRM5-20260731-06574-01"", ""final"": ""https://townrussell.com/files/minutes/2020.pdf"", ""original"": ""https://townrussell.com/files/minutes/2020.pdf"", ""scout_target_id"": ""BRM5-20260731-06574""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_003/RMTXT-20260802-00c5baf1ccb5b75199af.txt,span_extraction_lane_001,0892680942dabf809d7861a38c1448d49a339fb61c1191694740734cb9893b8a
BRMSPAN-20260802-8ee1302f0747031fcf0d9bd2,RMTXT-20260802-018988e6e1a322cbc35e,RMSRD-20260802-4c74bd56ddd052c11df6,RMSRD-20260802-4c74bd56ddd052c11df6,BRM5C-BRM5-20260731-06788-01,Parish,NY,Northeast,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,qual_collective_bargaining,qualitative_mechanism,"into Executive Session at 8:00 pm to discuss Collective Bargaining Negotiations pursuant to the Taylor
",102,,,EXECUTIVE SESSION:,10996,11099,True,False,False,False,False,unclear,False,True,False,0.86,M002,"{""candidate_id"": ""BRM5C-BRM5-20260731-06788-01"", ""final"": ""https://townofparish-ny.us/wp-content/uploads/2024/05/Parish-town-board-meeting-minutes-Thursday-April-18-2024.pdf"", ""original"": ""https://townofparish-ny.us/wp-content/uploads/2024/05/Parish-town-board-meeting-minutes-Thursday-April-18-2024.pdf"", ""scout_target_id"": ""BRM5-20260731-06788""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_003/RMTXT-20260802-018988e6e1a322cbc35e.txt,span_extraction_lane_001,d9eabb16cb0c084936e7a973a629960aa66bedb09a57dc15d75359dbecd926f3
BRMSPAN-20260802-e31436cf02642ad70938b98c,RMTXT-20260802-018988e6e1a322cbc35e,RMSRD-20260802-4c74bd56ddd052c11df6,RMSRD-20260802-4c74bd56ddd052c11df6,BRM5C-BRM5-20260731-06788-01,Parish,NY,Northeast,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,qual_collective_bargaining,qualitative_mechanism,"Supervisor Bernys commented that he appreciates everyone that helped with the contract negotiations.
",100,,,,11721,11822,True,False,False,False,False,unclear,False,True,False,0.86,M002,"{""candidate_id"": ""BRM5C-BRM5-20260731-06788-01"", ""final"": ""https://townofparish-ny.us/wp-content/uploads/2024/05/Parish-town-board-meeting-minutes-Thursday-April-18-2024.pdf"", ""original"": ""https://townofparish-ny.us/wp-content/uploads/2024/05/Parish-town-board-meeting-minutes-Thursday-April-18-2024.pdf"", ""scout_target_id"": ""BRM5-20260731-06788""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_003/RMTXT-20260802-018988e6e1a322cbc35e.txt,span_extraction_lane_001,151212b1f30be0fbdb49f8b24b36f647aba0dc81ebbe2126dca8d2e301bc723b
BRMSPAN-20260802-cb04f71fe5fbf03a68d01edb,RMTXT-20260802-01cbe7bc6192ec51bc77,RMSRD-20260802-6fac6a8009ca3a3a0eba,RMSRD-20260802-6fac6a8009ca3a3a0eba,BRM5C-BRM5-20260731-07678-01,Dry Grove,IL,Midwest,pdf,arbitration_award,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,quant_base_wage_direct_value,quantitative_compensation,"commissioner shall be fixed by the township board at an annual salary of not less than $3,000 to
",96,,,,588,685,True,True,False,False,False,unclear,False,False,True,0.94,Q003,"{""candidate_id"": ""BRM5C-BRM5-20260731-07678-01"", ""final"": ""https://drygrovetownship.org/wp-content/uploads/2024/12/Salary-Resolution-2025-2029-to-post.pdf"", ""original"": ""https://drygrovetownship.org/wp-content/uploads/2024/12/Salary-Resolution-2025-2029-to-post.pdf"", ""scout_target_id"": ""BRM5-20260731-07678""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-01cbe7bc6192ec51bc77.txt,span_extraction_lane_001,d102003ea6f0cfbbddfa7a38db6752b61ad9b626e5025c354b6988a862a9ab54
BRMSPAN-20260802-edb68e89c25d084604b0e983,RMTXT-20260802-0262569dfc0efd284bd9,RMSRD-20260802-af6ab045455d0cd7fe1a,RMSRD-20260802-af6ab045455d0cd7fe1a,BRM5C-BRM5-20260731-13912-04,Decatur,WI,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,weak_or_ambiguous_compensation_signal,context,"Salary/Per diem $ 7,910.00 $ 7,880.00 $ 7,880.00 $ 8,500 $ 8,500
",64,,,TOWN OF DECATUR,3057,3122,True,True,False,False,False,unclear,False,False,False,0.52,W001,"{""candidate_id"": ""BRM5C-BRM5-20260731-13912-04"", ""final"": ""https://cdn.townweb.com/townofdecaturwi.gov/wp-content/uploads/2016/01/2018-Budget-Worksheet.pdf"", ""original"": ""https://cdn.townweb.com/townofdecaturwi.gov/wp-content/uploads/2016/01/2018-Budget-Worksheet.pdf"", ""scout_target_id"": ""BRM5-20260731-13912""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_005/RMTXT-20260802-0262569dfc0efd284bd9.txt,span_extraction_lane_001,36f28d9b51ba0b9df9b44289e98f1089689aeb2176a7d871a12569d48d239f45
BRMSPAN-20260802-8db4691ad5423c7b02f08444,RMTXT-20260802-02a4ea219aa4e9c460da,RMSRD-20260802-27ea44eaca39c925a31f,RMSRD-20260802-27ea44eaca39c925a31f,BRM5C-BRM5-20260731-06999-01,Haines,PA,Northeast,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_base_wage_direct_value,quantitative_compensation,"Roadmaster – Fulltime Hourly, Rate $24.46/HR W/Benefits, OT Rate $36.69
",71,,,"SET COMPENSATION RATES, AS APPROVED IN 2025 BUDGET *",394,466,True,True,False,False,False,unclear,False,False,True,0.94,Q002,"{""candidate_id"": ""BRM5C-BRM5-20260731-06999-01"", ""final"": ""https://hainestwp.org/wp-content/uploads/2025/01/BOS-AGENDA-01-06-25.pdf"", ""original"": ""https://hainestwp.org/wp-content/uploads/2025/01/BOS-AGENDA-01-06-25.pdf"", ""scout_target_id"": ""BRM5-20260731-06999""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_004/RMTXT-20260802-02a4ea219aa4e9c460da.txt,span_extraction_lane_001,102c0452e9009aa048717b55b3773f156cc4ffe00d0f82bea004bc5e208a2740
BRMSPAN-20260802-861a8361a8cc536161ed8f50,RMTXT-20260802-02a4ea219aa4e9c460da,RMSRD-20260802-27ea44eaca39c925a31f,RMSRD-20260802-27ea44eaca39c925a31f,BRM5C-BRM5-20260731-06999-01,Haines,PA,Northeast,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,quant_base_wage_direct_value,quantitative_compensation,"Seasonal/As Needed Employees - $15.60/HR
",40,,,"SET COMPENSATION RATES, AS APPROVED IN 2025 BUDGET *",559,600,True,True,False,False,False,unclear,False,False,True,0.94,Q002,"{""candidate_id"": ""BRM5C-BRM5-20260731-06999-01"", ""final"": ""https://hainestwp.org/wp-content/uploads/2025/01/BOS-AGENDA-01-06-25.pdf"", ""original"": ""https://hainestwp.org/wp-content/uploads/2025/01/BOS-AGENDA-01-06-25.pdf"", ""scout_target_id"": ""BRM5-20260731-06999""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_004/RMTXT-20260802-02a4ea219aa4e9c460da.txt,span_extraction_lane_001,3ad858b5972b486505938b121efc598231448acb705100bd37c62a8bbb616fd3
