extraction_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,priority_bucket,cba_non_cba_hint,mechanism_source_family_hints,source_locator_lineage,extracted_text_artifact_path,extracted_text_sha256,extracted_character_count,extracted_byte_count,pdf_page_count,source_span_status,span_count_total,quant_span_count,qual_span_count,context_span_count,strongest_evidence_category,strongest_evidence_family,strongest_confidence_score,has_quantitative_compensation_evidence,has_qualitative_mechanism_evidence,has_mixed_quant_qual_evidence,has_safety_side_evidence,has_non_safety_side_evidence,has_comparison_potential,has_growth_or_adjustment_mechanism,has_non_base_compensation,has_bargaining_or_dispute_process,source_level_summary_rationale,lane_id,reason_code,error_class,error_message_redacted
RMTXT-20260802-00c22b5ebbe8c285113d,RMSRD-20260802-56564ef9261474d7a41b,RMSRD-20260802-56564ef9261474d7a41b,BRM5C-BRM5-20260731-08419-01,Offerle,KS,Midwest,pdf,salary_ordinance,medium_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-08419-01"", ""final"": ""https://kansaspublicnotices.com/KSLegals/2024/31171-2024-06-05_1001.pdf"", ""original"": ""https://kansaspublicnotices.com/KSLegals/2024/31171-2024-06-05_1001.pdf"", ""scout_target_id"": ""BRM5-20260731-08419""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-00c22b5ebbe8c285113d.txt,087b47d3095c3306f381d6cd7d65f18b4e8c7e757e13978a302085a0ed52a519,10732,10750,1,span_positive,3,2,1,0,quant_percentage_raise_or_cola,quantitative_compensation,0.94,True,True,True,False,False,False,True,False,False,"Deterministic bounded extraction found 2 quantitative, 1 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,one_or_more_rating_eligible_deterministic_spans_found,,
RMTXT-20260802-015f462b9fec53216791,RMSRD-20260802-25ddb3a119495c4bb57b,RMSRD-20260802-25ddb3a119495c4bb57b,BRM5C-BRM5-20260731-08747-01,Vermontville,MI,Midwest,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-08747-01"", ""final"": ""https://vermontville-mi.gov/wp-content/uploads/2025/10/9_11_25-minutes-draft.pdf"", ""original"": ""https://vermontville-mi.gov/wp-content/uploads/2025/10/9_11_25-minutes-draft.pdf"", ""scout_target_id"": ""BRM5-20260731-08747""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_004/RMTXT-20260802-015f462b9fec53216791.txt,44de7f35ceeeec629f550fedbf0374a0c25512688a3b3edf9cbdfc66096810de,4276,4344,3,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,no_bounded_compensation_or_mechanism_rule_match,,
RMTXT-20260802-0167c45a0ab7972c6a25,RMSRD-20260802-3cfdeda87bc4785c80e3,RMSRD-20260802-3cfdeda87bc4785c80e3,BRM5C-BRM5-20260731-10512-02,New Lebanon,NY,Northeast,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-10512-02"", ""final"": ""https://townofnewlebanon.com/wp-content/uploads/2024/07/2023-12-28-tb-end-of-year-meeting-minutes.pdf"", ""original"": ""https://townofnewlebanon.com/wp-content/uploads/2024/07/2023-12-28-tb-end-of-year-meeting-minutes.pdf"", ""scout_target_id"": ""BRM5-20260731-10512""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-0167c45a0ab7972c6a25.txt,fb5eff97156242e256a69ff76022f2043f9459d8f6f779d50b05bf5d9d3f891f,91962,92306,36,span_positive,20,11,9,0,quant_base_wage_direct_value,quantitative_compensation,0.94,True,True,True,False,True,False,False,True,True,"Deterministic bounded extraction found 11 quantitative, 9 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,one_or_more_rating_eligible_deterministic_spans_found,,
RMTXT-20260802-025ac8c73ecf5d06ac40,RMSRD-20260802-98818a99037a82869fea,RMSRD-20260802-98818a99037a82869fea,BRM5C-BRM5-20260731-12492-01,Watersmeet,MI,Midwest,pdf,wage_schedule,high_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-12492-01"", ""final"": ""https://gsaindexed.apps.lara.state.mi.us/MERC/2005/uc04b006.pdf"", ""original"": ""https://gsaindexed.apps.lara.state.mi.us/MERC/2005/uc04b006.pdf"", ""scout_target_id"": ""BRM5-20260731-12492""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_005/RMTXT-20260802-025ac8c73ecf5d06ac40.txt,07d8cb57e5e844156a880d4f531da4ac48cc268a8d85a67cfb82b8dc72be0180,8289,8319,4,span_positive,7,1,6,0,qual_collective_bargaining,qualitative_mechanism,0.86,True,True,True,False,False,False,False,True,True,"Deterministic bounded extraction found 1 quantitative, 6 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,one_or_more_rating_eligible_deterministic_spans_found,,
RMTXT-20260802-026283d96f4d12acbd4c,RMSRD-20260802-9edf52a432e9f255ed0c,RMSRD-20260802-9edf52a432e9f255ed0c,BRM5C-BRM5-20260731-16858-01,Cooperstown,ND,Midwest,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,market_or_comparability_pressure;non_safety_constraint_signal,"{""candidate_id"": ""BRM5C-BRM5-20260731-16858-01"", ""final"": ""https://cooperstownnd.com/vertical/sites/%7B5D25877C-4D69-4168-9713-A562EA838C49%7D/uploads/05-06-2019_Minutes_%28002%29.pdf"", ""original"": ""https://www.cooperstownnd.com/vertical/sites/%7B5D25877C-4D69-4168-9713-A562EA838C49%7D/uploads/05-06-2019_Minutes_%28002%29.pdf"", ""scout_target_id"": ""BRM5-20260731-16858""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-026283d96f4d12acbd4c.txt,4a0451b5e3d0af74077498dc2e96837df265a230b3f447f007bc77f51dc9e471,8883,8899,4,span_positive,2,1,1,0,quant_base_wage_direct_value,quantitative_compensation,0.94,True,True,True,False,False,False,False,False,False,"Deterministic bounded extraction found 1 quantitative, 1 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,one_or_more_rating_eligible_deterministic_spans_found,,
RMTXT-20260802-02ad0dbc721d27193651,RMSRD-20260802-d3f10924d9258e266453,RMSRD-20260802-d3f10924d9258e266453,BRM5C-BRM5-20260731-07689-02,Elwood,IL,Midwest,pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,"{""candidate_id"": ""BRM5C-BRM5-20260731-07689-02"", ""final"": ""https://villageofelwood.com/AgendaCenter/ViewFile/Minutes/_07012020-585"", ""original"": ""https://www.villageofelwood.com/AgendaCenter/ViewFile/Minutes/_07012020-585"", ""scout_target_id"": ""BRM5-20260731-07689""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_003/RMTXT-20260802-02ad0dbc721d27193651.txt,6dcc0cb704672a7975ef5d3e1ca8ceec9cbe3aa83ca31f7ac3def4217268d4f5,12920,13066,5,span_positive,8,5,3,0,quant_other_compensation_value,quantitative_compensation,0.94,True,True,True,False,False,False,True,False,True,"Deterministic bounded extraction found 5 quantitative, 3 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,one_or_more_rating_eligible_deterministic_spans_found,,
RMTXT-20260802-03dfd1c26d0a2677075d,RMSRD-20260802-b647df2b0f542c35db43,RMSRD-20260802-b647df2b0f542c35db43,BRM5C-BRM5-20260731-09232-01,Glenaire,MO,Midwest,pdf,salary_ordinance,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,"{""candidate_id"": ""BRM5C-BRM5-20260731-09232-01"", ""final"": ""https://cityofglenaire.org/wp-content/uploads/2023/03/Glenaire-Code-02232022.pdf"", ""original"": ""https://cityofglenaire.org/wp-content/uploads/2023/03/Glenaire-Code-02232022.pdf"", ""scout_target_id"": ""BRM5-20260731-09232""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_004/RMTXT-20260802-03dfd1c26d0a2677075d.txt,3f9f4eab973df92e7ec74f46b8df49baedb6f962e7c07c99b9c5eb14f696b5b5,467353,468540,166,span_positive,8,4,4,0,quant_base_wage_direct_value,quantitative_compensation,0.94,True,True,True,False,True,False,True,False,False,"Deterministic bounded extraction found 4 quantitative, 4 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,one_or_more_rating_eligible_deterministic_spans_found,,
RMTXT-20260802-056e0f15c0a818aaebed,RMSRD-20260802-5de66060750af75f47e0,RMSRD-20260802-5de66060750af75f47e0,BRM5C-BRM5-20260731-18341-01,Paradise,PA,Northeast,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,"{""candidate_id"": ""BRM5C-BRM5-20260731-18341-01"", ""final"": ""https://paradisetownship.org/wp-content/uploads/2019/09/BOS-MINUTES-DEC-16-2025.pdf"", ""original"": ""https://paradisetownship.org/wp-content/uploads/2019/09/BOS-MINUTES-DEC-16-2025.pdf"", ""scout_target_id"": ""BRM5-20260731-18341""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_005/RMTXT-20260802-056e0f15c0a818aaebed.txt,b355d5e89509db46f63f0c3848cf6b362c38e9382585479c5977c4cd5ecc0c53,8900,9024,4,span_weak_or_ambiguous,1,0,0,1,weak_or_ambiguous_compensation_signal,context,0.52,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 1 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,generic_compensation_terms_without_rule_specific_context,,
RMTXT-20260802-05d270477b4368adb70c,RMSRD-20260802-097e72f5a83f2a422e57,RMSRD-20260802-097e72f5a83f2a422e57,BRM5C-BRM5-20260731-06519-01,Milladore,WI,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,"{""candidate_id"": ""BRM5C-BRM5-20260731-06519-01"", ""final"": ""https://files.heygov.com/townofmilladore.com/meetings/me_01jaekhpksegxg9q7ebk7jbr5r/board-of-supervisors-meeting-and-annual-budget-meeting-nov-3-2024.pdf"", ""original"": ""https://files.heygov.com/townofmilladore.com/meetings/me_01jaekhpksegxg9q7ebk7jbr5r/board-of-supervisors-meeting-and-annual-budget-meeting-nov-3-2024.pdf"", ""scout_target_id"": ""BRM5-20260731-06519""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_004/RMTXT-20260802-05d270477b4368adb70c.txt,0407449ce0f968cd7b622a218b773bff6fa1f8f971fc88bf578fdb520f09a95c,1926,1928,1,span_positive,3,3,0,0,quant_budget_or_pay_plan_amount,quantitative_compensation,0.94,True,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 3 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,one_or_more_rating_eligible_deterministic_spans_found,,
RMTXT-20260802-05f62df22f490e502377,RMSRD-20260802-cb5c3f1c706b3c0c69fc,RMSRD-20260802-cb5c3f1c706b3c0c69fc,BRM5C-BRM5-20260731-10265-02,Merrimac,WI,Midwest,pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,"{""candidate_id"": ""BRM5C-BRM5-20260731-10265-02"", ""final"": ""https://merrimacwi.gov/vertical/sites/%7BCBEFE108-6CEC-4014-B024-0697DD562493%7D/uploads/FINAL_Board_Minutes_7-8-2025.pdf"", ""original"": ""https://merrimacwi.gov/vertical/sites/%7BCBEFE108-6CEC-4014-B024-0697DD562493%7D/uploads/FINAL_Board_Minutes_7-8-2025.pdf"", ""scout_target_id"": ""BRM5-20260731-10265""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_003/RMTXT-20260802-05f62df22f490e502377.txt,72093b74d7571bee46bfbf898477dd37375a73e3ff7733be42022bb80c2c9b64,14772,14868,4,span_weak_or_ambiguous,1,0,0,1,weak_or_ambiguous_compensation_signal,context,0.52,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 1 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,generic_compensation_terms_without_rule_specific_context,,
