readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256,observed_file_size_bytes,observed_sha256,file_integrity_status,content_type,page_count,encrypted_or_locked_flag,corrupt_or_broken_flag,has_text_layer_flag,bounded_text_probe_page_count,bounded_text_probe_character_count,estimated_text_density_chars_per_probed_page,table_layout_indicator,likely_scanned_or_image_only_flag,oversized_flag,local_html_payload_exists_flag,html_visible_character_count,html_link_count,html_script_count,html_mostly_scripts_or_boilerplate_flag,other_document_non_ocr_extraction_feasible_flag,primary_readiness_status,reason_code,classified_at,full_text_persisted_flag,ocr_run_flag,extraction_id,extraction_lane_id,extraction_lane_sequence,locked_source_path,queue_locked_at
RMRDY-20260802-821b08ecc394cfda0d44,readiness_lane_003,333,pdf,pdf,RMSRD-20260802-f5f676d2f60f77ed99e8,RMV-20260801-00829,BRM5C-BRM5-20260731-04947-01,BRM5-20260731-04947,MI,Midwest,Otisco,"Otisco Township Board Regular Meeting — January 14, 2025 AGENDA",https://www.otiscotwp.org/_files/ugd/72bd98_fe1c0d63bbaa48a0ae0bd43b35246db5.pdf,https://otiscotwp.org/_files/ugd/72bd98_fe1c0d63bbaa48a0ae0bd43b35246db5.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-f5f676d2f60f77ed99e8.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-f5f676d2f60f77ed99e8.pdf,sha256:da752fee99c91f8fff775b04c7ded380cd74567c52d9f43d2a743d3ed9f2fafc,locally_available,local_only_not_replicated,local_research_workspace,17429,da752fee99c91f8fff775b04c7ded380cd74567c52d9f43d2a743d3ed9f2fafc,17429,da752fee99c91f8fff775b04c7ded380cd74567c52d9f43d2a743d3ed9f2fafc,integrity_pass,application/pdf,1,false,false,true,1,727,727.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:39:08Z,false,false,RMTXT-20260802-b3166924777a5ef8b86b,text_extraction_lane_004,1,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-f5f676d2f60f77ed99e8.pdf,2026-08-02T17:52:03Z
RMRDY-20260802-e31d49cf44c7c36f9123,readiness_lane_002,286,pdf,pdf,RMSRD-20260802-3d9f7eb8ed640f5f05de,RMV-20260801-03411,BRM5C-BRM5-20260731-16173-01,BRM5-20260731-16173,MI,Midwest,Pine River,2026 Adopted Budget (Website PDF),https://pinerivermi.gov/wp-content/uploads/2025/10/2026-Adopted-Budget-Website.pdf,https://pinerivermi.gov/wp-content/uploads/2025/10/2026-Adopted-Budget-Website.pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-3d9f7eb8ed640f5f05de.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-3d9f7eb8ed640f5f05de.pdf,sha256:6adc2f4a48b292e4d973be2a7433e2f8c5b2424d55ab20a760130cd963618037,locally_available,local_only_not_replicated,local_research_workspace,285802,6adc2f4a48b292e4d973be2a7433e2f8c5b2424d55ab20a760130cd963618037,285802,6adc2f4a48b292e4d973be2a7433e2f8c5b2424d55ab20a760130cd963618037,integrity_pass,application/pdf,15,false,false,true,3,2418,806.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:31:07Z,false,false,RMTXT-20260802-adfab1ba7a688b7e5d15,text_extraction_lane_004,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-3d9f7eb8ed640f5f05de.pdf,2026-08-02T17:52:02Z
RMRDY-20260802-014f7da22a08bb5d926b,readiness_lane_002,417,pdf,pdf,RMSRD-20260802-95d079e302b4b81503d6,RMV-20260801-01102,BRM5C-BRM5-20260731-06683-01,BRM5-20260731-06683,NY,Northeast,Centerville,"Town of Centerville (Allegany County, NY) — 2023 Preliminary Budget (Master Report) (BBS Accounting, LLC) (includes personnel/salary line items)",https://centerville.wordpress.com/wp-content/uploads/2022/10/prelimaary-2023.pdf,https://centerville.wordpress.com/wp-content/uploads/2022/10/prelimaary-2023.pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-95d079e302b4b81503d6.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-95d079e302b4b81503d6.pdf,sha256:24648e29908194716594ea2ff5daca36aa164a329478969a4aeea53b70441edb,locally_available,local_only_not_replicated,local_research_workspace,82677,24648e29908194716594ea2ff5daca36aa164a329478969a4aeea53b70441edb,82677,24648e29908194716594ea2ff5daca36aa164a329478969a4aeea53b70441edb,integrity_pass,application/pdf,7,false,false,true,3,3932,1310.667,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:31:10Z,false,false,RMTXT-20260802-9e1caadde9a3e4217d86,text_extraction_lane_004,3,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-95d079e302b4b81503d6.pdf,2026-08-02T17:52:03Z
RMRDY-20260802-8a7b5a938773bedff79d,readiness_lane_005,515,pdf,pdf,RMSRD-20260802-47d1ded136c7445a9229,RMV-20260801-01781,BRM5C-BRM5-20260731-02511-02,BRM5-20260731-02511,SD,Midwest,Elkton,Resolution 2023-01.01 salary resolution (shown within Elkton City Council Minutes),https://elktonsd.com/pdf/minutes/2023/January-9.pdf,https://elktonsd.com/pdf/minutes/2023/January-9.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-47d1ded136c7445a9229.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-47d1ded136c7445a9229.pdf,sha256:b895f7f3252fccd2f63dc8cb49f547ad32453ea8e2ef67be3a8d5ee8a1fef79e,locally_available,local_only_not_replicated,local_research_workspace,159484,b895f7f3252fccd2f63dc8cb49f547ad32453ea8e2ef67be3a8d5ee8a1fef79e,159484,b895f7f3252fccd2f63dc8cb49f547ad32453ea8e2ef67be3a8d5ee8a1fef79e,integrity_pass,application/pdf,4,false,false,true,3,4203,1401.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:55:11Z,false,false,RMTXT-20260802-443ca0b3cbccd07815e1,text_extraction_lane_004,4,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-47d1ded136c7445a9229.pdf,2026-08-02T17:52:04Z
RMRDY-20260802-8b97b25d919ac8e5b888,readiness_lane_003,443,pdf,pdf,RMSRD-20260802-87564822d451f874a949,RMV-20260801-02402,BRM5C-BRM5-20260731-01104-02,BRM5-20260731-01104,MI,Midwest,Elk,Elk Township Board meeting minutes (includes Ordinance Enforcement Officer wage resolution/rate change),https://www.elk-township.org/download/12874/jan-9-2024.pdf,https://elk-township.org/download/12874/jan-9-2024.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-87564822d451f874a949.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-87564822d451f874a949.pdf,sha256:9fe7189ade2509b682c7bc5f9f6dbff641b64bbf056e9fd16f00c439fc4d1d5b,locally_available,local_only_not_replicated,local_research_workspace,149673,9fe7189ade2509b682c7bc5f9f6dbff641b64bbf056e9fd16f00c439fc4d1d5b,149673,9fe7189ade2509b682c7bc5f9f6dbff641b64bbf056e9fd16f00c439fc4d1d5b,integrity_pass,application/pdf,3,false,false,true,3,4714,1571.333,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:39:11Z,false,false,RMTXT-20260802-f95a43e4b9d58fa5a94e,text_extraction_lane_004,5,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-87564822d451f874a949.pdf,2026-08-02T17:52:03Z
RMRDY-20260802-b5cef690aa70412a1092,readiness_lane_001,510,pdf,pdf,RMSRD-20260802-805bcf090c3e0c875819,RMV-20260801-01003,BRM5C-BRM5-20260731-11319-02,BRM5-20260731-11319,IL,Midwest,Albers,Village of Albers Board of Trustees — Minutes (example document; not confirmed as labor-contract binding text),https://albersil.org/wp-content/uploads/2025/08/MINUTES-14Jul2025.docx.pdf,https://albersil.org/wp-content/uploads/2025/08/MINUTES-14Jul2025.docx.pdf,arbitration_award,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-805bcf090c3e0c875819.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-805bcf090c3e0c875819.pdf,sha256:21e5944f597f08f8342a37fa0bff0af5f912c913fe67e2fcab2b339c044bd60d,locally_available,local_only_not_replicated,local_research_workspace,172002,21e5944f597f08f8342a37fa0bff0af5f912c913fe67e2fcab2b339c044bd60d,172002,21e5944f597f08f8342a37fa0bff0af5f912c913fe67e2fcab2b339c044bd60d,integrity_pass,application/pdf,4,false,false,true,3,7012,2337.333,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:23:11Z,false,false,RMTXT-20260802-8c6dd04622a829910206,text_extraction_lane_004,6,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-805bcf090c3e0c875819.pdf,2026-08-02T17:52:02Z
RMRDY-20260802-f4e49b67e529e2ae1704,readiness_lane_002,389,pdf,pdf,RMSRD-20260802-0c8330d42726f9e6897a,RMV-20260801-00890,BRM5C-BRM5-20260731-10466-02,BRM5-20260731-10466,NY,Northeast,Highland,"Town of Highland Regular Town Board Meeting — April 13, 2021 (Local 17 contract signed; term mention but agreement not provided)",https://townofhighlandny.gov/wp-content/uploads/TOWN-OF-HIGHLAND-April-13-2021-minutes-Board-Regular-meeting.pdf,https://townofhighlandny.gov/wp-content/uploads/TOWN-OF-HIGHLAND-April-13-2021-minutes-Board-Regular-meeting.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-0c8330d42726f9e6897a.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-0c8330d42726f9e6897a.pdf,sha256:51e2bec839d36e10dc17fe43494497ffb5aa8897ccebdb842f2c1cc232a844a3,locally_available,local_only_not_replicated,local_research_workspace,123318,51e2bec839d36e10dc17fe43494497ffb5aa8897ccebdb842f2c1cc232a844a3,123318,51e2bec839d36e10dc17fe43494497ffb5aa8897ccebdb842f2c1cc232a844a3,integrity_pass,application/pdf,4,false,false,true,3,5434,1811.333,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:31:10Z,false,false,RMTXT-20260802-10a63124777f4e86585f,text_extraction_lane_004,7,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-0c8330d42726f9e6897a.pdf,2026-08-02T17:52:03Z
RMRDY-20260802-31b2f4fdc306cb48efc3,readiness_lane_005,285,pdf,pdf,RMSRD-20260802-8af0a12c5e19ab2b02b7,RMV-20260801-03125,BRM5C-BRM5-20260731-07567-02,BRM5-20260731-07567,IA,Midwest,Stanhope,"Police Board Minutes — January 4, 2024",https://www.stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,https://stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-8af0a12c5e19ab2b02b7.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-8af0a12c5e19ab2b02b7.pdf,sha256:8c7fbe8273a15e656beb37150976c7c7ec09d8018ca5c3213f4414ea5171ac13,locally_available,local_only_not_replicated,local_research_workspace,741914,8c7fbe8273a15e656beb37150976c7c7ec09d8018ca5c3213f4414ea5171ac13,741914,8c7fbe8273a15e656beb37150976c7c7ec09d8018ca5c3213f4414ea5171ac13,integrity_pass,application/pdf,3,false,false,true,3,3594,1198.0,no_strong_table_layout_signal,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:55:06Z,false,false,RMTXT-20260802-2e25ed69219890c1f19f,text_extraction_lane_004,8,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-8af0a12c5e19ab2b02b7.pdf,2026-08-02T17:52:04Z
RMRDY-20260802-99a7c55cd3034d3049d3,readiness_lane_002,348,html,html,RMSRD-20260802-4b71256af100bf021896,RMV-20260801-03294,BRM5C-BRM5-20260731-14438-01,BRM5-20260731-14438,PA,Northeast,Eldred,Eldred Borough Council Meeting Minutes (index/landing page),https://eldredborough.jimdofree.com/minutes/,https://eldredborough.jimdofree.com/minutes,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-4b71256af100bf021896.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-4b71256af100bf021896.html,sha256:dcab5008339fa4d17033915d0c14c036c19a022f4a21dfb821504b62d751d569,locally_available,local_only_not_replicated,local_research_workspace,1463591,dcab5008339fa4d17033915d0c14c036c19a022f4a21dfb821504b62d751d569,1463591,dcab5008339fa4d17033915d0c14c036c19a022f4a21dfb821504b62d751d569,integrity_pass,text/html,,not_applicable,false,not_applicable,0,0,,not_probed,not_applicable,false,true,72345,38,25,false,not_applicable,html_text_ready,bounded_html_structure_has_usable_visible_text,2026-08-02T16:31:09Z,false,false,RMTXT-20260802-40591a35d6685adfa5bb,text_extraction_lane_004,9,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-4b71256af100bf021896.html,2026-08-02T17:52:03Z
RMRDY-20260802-8c999f773f5a6886ab41,readiness_lane_005,350,pdf,pdf,RMSRD-20260802-b723c076186bf1d47e05,RMV-20260801-00714,BRM5C-BRM5-20260731-03090-01,BRM5-20260731-03090,NY,Northeast,Springport,"MINUTES OF REGULAR BOARD MEETING — November 11, 2024 (Salary Schedule references)",https://springportny.gov/wp-content/uploads/2025/05/2024-11.pdf,https://springportny.gov/wp-content/uploads/2025/05/2024-11.pdf,wage_schedule,high_priority_verification_ready,non_cba_or_unresolved_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-b723c076186bf1d47e05.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-b723c076186bf1d47e05.pdf,sha256:e0dc1f966f027709583c1d81d912b56499f12324240da31ef01af41d7a868d90,locally_available,local_only_not_replicated,local_research_workspace,101934,e0dc1f966f027709583c1d81d912b56499f12324240da31ef01af41d7a868d90,101934,e0dc1f966f027709583c1d81d912b56499f12324240da31ef01af41d7a868d90,integrity_pass,application/pdf,2,false,false,true,2,6146,3073.0,possible_tabular_or_columns,false,false,not_applicable,,,,not_applicable,not_applicable,parse_text_pdf_ready,bounded_first_three_pages_show_machine_readable_text_layer,2026-08-02T16:55:08Z,false,false,RMTXT-20260802-290ece698554caeb4713,text_extraction_lane_004,10,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-b723c076186bf1d47e05.pdf,2026-08-02T17:52:04Z
