verification_row_id,verification_lane_id,verification_lane_sequence,candidate_id,scout_candidate_id,scout_target_id,lane_id,shard_id,worker_id,state,region,municipality,county,unit_type_hint,occupation_group_hint,possible_bargaining_unit,possible_cycle_or_year,source_title,source_locator_or_url,source_domain,normalized_locator,canonical_review_locator,canonical_locator_before_verification,source_family_hint,document_type_hint,source_family_confidence,possible_mechanism_hints,sanitized_snippet,search_query_family,broad_geographic_target_reason,source_family_diversification_reason,matched_safety_non_safety_opportunity_flag,candidate_quality_tier,discovery_run_id,lane_completed_at,review_score,review_score_reasons,primary_bucket,priority_bucket,prior_duplicate_source,cba_non_cba_hint,review_method,verification_status,http_status_code,final_url_or_locator,final_canonical_locator,redirect_count,content_type,content_length_header,verification_method,verification_attempt_count,verification_started_at,verification_completed_at,error_class,error_message_redacted,pre_duplicate_verification_status,checkpoint_id,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes,review_candidate_id,target_id,municipality_id,original_locator_or_url,source_family_query_family,mechanism_source_family_hints,review_rationale,review_confidence,duplicate_suppression_status,candidate_review_lane_id,live_scout_lane_id,lineage,verification_timestamp,duplicate_of_verification_id
RMV-20260801-00008,verification_lane_001,8,BRM5C-BRM5-20260731-03897-02,BRM5C-BRM5-20260731-03897-02,BRM5-20260731-03897,scout_lane_002,,,IL,Midwest,Centralia,Marion County (17121; primary),unclear,unclear,,unclear,"Centralia, Illinois — Document/Media page (searchable municipal document repository entry)",https://www.cityofcentralia.org/media/9371,cityofcentralia.org,https://cityofcentralia.org/media/9371,https://cityofcentralia.org/media/9371,https://cityofcentralia.org/media/9371,agenda_packet_or_minutes,context_only,high,,"City council minutes/pages sometimes link to/attach wage MOAs, CBAs, or wage ordinance exhibits.",wage_salary_schedule,,,,low_candidate,,,2.92,plausible_municipal_compensation_source_with_moderate_specificity,medium_priority_verification_ready,medium_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,blocked_or_forbidden,403,https://cityofcentralia.org/media/9371,https://cityofcentralia.org/media/9371,0,text/html,not_reported,HEAD,1,2026-08-01T21:34:45Z,2026-08-01T21:34:45Z,head_http_403,head_http_403,,verification_lane_001-0008,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-03897-02,BRM5-20260731-03897,cog_2025_103046,https://www.cityofcentralia.org/media/9371,wage_salary_schedule,,Plausible municipal compensation source with moderate specificity.,4,unique_for_review,candidate_review_lane_002,scout_lane_002,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-03897,2026-08-01T21:34:45Z,
RMV-20260801-00013,verification_lane_001,13,BRM5C-BRM5-20260731-04059-01,BRM5C-BRM5-20260731-04059-01,BRM5-20260731-04059,scout_lane_002,,,IL,Midwest,Limestone,Kankakee County (17091; primary),unclear,unclear,,unclear,"Limestone Village, Illinois — Recent Meetings (includes agenda packets & minutes links)",https://www.limestoneil.org/meetings/recent,limestoneil.org,https://limestoneil.org/meetings/recent,https://limestoneil.org/meetings/recent,https://limestoneil.org/meetings/recent,agenda_packet_or_minutes,meeting_minutes,high,,Primary-source municipal labor-adjacent discovery path for the Village of Limestone (Kankakee County): wage/compensation changes for municipal personnel may appear in board meeting agenda/packet materials.,agenda_minutes_packet,,,,medium_candidate,,,2.88,plausible_municipal_compensation_source_with_moderate_specificity,medium_priority_verification_ready,medium_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,blocked_or_forbidden,403,https://limestoneil.org/meetings/recent,https://limestoneil.org/meetings/recent,0,text/html,not_reported,HEAD,1,2026-08-01T21:34:51Z,2026-08-01T21:34:51Z,head_http_403,head_http_403,,verification_lane_001-0013,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-04059-01,BRM5-20260731-04059,cog_2025_125222,https://www.limestoneil.org/meetings/recent,agenda_minutes_packet,,Plausible municipal compensation source with moderate specificity.,4,unique_for_review,candidate_review_lane_004,scout_lane_002,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-04059,2026-08-01T21:34:51Z,
RMV-20260801-00016,verification_lane_001,16,BRM5C-BRM5-20260731-04088-01,BRM5C-BRM5-20260731-04088-01,BRM5-20260731-04088,scout_lane_002,,,IL,Midwest,Milan,DeKalb County (17037; primary),police,police,Illinois Fraternal Order of Police (FOP) (referenced as 'FOP members'),unclear,"VILLAGE OF MILAN, ILLINOIS - COUNCIL MEETING (FOP retro pay and wage portion of the contract)",https://www.milanil.org/media/571,milanil.org,https://milanil.org/media/571,https://milanil.org/media/571,https://milanil.org/media/571,agenda_packet_or_minutes,meeting_minutes,high,,Indicates Milan police bargaining/contract wage and retro-pay handling and cites specific retro-pay/cadence details.,mou_memorandum_settlement,,,,medium_candidate,,,3.12,plausible_municipal_compensation_source_with_moderate_specificity,medium_priority_verification_ready,medium_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,blocked_or_forbidden,403,https://milanil.org/media/571,https://milanil.org/media/571,0,text/html,not_reported,HEAD,1,2026-08-01T21:34:51Z,2026-08-01T21:34:51Z,head_http_403,head_http_403,,verification_lane_001-0016,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-04088-01,BRM5-20260731-04088,cog_2025_162844,https://www.milanil.org/media/571,mou_memorandum_settlement,,Plausible municipal compensation source with moderate specificity.,4,unique_for_review,candidate_review_lane_001,scout_lane_002,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-04088,2026-08-01T21:34:51Z,
RMV-20260801-00030,verification_lane_001,30,BRM5C-BRM5-20260731-00866-01,BRM5C-BRM5-20260731-00866-01,BRM5-20260731-00866,scout_lane_001,,,KS,Midwest,Hill City,Graham County (20065; primary),non_safety,non_safety,,unclear,"City of Hill City Council Meeting Minutes — November 18, 2024",https://www.cityofhillcityks.gov/media/1296,cityofhillcityks.gov,https://cityofhillcityks.gov/media/1296,https://cityofhillcityks.gov/media/1296,https://cityofhillcityks.gov/media/1296,agenda_packet_or_minutes,meeting_minutes,high,non_safety_constraint_signal,Direct indication of a municipal wage increase affecting ordinary non-safety/office and general city employees (not a specific sworn police or fire bargaining unit).,mou_memorandum_settlement,,,,medium_candidate,,,3.42,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,blocked_or_forbidden,403,https://cityofhillcityks.gov/media/1296,https://cityofhillcityks.gov/media/1296,0,text/html,not_reported,HEAD,1,2026-08-01T21:35:04Z,2026-08-01T21:35:06Z,head_http_403,head_http_403,,verification_lane_001-0030,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-00866-01,BRM5-20260731-00866,cog_2025_165151,https://www.cityofhillcityks.gov/media/1296,mou_memorandum_settlement,non_safety_constraint_signal,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_002,scout_lane_001,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_001:BRM5-20260731-00866,2026-08-01T21:35:06Z,
RMV-20260801-00066,verification_lane_001,66,BRM5C-BRM5-20260731-01385-01,BRM5C-BRM5-20260731-01385-01,BRM5-20260731-01385,scout_lane_001,,,MN,Midwest,Deer Creek,Otter Tail County (27111; primary),police,police,,unclear (no CBA/MOA terms; contains an item proposing/approving a police hourly rate increase),"City Council Minutes (includes police rate increase item) — September 23, 2024",https://cityofdeercreek.com/wp-content/uploads/2024/10/Meeting-Minutes-September-23-2024-1.pdf,cityofdeercreek.com,https://cityofdeercreek.com/wp-content/uploads/2024/10/Meeting-Minutes-September-23-2024-1.pdf,https://cityofdeercreek.com/wp-content/uploads/2024/10/Meeting-Minutes-September-23-2024-1.pdf,https://cityofdeercreek.com/wp-content/uploads/2024/10/Meeting-Minutes-September-23-2024-1.pdf,agenda_packet_or_minutes,meeting_minutes,high,,"Municipal wage-setting reference for a police hourly rate (safety unit), potentially useful as non-CBA wage context.",budget_pay_plan,,,,medium_candidate,,,3.38,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,blocked_or_forbidden,,,,,not_reported,not_reported,HEAD,2,2026-08-01T21:35:35Z,2026-08-01T21:35:36Z,ConnectError,ConnectError,,verification_lane_001-0066,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-01385-01,BRM5-20260731-01385,cog_2025_129003,https://cityofdeercreek.com/wp-content/uploads/2024/10/Meeting-Minutes-September-23-2024-1.pdf,budget_pay_plan,,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_005,scout_lane_001,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_001:BRM5-20260731-01385,2026-08-01T21:35:36Z,
RMV-20260801-00086,verification_lane_001,86,BRM5C-BRM5-20260731-01695-03,BRM5C-BRM5-20260731-01695-03,BRM5-20260731-01695,scout_lane_001,,,MN,Midwest,White Bear Lake,Pope County (27121; primary),non_safety,non_safety,International Union of Operating Engineers Local 49,"January 1, 2026 through December 31, 2027",Resolution approving labor agreement with International Union of Operating Engineers Local 49 (public works maintenance technicians and working foremen) / City Council Agenda packet,https://www.whitebearlakemn.gov/media/36121,whitebearlakemn.gov,https://whitebearlakemn.gov/media/36121,https://whitebearlakemn.gov/media/36121,https://whitebearlakemn.gov/media/36121,agenda_packet_or_minutes,agenda_cover_sheet,high,market_or_comparability_pressure;non_safety_constraint_signal,Non-safety (public works) bargaining unit with explicit COLA/market-style wage adjustment operative text tied to specific effective dates.,wage_salary_schedule,,,,medium_candidate,,,3.38,plausible_municipal_compensation_source_with_moderate_specificity,medium_priority_verification_ready,medium_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,blocked_or_forbidden,403,https://whitebearlakemn.gov/media/36121,https://whitebearlakemn.gov/media/36121,0,text/html,not_reported,HEAD,1,2026-08-01T21:35:47Z,2026-08-01T21:35:47Z,head_http_403,head_http_403,,verification_lane_001-0086,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-01695-03,BRM5-20260731-01695,cog_2025_107138,https://www.whitebearlakemn.gov/media/36121,wage_salary_schedule,market_or_comparability_pressure;non_safety_constraint_signal,Plausible municipal compensation source with moderate specificity.,4,unique_for_review,candidate_review_lane_004,scout_lane_001,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_001:BRM5-20260731-01695,2026-08-01T21:35:47Z,
RMV-20260801-00092,verification_lane_001,92,BRM5C-BRM5-20260731-14262-01,BRM5C-BRM5-20260731-14262-01,BRM5-20260731-14262,scout_lane_004,,,NY,Northeast,Pendleton,Niagara County (36063; primary),non_safety,non_safety,Teamsters Local 264,2022-2023,"REGULAR AND ORGANIZATIONAL MEETING — RESOLUTION 58-22 (TEAMSTERS LOCAL 264 CONTRACT EXTENSION) — in effect from January 1, 2022 through December 31, 2023",https://ecode360.com/PE1345/document/656882411.pdf,ecode360.com,https://ecode360.com/PE1345/document/656882411.pdf,https://ecode360.com/PE1345/document/656882411.pdf,https://ecode360.com/PE1345/document/656882411.pdf,agenda_packet_or_minutes,agenda_cover_sheet,high,,Shows Town of Pendleton + Teamsters Local 264 collective bargaining representation for Highway/Water/Sewer departments and specifies extension term 1/1/2022–12/31/2023.,cba_agreement,,,,medium_candidate,,,3.38,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,cba_arbitration_factfinding_hint,local_metadata_title_locator_snippet_hints_only,blocked_or_forbidden,403,https://ecode360.com/PE1345/document/656882411.pdf,https://ecode360.com/PE1345/document/656882411.pdf,0,text/html,not_reported,HEAD,1,2026-08-01T21:35:54Z,2026-08-01T21:35:54Z,head_http_403,head_http_403,,verification_lane_001-0092,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-14262-01,BRM5-20260731-14262,cog_2025_139388,https://ecode360.com/PE1345/document/656882411.pdf,cba_agreement,,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_004,scout_lane_004,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-14262,2026-08-01T21:35:54Z,
RMV-20260801-00098,verification_lane_001,98,BRM5C-BRM5-20260731-10544-01,BRM5C-BRM5-20260731-10544-01,BRM5-20260731-10544,scout_lane_003,,,NY,Northeast,Sanford,Broome County (36007; primary),unclear,unclear,,unclear,Minutes-July 2025 (Town Board) — note on collective bargaining agreement expiration/negotiations,https://townofsanfordny.com/wp-content/uploads/2025/08/Minutes-July-2025.pdf,townofsanfordny.com,https://townofsanfordny.com/wp-content/uploads/2025/08/Minutes-July-2025.pdf,https://townofsanfordny.com/wp-content/uploads/2025/08/Minutes-July-2025.pdf,https://townofsanfordny.com/wp-content/uploads/2025/08/Minutes-July-2025.pdf,agenda_packet_or_minutes,meeting_minutes,high,,"Indicates the Town has a collective bargaining agreement currently expiring and negotiations in progress, which is a potential lead to later wage/raise documentation.",civil_service_hr,,,,low_candidate,,,3.54,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,blocked_or_forbidden,,,,,not_reported,not_reported,HEAD,2,2026-08-01T21:36:00Z,2026-08-01T21:36:01Z,ConnectError,ConnectError,,verification_lane_001-0098,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-10544-01,BRM5-20260731-10544,cog_2025_170716,https://townofsanfordny.com/wp-content/uploads/2025/08/Minutes-July-2025.pdf,civil_service_hr,,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_002,scout_lane_003,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_003:BRM5-20260731-10544,2026-08-01T21:36:01Z,
RMV-20260801-00128,verification_lane_001,128,BRM5C-BRM5-20260731-07183-01,BRM5C-BRM5-20260731-07183-01,BRM5-20260731-07183,scout_lane_002,,,PA,Northeast,South Strabane,Washington County (42125; primary),police,police,Police Department Wage and Policy Unit (appears in minutes; not explicitly named beyond unit),2019-01-01 to 2022-12-31,Board of Supervisors Regular Meeting minutes (includes motion to approve Police Department Wage and Policy Unit CBA; duration and wage-step figures excerpted),https://www.southstrabane.com/board-supervisors/minutes/board-supervisors-minutes-32,southstrabane.com,https://southstrabane.com/board-supervisors/minutes/board-supervisors-minutes-32,https://southstrabane.com/board-supervisors/minutes/board-supervisors-minutes-32,https://southstrabane.com/board-supervisors/minutes/board-supervisors-minutes-32,agenda_packet_or_minutes,cba,high,,Contains operative duration clause for the Police CBA and excerpts of officer wage progression/increases consistent with step schedule progression discovery.,cba_agreement,,,,medium_candidate,,,3.42,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,cba_arbitration_factfinding_hint,local_metadata_title_locator_snippet_hints_only,blocked_or_forbidden,403,https://southstrabane.com/board-supervisors/minutes/board-supervisors-minutes-32,https://southstrabane.com/board-supervisors/minutes/board-supervisors-minutes-32,0,text/html,not_reported,HEAD,1,2026-08-01T21:36:19Z,2026-08-01T21:36:19Z,head_http_403,head_http_403,,verification_lane_001-0128,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-07183-01,BRM5-20260731-07183,cog_2025_191402,https://www.southstrabane.com/board-supervisors/minutes/board-supervisors-minutes-32,cba_agreement,,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_004,scout_lane_002,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-07183,2026-08-01T21:36:19Z,
RMV-20260801-00129,verification_lane_001,129,BRM5C-BRM5-20260731-10387-01,BRM5C-BRM5-20260731-10387-01,BRM5-20260731-10387,scout_lane_003,,,NY,Northeast,Afton,Chenango County (36017; primary),non_safety,non_safety,,unclear,"April 12, 2012 Town Board minutes (Resolution: Appointment of Animal Control Officer; compensation rate and mileage rate stated)",https://www.townofaftonny.gov/assets/minutes/town/April-2012.pdf,townofaftonny.gov,https://townofaftonny.gov/assets/minutes/town/April-2012.pdf,https://townofaftonny.gov/assets/minutes/town/April-2012.pdf,https://townofaftonny.gov/assets/minutes/town/April-2012.pdf,agenda_packet_or_minutes,meeting_minutes,high,,Municipal minutes explicitly state employee compensation terms (wage/compensation-related operative text) and reference personnel administration for a town position.,personnel_policy,,,,medium_candidate,,,3.31,plausible_municipal_compensation_source_with_moderate_specificity,medium_priority_verification_ready,medium_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,blocked_or_forbidden,403,https://townofaftonny.gov/assets/minutes/town/April-2012.pdf,https://townofaftonny.gov/assets/minutes/town/April-2012.pdf,0,text/html,not_reported,HEAD,1,2026-08-01T21:36:25Z,2026-08-01T21:36:25Z,head_http_403,head_http_403,,verification_lane_001-0129,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-10387-01,BRM5-20260731-10387,cog_2025_170757,https://www.townofaftonny.gov/assets/minutes/town/April-2012.pdf,personnel_policy,,Plausible municipal compensation source with moderate specificity.,4,unique_for_review,candidate_review_lane_003,scout_lane_003,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_003:BRM5-20260731-10387,2026-08-01T21:36:25Z,
