duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,confidence,raw_target_id
RESCAND-039b149590b265655fd3bb7b,RESCAND-5584b57b542cafc5ddf8a4aa,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-b7fa8444cb9e4914e7fd25f0,RESCAND-ecd15e817da135d4944ceff6,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-fbc8fc23c9fdf33fb4a8180a,RESCAND-a3310d7db22eafcfe50b4d28,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-35f929889f4b812ade90e0dd,RESCAND-d3deb2ab8cc6e5bb308c8045,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-d20849871cbc5bd7e3328a81,EXTCAND-09436713ac8f5adccb6dc972,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-24a365c3d8bca564c52e2c6d,EXTCAND-1ecf6ddf6efed8daed641d43,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-6cd56680abe9bdc0053ff315,RESCAND-30511ffe307ce4b1c706f2bb,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-ef5291c3b9a7453a867e1324,RESCAND-e1026419863bdbc95b58afee,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-cdb290339ff84280a0b2bf73,RESCAND-9a0c9bdb6bd27d05881e8321,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-e2d9b06e28f41d9061f37892,RESCAND-a906a3d7042bb96ca0a111b4,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-6e8159d31efa8ddf007ed936,RESCAND-1ba3243fd5d51b45c701f291,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-23b829a6cdb6b63416b45d73,EXTCAND-2a1608c1565c297c8e5801b8,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-f3c7c6b6992ec501922643f8
RESCAND-fc6faaa3c879d93ce6ceb63c,EXTCAND-86e316defbea5f00dd147963,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-bfcc8f81600997340981b9c4
RESCAND-c4dac0d01673d19eb09c73cb,EXTCAND-aff895b79b17d16d6232fc2c,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-bfcc8f81600997340981b9c4
RESCAND-5600ab01257708a90d1f40d3,RESCAND-0ce766809f5ba1935c7d43ac,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-bfcc8f81600997340981b9c4
RESCAND-45ff28e4fdb8f7408ff123ca,EXTCAND-8d3e8ebe60df9726300c2e41,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-bfcc8f81600997340981b9c4
RESCAND-bb5a564e41710bff8c309432,EXTCAND-dd64332dcb6988c4e20c7031,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-bfcc8f81600997340981b9c4
RESCAND-63cd4a28bdd5e77a520a1f80,EXTCAND-0e4026228c3441e511775c19,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-bfcc8f81600997340981b9c4
RESCAND-544121aaac46f3f94e1d53e0,EXTCAND-9e170d946c0ba3cddc342ca1,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-bfcc8f81600997340981b9c4
