residual_target_id,raw_target_id,raw_row_number,search_wave,prior_compacted_target_id,municipality,state,period,side_scope,department_scope,external_data_family,missingness_id,missing_external_variable,current_claim_family,current_evidence_status,likely_source_family,expected_claim_upgrade,search_priority,linked_root_event_id,linked_mechanism_exposure_event_ids,query_primary,query_repair,terminal_without_search,lane_id,lane_sequence,raw_resolution,superseded_terminal_status,resume_reason,resume_required,resume_precondition,resume_run_id,resume_lane_id,resume_lane_sequence,locked_pending_status
RESIDUAL-35cdfb893714347dd7c90f46,EXTTARGET-7a6f320f3c95fd04902cc8eb,20523,external_search_wave_002_exhaustive_residual,EXTSEARCH-50537fb970c893d0054774c2,Whale Pass,AK,undated-source-B4X2500LIVE-20260729-002312,unclear,unclear,benefits_and_total_compensation,EXTMISS-115e5babb023d0b58e83d04c,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-a50b90b39d2fad8b60c7012a,MECHEXP-4ceda7e1ab04a86d6f99fbcb|MECHEXP-65fd2b824f731c768ef80318|MECHEXP-846e904e9e4b7a8c8c0ac04a|MECHEXP-b936fe0edcfa2a8e68b8a88c|MECHEXP-f181eed8944e2dadfb4f1746,"""Whale Pass"" ""AK"" ""undated-source-B4X2500LIVE-20260729-002312"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Whale Pass"" ""AK"" undated-source-B4X2500LIVE-20260729-002312 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,3656,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_005,1,hosted_search_backend_error_pending_resume
RESIDUAL-d7e69d3125e8cb7c64bca9d0,EXTTARGET-6ff9f57e2c0db19998a885da,8686,external_search_wave_002_exhaustive_residual,EXTSEARCH-4535acf1d4bfb7d52ea4c4f2,Hazen,AR,undated-source-B4X2500LIVE-20260729-006727,police,police,benefits_and_total_compensation,EXTMISS-4d6732c62e8ae2c35402d9ce,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-1262eb380252cc321a5399ba,MECHEXP-6f9f40eb9a5aa5b7c53f1886|MECHEXP-791c1d9306a5b03b3ede53cc|MECHEXP-af14c52c69e29c9bcf1fb889|MECHEXP-dcd4f456443026bbb8e0e7ee|MECHEXP-df66b671a20b8fcf9dc58560|MECHEXP-fa598f1b7539dd3b19f98caf,"""Hazen"" ""AR"" ""undated-source-B4X2500LIVE-20260729-006727"" police police pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Hazen"" ""AR"" undated-source-B4X2500LIVE-20260729-006727 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,1547,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_005,2,hosted_search_backend_error_pending_resume
RESIDUAL-29b1f77616e5ea8cb3dbc1e0,EXTTARGET-334b88fa1845332eb231e5d6,3954,external_search_wave_002_exhaustive_residual,EXTSEARCH-ccc2de019db5146412bf963f,Colma,CA,2019,unclear,unclear,benefits_and_total_compensation,EXTMISS-e5c078140d274170e1ad204b,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",non_base_compensation,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-c7f61f8b689a6eb09ae7c638,MECHEXP-12be8f1aa15e8e93d4efb751|MECHEXP-24be860daaf67588205cc000|MECHEXP-2e9bb79b938a97a67e464b06|MECHEXP-7c108a78835756f33b50193c|MECHEXP-84cf7e8a2259efb9d777ed68|MECHEXP-ae8ce3be4e81884a80b310bb,"""Colma"" ""CA"" ""2019"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects non_base_compensation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Colma"" ""CA"" 2019 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,703,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_005,3,hosted_search_backend_error_pending_resume
RESIDUAL-a5cca744ad92e0f97b57db5d,EXTTARGET-b6d1db97d10fffebe5319d9a,5788,external_search_wave_002_exhaustive_residual,EXTSEARCH-54f4d8b9446c6c32a3a05e88,Escalon,CA,2025,police,police,benefits_and_total_compensation,EXTMISS-76b51ef169a393879bd32345,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-ac250e23c3fc676b6ee013e5|ROOTCOMP-ee82caf72590329a53d9bfef|ROOTCOMP-f037a27bceee674c41aac00c,MECHEXP-2e0e00a95c2383541882d78e|MECHEXP-37014aae3dfb52fed1a5c748|MECHEXP-437d10b6f48c4ccf0c85e0c2|MECHEXP-4ba56b27748e8769a514009d|MECHEXP-6d784497ad2bbe61342cd84a|MECHEXP-7401f3ae7abc3f2560a83fec|MECHEXP-8dfa78e3921524c78094571e|MECHEXP-a47c715f4e170ddccd124f57|MECHEXP-ad3252effe7a64eb0559b2ca|MECHEXP-b0e8ec8e71a65339836fe37b|MECHEXP-b1070c223f54dea629a95418|MECHEXP-c0dbb108ca6dda425b9b40a9|MECHEXP-c4afdb96e8d09fe2b3ca9c76|MECHEXP-d942993aa0a8f03988afdb67,"""Escalon"" ""CA"" ""2025"" police police pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Escalon"" ""CA"" 2025 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_004,1029,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_005,4,hosted_search_backend_error_pending_resume
RESIDUAL-44b85ffcddcf59ca35e12b23,EXTTARGET-24982ff02c2361d3856465d3,7979,external_search_wave_002_exhaustive_residual,EXTSEARCH-8626c15db5c4aa4870d823cf,Gustine,CA,2026,unclear,unclear,benefits_and_total_compensation,EXTMISS-7071cc0c1cc7a530358c519a,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-1895f15d36801d4e0f21f6e0|ROOTCOMP-d4251540f5c9c1c93e2eaffb,MECHEXP-333a9a51ca160981c052a1d5|MECHEXP-3b94f306a63e565cb5ccbf5c|MECHEXP-4843818671ffe2780aa7b098|MECHEXP-9db1036f410c9cddaef60a80|MECHEXP-9dbedc07967186cbc86293aa|MECHEXP-a61d18c2d37c7edf381f9f98|MECHEXP-a87cdd10e4082adc0187f25f|MECHEXP-c7eda7c0bbe46b68982ffff4|MECHEXP-f479cf13dd635520e0fa52cf,"""Gustine"" ""CA"" ""2026"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Gustine"" ""CA"" 2026 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_002,1420,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_005,5,hosted_search_backend_error_pending_resume
RESIDUAL-8f9e82cdda9439d4c0b3eba0,EXTTARGET-4d3133f317ad5d2953553bcf,16806,external_search_wave_002_exhaustive_residual,EXTSEARCH-dc9cdb72b0bfb8361789e183,San Juan Bautista,CA,2022,unclear,unclear,benefits_and_total_compensation,EXTMISS-fb39cec1ed075f557f3313ef,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-10fab2197c69fecbbcaa0c42,MECHEXP-193d89ac2d0428eeb39a6275|MECHEXP-2af191c09b6e5fa22860aa6b|MECHEXP-434e8ded62c5619b4868c8b7|MECHEXP-6e2d9e9223daa7f700af634b|MECHEXP-7f98c6209bae985f13392e4a|MECHEXP-f605bdf29681c77f8f27985f,"""San Juan Bautista"" ""CA"" ""2022"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""San Juan Bautista"" ""CA"" 2022 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,2991,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_005,6,hosted_search_backend_error_pending_resume
RESIDUAL-e1deb74d5b1ff4adb62494fa,EXTTARGET-e303c4824f7503e5d9e44b29,16848,external_search_wave_002_exhaustive_residual,EXTSEARCH-4a611d888f573c1ba5fef06c,Sand City,CA,2025,non_safety,non_safety,benefits_and_total_compensation,EXTMISS-2aebc4ce9d3a8a64711b65ad,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-759586009c64d550669c8f8b|ROOTCOMP-c55722b3a6fbbfbb6bf0f607,MECHEXP-083a745f71cf5907254540d8|MECHEXP-0cdb30f6e7fc91fbb11afff6|MECHEXP-3e8d2ec740f0db4e46a81de5|MECHEXP-526613380df52ac350b28d86|MECHEXP-5928fff338ecc99b70a5ae7c|MECHEXP-593645abc185fb573b655ae9|MECHEXP-5a1fbe9796f2d3ffa0a47d5c|MECHEXP-61b9585f915a7c578f6b4f61|MECHEXP-76a93773f03f3ea12e59a689|MECHEXP-85af98664db88c4a624a633c|MECHEXP-b2672ad1da5bea3bd7ee6d06|MECHEXP-d5a4520a8eee432b46a49517,"""Sand City"" ""CA"" ""2025"" non_safety non_safety pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Sand City"" ""CA"" 2025 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,2999,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_005,7,hosted_search_backend_error_pending_resume
RESIDUAL-c4f75c8fcefe0a0983f1763b,EXTTARGET-d315037b2c28eae48a09a7e2,20488,external_search_wave_002_exhaustive_residual,EXTSEARCH-e9a7b067c7790cd01cd216ea,Westmorland,CA,2024,unclear,unclear,benefits_and_total_compensation,EXTMISS-7a44794345441b47ce7ba9dc,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-b830aedef8c79c31366acb76,MECHEXP-317e445297f1a9f70f779344|MECHEXP-423c0e4b674c1ea65b4ac934|MECHEXP-4c0c3c7f53d758a24f0465c1|MECHEXP-70319996e30c72933a48d5c0|MECHEXP-de56cbf2699f98a7a466280f|MECHEXP-f3f8e2fc05df26dc16ef16bb,"""Westmorland"" ""CA"" ""2024"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Westmorland"" ""CA"" 2024 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,3650,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_005,8,hosted_search_backend_error_pending_resume
RESIDUAL-cde143699051140bf6ba7f73,EXTTARGET-c035e36e1294c2bf2d0edce5,20551,external_search_wave_002_exhaustive_residual,EXTSEARCH-be4a6e29f174152a8d0858bb,Wheatland,CA,2025,non_safety,non_safety,benefits_and_total_compensation,EXTMISS-48706165d55b553d055ecbaa,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-1d977f4d794a4cead0799fc6|ROOTCOMP-98c342a92b0fe300043e5502,MECHEXP-007f09b18b609326a4a1f356|MECHEXP-01401ed173ff56f868790e7d|MECHEXP-1f35f2677b1df00024f32354|MECHEXP-424ef1b485a2000339f7e739|MECHEXP-650b991763d0f771b3d84882|MECHEXP-83cec8da5e41091ca19b7d26|MECHEXP-94627fe6514ac721979de8e0|MECHEXP-b0cb64748033ac0e9c73bbd0|MECHEXP-df4f8ef421fb4436d2ad037c|MECHEXP-f2fdf7cc14702a8ea9bf068a,"""Wheatland"" ""CA"" ""2025"" non_safety non_safety pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Wheatland"" ""CA"" 2025 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_002,3661,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_005,9,hosted_search_backend_error_pending_resume
RESIDUAL-a1471694a76bf90b9ced257e,EXTTARGET-675418f3981c28ccb00bff6f,4871,external_search_wave_002_exhaustive_residual,EXTSEARCH-b81b0a9b6e20aa4f6a34da1e,Dinosaur,CO,undated-source-B4X2500LIVE-20260729-004829,unclear,unclear,benefits_and_total_compensation,EXTMISS-07bf41f6bbb5b12693c18ca6,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-0ef92b502abdb6256454c508|ROOTCOMP-8ef3ae30ad55d64d224da752|ROOTCOMP-a5260ce8159f7d5fadc2d149|ROOTCOMP-e436daf894cf91fe6a9006bb,MECHEXP-0240c249d3bad22ab9b54520|MECHEXP-05638b8af85d70e4054173d8|MECHEXP-0a90a8aed6ac6fd39409bbdd|MECHEXP-1663837eec2b9d6e2f76452c|MECHEXP-1a49b9598d8f254871d2f27a|MECHEXP-1d7290f2708af9547f540ea7|MECHEXP-415e119b19cc3346b8471d6f|MECHEXP-574ace834730bd7a079027bc|MECHEXP-5aafd28878e22dd0bd21cadd|MECHEXP-66a1f383127f583fc3eda4dc|MECHEXP-7dc38a94c24019229fff6a87|MECHEXP-928d24b59863ea62446ca21f|MECHEXP-a754dda6968f16baed3318bf|MECHEXP-b7c3649b935613a731c1da08|MECHEXP-d8858d358a37fd8bf6906f4c|MECHEXP-f0ef66cdca0e0d3612ce265a|MECHEXP-f5a8a63d6f5916fd54795527|MECHEXP-fdf707d1bd92d8add3798375|MECHEXP-fe9a3687727e637e01fe3744,"""Dinosaur"" ""CO"" ""undated-source-B4X2500LIVE-20260729-004829"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Dinosaur"" ""CO"" undated-source-B4X2500LIVE-20260729-004829 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,868,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_005,10,hosted_search_backend_error_pending_resume
