residual_target_id,raw_target_id,raw_row_number,search_wave,prior_compacted_target_id,municipality,state,period,side_scope,department_scope,external_data_family,missingness_id,missing_external_variable,current_claim_family,current_evidence_status,likely_source_family,expected_claim_upgrade,search_priority,linked_root_event_id,linked_mechanism_exposure_event_ids,query_primary,query_repair,terminal_without_search,lane_id,lane_sequence,raw_resolution,superseded_terminal_status,resume_reason,resume_required,resume_precondition,resume_run_id,resume_lane_id,resume_lane_sequence,locked_pending_status
RESIDUAL-0851bc3862f91c7390351291,EXTTARGET-c69be88c3277669dda03cc13,5473,external_search_wave_002_exhaustive_residual,EXTSEARCH-1665a1f548aeb749cca6c587,Egegik,AK,undated-source-B4X2500LIVE-20260729-009822,unclear,unclear,benefits_and_total_compensation,EXTMISS-4a85662acd338403f60007ea,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-204b446134bf9cb11c02cc43,MECHEXP-08e53eb23d95267e1ab78f47|MECHEXP-2e4c409a1d96343f52e92733|MECHEXP-493d38f9abfcc1b88510fefd|MECHEXP-be58e228c3ea413488ac2034|MECHEXP-f7223ea2530fa1887d308f9f,"""Egegik"" ""AK"" ""undated-source-B4X2500LIVE-20260729-009822"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Egegik"" ""AK"" undated-source-B4X2500LIVE-20260729-009822 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_004,974,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_001,1,hosted_search_backend_error_pending_resume
RESIDUAL-04208a88dc3fa5531cc1265b,EXTTARGET-26af1cf5b122f1171e377b69,11143,external_search_wave_002_exhaustive_residual,EXTSEARCH-5522051fafb251d080bb4623,Loachapoka,AL,2022,unclear,unclear,benefits_and_total_compensation,EXTMISS-551c000b675524d5ada0b2b8,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-72235c06cc403d6cea3b6108,MECHEXP-16cfa557a3ad2417c10bed63|MECHEXP-3b95c79286095064068df4af|MECHEXP-465ed02c0b5d41c0930872b2|MECHEXP-a790424f19c9340b8f4c6151|MECHEXP-f6864b6daf4e10db4ca69455|MECHEXP-f7e024707d614e56f23b1a77,"""Loachapoka"" ""AL"" ""2022"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Loachapoka"" ""AL"" 2022 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_004,1986,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_001,2,hosted_search_backend_error_pending_resume
RESIDUAL-04fbea563ce4d37ff5223735,EXTTARGET-fd5fc6b67b80b13caf0cf1ac,3919,external_search_wave_002_exhaustive_residual,EXTSEARCH-2c63c6e343227f7390129ef3,Colfax,CA,2021,unclear,unclear,benefits_and_total_compensation,EXTMISS-52d6ecf593670c14a0faf432,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-3d7b140f683fd69d39f731bf|ROOTCOMP-7b48378c862a1aec13fe6796,MECHEXP-0f1ee3ae6247686c03868049|MECHEXP-30ccad56148b1325486a8f35|MECHEXP-3519ad989f08a0982fffcb84|MECHEXP-4976829f669fd29b03ed6586|MECHEXP-4c654e75114f9db15dc0a5f9|MECHEXP-9dd975dfd06a053bf9016b69|MECHEXP-bed38f10e861069215b65aea,"""Colfax"" ""CA"" ""2021"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Colfax"" ""CA"" 2021 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,697,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_001,3,hosted_search_backend_error_pending_resume
RESIDUAL-3a684b4be056e418f4745116,EXTTARGET-c463b7f406ffd0a9ef42f222,4927,external_search_wave_002_exhaustive_residual,EXTSEARCH-6a04867f555903401b24a0b2,Dos Palos,CA,2024,police,police,benefits_and_total_compensation,EXTMISS-f7875c2b0afaf2a2da7c2bbf,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-06585b784716d718fa13e0bc|ROOTCOMP-6113ec41a058ab071fc6ddc8,MECHEXP-13d1613c3e3c0d916b3efacc|MECHEXP-23bbd7fc55534c114693ba22|MECHEXP-4a50034329ed0fb8816987ab|MECHEXP-5b1341e89efc9be7d56fdd31|MECHEXP-920c944c827c40b465b83b2a|MECHEXP-9cc895e20bb832a4cd7ba962|MECHEXP-df46785839cd1e1abf4ca869,"""Dos Palos"" ""CA"" ""2024"" police police pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Dos Palos"" ""CA"" 2024 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,878,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_001,4,hosted_search_backend_error_pending_resume
RESIDUAL-df3b25fd288e106603f3804a,EXTTARGET-33cc8c081e15936526dba241,5809,external_search_wave_002_exhaustive_residual,EXTSEARCH-4cf1c7c1a7832b0ad524b50f,Escalon,CA,2026,police,police,benefits_and_total_compensation,EXTMISS-9a3d64062e3b17b620927ea4,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",across_the_board_raise,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-2d90efbdddba8522ee347b53|ROOTCOMP-365d82ee056fa0874b205c9d,MECHEXP-1b73ed092e6f075aac9c4482|MECHEXP-44294cbf7a67f50fd15be47e|MECHEXP-5877ae5a5c3a5c47f490bfd6|MECHEXP-8084944b85e7ea570f32589d|MECHEXP-816bf6043fce66dec3e3cc6c|MECHEXP-83696ee72f713cb850032d67|MECHEXP-8720b7b668579f536035606f|MECHEXP-8a679b393f65df0e3e1860e5|MECHEXP-926db1d43a2fcaa975f384a5|MECHEXP-c5ab532cd792011319cd53e2|MECHEXP-e71506f485c86bb6776d8d42|MECHEXP-f18c18ec0a1a4b9a0c99edad,"""Escalon"" ""CA"" ""2026"" police police pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects across_the_board_raise municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Escalon"" ""CA"" 2026 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,1033,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_001,5,hosted_search_backend_error_pending_resume
RESIDUAL-60d9308bed217434ab39d4b8,EXTTARGET-86237e0c5a87dbb1a40d6d89,8959,external_search_wave_002_exhaustive_residual,EXTSEARCH-a2d228636ddeb1e5264ad6e4,Holtville,CA,2023,fire,fire,benefits_and_total_compensation,EXTMISS-9d1651bc95025ae2f7a785fc,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-647f648f8ecd72a7f93fa921,MECHEXP-0fa4ad3dfddca9256051376d|MECHEXP-5b2db76cc8e524e075de157a|MECHEXP-672f5e9f624834719cf4bb3f|MECHEXP-ecb3b14ff0ee5ba382e44502|MECHEXP-fb8f51ed7abc842c3a35e77e,"""Holtville"" ""CA"" ""2023"" fire fire pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Holtville"" ""CA"" 2023 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,1595,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_001,6,hosted_search_backend_error_pending_resume
RESIDUAL-052cc424147bdf5088e2a5ab,EXTTARGET-6ae74854ad12c32660dea766,16820,external_search_wave_002_exhaustive_residual,EXTSEARCH-bd82420713b07d6795e39cf1,Sand City,CA,2024,non_safety,non_safety,benefits_and_total_compensation,EXTMISS-6c333ac6b4bb6ed2276d861a,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-5625b28fe3823dd416ec1bac|ROOTCOMP-6eea590c08c4af3bfb842a41|ROOTCOMP-71fc4510e2ff114c68a82ce3|ROOTCOMP-8ff9c66d61a76f749c424126,MECHEXP-1b67b6f3dd47b26e0544279e|MECHEXP-2ed7fd405fa380b17961a719|MECHEXP-34de7dcb0eb578d0248b37fe|MECHEXP-3b03d0e81bd856972ed9dc96|MECHEXP-405ac565b0ae862b56f8301b|MECHEXP-42d634f430fd44b83b29b99a|MECHEXP-43bf47bc284e62aa93ad2d3e|MECHEXP-4ec045cfab4b33167b2107a3|MECHEXP-5b306b676874d2fb8622d9ca|MECHEXP-5d36997f60334bdaafcec051|MECHEXP-72f0dd3efdc003bfc65b1dd4|MECHEXP-7f3f8cff3db1470d464c9190|MECHEXP-8f63dc1a0987c9b7ac55f55d|MECHEXP-9cf22922337f25ab87789664|MECHEXP-a1a4d2065586827134df8cbc|MECHEXP-d07a7281ea0d95a56e7671a1|MECHEXP-db2b7787854763e226e80704,"""Sand City"" ""CA"" ""2024"" non_safety non_safety pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Sand City"" ""CA"" 2024 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_005,2993,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_001,7,hosted_search_backend_error_pending_resume
RESIDUAL-adabb0b43cd5163ca85d5f57,EXTTARGET-fb7f11eccf984d09b174af01,16855,external_search_wave_002_exhaustive_residual,EXTSEARCH-4a611d888f573c1ba5fef06c,Sand City,CA,2025,police,police,benefits_and_total_compensation,EXTMISS-6f7836c3a353183b074213ea,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",across_the_board_raise,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-759586009c64d550669c8f8b|ROOTCOMP-c55722b3a6fbbfbb6bf0f607,MECHEXP-083a745f71cf5907254540d8|MECHEXP-0cdb30f6e7fc91fbb11afff6|MECHEXP-3e8d2ec740f0db4e46a81de5|MECHEXP-526613380df52ac350b28d86|MECHEXP-5928fff338ecc99b70a5ae7c|MECHEXP-593645abc185fb573b655ae9|MECHEXP-5a1fbe9796f2d3ffa0a47d5c|MECHEXP-61b9585f915a7c578f6b4f61|MECHEXP-76a93773f03f3ea12e59a689|MECHEXP-85af98664db88c4a624a633c|MECHEXP-b2672ad1da5bea3bd7ee6d06|MECHEXP-d5a4520a8eee432b46a49517,"""Sand City"" ""CA"" ""2025"" police police pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects across_the_board_raise municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Sand City"" ""CA"" 2025 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_004,3000,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_001,8,hosted_search_backend_error_pending_resume
RESIDUAL-b3e292335376183f827b2b82,EXTTARGET-c6bbe3e55f86be8fe9b6220c,20495,external_search_wave_002_exhaustive_residual,EXTSEARCH-1ecec2bb3dcffa0c0ac4de2b,Westmorland,CA,2025,non_safety,non_safety,benefits_and_total_compensation,EXTMISS-454bab9fcc90436373b74c5e,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-0fe4dbe37d66bd85358069bc|ROOTCOMP-477debf8e9c7cd6cdbd88206|ROOTCOMP-b25514e3897f9c276b0c773f,MECHEXP-0adffdc37c59d783d0e667d8|MECHEXP-1ea67b1827d883a792a1513c|MECHEXP-32702bd2ff33320cb7e5b6c9|MECHEXP-52b18ffb8cf269ec1a6e3467|MECHEXP-604a44e93f9cb9f217309bfe|MECHEXP-662b3f450a255b2262e924b6|MECHEXP-66af12ceb2a34ebaa0f48d59|MECHEXP-731e86ec8370c4e7c7eba5d2|MECHEXP-8bef2d81177386994b25fdb3|MECHEXP-a949a3794574d8007e81a9ed|MECHEXP-acee13d11e3255a406e2b0ad|MECHEXP-b40847b2b87aed047a1cd3e2|MECHEXP-c2cf6f498c9b514d29931df7|MECHEXP-ca960b8d6fec2f8df1635fb0|MECHEXP-d7c2420bae7ddbe6af4d9912|MECHEXP-e4bcfd5749ad6dceb75832f3|MECHEXP-e564e68ac93d0b5ccc387b91|MECHEXP-f3f7f8efd5686f1ae2f64301,"""Westmorland"" ""CA"" ""2025"" non_safety non_safety pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Westmorland"" ""CA"" 2025 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_003,3651,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_001,9,hosted_search_backend_error_pending_resume
RESIDUAL-d88d148baaf839b0e49c9e50,EXTTARGET-f7b278dccea9524ec029db5c,20558,external_search_wave_002_exhaustive_residual,EXTSEARCH-be4a6e29f174152a8d0858bb,Wheatland,CA,2025,unclear,unclear,benefits_and_total_compensation,EXTMISS-d0efdd86c28338f3b31fc645,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",other_pay_setting_mechanism,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-1d977f4d794a4cead0799fc6|ROOTCOMP-98c342a92b0fe300043e5502,MECHEXP-007f09b18b609326a4a1f356|MECHEXP-01401ed173ff56f868790e7d|MECHEXP-1f35f2677b1df00024f32354|MECHEXP-424ef1b485a2000339f7e739|MECHEXP-650b991763d0f771b3d84882|MECHEXP-83cec8da5e41091ca19b7d26|MECHEXP-94627fe6514ac721979de8e0|MECHEXP-b0cb64748033ac0e9c73bbd0|MECHEXP-df4f8ef421fb4436d2ad037c|MECHEXP-f2fdf7cc14702a8ea9bf068a,"""Wheatland"" ""CA"" ""2025"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Wheatland"" ""CA"" 2025 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_004,3662,linked_to_compacted_live_target,zero_candidate,global_category_B_zero_source_transition,true,fresh transport preflight Category A and successful production probe,external_data_exhaustive_resume_2026-08-05,residual_resume_lane_001,10,hosted_search_backend_error_pending_resume
