residual_target_id,raw_target_id,raw_row_number,search_wave,prior_compacted_target_id,municipality,state,period,side_scope,department_scope,external_data_family,missingness_id,missing_external_variable,current_claim_family,current_evidence_status,likely_source_family,expected_claim_upgrade,search_priority,linked_root_event_id,linked_mechanism_exposure_event_ids,query_primary,query_repair,terminal_without_search,lane_id,lane_sequence,raw_resolution
RESIDUAL-6d26167a32c98f28670ecd84,EXTTARGET-493914af4730faa15f168204,1,external_search_wave_002_exhaustive_residual,EXTSEARCH-74473e66fbe11e22e1bc4f2c,Abernathy,TX,2022,unclear,unclear,payroll_and_earnings,EXTMISS-e9560100d478d347f0240556,"actual wages paid, total earnings, overtime, premiums, retroactive payments",other_pay_setting_mechanism,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",upgrades implementation from documented term to paid outcome,Tier 1,ROOTCOMP-c789f6897998d9512609bfa1,MECHEXP-5f4521b9369775d1602d4908|MECHEXP-60ede34f10784dc1b9799eca|MECHEXP-9db7e2278f4905d0d483eb23|MECHEXP-be3329ecadf0607aa1c0fe67,"""Abernathy"" ""TX"" ""2022"" unclear unclear actual wages paid, total earnings, overtime, premiums, retroactive payments other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Abernathy"" ""TX"" 2022 payroll_and_earnings actual wages paid, total earnings, overtime, premiums, retroactive payments (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,1,linked_to_compacted_live_target
RESIDUAL-3c06737186748a76681f4dc9,EXTTARGET-9307bfd155e1b200b702141f,7,external_search_wave_002_exhaustive_residual,,Abernathy,TX,2022,unclear,unclear,urbanicity_and_context,EXTMISS-9893220c0614b7fbd14e33d3,"authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime",other_pay_setting_mechanism,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",enables hex-density placement and contextual interpretation,Tier 2,,,"""Abernathy"" ""TX"" ""2022"" unclear unclear authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Abernathy"" ""TX"" 2022 urbanicity_and_context authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime (site:.gov OR site:.us) filetype:pdf",resolved_by_authoritative_bulk_join,residual_search_lane_001,2,target_resolved_by_authoritative_bulk_join
RESIDUAL-f75e64eaa2fda9e6b0f550ab,EXTTARGET-e9404658cb490feb084cb0ae,12,external_search_wave_002_exhaustive_residual,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,unclear,implementation,EXTMISS-69b0b047218035ed046c4798,"payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation",retroactivity_implementation,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",confirms whether negotiated or adopted terms became operative and paid,Tier 1,ROOTCOMP-2134158ea02e9cb8124a94ff,MECHEXP-04805b78bb1baff2a9ab7605|MECHEXP-29fa124156ef8ef95a887799|MECHEXP-7c029682218cdbf0adcdace5|MECHEXP-a345640ab1c506147745a4ea|MECHEXP-ab5d38f326f594af29447eb5|MECHEXP-eb8d1aa10444798557d46573,"""Acworth"" ""NH"" ""undated-source-B4X2500LIVE-20260729-006176"" unclear unclear payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Acworth"" ""NH"" undated-source-B4X2500LIVE-20260729-006176 implementation payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,3,linked_to_compacted_live_target
RESIDUAL-cf64c06bb604edd0f8e4eb7c,EXTTARGET-b9e191de295ac1fe92f9772a,19,external_search_wave_002_exhaustive_residual,EXTSEARCH-0bc1f4a7337938440a02af2c,Adams,PA,2026,police,police,implementation,EXTMISS-49af80c97801b478be9bd61e,"payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation",other_pay_setting_mechanism,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",confirms whether negotiated or adopted terms became operative and paid,Tier 1,ROOTCOMP-1a63c59c9fabdbe7a1eb44b3,MECHEXP-3fdb630cb5ae7c41486bb587|MECHEXP-82597e9d414b37ea71911cd0|MECHEXP-b3b57adf0a1def89bf064213|MECHEXP-d70c5396bc23fa3593719eb7,"""Adams"" ""PA"" ""2026"" police police payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation other_pay_setting_mechanism municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""PA"" 2026 implementation payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,4,linked_to_compacted_live_target
RESIDUAL-bcb20c9fa0610525c3012e0c,EXTTARGET-90593a1242ae3ec19efbca1f,25,external_search_wave_002_exhaustive_residual,EXTSEARCH-692269f10e344434298a7739,Adams,WI,2024,non_safety,non_safety,tenure_and_progression,EXTMISS-8321dd429743ceb50fd74fa5,"employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",distinguishes contractual progression from compositional or tenure differences,Tier 2,ROOTCOMP-d8da717fb16c45f92c9b5d49,MECHEXP-2278935578c369dc012f46e3|MECHEXP-51117b6b219b66ab9eb6d42c|MECHEXP-e8999630fc77a54139e5725c|MECHEXP-ff0bec2e139abef2e21abbe8,"""Adams"" ""WI"" ""2024"" non_safety non_safety employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""WI"" 2024 tenure_and_progression employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,5,linked_to_compacted_live_target
RESIDUAL-27093cef87f55634382168e9,EXTTARGET-a19e82e52e2ac140333213da,30,external_search_wave_002_exhaustive_residual,EXTSEARCH-c2f486f9f3334e9133faee17,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,unclear,staffing_and_headcount,EXTMISS-d589762e297f0178e39157f7,"authorized positions, filled positions, vacancy rate, layoffs, attrition",retroactivity_implementation,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",tests vacancy and staffing-reduction mechanisms with denominators,Tier 1,ROOTCOMP-4134eb3da21c42cad30bd5b1,MECHEXP-0202a7aaeb617270c4fde2d9|MECHEXP-5176388fda0afd08d8060dd1|MECHEXP-5a05ce861e4e7b1a6972999b|MECHEXP-5fd35b37e319dac107f0b8e4|MECHEXP-c04c7579c06610e11e7be989,"""Adams"" ""WI"" ""undated-source-B4X2500LIVE-20260729-000902"" unclear unclear authorized positions, filled positions, vacancy rate, layoffs, attrition retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Adams"" ""WI"" undated-source-B4X2500LIVE-20260729-000902 staffing_and_headcount authorized positions, filled positions, vacancy rate, layoffs, attrition (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,6,linked_to_compacted_live_target
RESIDUAL-9420029fec7c59fef1ae52b4,EXTTARGET-9aae871dd91635ea1238018c,36,external_search_wave_002_exhaustive_residual,EXTSEARCH-5f859efaf6056d04070de06c,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,unclear,payroll_and_earnings,EXTMISS-95d91c9f762be96e52de3b1b,"actual wages paid, total earnings, overtime, premiums, retroactive payments",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",upgrades implementation from documented term to paid outcome,Tier 1,ROOTCOMP-fc49bcf3fb8f8675662c1ef3,MECHEXP-0b405a1e9585bd4b83b7e942|MECHEXP-2e4f8f32e43ca2cda36d91e9|MECHEXP-b951577bf5151b91279148e2|MECHEXP-f2629b14757ccf1af7c66d3f,"""Addison"" ""IL"" ""undated-source-RS429-728fa34f79dffe429f1c"" unclear unclear actual wages paid, total earnings, overtime, premiums, retroactive payments budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Addison"" ""IL"" undated-source-RS429-728fa34f79dffe429f1c payroll_and_earnings actual wages paid, total earnings, overtime, premiums, retroactive payments (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,7,linked_to_compacted_live_target
RESIDUAL-26160da10b0b608b7230e81a,EXTTARGET-9eb72c52c526c89f047e15cd,42,external_search_wave_002_exhaustive_residual,,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,unclear,urbanicity_and_context,EXTMISS-514efccc7ee78aab8975bbe4,"authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",enables hex-density placement and contextual interpretation,Tier 2,,,"""Addison"" ""IL"" ""undated-source-RS429-728fa34f79dffe429f1c"" unclear unclear authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Addison"" ""IL"" undated-source-RS429-728fa34f79dffe429f1c urbanicity_and_context authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime (site:.gov OR site:.us) filetype:pdf",resolved_by_authoritative_bulk_join,residual_search_lane_001,8,target_resolved_by_authoritative_bulk_join
RESIDUAL-351d06fc539f72a7ea5b645e,EXTTARGET-598c98298df0bed92198f739,48,external_search_wave_002_exhaustive_residual,EXTSEARCH-ed1e2fefaf60f8c5b6d69f46,Afton,KS,2025,unclear,unclear,benefits_and_total_compensation,EXTMISS-bbb43895227604d78b1de03c,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",across_the_board_raise,formally_adopted,"municipal payroll/open data, adopted budget, HR report, Census/USDA",separates wages from benefits and measures recurring total-compensation effects,Tier 2,ROOTCOMP-9fdaf9b547fac53e2c57a4aa,MECHEXP-46950f8d865d4408df6a5948|MECHEXP-4c0df2778a00e479059ac5a9|MECHEXP-abac30929fbf97a7eb024387|MECHEXP-d3a1d849d8dea7cf564796ac|MECHEXP-d99a294b9f5bec8fd0a6e5de|MECHEXP-fa61f462cf001d06fc6fae1c,"""Afton"" ""KS"" ""2025"" unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects across_the_board_raise municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Afton"" ""KS"" 2025 benefits_and_total_compensation pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,9,linked_to_compacted_live_target
RESIDUAL-f533f51bbb041e089d235b08,EXTTARGET-67e94bacdd76f32340f17c25,54,external_search_wave_002_exhaustive_residual,EXTSEARCH-c97d8fd862124d4723bc54ee,Alaiedon,MI,2022,unclear,unclear,implementation,EXTMISS-be691c356ac636c6ac26e65c,"payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation",budget_pay_plan,implemented,"municipal payroll/open data, adopted budget, HR report, Census/USDA",confirms whether negotiated or adopted terms became operative and paid,Tier 1,ROOTCOMP-3217f1650f2ef8694d0aad14,MECHEXP-740de3ec351913151ee0ac97|MECHEXP-bdeb3fd11deeb96b724b6aa9|MECHEXP-e883c27e8f542f27847c672c|MECHEXP-faa4f2535fd46fb0eaa7f80a,"""Alaiedon"" ""MI"" ""2022"" unclear unclear payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record","""Alaiedon"" ""MI"" 2022 implementation payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation (site:.gov OR site:.us) filetype:pdf",,residual_search_lane_001,10,linked_to_compacted_live_target
