canonical_candidate_id,wave_1_candidate_ids,wave_2_candidate_ids,candidate_url,normalized_url,candidate_title,candidate_snippet,candidate_domain,official_source_flag_from_search,municipality,state,period,side_scope,department_scope,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids,expected_claim_upgrades,original_external_data_families,search_priority,source_quality_score,candidate_relevance_score,prior_provisional_bucket,prior_provisional_family,duplicate_linkage_status,search_wave_provenance,search_target_ids,search_call_ids,query_versions,source_candidate_id,discovered_at,likely_source_type_from_search,likely_file_type_from_search,review_id,primary_external_data_family,secondary_external_data_families,direct_staffing_relevance,administrative_source_type,primary_source_quality,claim_upgrade_tags,administrative_directness_score,official_source_score,expected_field_yield_score,event_linkage_score,claim_upgrade_score,verification_priority_score,duplicate_risk_score,navigation_risk_score,review_confidence_score,reason_codes,concise_review_rationale,review_confidence,final_priority_bucket,official_source_flag,review_method,candidate_review_lane_id,reviewed_at
RESCAND-b508652938fdcc12ded0035d,,RESCAND-b508652938fdcc12ded0035d,https://www.augustaga.gov/81/Employment,https://www.augustaga.gov/81/Employment,,"I ran live hosted web search, but I **cannot complete your “Augusta charter / MI / 2021 / fire → authorized positions, filled positions, vacancy rate, layoffs, attrition; retroactivity implementation; municipal payroll/open data; adopted budget; HR report; Census/USDA official municipal administrative record”** target as specified, because the search results I can access do **not** surface a 2021 **HR/staffing table** (authorized vs filled) for a fire department with **vacancy rate/layoffs/attri",www.augustaga.gov,true,Augusta charter,MI,2021,fire,fire,ROOTCOMP-1272a44aaacc528568f4a60f,MECHEXP-1f5236dfe8327fd58f68e52b|MECHEXP-5595eb3b1041f86ff62f1978|MECHEXP-9d48a9f9f30c2b890c8400a6|MECHEXP-ae1ce07aaa125b24071eaad4|MECHEXP-f57e4580255e2dffe9b79ce5,,confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|tests vacancy and staffing-reduction mechanisms with denominators,staffing_and_headcount,,official_domain_metadata,unreviewed,medium_priority_verification_ready,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_002_exhaustive_residual,EXTSEARCH-8460518c3f288e744bfc60cc|EXTTARGET-a0ede957d89f62b791f0c406,RESCALL-fcbc14074e05630bbed1c635,wave2_event_specific_v1,RESCAND-b508652938fdcc12ded0035d,2026-08-05T02:21:15.106306+00:00,official_government_search_result,web,AVAILREVIEW-2d2054ec10ead09b71ad5581,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,direct_position_reduction_metric,payroll_roster,direct_official_administrative_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,4,4,4,4,4,4,0,0,4,administrative_source_type_signal|direct_or_likely_official_administrative_evidence|direct_staffing_relevance|mechanism_event_linked|official_domain|official_source_search_hint|root_event_linked,direct official administrative source; metadata indicates payroll roster in multi family administrative source. Final bucket: high priority verification ready.,high,high_priority_verification_ready,true,deterministic_local_metadata_only,candidate_review_lane_004,2026-08-05T14:35:39.230916+00:00
RESCAND-b50d87363939ed457e7001f1,,RESCAND-b50d87363939ed457e7001f1,https://townofcamillus.gov/documents/5337.pdf,https://townofcamillus.gov/documents/5337.pdf,,"I used live web search to do **metadata-only** candidate discovery for: **municipality = Camillus, NY; period = 2025; side = police; event = police payroll effective date / ordinance adoption / budget appropriation / contract ratification / payment confirmation (incl. retroactivity implementation); missing field = “retroactive implementation / payment confirmation”**; and **source-family target = municipal payroll/open data + adopted budget + HR report + Census/USDA official municipal administra",townofcamillus.gov,true,Camillus,NY,2025,police,police,ROOTCOMP-2b5ee3cf6ff4d96b96b035a5,MECHEXP-08608c419b873ff083111642|MECHEXP-18e5ad9ad5e5b9dea20ce10d|MECHEXP-3dde3a3ca16c581219fc0024|MECHEXP-6471f0444ca6fb6b8f95e0bf|MECHEXP-f487e875def8f4fffef90193,,confirms whether negotiated or adopted terms became operative and paid|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome,implementation,,official_domain_metadata,unreviewed,high_priority_verification_ready,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_002_exhaustive_residual,EXTSEARCH-bd42c694c366f50f28f2b2ac|EXTTARGET-12a5d4119dc33ad3a92d3925,RESCALL-c89039db7be5be668580277b,wave2_event_specific_v1,RESCAND-b50d87363939ed457e7001f1,2026-08-05T03:15:59.734985+00:00,official_government_search_result,pdf,AVAILREVIEW-8feb0110448996d416030400,payroll_and_earnings,implementation_confirmation,unrelated_to_staffing,payroll_roster,direct_official_administrative_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,4,4,4,4,4,4,0,0,4,administrative_source_type_signal|direct_or_likely_official_administrative_evidence|mechanism_event_linked|official_domain|official_source_search_hint|root_event_linked,direct official administrative source; metadata indicates payroll roster in payroll and earnings. Final bucket: high priority verification ready.,high,high_priority_verification_ready,true,deterministic_local_metadata_only,candidate_review_lane_004,2026-08-05T14:35:38.636404+00:00
RESCAND-b50fc6ba739c9dbfb81c560e,,RESCAND-b50fc6ba739c9dbfb81c560e,https://www.govinfo.gov/content/pkg/FR-2015-12-18/pdf/FR-2015-12-18.pdf,https://www.govinfo.gov/content/pkg/FR-2015-12-18/pdf/FR-2015-12-18.pdf,,"I ran live hosted web search with your target metadata string: - **Municipality:** “Chuathbaluk” (AK) - **Period/side/event:** “undated-source-B4X2500LIVE-20260729-004780” + “unclear unclear” + topics: pension contributions, health-cost shares, leave, premium eligibility/take-up, minimum-staffing overtime effects, retroactivity/implementation - **Missing field:** not specified (can’t infer which key you want filled) - **Source-family target:** municipal payroll/open data, adopted budget, HR repo",www.govinfo.gov,true,Chuathbaluk,AK,undated-source-B4X2500LIVE-20260729-004780,unclear,unclear,ROOTCOMP-1270a740fa570d096bb60983|ROOTCOMP-31925e7a7b94d67d6bba46c3|ROOTCOMP-66773447e6a05796c9613a66,MECHEXP-11bc678fccdfd3c029869852|MECHEXP-33162c8161292340bd895cd7|MECHEXP-3b30897255b1f9b64c76a966|MECHEXP-52f7f1b7743c4c1a4e21560d|MECHEXP-5b07257bb2b86260ad522462|MECHEXP-6507d9dd2c3e7c8bbb0871eb|MECHEXP-65be90245a8a4e734a461957|MECHEXP-67856a733785676ffeda03b3|MECHEXP-76dc7c73949a5eb2efb74ff8|MECHEXP-889364e73dc1ca117e3e50eb|MECHEXP-8933896c04c74c3f3dc51745|MECHEXP-caaee7e01596c697c83fcec2|MECHEXP-da7f2f68c8a3d62614ae74b5|MECHEXP-dbdb2dec35acc76c517beab3,,confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,,official_domain_metadata,unreviewed,high_priority_verification_ready,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_002_exhaustive_residual,EXTSEARCH-9949e55153c62e871e511a49|EXTTARGET-16a9862ddcd54a2b21d79659,RESCALL-9c71ad49ace9ea5f97d84283,wave2_event_specific_v1,RESCAND-b50fc6ba739c9dbfb81c560e,2026-08-05T03:35:19.357757+00:00,official_government_search_result,pdf,AVAILREVIEW-1d80aa8acca93c99f7ef5cdd,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,contextual_staffing_only,payroll_roster,direct_official_administrative_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,4,4,4,4,4,4,0,0,4,administrative_source_type_signal|direct_or_likely_official_administrative_evidence|mechanism_event_linked|official_domain|official_source_search_hint|root_event_linked,direct official administrative source; metadata indicates payroll roster in multi family administrative source. Final bucket: high priority verification ready.,high,high_priority_verification_ready,true,deterministic_local_metadata_only,candidate_review_lane_003,2026-08-05T14:31:37.678760+00:00
RESCAND-b511d02036054ff9d11d5a27,,RESCAND-b511d02036054ff9d11d5a27,https://www.irs.gov/irb/2026-02_IRB,https://www.irs.gov/irb/2026-02_IRB,,"I followed your target: **“Brule” + NE + 2025** with **unclear (missing) field(s)**, and I restricted discovery to **metadata-only candidate discovery** (i.e., I’m not validating/downloading candidate URLs beyond what the search snippets expose). Here are the best *metadata candidates* that appear to match **municipal payroll/open data / adopted budget / HR-related administrative record** for **Village of Brule, Nebraska** in/around **2025** and could contain the fields you listed (pension contr",www.irs.gov,true,Brule,NE,2025,unclear,unclear,ROOTCOMP-0a3a1a1ad0a09f995461ee95,MECHEXP-019f098118b8490019da530a|MECHEXP-126ea3f6e7122824432781b4|MECHEXP-18e2cda9b0a9a4efb46d8360|MECHEXP-2ed5ae587ef1435e373e5b47|MECHEXP-3bbc2cfff79bcfe16769420d,,confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,,official_domain_metadata,unreviewed,medium_priority_verification_ready,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_002_exhaustive_residual,EXTSEARCH-2963c81b3e48ddd5c388477d|EXTTARGET-3a536c06ee0ccc1e828c1a75,RESCALL-d197c633f43f865a2462e089,wave2_event_specific_v1,RESCAND-b511d02036054ff9d11d5a27,2026-08-05T03:23:20.622959+00:00,official_government_search_result,web,AVAILREVIEW-57ba9d3a0f759d672b94cf27,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unrelated_to_staffing,payroll_roster,direct_official_administrative_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,4,4,4,4,4,4,0,0,4,administrative_source_type_signal|direct_or_likely_official_administrative_evidence|mechanism_event_linked|official_domain|official_source_search_hint|root_event_linked,direct official administrative source; metadata indicates payroll roster in multi family administrative source. Final bucket: high priority verification ready.,high,high_priority_verification_ready,true,deterministic_local_metadata_only,candidate_review_lane_003,2026-08-05T14:31:37.681198+00:00
RESCAND-b517cf9f5b494de1b1447335,,RESCAND-b517cf9f5b494de1b1447335,https://www.charlottenc.gov/files/sharedassets/cats/v/1/mtc-meeting-summaries-amp-agendas/agenda-packets-2024/mtc-agenda-packet-for-wednesday-february-28-2024.pdf,https://www.charlottenc.gov/files/sharedassets/cats/v/1/mtc-meeting-summaries-amp-agendas/agenda-packets-2024/mtc-agenda-packet-for-wednesday-february-28-2024.pdf,,"I found **Charlotte (NY)**-relevant pages about **FY2024 adopted/proposed budget** materials that appear to discuss **vacancies** (but they are *for Charlotte, NC*, not Charlotte, NY). I did **not** find (yet) any **municipal administrative records** for **Charlotte, NY** in 2024 that match your full field set (*authorized vs filled positions, vacancy rate, layoffs/attrition, budgeted pay plan/payroll breakdown, and HR report metrics*). Because your target includes **“Charlotte” “NY” “2024”** an",www.charlottenc.gov,true,Charlotte,NY,2024,unclear,unclear,ROOTCOMP-fa74be2bd5dd1f5ef442870b,MECHEXP-03edecec2da9d8e39701f3a7|MECHEXP-22659df96d1408762dfaf1c7|MECHEXP-445982e8ecdbf947618d8891|MECHEXP-dfddb3dd6b94e4d33413e9df|MECHEXP-f1a7d976dbb0998fd640c9ea,,confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|tests vacancy and staffing-reduction mechanisms with denominators,staffing_and_headcount,,official_domain_metadata,unreviewed,high_priority_verification_ready,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_002_exhaustive_residual,EXTSEARCH-96ce1d0a82fc8284f4438632|EXTTARGET-e911303223435a380bafef29,RESCALL-3fa92f2055ba1c433d62fe35,wave2_event_specific_v1,RESCAND-b517cf9f5b494de1b1447335,2026-08-05T03:27:35.118563+00:00,official_government_search_result,pdf,AVAILREVIEW-fb2628b7ae473338473a93e3,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,direct_position_reduction_metric,payroll_roster,direct_official_administrative_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,4,4,4,4,4,4,0,0,4,administrative_source_type_signal|direct_or_likely_official_administrative_evidence|direct_staffing_relevance|mechanism_event_linked|official_domain|official_source_search_hint|root_event_linked,direct official administrative source; metadata indicates payroll roster in multi family administrative source. Final bucket: high priority verification ready.,high,high_priority_verification_ready,true,deterministic_local_metadata_only,candidate_review_lane_003,2026-08-05T14:31:39.167155+00:00
RESCAND-b51939b369eadad9cd830886,,RESCAND-b51939b369eadad9cd830886,https://www.revisor.mn.gov/bills/text.php?number=HF3243&session=ls93&session_number=0&session_year=2023&version=list,https://www.revisor.mn.gov/bills/text.php?number=HF3243&session=ls93&session_number=0&session_year=2023&version=list,,"I searched for **Caledonia, MN (2022)** municipal **police** staffing metadata to extract/confirm the following targets: **authorized positions, filled positions, vacancy rate, layoffs, attrition, and any retroactivity/implementation**, plus supporting **municipal payroll/open data, adopted budget, and HR report**, and **Census/USDA official municipal administrative record** references—**without verifying/downloading candidate URLs**. ## What I found (metadata candidates) I can only reliably ide",www.revisor.mn.gov,true,Caledonia,MN,2022,police,police,ROOTCOMP-544c004ffce78a3165d4e148,MECHEXP-1cc6b69bbb05efc6f5510510|MECHEXP-3a52da977a52ecf3ac7b0f1a|MECHEXP-82ffc59231c01353820ec719|MECHEXP-9e794d452064daefb6f5b4d1|MECHEXP-d07c6335de5e1cfb763f32a7,,confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|tests vacancy and staffing-reduction mechanisms with denominators,staffing_and_headcount,,official_domain_metadata,unreviewed,medium_priority_verification_ready,multi_family_administrative_source,canonical_with_upstream_raw_duplicate_links,external_search_wave_002_exhaustive_residual,EXTSEARCH-262dc50a8398ca82235d9f3f|EXTTARGET-7bb2c721ee2c8cb33f9dad0a,RESCALL-dc403868bc308f7862ee876a,wave2_event_specific_v1,RESCAND-b51939b369eadad9cd830886,2026-08-05T02:59:57.768698+00:00,official_government_search_result,php,AVAILREVIEW-79a3231d540ff6d1a90951e3,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,direct_position_reduction_metric,payroll_roster,direct_official_administrative_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,4,4,4,4,4,4,2,0,4,administrative_source_type_signal|direct_or_likely_official_administrative_evidence|direct_staffing_relevance|mechanism_event_linked|official_domain|official_source_search_hint|root_event_linked,direct official administrative source; metadata indicates payroll roster in multi family administrative source. Final bucket: high priority verification ready.,high,high_priority_verification_ready,true,deterministic_local_metadata_only,candidate_review_lane_003,2026-08-05T14:31:39.185401+00:00
RESCAND-b51b84a8df7c8020690f0fb9,,RESCAND-b51b84a8df7c8020690f0fb9,https://reports.adviserinfo.sec.gov/reports/individual/individual_6607995.pdf,https://reports.adviserinfo.sec.gov/reports/individual/individual_6607995.pdf,,"## Candidate discovery targets (metadata-only; hosted pages) I can’t find any Ardsley, NY 2017 **municipal payroll/open data** dataset that is specific enough (employee-level with wages/earnings/overtime/premiums/retroactive-implementation fields) to follow your “actual wages paid, total earnings, overtime, premiums, retroactive payments retroactivity_implementation” target. What I *did* find are (a) adjacent authoritative salary/payroll data taxonomies and (b) a municipal administrative financi",reports.adviserinfo.sec.gov,true,Ardsley,NY,2017,unclear,unclear,ROOTCOMP-53f302e088782546935a4896,MECHEXP-18e1617f6e020f2893676335|MECHEXP-242643177b1d1246f2eca9de|MECHEXP-3e9e971f6c18c379403cc58f|MECHEXP-d9cfa806e7c4d86131575a07|MECHEXP-dab11a9ae3b3318c46133fc8,,confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|upgrades implementation from documented term to paid outcome,payroll_and_earnings,,official_domain_metadata,unreviewed,high_priority_verification_ready,payroll_and_earnings,none_at_final_canonical_input,external_search_wave_002_exhaustive_residual,EXTSEARCH-1e62eb3df743402c2a067e41|EXTTARGET-9171532d308d239bcd61683a,RESCALL-60092ddbe2755492ef6ed4b1,wave2_event_specific_v1,RESCAND-b51b84a8df7c8020690f0fb9,2026-08-05T02:02:17.280158+00:00,official_government_search_result,pdf,AVAILREVIEW-4a5981b3f262e296bdb27ccb,payroll_and_earnings,,unrelated_to_staffing,payroll_roster,direct_official_administrative_source,upgrades_growth_analysis|upgrades_local_wage_comparison,4,4,4,4,4,4,0,0,4,administrative_source_type_signal|direct_or_likely_official_administrative_evidence|mechanism_event_linked|official_domain|official_source_search_hint|root_event_linked,direct official administrative source; metadata indicates payroll roster in payroll and earnings. Final bucket: high priority verification ready.,high,high_priority_verification_ready,true,deterministic_local_metadata_only,candidate_review_lane_005,2026-08-05T14:39:38.993114+00:00
RESCAND-b523e0d0d23d2cd57fb4b6a9,,RESCAND-b523e0d0d23d2cd57fb4b6a9,https://www.coventry-ct.gov/AgendaCenter/ViewFile/Minutes/_10192020-2674,https://www.coventry-ct.gov/AgendaCenter/ViewFile/Minutes/_10192020-2674,,"## Metadata-only candidate discovery (no URL verification/download) I searched for **“Coventry” + “OH” + “2020” + (fire applicant counts / recruitment & compensation / retention / turnover / vacancy duration) tied to municipal admin records** (HR/payroll/budgets/open data/adopted budget/HR reports; Census/USDA administrative record). **Result:** I did **not** find any **municipality-specific (Coventry, OH) 2020 fire recruitment/compensation/retention/turnover/vacancy-duration** dataset or HR/pay",www.coventry-ct.gov,true,Coventry,OH,2020,fire,fire,ROOTCOMP-1f99df04e1f36cdb18b4843c|ROOTCOMP-ef54651b801c3021ae492f45,MECHEXP-16df61ad349cdd5cec01dce2|MECHEXP-22f2a6a6c647d031c4242d15|MECHEXP-901a1bb1127d487182a88598|MECHEXP-93cda44027a9c403e0cedca0|MECHEXP-ce7e0085e5b6b2d074e53662|MECHEXP-d55459848504248ef42230c4|MECHEXP-fef183ec75f38f93f5b7790f,,confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|tests recruitment and retention pressure with comparable administrative outcomes,recruitment_and_retention,,official_domain_metadata,unreviewed,high_priority_verification_ready,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_002_exhaustive_residual,EXTSEARCH-43352c7051a3184352f6fbba|EXTTARGET-9cc3bebf1550bf725c5adf7c,RESCALL-73148d8d4c506345ec265c04,wave2_event_specific_v1,RESCAND-b523e0d0d23d2cd57fb4b6a9,2026-08-05T03:39:26.589491+00:00,official_government_search_result,web,AVAILREVIEW-90d215c751b2fb0bc00c03df,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,direct_vacancy_metric,payroll_roster,direct_official_administrative_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,4,4,4,4,4,4,0,0,4,administrative_source_type_signal|direct_or_likely_official_administrative_evidence|direct_staffing_relevance|mechanism_event_linked|official_domain|official_source_search_hint|root_event_linked,direct official administrative source; metadata indicates payroll roster in multi family administrative source. Final bucket: high priority verification ready.,high,high_priority_verification_ready,true,deterministic_local_metadata_only,candidate_review_lane_005,2026-08-05T14:39:39.202528+00:00
RESCAND-b52a21c79b56a01ee6820900,,RESCAND-b52a21c79b56a01ee6820900,https://ides.illinois.gov/resources/labor-market-information/mass-layoff-statistics.html,https://ides.illinois.gov/resources/labor-market-information/mass-layoff-statistics.html,,"### Metadata-only candidate discovery (no URL verification / no candidate URL downloading) Your target pattern: - **Municipality:** “Casey”, **IL** - **Period:** **2019** - **Side:** **unclear / missing** - **Event:** **unclear / missing** - **Missing field:** **authorization vs. filled positions vs. vacancy rate vs. layoffs vs. attrition vs. non_base_compensation** (not enough structure to pick a single HR/compensation schema) - **Source-family target (in order):** **municipal payroll/open data",ides.illinois.gov,true,Casey,IL,2019,unclear,unclear,ROOTCOMP-6848382e32df4868e3f8facb,MECHEXP-1ebb6c074d6739ec7d94fde5|MECHEXP-31edf9bf59005890b4d11b1e|MECHEXP-44bce6c74731f8b3f2000bdd|MECHEXP-dfcc2e4b2578701138790de9,,confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|tests vacancy and staffing-reduction mechanisms with denominators,staffing_and_headcount,,official_domain_metadata,unreviewed,medium_priority_verification_ready,multi_family_administrative_source,canonical_with_upstream_raw_duplicate_links,external_search_wave_002_exhaustive_residual,EXTSEARCH-9d124e8c150eeb2dc10fe5b7|EXTTARGET-c1ef3f4bdbdfd386b987115d,RESCALL-80570fbdd1e56c6fa43f5b69,wave2_event_specific_v1,RESCAND-b52a21c79b56a01ee6820900,2026-08-05T03:20:54.028457+00:00,official_government_search_result,html,AVAILREVIEW-05fcba5cd9ee2ba9501242b1,payroll_and_earnings,staffing_and_headcount,direct_position_reduction_metric,payroll_roster,direct_official_administrative_source,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis,4,4,4,4,4,4,2,0,4,administrative_source_type_signal|direct_or_likely_official_administrative_evidence|direct_staffing_relevance|mechanism_event_linked|official_domain|official_source_search_hint|root_event_linked,direct official administrative source; metadata indicates payroll roster in payroll and earnings. Final bucket: high priority verification ready.,high,high_priority_verification_ready,true,deterministic_local_metadata_only,candidate_review_lane_005,2026-08-05T14:39:39.378577+00:00
RESCAND-b539e26179635f4494436bf8,,RESCAND-b539e26179635f4494436bf8,https://www.bainbridgewa.gov/Archive.aspx,https://www.bainbridgewa.gov/Archive.aspx,,"I did live metadata-only discovery for **Bainbridge (OH) | 2016 | police | municipal payroll** candidates along your target chain (policy/payment retroactivity tied to payroll effective date, with municipality/admin-record sources). However, I could **not** locate (from metadata surfaced in search) a **2016 police payroll effective-date item** for **Bainbridge Township (Geauga County, OH)** that is directly tied to the specific missing fields you listed—**ordinance adoption**, **budget appropria",www.bainbridgewa.gov,true,Bainbridge,OH,2016,police,police,ROOTCOMP-9c4cf1076baa69cc8134f7d0|ROOTCOMP-fbcb346e4f4a3e524b19a0cc,MECHEXP-2388c9e718fc638403c4267d|MECHEXP-26a48daba51f580e42d9e529|MECHEXP-3e966d7c5945563a7e836e41|MECHEXP-47b0a865d97a92bf8115807f|MECHEXP-9d7ca9e4a504345172190e52|MECHEXP-c6c1be85327227ce0b507eb5|MECHEXP-dbb0a9ea7b22b50bfc6c4389|MECHEXP-ef1e6355bbe8bffc037bae9e|MECHEXP-f1e8009649516baf98340fd8|MECHEXP-f90a3bceed17cf7bd746e02d,,confirms whether negotiated or adopted terms became operative and paid|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome,implementation,,official_domain_metadata,unreviewed,medium_priority_verification_ready,multi_family_administrative_source,canonical_with_upstream_raw_duplicate_links,external_search_wave_002_exhaustive_residual,EXTSEARCH-e2b2b6c223198f100888e92e|EXTTARGET-0683f214088912a11a2788ec,RESCALL-e5aac960c13b8d43fa072abc,wave2_event_specific_v1,RESCAND-b539e26179635f4494436bf8,2026-08-05T02:10:46.655213+00:00,official_government_search_result,aspx,AVAILREVIEW-4265c5fcc20513b0c741fc0c,payroll_and_earnings,implementation_confirmation,unrelated_to_staffing,payroll_roster,direct_official_administrative_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,4,4,4,4,4,4,2,0,4,administrative_source_type_signal|direct_or_likely_official_administrative_evidence|mechanism_event_linked|official_domain|official_source_search_hint|root_event_linked,direct official administrative source; metadata indicates payroll roster in payroll and earnings. Final bucket: high priority verification ready.,high,high_priority_verification_ready,true,deterministic_local_metadata_only,candidate_review_lane_001,2026-08-05T14:23:38.577263+00:00
