duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,canonical_wave,confidence
RESCAND-63d5fe200b05804daaf60bf5,EXTCAND-c2a931683f8b43ca0cf516d2,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-693ebb5bae20e68a9a45fa3f,EXTCAND-a618ede488b80279b02f8211,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e5cf9ade759bd256edc88f1c,EXTCAND-8a53a6806383434499bb8d76,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-7b094cb96de28a506f9739d2,EXTCAND-ce7bc38a61e390560cc8a3fe,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-0f8e3684d82821ecc7192492,EXTCAND-f29ce53dc5f11abcab806378,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-96e686e62c8b97357c74ed1d,EXTCAND-d1898b834f26458fede33cea,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-3eb2d9a0de177ae9b2beed75,EXTCAND-e178a3173c5e836d24402996,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-1becb123b11f07acd30600a9,EXTCAND-aeeff36a178460e8410b87f0,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-301de77454573552fcdcc0ce,EXTCAND-876e0513eacf84cb1396edff,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-4b66bb2420635a1f60dc8fb0,RESCAND-4b66bb2420635a1f60dc8fb0,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-1becb123b11f07acd30600a9,EXTCAND-aeeff36a178460e8410b87f0,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-a2a2e5518bae46c760f7c4b4,RESCAND-a2a2e5518bae46c760f7c4b4,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-3eb2d9a0de177ae9b2beed75,EXTCAND-e178a3173c5e836d24402996,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-96e686e62c8b97357c74ed1d,EXTCAND-d1898b834f26458fede33cea,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-a805f58a7213febf2cdac2f2,EXTCAND-f8161bd316dc9e3e6f7b31ad,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-14914cc62bdfc43957850de5,EXTCAND-7a64c7fd6923031bfb25eb15,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-933f2f6ab9cadcf0923c1e49,EXTCAND-b3f5fcad9ed232d3f39c9bb4,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-8889f5077406fd4a64ed9670,EXTCAND-5ae7bc11e7e01f3deeb8fef8,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-50dc2e1a27756cb379ea7300,EXTCAND-7263e97bbea29a6ef08b8874,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-d3c45f0ecabb6d6e74dc4acc,RESCAND-d3c45f0ecabb6d6e74dc4acc,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-79b53ac25eefd6740bcab03a,RESCAND-79b53ac25eefd6740bcab03a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-1c90d378275316e01c5899cb,RESCAND-1c90d378275316e01c5899cb,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-bdc6a3cbd7763072dee1d379,RESCAND-bdc6a3cbd7763072dee1d379,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-efc13b58ebefda53c0e7be1d,RESCAND-efc13b58ebefda53c0e7be1d,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-8f43a3d10151bf4ad17cb615,EXTCAND-a3f6b5baf9780ee478056fe4,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-b481cb82c17e9531739d5465,EXTCAND-9ff6e2c009662ad3e2ee019c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-ceada54f95f588cf19d7a06d,EXTCAND-4e0e63527b63a025d32ab010,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-24f77fca7b4be327f717738a,EXTCAND-402ddf4c62db89e05ba11d35,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-5590383bc0d2c6dc9aab79fa,RESCAND-5590383bc0d2c6dc9aab79fa,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-8f43a3d10151bf4ad17cb615,EXTCAND-a3f6b5baf9780ee478056fe4,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-1c7f91074d0457b6fd5e9441,RESCAND-1c7f91074d0457b6fd5e9441,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-316e9859636433985e00e772,EXTCAND-a3f6b5baf9780ee478056fe4,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-84a3feeecb30b30cf08dfa11,RESCAND-511d6f56606c7dbdba8c62d9,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-6f73902a7bf57cd95fde0aa4,EXTCAND-b78c42adaf821a574988cbbe,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
