duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,canonical_wave,confidence
RESCAND-aa47c44cb9010cf544af8508,EXTCAND-58876fed04f158e40bb19333,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-815d87b110c8907f3b4296c3,EXTCAND-e683d0db6f90d6bbc62e9a9e,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-8a48add48e310c26084086ee,EXTCAND-badcdfeb596f45eab9d43883,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-a1544594cc3f082afcc8bf3e,EXTCAND-15b1562acd1812d80b743259,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-833c3573f13bb45fbb1d39c7,EXTCAND-b93abe4f77f75a00f380a00b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-09306f1222ea81207bdf0d17,EXTCAND-5d136098e954d179955edbd9,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-7889c82504377ec75b2b2186,EXTCAND-485bc131cc0a72b09c6d70ed,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-180745cdabf96b0d2b19236a,EXTCAND-aec0a961d005564e7b7ff634,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-4e6e7b4721d1ae220edf49e8,RESCAND-2150e0ea2985a640e43c319b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-14dcfb150957be8d58c8dfce,EXTCAND-3628012bf5729efbcac82094,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-a4b9bf357f220eb8de46acec,EXTCAND-d3fbe372ec09b577a4acb62a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-ae937cf36c2cb1b44a762542,RESCAND-3951cde54249d6016057d263,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-ceca5999b442459db668f34d,EXTCAND-d982dadc0821f91e4baffc69,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-317af43c3d3b23d673d98a80,EXTCAND-1cd7e62f5aa9db9e238510ef,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-085c63c1e769c1e3b603996e,RESCAND-1ef1f7e533c5263c1e60da4f,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-44eea70d2df2679c2163d98e,RESCAND-c4987804dde88ad5f585dceb,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-896773977266ec0e637595b5,EXTCAND-1c95bd1a688a9659f813d406,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-edd340ae499e8e67712c5ad7,EXTCAND-08fe0fe2a0b36cea5292f2fd,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-780a82d8970009bc564a3e16,EXTCAND-46e76347d4fab94e140a4b5a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-b481e6b6fa5ac1777c4522e5,EXTCAND-2f74b6f8d26186aa8530dc1a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-40dade090924ee4bfd8e3f79,EXTCAND-3e1bc9dc16cb8414fdc8239c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-57ac98f03ede07d19c703e1d,RESCAND-8e7a595527dd437468f47eeb,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-6f001f100d9b866ab33e6c4b,RESCAND-ebc6fe711119dcfd50f8ef27,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-14be91825e868e4b17787b27,RESCAND-709135cae08ef2aa29472656,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-290a67b11e3e8d1d7b935a02,RESCAND-12a0403fb0ddc7102c4f5b99,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-c3789212726229568fe6d884,EXTCAND-78e0e02ce415e12fcab0a46a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-0ae26f579ec16c8771eab0e7,EXTCAND-7cf5cb20649ba9c495d7000c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-40f0705321d51c9d99900596,EXTCAND-0cab50467548883f039f2e75,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-855416f025b5610f080ec4d2,EXTCAND-c9f824b8a4e6a7263c488837,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-53521fdde51ffe9bcce09d5e,RESCAND-2c59cb57994ce1e6ef81b030,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-14dcfb150957be8d58c8dfce,EXTCAND-3628012bf5729efbcac82094,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-896773977266ec0e637595b5,EXTCAND-1c95bd1a688a9659f813d406,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-aa47c44cb9010cf544af8508,EXTCAND-58876fed04f158e40bb19333,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-180745cdabf96b0d2b19236a,EXTCAND-aec0a961d005564e7b7ff634,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-c5144a6796137c52297577c2,RESCAND-c5144a6796137c52297577c2,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-40dade090924ee4bfd8e3f79,EXTCAND-3e1bc9dc16cb8414fdc8239c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-6f001f100d9b866ab33e6c4b,RESCAND-ebc6fe711119dcfd50f8ef27,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-1be3d4fd9d3a6f6144447b3b,RESCAND-1be3d4fd9d3a6f6144447b3b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-4e6e7b4721d1ae220edf49e8,RESCAND-2150e0ea2985a640e43c319b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-49ca7921ef358a9d29df0d26,EXTCAND-dd02caaf8fb5d930a941c5a5,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-56bef3ed125129a92bac2f95,EXTCAND-08fe0fe2a0b36cea5292f2fd,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-42ee2b602b2bcafcc30425dc,EXTCAND-05751c29773cb1fe9c37ff1a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-eff69f20e724df96b2a8aaf0,EXTCAND-3e1bc9dc16cb8414fdc8239c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e7efc60236767a4d46d0d6b0,EXTCAND-d3fbe372ec09b577a4acb62a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-52c7d099358723b0a47777f3,RESCAND-8e7a595527dd437468f47eeb,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-9248ff39ead6110efc1cff61,RESCAND-03c609d20c4d3e69fa2d3a8b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-9f2c8d10aaacb8268dd53c13,EXTCAND-e683d0db6f90d6bbc62e9a9e,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-f35b5ffbb7f572392c0cb3a0,EXTCAND-1c36490cc1c861a518c694cc,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-0a23ba8d534d264933b191d3,EXTCAND-3628012bf5729efbcac82094,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e7bb9e597df9b0cec78fff00,RESCAND-47fe359f698441e2e8652380,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-3a10aefe0e8a0ec57ed481b6,RESCAND-5072280af24291a51f501111,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-0fa9cb72be225ea157d9d5d5,RESCAND-5a9f6796e67855e63b452b51,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-b8cc734611be92f9c212bab7,RESCAND-39dba1cc473ce0206a8235d1,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
