verification_locator_id,canonical_network_locator,canonical_candidate_id,candidate_row_count,priority_order,primary_external_data_families,administrative_source_types,official_source_flags,locator_host,repair_member_count,verification_lane_id,verification_lane_sequence,verification_status,pre_final_dedup_verification_status,http_status,final_locator,final_canonical_locator,canonical_final_locator_id,verified_content_type,response_content_type,content_length,content_disposition,etag,last_modified,redirect_count,request_count,retry_count,head_request_count,get_metadata_request_count,metadata_body_bytes_inspected,full_body_retained,source_downloaded,source_reviewed,verified_at,terminal_request_id,verification_error_class,source_review_routing
EXTLOC-fcd5a024e0fc040be29a926f,https://a860-gpp.nyc.gov/concern/nyc_government_publications/2v23vw94c?locale=en,RESCAND-49c8ae83fa6138ab7b0e2b70,1,high,payroll_and_earnings,payroll_roster,true,a860-gpp.nyc.gov,0,verification_lane_001,1,blocked_or_forbidden,,403,https://a860-gpp.nyc.gov/concern/nyc_government_publications/2v23vw94c?locale=en,https://a860-gpp.nyc.gov/concern/nyc_government_publications/2v23vw94c?locale=en,EXTFINALLOC-fcd5a024e0fc040be29a926f,html,text/html,440,,,,0,2,0,1,1,440,false,false,false,2026-08-05T15:10:41.981543+00:00,EXTREQ-affb8825a4824adb5f1e8af8,,not_source_review_ready
EXTLOC-e314f532dca3b84978db77fc,https://a860-gpp.nyc.gov/concern/nyc_government_publications/7h149t60w,RESCAND-13f4bc3673538ad5915038dc,1,high,multi_family_administrative_source,payroll_roster,true,a860-gpp.nyc.gov,0,verification_lane_001,2,blocked_or_forbidden,,403,https://a860-gpp.nyc.gov/concern/nyc_government_publications/7h149t60w,https://a860-gpp.nyc.gov/concern/nyc_government_publications/7h149t60w,EXTFINALLOC-e314f532dca3b84978db77fc,html,text/html,435,,,,0,2,0,1,1,435,false,false,false,2026-08-05T15:10:41.983893+00:00,EXTREQ-e8ff8f1c9fc1d3f1bdcf4b7e,,not_source_review_ready
EXTLOC-e4a06f73fca7a529376a820a,https://a860-gpp.nyc.gov/concern/nyc_government_publications/8w32r9344,RESCAND-8ada86d87f86dfecec5ca616,1,high,benefits_and_total_compensation,pension_or_retirement_document,true,a860-gpp.nyc.gov,0,verification_lane_001,3,blocked_or_forbidden,,403,https://a860-gpp.nyc.gov/concern/nyc_government_publications/8w32r9344,https://a860-gpp.nyc.gov/concern/nyc_government_publications/8w32r9344,EXTFINALLOC-e4a06f73fca7a529376a820a,html,text/html,435,,,,0,2,0,1,1,435,false,false,false,2026-08-05T15:10:41.978688+00:00,EXTREQ-db3f9baa2b6c27be2722171a,,not_source_review_ready
EXTLOC-b265ca2a18d26908b899f497,https://a860-gpp.nyc.gov/concern/nyc_government_publications/dn39x565s,RESCAND-1bf9e8450f30269d098e978a,1,high,payroll_and_earnings,payroll_roster,true,a860-gpp.nyc.gov,0,verification_lane_001,4,blocked_or_forbidden,,403,https://a860-gpp.nyc.gov/concern/nyc_government_publications/dn39x565s,https://a860-gpp.nyc.gov/concern/nyc_government_publications/dn39x565s,EXTFINALLOC-b265ca2a18d26908b899f497,html,text/html,435,,,,0,2,0,1,1,435,false,false,false,2026-08-05T15:10:42.354140+00:00,EXTREQ-0ea377c8511e1940e20198f8,,not_source_review_ready
EXTLOC-a120c3bdd10b8050852f7fee,https://a860-gpp.nyc.gov/concern/nyc_government_publications/td96k6466,RESCAND-ee6cd299904ee5ffd8927e60,1,high,multi_family_administrative_source,payroll_roster,true,a860-gpp.nyc.gov,0,verification_lane_001,5,blocked_or_forbidden,,403,https://a860-gpp.nyc.gov/concern/nyc_government_publications/td96k6466,https://a860-gpp.nyc.gov/concern/nyc_government_publications/td96k6466,EXTFINALLOC-a120c3bdd10b8050852f7fee,html,text/html,435,,,,0,2,0,1,1,435,false,false,false,2026-08-05T15:10:42.371527+00:00,EXTREQ-c8775793bdf2e8c2110921f1,,not_source_review_ready
EXTLOC-c2c3d719e8fb2bc30daab121,https://a860-gpp.nyc.gov/concern/nyc_government_publications/tq57nx22n,RESCAND-c1e0273d7353025bd37b4ddd,1,high,implementation_confirmation,budget,true,a860-gpp.nyc.gov,0,verification_lane_001,6,blocked_or_forbidden,,403,https://a860-gpp.nyc.gov/concern/nyc_government_publications/tq57nx22n,https://a860-gpp.nyc.gov/concern/nyc_government_publications/tq57nx22n,EXTFINALLOC-c2c3d719e8fb2bc30daab121,html,text/html,435,,,,0,2,0,1,1,435,false,false,false,2026-08-05T15:10:42.345019+00:00,EXTREQ-f864aed0bd4bdac2fbaad5da,,not_source_review_ready
EXTLOC-c6dc56aad0f1e9c148913026,https://a860-gpp.nyc.gov/concern/nyc_government_publications/xk81jq83x?locale=en,RESCAND-fd967c77a66c2d3cc4fac265,1,high,multi_family_administrative_source,payroll_roster,true,a860-gpp.nyc.gov,0,verification_lane_001,7,blocked_or_forbidden,,403,https://a860-gpp.nyc.gov/concern/nyc_government_publications/xk81jq83x?locale=en,https://a860-gpp.nyc.gov/concern/nyc_government_publications/xk81jq83x?locale=en,EXTFINALLOC-c6dc56aad0f1e9c148913026,html,text/html,440,,,,0,2,0,1,1,440,false,false,false,2026-08-05T15:10:43.373013+00:00,EXTREQ-64e023cf40fbda18ac48bf71,,not_source_review_ready
EXTLOC-9371869f818ade70a61466d5,https://a860-gpp.nyc.gov/downloads/bz60cz93k?locale=en,RESCAND-f2012c0f08a0a6bcc478505a,1,high,multi_family_administrative_source,payroll_roster,true,a860-gpp.nyc.gov,0,verification_lane_001,8,blocked_or_forbidden,,403,https://a860-gpp.nyc.gov/downloads/bz60cz93k?locale=en,https://a860-gpp.nyc.gov/downloads/bz60cz93k?locale=en,EXTFINALLOC-9371869f818ade70a61466d5,html,text/html,402,,,,0,2,0,1,1,402,false,false,false,2026-08-05T15:10:43.369401+00:00,EXTREQ-086074aaa8b6c5c362ecab3c,,not_source_review_ready
EXTLOC-c1365c1a59c00fe37c392c25,https://a860-gpp.nyc.gov/downloads/hm50tz24s?locale=en,RESCAND-623adc4d4186f640385d5a1e,1,high,implementation_confirmation,pension_or_retirement_document,true,a860-gpp.nyc.gov,0,verification_lane_001,9,blocked_or_forbidden,,403,https://a860-gpp.nyc.gov/downloads/hm50tz24s?locale=en,https://a860-gpp.nyc.gov/downloads/hm50tz24s?locale=en,EXTFINALLOC-c1365c1a59c00fe37c392c25,html,text/html,402,,,,0,2,0,1,1,402,false,false,false,2026-08-05T15:10:43.371166+00:00,EXTREQ-b2a6de65917a30e3dd05fa58,,not_source_review_ready
EXTLOC-ba6814e9ba2be337f2ef7c34,https://apps.cot.tn.gov/confirmations/ssr_ma.aspx?Y=2025,RESCAND-bce528e41ba7afc9e4c38447,1,high,payroll_and_earnings,payroll_roster,true,apps.cot.tn.gov,0,verification_lane_001,64,blocked_or_forbidden,,403,https://apps.cot.tn.gov/confirmations/ssr_ma.aspx?Y=2025,https://apps.cot.tn.gov/confirmations/ssr_ma.aspx?Y=2025,EXTFINALLOC-ba6814e9ba2be337f2ef7c34,html,text/html,179,,,,0,2,0,1,1,179,false,false,false,2026-08-05T15:10:43.480754+00:00,EXTREQ-1b5ee33ac91143e776ea8aca,,not_source_review_ready
