canonical_candidate_id,canonical_locator_id,duplicate_group_role,duplicate_group_basis
EXTCAND-ff1b2f88d193633b7d3d19e6,EXTLOC-86b0e98e1c6f003d5b9c32ec,,
RESCAND-f8f709c8c53bb9bc8c5770fe,EXTLOC-dc804907e67ed6ae619b35fb,,
EXTCAND-158994ac20246fcfc3a546cf,EXTLOC-29d929a3dd9f178dfa419164,,
EXTCAND-850693aa300edfcf1feac96b,EXTLOC-9d13cd970e2d3acb59007341,,
RESCAND-b28ab07e69ec35a788fb10f3,EXTLOC-51e70218abd4bb0211fdfab2,,
EXTCAND-5e735b70705c0a8a683d7db2,EXTLOC-00da2d2e07bdc7e18a6db8a7,,
EXTCAND-de413a8b9ae28cb84e0e4856,EXTLOC-e8e2a2fe2729c59e45585472,,
RESCAND-c0fb53baca49dfd50bc66fde,EXTLOC-e8787a61892a0bc844c42ab1,,
RESCAND-0d52e673640bc6090860069f,EXTLOC-d3cae7913f7b72348c05fde5,,
RESCAND-6e693e60abf2b420b8293be4,EXTLOC-caa7d2b66b2896c288371a58,,
RESCAND-0dbd954f347a869c3300ec84,EXTLOC-f302f2d5512fdbc77722af03,,
RESCAND-b11a62c34af456d27e1bb1c2,EXTLOC-d69800f9315ac2a1bd9d5822,,
EXTCAND-e7be050c6ed8bcf6c8757d92,EXTLOC-4680aae71864da5145428921,,
RESCAND-b91e11a96956c30cfc47ff53,EXTLOC-3f84d5c8b1d1058db01ffdcc,,
RESCAND-226445cdc936149e41dca3a6,EXTLOC-78a81b42197053ef61b722cf,,
RESCAND-7d9bf68b4ff18197a7d47a8b,EXTLOC-088373437403e3866eaa0e31,,
RESCAND-0e2a281f5d09e4760bb9fd89,EXTLOC-66e76b151572246e8e02dc98,,
RESCAND-000be95c46e88a02b41edb29,EXTLOC-cd28f0dbb5fd8d8c43f22a9e,,
RESCAND-8c6eb92cc5cc77f7fcfd5597,EXTLOC-95014ab405a9a85ffbeaa9b8,,
EXTCAND-86e3e89c3293263c06059662,EXTLOC-842bff4550c44846d5f79abb,,
RESCAND-299bcc9478e225038af2f475,EXTLOC-bab9059eee225df41f07971d,,
RESCAND-6d4437105c577c430cfc0c8c,EXTLOC-f02dbe14cc5a321760f82526,,
EXTCAND-58224e9e3a11a892c5ebf155,EXTLOC-da712908f1a703e9d7bd04cf,,
EXTCAND-8a86720c97d5e3b283d2e6a1,EXTLOC-61c91c02c0961132694d4465,,
RESCAND-e17add1328c7e0934fcf1241,EXTLOC-96da6a20bf88a2738cc86c24,,
RESCAND-309cbb34f6bd6e7330f297e4,EXTLOC-f0ec72d5be19cc315d82b5a9,,
RESCAND-976ae4504b315b442ec08bd7,EXTLOC-a6bd8c6668bb081461c9959a,,
RESCAND-9a75a6e0871c39b31d4cb1ad,EXTLOC-5fd542e3d652700ecb3d0201,,
EXTCAND-958eacedff38b717d82be2b6,EXTLOC-8be613ad1bb2e04c43a89b0a,,
EXTCAND-292da316c2081c2b411c78b8,EXTLOC-ea17af6b94fbb089e02fa6d7,,
EXTCAND-9c9f84287fe62d94ef7b7f8e,EXTLOC-a52fd7824dd532b5db235f24,,
EXTCAND-223f1dd24a8d07b66ee78a92,EXTLOC-e3dc6d0bdedd53716cf0222c,,
EXTCAND-ec47c7464247c2fc090f59ee,EXTLOC-28d27995a6e9eb87d84c3caf,,
RESCAND-87e6076cbe63f4128ded3aec,EXTLOC-1b78a49e5f246741ec879cd0,,
EXTCAND-7be9233ae3e890f5cba4c62f,EXTLOC-057c57ebe804efb5bb6bd45c,,
RESCAND-3664cf1e9ea9cc7e286d163e,EXTLOC-de1647cc6031f018696bb420,,
EXTCAND-99722b74eeea174eb32ceefd,EXTLOC-09497e485b54a66fcfa87d89,,
RESCAND-f0d05334d54a28a5566ff2f9,EXTLOC-3910121f5812c86a95a3db34,,
RESCAND-fa152b0aac72a1abd04df7fa,EXTLOC-3f1f4c6674e0858d521a201a,,
RESCAND-a3b6c325e116706f3a3da95d,EXTLOC-9715b4e59b78e7180ef1cf65,,
RESCAND-9b5c88a434a765a99f74e484,EXTLOC-a61f82469d85f3d1304987cc,,
EXTCAND-9a852857b2bd618b91ad2ec9,EXTLOC-45da4226a19efe0f3217dd49,,
RESCAND-fbcb37340d00ab62d4e6a3ae,EXTLOC-7c37995121b177f4ace47115,,
RESCAND-046a73190f2f9112e25889c9,EXTLOC-823de090e7290e9cf50e94da,,
RESCAND-708d4a0299bb0ec540da193c,EXTLOC-45c3a4f3608663850073180d,,
RESCAND-c4568e6b6799d53a6150a7f7,EXTLOC-a43ff1135009198a95206a3b,,
RESCAND-8aedd1a92bf0a7444ae2a7b4,EXTLOC-8545bc9f1c01a6af4cab522b,,
