verification_locator_id,canonical_network_locator,canonical_candidate_id,candidate_row_count,priority_order,primary_external_data_families,administrative_source_types,official_source_flags,locator_host,repair_member_count,verification_lane_id,verification_lane_sequence,verification_status,pre_final_dedup_verification_status,http_status,final_locator,final_canonical_locator,canonical_final_locator_id,verified_content_type,response_content_type,content_length,content_disposition,etag,last_modified,redirect_count,request_count,retry_count,head_request_count,get_metadata_request_count,metadata_body_bytes_inspected,full_body_retained,source_downloaded,source_reviewed,verified_at,terminal_request_id,verification_error_class,source_review_routing
EXTLOC-6fe5f86a53e1fa7c9975de78,https://ldh.la.gov/human-resources/human-resources-forms,EXTCAND-dd77c87ce09a67a89c3d018d,1,high,multi_family_administrative_source,payroll_roster,true,ldh.la.gov,0,verification_lane_001,821,captcha_or_bot_protection,,403,https://ldh.la.gov/human-resources/human-resources-forms,https://ldh.la.gov/human-resources/human-resources-forms,EXTFINALLOC-6fe5f86a53e1fa7c9975de78,html,text/html,,,,,0,2,0,1,1,118,false,false,false,2026-08-05T15:13:12.669704+00:00,EXTREQ-b67d58c41b110a6b76d53ef6,,not_source_review_ready
EXTLOC-ddcda3415692137138c0cbe6,https://ldh.la.gov/human-resources/onboarding-other-resources,EXTCAND-d704297dd019f6c3478dbeb0,1,high,multi_family_administrative_source,staffing_table,true,ldh.la.gov,0,verification_lane_001,822,captcha_or_bot_protection,,403,https://ldh.la.gov/human-resources/onboarding-other-resources,https://ldh.la.gov/human-resources/onboarding-other-resources,EXTFINALLOC-ddcda3415692137138c0cbe6,html,text/html,,,,,0,2,0,1,1,118,false,false,false,2026-08-05T15:13:12.664300+00:00,EXTREQ-f8e5b63f5a31ac70b606a0af,,not_source_review_ready
EXTLOC-334cb599ca90848ddd6382b9,https://lfweblink.norfolk.gov/WebLink/DocView.aspx?dbid=0&id=364213&repo=Shared,EXTCAND-1ee06ac213775005d1bf3e02,1,high,multi_family_administrative_source,payroll_roster,true,lfweblink.norfolk.gov,0,verification_lane_001,844,captcha_or_bot_protection,,403,https://lfweblink.norfolk.gov/WebLink/DocView.aspx?dbid=0&id=364213&repo=Shared,https://lfweblink.norfolk.gov/WebLink/DocView.aspx?dbid=0&id=364213&repo=Shared,EXTFINALLOC-334cb599ca90848ddd6382b9,html,text/html; charset=UTF-8,,,,,0,2,0,1,1,1232,false,false,false,2026-08-05T15:13:18.407128+00:00,EXTREQ-348146eaeaf4d036d01be69a,,not_source_review_ready
EXTLOC-1404f7b73955b624e28cc066,https://louisvilleky.gov/american-rescue-plan/archive/document/ord-101-2024-capital-budget,EXTCAND-503dc52d6b85823ee36f18c5,1,high,multi_family_administrative_source,payroll_roster,true,louisvilleky.gov,0,verification_lane_001,859,captcha_or_bot_protection,,403,https://louisvilleky.gov/american-rescue-plan/archive/document/ord-101-2024-capital-budget,https://louisvilleky.gov/american-rescue-plan/archive/document/ord-101-2024-capital-budget,EXTFINALLOC-1404f7b73955b624e28cc066,html,text/html; charset=UTF-8,,,,,0,2,0,1,1,1573,false,false,false,2026-08-05T15:13:07.954580+00:00,EXTREQ-cfe5d011e6a0e63bd4c2f5e8,,not_source_review_ready
EXTLOC-25b65dec674e4dba42a9ea22,https://louisvilleky.gov/government/american-rescue-plan/premium-pay,RESCAND-1ad3aef45e0ad57e12bd1d37,1,high,payroll_and_earnings,payroll_roster,true,louisvilleky.gov,0,verification_lane_001,860,captcha_or_bot_protection,,403,https://louisvilleky.gov/government/american-rescue-plan/premium-pay,https://louisvilleky.gov/government/american-rescue-plan/premium-pay,EXTFINALLOC-25b65dec674e4dba42a9ea22,html,text/html; charset=UTF-8,,,,,0,2,0,1,1,1580,false,false,false,2026-08-05T15:13:07.950439+00:00,EXTREQ-8e32e431fbcdd8cec2dd8cb6,,not_source_review_ready
EXTLOC-74607da8d5bb489a5ce123c1,https://louisvilleky.gov/government/human-resources/louisville-metro-government-personnel-policies,EXTCAND-f023d59cf28652453b5e4e2a,1,high,multi_family_administrative_source,payroll_roster,true,louisvilleky.gov,0,verification_lane_001,861,captcha_or_bot_protection,,403,https://louisvilleky.gov/government/human-resources/louisville-metro-government-personnel-policies,https://louisvilleky.gov/government/human-resources/louisville-metro-government-personnel-policies,EXTFINALLOC-74607da8d5bb489a5ce123c1,html,text/html; charset=UTF-8,,,,,0,2,0,1,1,1580,false,false,false,2026-08-05T15:13:07.947442+00:00,EXTREQ-dcd4285484a153b05e48ba59,,not_source_review_ready
EXTLOC-db9ebe3387550b91a7f2ceb0,https://louisvilleky.gov/government/metro-council-district-10/how-district-10-spends-your-tax-dollars,RESCAND-8a3dc4b2e5635153214468d2,1,high,payroll_and_earnings,payroll_roster,true,louisvilleky.gov,0,verification_lane_001,862,captcha_or_bot_protection,,403,https://louisvilleky.gov/government/metro-council-district-10/how-district-10-spends-your-tax-dollars,https://louisvilleky.gov/government/metro-council-district-10/how-district-10-spends-your-tax-dollars,EXTFINALLOC-db9ebe3387550b91a7f2ceb0,html,text/html; charset=UTF-8,,,,,0,2,0,1,1,1577,false,false,false,2026-08-05T15:13:08.180963+00:00,EXTREQ-566857d82d8fe0d80218a715,,not_source_review_ready
EXTLOC-7e118ea3b2a84e02903d4df7,https://louisvilleky.gov/government/metro-technology-services/open-data,RESCAND-269c8a4a54679f2546bb56bf,1,high,payroll_and_earnings,payroll_roster,true,louisvilleky.gov,0,verification_lane_001,863,captcha_or_bot_protection,,403,https://louisvilleky.gov/government/metro-technology-services/open-data,https://louisvilleky.gov/government/metro-technology-services/open-data,EXTFINALLOC-7e118ea3b2a84e02903d4df7,html,text/html; charset=UTF-8,,,,,0,2,0,1,1,1575,false,false,false,2026-08-05T15:13:08.354719+00:00,EXTREQ-8be20406e7771f782f080b27,,not_source_review_ready
EXTLOC-932a0120625926cd1cbc4edc,https://louisvilleky.gov/government/transparency,RESCAND-38ebc596ac1f3a2e13c3171e,1,high,payroll_and_earnings,payroll_roster,true,louisvilleky.gov,0,verification_lane_001,864,captcha_or_bot_protection,,403,https://louisvilleky.gov/government/transparency,https://louisvilleky.gov/government/transparency,EXTFINALLOC-932a0120625926cd1cbc4edc,html,text/html; charset=UTF-8,,,,,0,2,0,1,1,1577,false,false,false,2026-08-05T15:13:08.356308+00:00,EXTREQ-12ff8f39cad5707c6d4f8403,,not_source_review_ready
EXTLOC-1455fd3e97d58af2ee28b0a3,https://news.colby.edu/wp-content/uploads/2025/08/Colby-College-2025-Impact-Report.pdf,RESCAND-af8f2664b8e4f499a9adc7d5,1,high,multi_family_administrative_source,budget,true,news.colby.edu,0,verification_lane_001,965,captcha_or_bot_protection,,403,https://news.colby.edu/wp-content/uploads/2025/08/Colby-College-2025-Impact-Report.pdf,https://news.colby.edu/wp-content/uploads/2025/08/Colby-College-2025-Impact-Report.pdf,EXTFINALLOC-1455fd3e97d58af2ee28b0a3,pdf,text/html; charset=UTF-8,,,,,0,2,0,1,1,1542,false,false,false,2026-08-05T15:13:37.887826+00:00,EXTREQ-26f3eae3152db603ba19ba16,,not_source_review_ready
EXTLOC-ad1991e3e8faa9a03793e233,https://ogs.ny.gov/system/files/documents/2026/03/2026-strategic-plan-update.pdf,EXTCAND-5d5500eb9502f061cc6b63c6,1,high,multi_family_administrative_source,payroll_roster,true,ogs.ny.gov,0,verification_lane_001,979,captcha_or_bot_protection,,403,https://ogs.ny.gov/system/files/documents/2026/03/2026-strategic-plan-update.pdf,https://ogs.ny.gov/system/files/documents/2026/03/2026-strategic-plan-update.pdf,EXTFINALLOC-ad1991e3e8faa9a03793e233,pdf,text/html; charset=UTF-8,,,,"Wed, 05 Aug 2026 15:13:38 GMT",0,2,0,1,1,137,false,false,false,2026-08-05T15:13:38.816739+00:00,EXTREQ-cec087a1e73cf64937578ce7,,not_source_review_ready
EXTLOC-c3401eb6dc40da87cf474014,https://parmaheightsoh.gov/wp-content/uploads/2023/05/Ord2020-14.pdf,RESCAND-adc8765817e152e6306f8faa,1,high,payroll_and_earnings,payroll_roster,true,parmaheightsoh.gov,0,verification_lane_001,1025,captcha_or_bot_protection,,403,https://parmaheightsoh.gov/wp-content/uploads/2023/05/Ord2020-14.pdf,https://parmaheightsoh.gov/wp-content/uploads/2023/05/Ord2020-14.pdf,EXTFINALLOC-c3401eb6dc40da87cf474014,pdf,text/html,,,,,0,2,0,1,1,1071,false,false,false,2026-08-05T15:13:38.988115+00:00,EXTREQ-cb67799bf269a1e98df31646,,not_source_review_ready
EXTLOC-229e2dd27833863e53116668,https://parmaheightsoh.gov/wp-content/uploads/2023/05/Ordinance-2021-26.pdf,RESCAND-2a4aba937dd5b20a7d5a5894,1,high,payroll_and_earnings,payroll_roster,true,parmaheightsoh.gov,0,verification_lane_001,1026,captcha_or_bot_protection,,403,https://parmaheightsoh.gov/wp-content/uploads/2023/05/Ordinance-2021-26.pdf,https://parmaheightsoh.gov/wp-content/uploads/2023/05/Ordinance-2021-26.pdf,EXTFINALLOC-229e2dd27833863e53116668,pdf,text/html,,,,,0,2,0,1,1,1071,false,false,false,2026-08-05T15:13:39.000928+00:00,EXTREQ-3c1e2160c2eadc0f188557fe,,not_source_review_ready
EXTLOC-ef8d78dcd7b9b912d2ac4518,https://parmaheightsoh.gov/wp-content/uploads/2023/08/Ordinance-2023-16.pdf,EXTCAND-c22e8b6994b42b9df93eae10,1,high,multi_family_administrative_source,payroll_roster,true,parmaheightsoh.gov,0,verification_lane_001,1027,captcha_or_bot_protection,,403,https://parmaheightsoh.gov/wp-content/uploads/2023/08/Ordinance-2023-16.pdf,https://parmaheightsoh.gov/wp-content/uploads/2023/08/Ordinance-2023-16.pdf,EXTFINALLOC-ef8d78dcd7b9b912d2ac4518,pdf,text/html,,,,,0,2,0,1,1,1071,false,false,false,2026-08-05T15:13:38.993258+00:00,EXTREQ-8875ff525a02cdfebb960a00,,not_source_review_ready
