verification_locator_id,final_canonical_locator,canonical_final_locator_id,canonical_verification_locator_id,relationship
EXTLOC-3e3d604721068b25c4ab0e56,https://library.municode.com/WA/Seattle/codes/Municipal_Code?nodeId=TIT4PE_CH4.20COWOCOGE_SUBCHAPTER_IIIREHIPR,EXTFINALLOC-3e3d604721068b25c4ab0e56,EXTLOC-3e3d604721068b25c4ab0e56,canonical
EXTLOC-6dcf33615f507922f5807a4f,https://library.municode.com/WA/Seattle/ordinances/municipal_code?nodeId=2016,EXTFINALLOC-6dcf33615f507922f5807a4f,EXTLOC-6dcf33615f507922f5807a4f,canonical
EXTLOC-475cd7587d9c10d8181523d3,https://library.municode.com/WA/chelan,EXTFINALLOC-475cd7587d9c10d8181523d3,EXTLOC-475cd7587d9c10d8181523d3,canonical
EXTLOC-4945c0535cb23ca2582c1876,https://library.municode.com/WI/Chilton/codes/Code_of_Ordinances?nodeId=SPACOGEOR_CH2AD_ARTVFI,EXTFINALLOC-4945c0535cb23ca2582c1876,EXTLOC-4945c0535cb23ca2582c1876,canonical
EXTLOC-58678bde5662120f2e01eb4b,https://library.municode.com/WI/Chilton/codes/Code_of_Ordinances?nodeId=SPBLAUSDECO_CH40BAZO_ARTIIDI_DIV2PECOUS_S40-78RELAUS,EXTFINALLOC-58678bde5662120f2e01eb4b,EXTLOC-58678bde5662120f2e01eb4b,canonical
EXTLOC-13f96f05cc42a373d1b058d5,https://library.municode.com/WI/Cuba_City/codes/Code_of_Ordinances?nodeId=CH10PUUT_10.10LI,EXTFINALLOC-13f96f05cc42a373d1b058d5,EXTLOC-13f96f05cc42a373d1b058d5,canonical
EXTLOC-37899ef6d0b5cdcc7bde0d79,https://library.municode.com/WI/oconomowoc/codes/code_of_ordinances?nodeId=CO_CH1GEGO_OF_1.16CO,EXTFINALLOC-37899ef6d0b5cdcc7bde0d79,EXTLOC-37899ef6d0b5cdcc7bde0d79,canonical
EXTLOC-22b95e1eec5d5b7cec2f4aa4,https://library.municode.com/al/athens/codes/code_of_ordinances?nodeId=COOR_CH62PE_ARTIINGE,EXTFINALLOC-22b95e1eec5d5b7cec2f4aa4,EXTLOC-22b95e1eec5d5b7cec2f4aa4,canonical
EXTLOC-36a2805e15bf5fa636c30ca8,https://library.municode.com/ar/hot_springs/codes/code_of_ordinances?nodeId=CD_ORD_TIT15BUCO_CH10STSP_ARTVIIIVAPE_15-10-33VA,EXTFINALLOC-36a2805e15bf5fa636c30ca8,EXTLOC-36a2805e15bf5fa636c30ca8,canonical
EXTLOC-e27ac6f96621d84451215693,https://library.municode.com/ar/hot_springs/codes/code_of_ordinances?nodeId=CD_ORD_TIT2AD_CH11PE,EXTFINALLOC-e27ac6f96621d84451215693,EXTLOC-e27ac6f96621d84451215693,canonical
EXTLOC-9cf9a9580aac9ae58f1d63ce,https://library.municode.com/ar/sherwood/codes/municipal_code?nodeId=TIT5HESA_CH5.18NOCO_5.18.06FIPE,EXTFINALLOC-9cf9a9580aac9ae58f1d63ce,EXTLOC-9cf9a9580aac9ae58f1d63ce,canonical
EXTLOC-09cb63c4834b73c5213d392d,https://library.municode.com/az/mesa/codes/code_of_ordinances?nodeId=MECH,EXTFINALLOC-09cb63c4834b73c5213d392d,EXTLOC-09cb63c4834b73c5213d392d,canonical
EXTLOC-507690b5f6d3ee0f79bbd542,https://library.municode.com/ca/big_bear_lake/codes/code_of_ordinances?nodeId=MUCO_TIT2ADPE_CH2.20SA_2.20.011REIN,EXTFINALLOC-507690b5f6d3ee0f79bbd542,EXTLOC-507690b5f6d3ee0f79bbd542,canonical
EXTLOC-8b31a25229dcb9a18833a0f1,https://library.municode.com/ca/calexico/codes/code_of_ordinances?nodeId=TIT2ADPE_CH2.40CO,EXTFINALLOC-8b31a25229dcb9a18833a0f1,EXTLOC-8b31a25229dcb9a18833a0f1,canonical
EXTLOC-46731ccb0f4cb35e28297357,https://library.municode.com/ca/colfax,EXTFINALLOC-46731ccb0f4cb35e28297357,EXTLOC-46731ccb0f4cb35e28297357,canonical
EXTLOC-0d94894374f3a86b84df17af,https://library.municode.com/ca/colfax/codes/code_of_ordinances?nodeId=COMUCO,EXTFINALLOC-0d94894374f3a86b84df17af,EXTLOC-0d94894374f3a86b84df17af,canonical
