verification_locator_id,canonical_network_locator,canonical_candidate_id,candidate_row_count,priority_order,primary_external_data_families,administrative_source_types,official_source_flags,locator_host,repair_member_count,verification_lane_id,verification_lane_sequence
EXTLOC-b0626e6af727660889b435bf,https://budatx.gov/CivicAlerts.asp?AID=1575&ARC=2250,RESCAND-951f36d17b18acf6fa9a9029,1,high,multi_family_administrative_source,budget,true,budatx.gov,0,verification_lane_005,501
EXTLOC-0a83c502a936cd290ef29b78,https://budatx.gov/CivicAlerts.aspx?ARC=L&CC=2&From=AID%3D1533&ItemID=1533&What=2,RESCAND-479b7c79f0c1f72ec7fb65d2,1,high,payroll_and_earnings,payroll_roster,true,budatx.gov,0,verification_lane_005,502
EXTLOC-292caa8dc9a07ef697f7f95b,https://budatx.gov/CivicAlerts.aspx?ARC=L&CC=2&From=AID%3D1674&ItemID=1674&What=2,RESCAND-0029c8977ac17399cfd1c646,1,high,payroll_and_earnings,payroll_roster,true,budatx.gov,0,verification_lane_005,503
EXTLOC-0052f20c2cfea9d8c4367545,https://budatx.gov/DocumentCenter/View/10807/FY-2023-Adopted-Budget----FINAL,RESCAND-b9d07ea3826dd498af13ff1b,1,high,payroll_and_earnings,payroll_roster,true,budatx.gov,0,verification_lane_005,504
EXTLOC-489b3b57fddba32516b137d4,https://budatx.gov/DocumentCenter/View/10807/FY-2023-Adopted-Budget-Website-Version,RESCAND-136327644664c6f1abe41244,1,high,payroll_and_earnings,payroll_roster,true,budatx.gov,0,verification_lane_005,505
EXTLOC-b281f1440f37b1b74acc8a68,https://budatx.gov/DocumentCenter/View/11809/FY-2024-Adopted-Budget-Book,RESCAND-370590861b7932d2dd07d457,1,high,payroll_and_earnings,payroll_roster,true,budatx.gov,0,verification_lane_005,506
EXTLOC-f87e644d4c209dc8d057572b,https://budatx.gov/DocumentCenter/View/13170/City-of-Buda-2024-CAFR,EXTCAND-4a1e01dd3078755b41d0338e,1,high,multi_family_administrative_source,payroll_roster,true,budatx.gov,0,verification_lane_005,507
EXTLOC-a0d2e12a3bcd778c5070c077,https://budatx.gov/DocumentCenter/View/16388/2025-12-12-FY-26-Adopted-Budget-Book-PDF,RESCAND-bee4ff0bf8a9240243766b04,1,high,payroll_and_earnings,payroll_roster,true,budatx.gov,0,verification_lane_005,508
EXTLOC-826d5213c6d256d8cd4a18fb,https://budatx.gov/m/newsflash/home/detail/1723,RESCAND-07a1455f5b50e216348efebc,1,high,multi_family_administrative_source,budget,true,budatx.gov,0,verification_lane_005,509
EXTLOC-bf65af8385947c24672b26be,https://classifieds.gannettclassifieds.com/marketplace/advert/-Retail_1274806,RESCAND-b6ea5467bfc59a5232ec9b30,1,low,multi_family_administrative_source,payroll_roster,false,classifieds.gannettclassifieds.com,0,verification_lane_005,8011
EXTLOC-b3d22f8bdf1f6ddc53e038c0,https://classifieds.gannettclassifieds.com/marketplace/advert/-Retail_1278340,EXTCAND-2d1ca6e87f865fcddda91fd3,1,low,multi_family_administrative_source,payroll_roster,false,classifieds.gannettclassifieds.com,0,verification_lane_005,8012
EXTLOC-a9827d931b42b12ce8a199d6,https://classifieds.gannettclassifieds.com/marketplace/advert/-Retail_1278823,RESCAND-3910083556a6d0ea0ee409b9,1,low,payroll_and_earnings,payroll_roster,false,classifieds.gannettclassifieds.com,0,verification_lane_005,8013
EXTLOC-0f063b7eb1fef4b90e93a496,https://classifieds.gannettclassifieds.com/marketplace/advert/-Retail_1288621,RESCAND-d0d40bb1d5ef224f01bede1a,1,low,payroll_and_earnings,payroll_roster,false,classifieds.gannettclassifieds.com,0,verification_lane_005,8014
