MIME_type,SHA_256,administrative_source_type_change_reason,analytical_extraction_runs,bounded_metadata_preview,bounded_structure_summary,byte_size,canonical_final_url,canonical_locator_id,content_disposition,department_scope,detected_file_type,download_http_status,final_administrative_source_type,final_download_url,final_priority_bucket,gabriel_calls,hosted_search_calls,implementation_event_deduplication_rerun,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,locator_host,municipality,ocr_runs,official_source_flag,original_filename,period,primary_content_family,prior_administrative_source_type,readiness_hint,request_count,retained_source_id,retrieved_timestamp,retry_count,secondary_content_families,side_scope,source_quality,source_review_id,source_review_lane_id,source_review_lane_sequence,source_review_reason,source_review_status,state,candidate_title,candidate_snippet,original_requested_urls,expected_claim_upgrade_tags
text/html;charset=UTF-8,,bounded shell/metadata review,0,"Chapter 5A: Conservation Advisory Council - Town of Chester, NY Skip to content home Home code Code Code law Laws (1) New Laws (1) Law Ledger (0) help_center Help Help About Us ecode search Login Town of Chester, NY chevron_right chevron_right Part I: Administrative Legislation chevron_right Chapter 5A Conservation Advisory Council Chapter 5A Conservation Advisory Council [HISTORY: Adopted by the Town Board of the Town of Chester 5-8-2024 by L.L. No. 5-2024 . Amendments noted where applicable.] § 5A-1 Legislative intent. § 5A-2 Conservation Advisory Council established. § 5A-3 Membership. § 5A","{""bounded_link_count"": 58, ""bounded_visible_character_count"": 14147, ""html_title"": ""Chapter 5A: Conservation Advisory Council - Town of Chester, NY""}",88429,https://ecode360.com/45273000,EXTLOC-07cb35cb2b00510125c52979,,unclear,html,200,navigation_or_index,https://ecode360.com/45273000,low,0,0,False,RESCAND-8658f11015f035a016ec3a11,,MECHEXP-0bdc8400d608596c8a8ce047|MECHEXP-1cf01732a8726db01939c8a7|MECHEXP-1f4ca2efb4144e0ed82c9ee2|MECHEXP-3c1d2b953a538ae3942a7a0e|MECHEXP-c3f92e45ed8d674123974b53,ROOTCOMP-b8fc35ef2821b127e5494f37,external_search_wave_002_exhaustive_residual,,ecode360.com,Chester,0,false,45273000,2024,unclear,other,manual_review_candidate,1,,2026-08-05T17:32:32.680705+00:00,0,,unclear,navigation_or_shell,EXTSRCREV-532bd855f9cd878487142670,source_review_lane_003,8577,navigation/index markers without substantive administrative signal,navigation_or_index_only,NY,,"I can’t produce the specific “candidate URLs”/records you’re asking for yet because your target is internally inconsistent/ambiguous: - **Municipality period**: you specified **“Chester” “NY” “2024”**, but “Chester” in NY could mean **Village of Chester** (likely Chester as a village) and there’s also a **Town of Chester** (Orange County). The search results I found for Chester-**NY** include Town-of-Chester pages and separate unrelated “City of Chester” / other states. - **Missing fields**: you",https://ecode360.com/45273000,no_material_upgrade
text/html; charset=utf-8,,bounded shell/metadata review,0,"Information & Reports | Charleston, SC - Official Website Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In News Government Departments Business Online Services Visitors Projects How Do I... Search Government Departments Police Department Transparency Information & Reports Information & Reports Internal Assessment of CPD Response to May Protests/Riots Strengthening Charleston Final Report Department Strategic Plans Chief Reynolds' Strategic Plan Video Charleston Police Department Strategic Plan 2020 to 2025 (PDF) Cha","{""bounded_link_count"": 84, ""bounded_visible_character_count"": 8183, ""html_title"": ""Information & Reports | Charleston, SC - Official Website""}",112997,https://www.charleston-sc.gov/1357/Information-Reports,EXTLOC-0b0b56371a23982dea20d863,,police,html,200,navigation_or_index,https://www.charleston-sc.gov/1357/Information-Reports,medium,0,0,False,RESCAND-a102ab36ab5e32b992f3ae97,,MECHEXP-56d63c8a328e3c5e682401c0|MECHEXP-b4e59f2ec16db12ff905fe9d|MECHEXP-e2540b21ba1e57a61da1ccc7|MECHEXP-f4fa8df81032ed2749d45891,ROOTCOMP-d3d6278f4a97b18a2a156997,external_search_wave_002_exhaustive_residual,,www.charleston-sc.gov,Charleston,0,true,Information-Reports,2017,tenure_and_progression,other,manual_review_candidate,1,,2026-08-05T17:24:14.749307+00:00,0,,police,navigation_or_shell,EXTSRCREV-3df8f8f18e8b38e3e412e05f,source_review_lane_003,5041,navigation/index markers without substantive administrative signal,navigation_or_index_only,IL,,"I can’t safely follow your “Charleston” + “IL” spec as written, because the first-line search results strongly indicate you may be conflating **Charleston, IL** (Illinois) with **Charleston, SC** (South Carolina). The “step increases until max out at the rank of Police Officer Step 3” language I found is from the **Charleston Police / JOIN CPD** site, which is for **Charleston, SC**, not Illinois. ([joincpd.com](https://joincpd.com/?utm_source=openai)) Also, the most relevant-looking “Illinois P",https://www.charleston-sc.gov/1357/Information-Reports,no_material_upgrade
text/html; charset=UTF-8,,bounded shell/metadata review,0,"Open Data | NYSenate.gov Sorry, you need to enable JavaScript to visit this website. Skip to main content The New York State Senate get involved login Search Search icon Search Advanced Legislation Search Advanced Legislation Search News & Issues Senators & Committees Bills & Laws Events About The Senate open and focus search login Search Search icon Search Advanced Legislation Search Find your Senator and share your views on important issues. find your senator Open Data The documents, facts, figures, and reports that affect the processes, or are a result of the processes, of the New York Sena","{""bounded_link_count"": 63, ""bounded_visible_character_count"": 13303, ""html_title"": ""Open Data | NYSenate.gov""}",48324,https://www.nysenate.gov/open-data?page=14,EXTLOC-0dd7c7fd5ef1b4a9ab00f040,,unclear,html,200,navigation_or_index,https://www.nysenate.gov/open-data?page=14,repaired,0,0,False,RESCAND-e9580ac1f9106a2a2137add9,,MECHEXP-19b1ac52108e507b414f2e80|MECHEXP-1bb0d069084f2a27c77d8783|MECHEXP-3f4284f67f26230d390bb00d|MECHEXP-5240c2e610de719315058a4c,ROOTCOMP-bcee675006ab0bc76dc40543,external_search_wave_002_exhaustive_residual,,www.nysenate.gov,Big Flats,0,true,open-data,2021,staffing_and_headcount,media_or_context,manual_review_candidate,1,,2026-08-05T17:41:35.391776+00:00,0,,unclear,navigation_or_shell,EXTSRCREV-b7474146266b8630dfe2b9e5,source_review_lane_004,5414,navigation/index markers without substantive administrative signal,navigation_or_index_only,NY,,"## Scope interpreted from your spec (metadata-only candidate discovery) - **Municipality:** “Big Flats” → **Town of Big Flats, Chemung County, New York** (since Big Flats is a *town* in NY; also exists as a CDP/unincorporated community) ([dec.ny.gov](https://dec.ny.gov/news/environmental-notice-bulletin/2021-02-24/seqr/chemung-county-the-town-of-big-flats-town-board-as-lead-agency-has-determined-that-the-proposed-comprehensive-plan-update-and-zoning-code-and-map-amendments-will-not-have-a-signif",https://www.nysenate.gov/open-data?page=14&tab=,contextual_only
text/html; charset=utf-8,,retained prior type,0,"Page Not Found (404) | Waukesha County This website uses cookies to enhance usability and provide you with a more personal experience. By using this website, you agree to our use of cookies as explained in our Privacy Policy . Agree Skip to main content Skip to footer Waukesha County Menu Living in Waukesha County Waukesha County""> Expand sub pages Living in Waukesha County Adult, Child, and Family Services Aging and Disability Resource Center Animal Services Birth, Death and Marriage Certificates Community Block Grant Deeds/Land Records Elections Emergency Preparedness Extension Waukesha Coun","{""bounded_link_count"": 894, ""bounded_visible_character_count"": 127455, ""html_title"": ""Page Not Found (404) | Waukesha County""}",282564,https://www.waukeshacounty.gov/page-not-found-404/,EXTLOC-17049d4dea020dfc7e50a13f,,police,html,200,payroll_roster,https://www.waukeshacounty.gov/page-not-found-404/,high,0,0,False,RESCAND-0d3b8fa7f03ea9c568f43df3,,MECHEXP-1713b8166b684d501b1d77ca|MECHEXP-1897b61ecc65ee98d7d11208|MECHEXP-20410f06e577c5ba3ccf5b56|MECHEXP-3bfacfa67226c4650c0c5f54|MECHEXP-4fab7e4be39eb9fe9162001d|MECHEXP-5144f38be3f31cebb87aaa11|MECHEXP-70949c7b8a5eb72c4c3a6bbf|MECHEXP-98069d60c3c8c887483e51a7|MECHEXP-9d904302326f904be2f8a7d4|MECHEXP-bedc0ef8873f554eb26b661e|MECHEXP-c74e2d811315aa774a33a9f7|MECHEXP-d31fd69de5fee5ff08bf082a|MECHEXP-e58131d8c0cc594bf0d6bb96|MECHEXP-e7347b1bb8f503a448a67dc5|MECHEXP-fd51ec460b9d219156abf552,ROOTCOMP-2711bda1675974b47791e063|ROOTCOMP-2e127a1b05ec5065b479cc04|ROOTCOMP-6613b197d5559ecc9aca9d52|ROOTCOMP-c760518e85d2dfed3f5fb38c,external_search_wave_002_exhaustive_residual,,www.waukeshacounty.gov,Butler,0,true,page-not-found-404,2023,multi_family_administrative_source,payroll_roster,manual_review_candidate,1,,2026-08-05T17:31:36.303147+00:00,0,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,police,navigation_or_shell,EXTSRCREV-441d9af79e5479e4cb2e7408,source_review_lane_005,901,HTML shell indicates missing or denied content,shell_or_placeholder,WI,,"I searched live web sources for **“Butler” + “WI” + 2023 + police** with metadata targeting: *applicant counts, turnover, retention, vacancy duration, recruitment & compensation studies*, specifically looking for **municipal payroll / open data**, **adopted budget**, **HR reports**, and **official administrative records** (Census/USDA / etc.). ## Metadata-only candidate discovery results (no URL verification / no downloads) ### Municipal / HR / budget / official record candidates found 1) **City",https://www.waukeshacounty.gov/globalassets/parks--land-use/environmental-health/local-animal-laws/villagebutler.pdf,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis
text/html; charset=UTF-8,,bounded shell/metadata review,0,"Transparency | City of Alexandria, VA Skip to main content You're logged in with MyAlex | Logout City of Alexandria, VA Search: Most Relevant Most Relevant Oldest First Newest First All Dates All Dates Last 2 Weeks Last Month Last 6 Months Last Year Search results cleared Include archived pages Most of the content here is written in English. Translate your search to find more content? Yes, always Translating "" "" to English... Searching for English phrase "" "" Menu Live Play Services Business Government Projects & Plans Calendar I want to… Transparency The City of Alexandria government acts with","{""bounded_link_count"": 51, ""bounded_visible_character_count"": 10472, ""html_title"": ""Transparency | City of Alexandria, VA""}",41076,https://alexandriava.gov/hub/transparency,EXTLOC-254a77e1b53182b349926298,,unclear,html,200,navigation_or_index,https://alexandriava.gov/hub/transparency,medium,0,0,False,RESCAND-6b222c9c78c82e338f231f95,,MECHEXP-2d47e492fc5d9b68b33f281b|MECHEXP-466d33451fc947b2c39b17d2|MECHEXP-e7a14c8cf5d157ebf1ed490d|MECHEXP-e80b7e17bf1f96e514ce19f8|MECHEXP-efb26ae253b4fe7f40ba6725,ROOTCOMP-ec5422bb8106be3198b27755,external_search_wave_002_exhaustive_residual,,alexandriava.gov,Alexandria,0,true,transparency,2025,benefits_and_total_compensation,other,manual_review_candidate,1,,2026-08-05T17:53:25.443007+00:00,0,,unclear,navigation_or_shell,EXTSRCREV-04ff2e975282d037d3af4b21,source_review_lane_005,5332,navigation/index markers without substantive administrative signal,navigation_or_index_only,NJ,,"Candidate discovery results (metadata-only; **no URL verification/download**). Interpreted target as **Alexandria Township, New Jersey** (not Alexandria City, VA) because your query specifies **“Alexandria” + “NJ”**. ([alexandrianj.gov](https://www.alexandrianj.gov/forms-documents/forms/financial-documents/2025?utm_source=openai)) ## Target (municipality / period / side / event / missing field / source-family) - **Municipality:** Alexandria, NJ (**Alexandria Township**) ([alexandrianj.gov](https",https://alexandriava.gov/hub/transparency,upgrades_total_compensation_comparison
text/html;charset=utf-8,,retained prior type,0,404 Page Not Found - Airbnb Airbnb Oops! We can't seem to find the page you're looking for. Error code: 404 Here are some helpful links instead: Home Search Help Traveling on Airbnb Hosting on Airbnb Trust & Safety Sitemap,"{""bounded_link_count"": 8, ""bounded_visible_character_count"": 641, ""html_title"": ""404 Page Not Found - Airbnb""}",2620,https://www.airbnb.co.nz/rooms/35580049,EXTLOC-365fdeed54c855a56ab202e1,,unclear,html,200,payroll_roster,https://www.airbnb.co.nz/rooms/35580049,low,0,0,False,RESCAND-78bea8d78fe6e83d41e75e10,,MECHEXP-3daf624698b23f6699b06547|MECHEXP-41e34b557e4e9ef3cce832e8|MECHEXP-8509df5c1652ee257b0ca509|MECHEXP-c4c8935a26d4521f0838b34d,ROOTCOMP-dda63f727f7eb2987daac9d7,external_search_wave_002_exhaustive_residual,,www.airbnb.co.nz,Au Train,0,false,35580049,2024,payroll_and_earnings,payroll_roster,manual_review_candidate,1,,2026-08-05T17:56:15.380241+00:00,0,implementation_confirmation,unclear,navigation_or_shell,EXTSRCREV-ca99cc38a772c4a0a3a2994a,source_review_lane_005,6295,HTML shell indicates missing or denied content,shell_or_placeholder,MI,,"## Metadata-only candidate discovery (no URL verification, no downloads) **Target (your fields):** - **Municipality:** “Au Train” **MI** - **Period:** **2024** - **Side:** unclear - **Event:** unclear - **Missing field(s):** actual wages paid, total earnings, overtime, premiums, retroactive payments - **Source-family:** municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record ### Candidate sources (likely to contain the needed payroll/compensat",https://www.airbnb.co.nz/rooms/35580049,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim
text/html,,bounded shell/metadata review,0,Online Employment Application | Open Positions Open Positions for City of Charleston Openings as of 8/5/2026 force display?True Viewing All Types ( 2 openings) Search Postings: Options Search Job Postings Posting contains: Title contains: In Category: Select Category Public Works Recreation and SubCategory: At Location: -- Any Location -- Parks and Recreation Water Treatment Plant Within: 5 10 15 25 50 100 150 miles of Zip: Zip Code Invalid Zipcode Search Posted in the last: All Dates 7 Days 14 Days 30 Days Sort Results By: type title location newest oldest Display as: Detailed View Condensed ,"{""bounded_link_count"": 23, ""bounded_visible_character_count"": 7995, ""html_title"": ""Online Employment Application | Open Positions""}",55041,https://www.applitrack.com/charlestonil/OnlineApp/JobPostings/view.asp?all=1%3D&embed=1,EXTLOC-3a7168e3046b707357d5d64d,,police,html,200,navigation_or_index,https://www.applitrack.com/charlestonil/OnlineApp/JobPostings/view.asp?all=1%3D&embed=1,low,0,0,False,RESCAND-c81daea61140a4ce1e403574,,MECHEXP-56d63c8a328e3c5e682401c0|MECHEXP-b4e59f2ec16db12ff905fe9d|MECHEXP-e2540b21ba1e57a61da1ccc7|MECHEXP-f4fa8df81032ed2749d45891,ROOTCOMP-d3d6278f4a97b18a2a156997,external_search_wave_002_exhaustive_residual,,www.applitrack.com,Charleston,0,false,view.asp,2017,tenure_and_progression,other,manual_review_candidate,1,,2026-08-05T17:47:12.165861+00:00,0,,police,navigation_or_shell,EXTSRCREV-3463fdffefdabdce53708a4c,source_review_lane_004,8300,navigation/index markers without substantive administrative signal,navigation_or_index_only,IL,,"I can’t safely follow your “Charleston” + “IL” spec as written, because the first-line search results strongly indicate you may be conflating **Charleston, IL** (Illinois) with **Charleston, SC** (South Carolina). The “step increases until max out at the rank of Police Officer Step 3” language I found is from the **Charleston Police / JOIN CPD** site, which is for **Charleston, SC**, not Illinois. ([joincpd.com](https://joincpd.com/?utm_source=openai)) Also, the most relevant-looking “Illinois P",https://www.applitrack.com/charlestonil/OnlineApp/JobPostings/view.asp?all=1%3D&category%3DPool=&embed=1,no_material_upgrade
text/html,,retained prior type,0,"Page Not Found — Bloom Township, Carroll, OH Skip to content Fairfield County, Ohio 8490 Lithopolis Rd, Carroll, OH (614) 837-4387 adminoffice@bloomtwp.org Forms + Meetings Departments Cemetery Department Plots, records & fees Fire Department Bloom Township Fire Road Department Maintenance & drainage Zoning Department Permits & applications Township Info Recent Meeting Actions Latest board decisions Lot Splits Parcel division requests Township History About Bloom Township Park Information Rock Mill & ridges Drainage Issues Right-of-way guidance FAQ Contact Us 404 This page wandered off The pag","{""bounded_link_count"": 39, ""bounded_visible_character_count"": 2717, ""html_title"": ""Page Not Found — Bloom Township, Carroll, OH""}",8706,https://www.bloomtwp.org/404.html,EXTLOC-3b56a0581ee518da1bfccc80,,fire,html,200,payroll_roster,https://www.bloomtwp.org/404.html,low,0,0,False,EXTCAND-b842d7af6298c58ffa3f4115,,MECHEXP-116113575ad83063762a9da9|MECHEXP-518c3268d48d7031a430741e|MECHEXP-8db7dccee82249ba537572f7|MECHEXP-b5a80778468bf87a89e52e07|MECHEXP-cd105d217e9ecf6663ea79d9,ROOTCOMP-f4a7251c47d7305c676b56db,external_search_wave_001_compacted,,www.bloomtwp.org,Bloom,0,false,404.html,2023,multi_family_administrative_source,payroll_roster,manual_review_candidate,1,,2026-08-05T17:44:50.392792+00:00,0,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,fire,navigation_or_shell,EXTSRCREV-850733dbf1895906cf184a9d,source_review_lane_004,6968,HTML shell indicates missing or denied content,shell_or_placeholder,OH,,"I ran a live web search, but I did **not** find a clear, unambiguous “Bloom, OH” (the *specific* municipality/school district) with a **direct 2023 payroll salaries/earnings/overtime + authorized positions/pay plan + vacancies/staffing recruitment retention/turnover** administrative source set. The best matches I found by name tend to be **township meeting/board minutes and resolutions** or **gene",https://www.bloomtwp.org/minutes/03.10.25-Minutes.pdf,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis
text/html; charset=utf-8,,retained prior type,0,City of Hoboken announces hiring freeze to further reduce budget deficit alerts news Submit a concern Calendar & events Forms QUICK LINKS Waste Collection Climate Action Plan and Greenhouse Gas Inventories ResilienCity Park Water Main Replacement Program Parks Pay My Taxes Tax Assessor Library Farmers' Markets Emergency Notifications Pages  Pages Home Home (Premium) Blog Post Blog Post (Premium) Subscribe Contact Sign In Sign up Update password Reset password Access Denied User account Utility Pages Start here Styleguide 404 Not found Password protected Licenses Changelog Browse More Template,"{""bounded_link_count"": 124, ""bounded_visible_character_count"": 4972, ""html_title"": ""City of Hoboken announces hiring freeze to further reduce budget deficit""}",31639,https://hobokennj.gov/news/city-of-hoboken-announces-hiring-freeze-to-further-reduce-budget-deficit,EXTLOC-3b6f9f8e309c28b2ed5965a2,,police,html,200,payroll_roster,https://hobokennj.gov/news/city-of-hoboken-announces-hiring-freeze-to-further-reduce-budget-deficit,high,0,0,False,RESCAND-4d76c860fb9fb91affe9d4a0,,MECHEXP-1c5cb11232a1006a83cbb598|MECHEXP-283b01d60c53d9ff9387a3a1|MECHEXP-4e6f14f9d6f9c31d1b3b8075|MECHEXP-5e37e7ff7e9482999f34c44b|MECHEXP-69147ac59fac4d111f032cd0|MECHEXP-72f0ed3526fa840c4a42afbe|MECHEXP-876653681d36f34acb7b266d|MECHEXP-8bcf0128e35ea0ccaead31de|MECHEXP-c7370163c1710845985fc0e2|MECHEXP-f2dec8ae18330c12fcf20a6a,ROOTCOMP-0e73882cff2cbe8b6101bacf|ROOTCOMP-809472877af099c2bc02b747|ROOTCOMP-892fab18d54b558f8057e9f6,external_search_wave_002_exhaustive_residual,,hobokennj.gov,Brookfield,0,true,city-of-hoboken-announces-hiring-freeze-to-further-reduce-budget-deficit,2025,multi_family_administrative_source,payroll_roster,manual_review_candidate,1,,2026-08-05T17:04:18.702478+00:00,0,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,police,navigation_or_shell,EXTSRCREV-244177db29256438a915de44,source_review_lane_002,226,HTML shell indicates missing or denied content,shell_or_placeholder,OH,,"I did a live, metadata-only candidate discovery search, but I can’t find any hosted 2025 *police* staffing documents (with **authorized vs filled sworn positions**, **vacancy rate**, and **layoffs/attrition**), specifically for **Village/Town of Brookfield, OH** plus the exact **admin-record family** you requested (municipal payroll/open data + adopted budget + HR report + any Census/USDA official municipal administrative record). What I *did* find (candidates, not verified/downloaded): 1) **Vil",https://hobokennj.gov/news/city-of-hoboken-announces-hiring-freeze-to-further-reduce-budget-deficit,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis
text/html,,retained prior type,0,Page not found - Kaskaskia College --> Skip to the content Kaskaskia College Logo Toggle Search Search the Kaskaskia College website Submit Search Menu About KC Toggle Sub Menu Accreditation Board Minutes and Agendas Board of Trustees Consumer Information Contact Us Directory Core Values in Action Freedom of Information Act From the President Human Resources Maps & Directions Mission & Vision News & Events Policies & Procedures Strategic Planning Student Right to Know Student Stories Title III Veterans Tribute Academics Toggle Sub Menu Academic Calendars Academic Departments Adult Education & ,"{""bounded_link_count"": 99, ""bounded_visible_character_count"": 6594, ""html_title"": ""Page not found - Kaskaskia College""}",23697,https://www.kaskaskia.edu/media/web-assets/documents/institutional-assessment/Strategic-Plan-January-2024-Update.pdf,EXTLOC-40e725fd42452d20b6168798,,unclear,html,200,other,https://www.kaskaskia.edu/media/web-assets/documents/institutional-assessment/Strategic-Plan-January-2024-Update.pdf,medium,0,0,False,RESCAND-1ff06a8759ce3f90ad7038d1,,MECHEXP-168c28b8032869e79c40445e|MECHEXP-385b927eceb03ac9664f998c|MECHEXP-6aa34e58695b46de870d4322|MECHEXP-b46ec8abd4da526d70b51fd2|MECHEXP-bc5f2426eff5b0446925ea77,ROOTCOMP-3bba0427a7e5e95ae48c1597,external_search_wave_002_exhaustive_residual,,www.kaskaskia.edu,Breese,0,true,Strategic-Plan-January-2024-Update.pdf,2024,staffing_and_headcount,other,manual_review_candidate,1,,2026-08-05T17:53:42.487378+00:00,0,,unclear,navigation_or_shell,EXTSRCREV-cf3f4d5d405ef984a2c948bb,source_review_lane_005,5407,HTML shell indicates missing or denied content,shell_or_placeholder,IL,,"## Live, metadata-only candidate discovery targets (municipality=Breese, IL; period=2024) ### Candidate 1 — “City of Breese FY 2024 Audit” (municipal administrative record / HR-adjacent budget metadata) - **Municipality:** City of Breese, Illinois - **Period/Year:** 2024 - **Side:** unclear (source-family: municipal annual financial / administrative reporting) - **Event/Record type:** FY 2024 audit (year-end municipal administrative record) - **Missing fields you requested:** - authorized positi",https://www.kaskaskia.edu/media/web-assets/documents/institutional-assessment/Strategic-Plan-January-2024-Update.pdf,no_material_upgrade
