MIME_type,SHA_256,administrative_source_type_change_reason,analytical_extraction_runs,bounded_metadata_preview,bounded_structure_summary,byte_size,canonical_final_url,canonical_locator_id,content_disposition,department_scope,detected_file_type,download_http_status,final_administrative_source_type,final_download_url,final_priority_bucket,gabriel_calls,hosted_search_calls,implementation_event_deduplication_rerun,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,locator_host,municipality,ocr_runs,official_source_flag,original_filename,period,primary_content_family,prior_administrative_source_type,readiness_hint,request_count,retained_source_id,retrieved_timestamp,retry_count,secondary_content_families,side_scope,source_quality,source_review_id,source_review_lane_id,source_review_lane_sequence,source_review_reason,source_review_status,state,candidate_title,candidate_snippet,original_requested_urls,expected_claim_upgrade_tags
application/pdf;charset=UTF-8,30554a80c11b162efa61ae28db74d3ce95909b01a6ddc3bb15f3fd605894b36d,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.7""}",1726697,https://services.austintexas.gov/edims/document.cfm?id=435401,EXTLOC-0002ef6a3fa2c4c0bab3c046,"inline; filename=""20240828-AFC005, Agenda Backup: Draft Report.PDF""",unclear,pdf,200,salary_schedule,https://services.austintexas.gov/edims/document.cfm?id=435401,high,0,0,False,RESCAND-37624f482396e863643ac843,,MECHEXP-0a38c4ac28a51c244888c487|MECHEXP-70cc48aee65892b1b1f8e72a|MECHEXP-89673c339206942ed001d5c3|MECHEXP-f7ee9cf7febd7a20bf287008,ROOTCOMP-3b834027b3192e3098816e18,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/30554a80c11b162efa61ae28db74d3ce95909b01a6ddc3bb15f3fd605894b36d.pdf,services.austintexas.gov,Austin,0,true,document.cfm,2019,multi_family_administrative_source,salary_schedule,parse_text_pdf_candidate,2,EXTSOURCE-beae5fff54089ac7cd581be0,2026-08-05T17:05:34.278626+00:00,1,implementation_confirmation|recruitment_and_retention|staffing_and_headcount,unclear,direct_official_administrative_record,EXTSRCREV-dcfd5e820679d2a9acb22ea4,source_review_lane_002,386,supported source format and plausible administrative metadata,retained_pdf,MN,,"I searched for **Austin, MN** “**2019**” municipal admin-record metadata targets around **HR, adopted budget/pay plan, recruitment & compensation studies, and turnover/retention/vacancy duration**—but I did **not** find a clearly indexed single **2019** “HR report / adopted budget / pay plan / recruitment & compensation studies” bundle that explicitly contains the **missing fields** you listed (unclear applicant counts, turnover, retention, vacancy duration, recruitment, compensation studies **b",https://services.austintexas.gov/edims/document.cfm?id=435401,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis
text/html; charset=UTF-8,e1d32350469a69eab9ecf5ab0f3f1bb9835298ecac1e4a3a3f6a44610b9b56c5,retained prior type,0,"State of Ohio County Subdivisions - Current/ACS25 - Data as of January 1, 2025 State of Ohio County Subdivisions - Current/ACS25 - Data as of January 1, 2025 MTFCC OID GEOID STATE COUNTY COUSUB COUSUBNS BASENAME NAME LSADC FUNCSTAT COUSUBCC AREALAND AREAWATER UR CNECTA NECTA NECTADIV CENTLAT CENTLON INTPTLAT INTPTLON G4040 27690416714758 3900108350 39 001 08350 01085674 Bratton Bratton township 44 A T1 83267687 48560 +39.0074725 -083.4486277 +39.0080544 -083.4383333 G4040 27690416714759 3900109722 39 001 09722 01085675 Brush Creek Brush Creek township 44 A T1 107426793 42684 +38.7913571 -083.3","{""bounded_link_count"": 0, ""bounded_visible_character_count"": 87965, ""html_title"": ""State of Ohio County Subdivisions - Current/ACS25 - Data as of January 1, 2025""}",1430603,https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_cousub_oh.html,EXTLOC-0003eae2bf79263499bf7b6c,,unclear,html,200,payroll_roster,https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_cousub_oh.html,high,0,0,False,RESCAND-068c815d2af2316bcf7bc8f5,,MECHEXP-0538d2cac109f3004d8e4512|MECHEXP-5a5a668edd0d0f10a96fbbb1|MECHEXP-621b41debd2c328ff3264c39|MECHEXP-759af4dda043a6fd119f8f32|MECHEXP-79733390ea43dfa998da06ac|MECHEXP-835b6295201c3198d3523daa|MECHEXP-837545daf9364cfd4a64b210|MECHEXP-c23e05950c8616e24c580955|MECHEXP-ce7eebb7a1a34397863e9f52|MECHEXP-f7ae07c6e3e46a15f6f36d20,ROOTCOMP-457740160d576f894d9c7fbb|ROOTCOMP-6ae7e03e9ca6319e1620d352,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/e1d32350469a69eab9ecf5ab0f3f1bb9835298ecac1e4a3a3f6a44610b9b56c5.html,tigerweb.geo.census.gov,Chester,0,true,tigerweb_acs25_cousub_oh.html,2025,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-6c9bab249da433357dca5e18,2026-08-05T17:13:04.075586+00:00,0,implementation_confirmation|payroll_and_earnings|tenure_and_progression,unclear,official_administrative_summary,EXTSRCREV-8f29050a5b86f6675f446dd0,source_review_lane_003,452,bounded HTML shell contains plausible administrative source signal,retained_html,OH,,"I attempted metadata-only candidate discovery for the target you specified: - **Municipality:** “Chester”, **OH** - **Period:** **2025** - **Side:** unclear - **Event:** unclear - **Missing field:** employee tenure / step placement / rank progression / promotion timing; and “incumbent and new-hire tier retroactivity_implementation” - **Source-family targets:** municipal payroll/open data; adopted budget; HR report; Census/USDA official municipal administrative record ## Result: no eligible “Ches",https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_cousub_oh.html,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim
text/html; charset=utf-8,11aae5c0e52ea80a6236e8309ff625e1e45482c4e1034b69942550b4cbdc3f90,bounded shell/title/filename rule,0,"Recruitment and Retention Plan | City of Duluth, MN Skip to main content Skip to Footer Jobs Calendar City Maps Contact Us Government Mayor's Office City Council City Administrator Boards & Commissions City Budget City Ordinances Public Meetings Voting/Elections Residents General City Council City Maps Human Rights Parking Permits & Licenses Road Closures Snow Emergency Utility Service Workforce Development Recreation DECC Duluth Golf Lake Superior Zoo Library Outdoor Recreation Map Parks & Recreation Parks & Recreation Programs Park Listings Spirit Mountain Public Safety Police Department Fir","{""bounded_link_count"": 131, ""bounded_visible_character_count"": 16934, ""html_title"": ""Recruitment and Retention Plan | City of Duluth, MN""}",44585,https://duluthmn.gov/police-recruitment/recruitment-and-retention-plan/,EXTLOC-00080a27bff6e5d09bf038de,,fire,html,200,ordinance_or_resolution,https://duluthmn.gov/police-recruitment/recruitment-and-retention-plan/,high,0,0,False,EXTCAND-246f7f9f4ec5d4e88cecc40f,,MECHEXP-a218f7cdbba1c2deb970ee88|MECHEXP-d55365c561b631e7d1748486|MECHEXP-ecb1df6c7c858c185a14d7af|MECHEXP-fc2035b209cf3b209b40d33d,ROOTCOMP-ede0b54ac4d8b9a6da0bdfd6,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11aae5c0e52ea80a6236e8309ff625e1e45482c4e1034b69942550b4cbdc3f90.html,duluthmn.gov,Duluth,0,true,recruitment-and-retention-plan,2025,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-691e73cadacaf8de8f87c3c3,2026-08-05T16:56:10.309827+00:00,0,implementation_confirmation|recruitment_and_retention,fire,official_administrative_summary,EXTSRCREV-56eb28b13a52b290ec592b02,source_review_lane_001,155,bounded HTML shell contains plausible administrative source signal,retained_html,MN,,"## Likely official / primary administrative source types for Duluth, MN “2025 payroll / salaries / overtime / budget / pay plan” metadata Based on live search results for Duluth MN and the typical places such data is administered/published, the most relevant *source types* are: 1. **City of Duluth “2025 Budget Book” / adopted budget documents (administrative budget + FTE/authorized positions)** - ",https://duluthmn.gov/police-recruitment/recruitment-and-retention-plan/,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis
text/html;charset=utf-8,e0b73385e23f69895f762accf1286d8dff62394fd47d25013ec19ac899adb7ac,retained prior type,0,Request for Proposals – Fireworks Home Community Community Calendar Demographics Residents Citizen Action Line Garbage & Recycling Services Golf Cart Registration Hospitals HyperReach Local Links Schools Transportation Utilities Village History Visitors Destination Antioch Visit Lake County Antioch Chamber of Commerce Enjoy Antioch Lake County Forest Preserve District News News - 2025 News - 2024 May 2024 April 2024 March 2024 February 2024 January 2024 News - 2023 December 2023 November 2023 October 2023 September 2023 August 2023 July 2023 June 2023 May 2023 April 2023 March 2023 February 20,"{""bounded_link_count"": 383, ""bounded_visible_character_count"": 15590, ""html_title"": ""Request for Proposals – Fireworks""}",231255,https://www.antioch.il.gov/request-for-proposals-fireworks,EXTLOC-000e0b03a6f3b475409ba63f,,side_independent,html,200,staffing_table,https://www.antioch.il.gov/request-for-proposals-fireworks,high,0,0,False,EXTCAND-377cf306560fbb9682bb79c6,,MECHEXP-0aa669df0e58a004f8e3e612|MECHEXP-55c417930ea6c042a97bee01|MECHEXP-65c7c33e192928b21860d6ae|MECHEXP-9d8e5f68eb53597278bbf0f9,ROOTCOMP-22f4e3210f2cf24b6fbcf6fd,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/e0b73385e23f69895f762accf1286d8dff62394fd47d25013ec19ac899adb7ac.html,www.antioch.il.gov,Elwood,0,true,request-for-proposals-fireworks,2020,multi_family_administrative_source,staffing_table,html_text_candidate,1,EXTSOURCE-84b7d09b8cf3ac55eaba0365,2026-08-05T17:13:18.499384+00:00,0,benefits_and_total_compensation|implementation_confirmation|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,side_independent,official_administrative_summary,EXTSRCREV-6bb207d8853d4402e8943e29,source_review_lane_003,519,bounded HTML shell contains plausible administrative source signal,retained_html,IL,,"I searched for **official/primary administrative sources** that would plausibly contain “Elwood, IL” **(2020)** data related to **pay, salary step schedules, overtime, authorized positions, vacancies/staffing/recruitment/retention/turnover**, and related items like **ordinances/resolutions/pay plans** and **pension/health contributions/compensation studies**. The results I received did **not** sur",https://www.antioch.il.gov/request-for-proposals-fireworks,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison
application/pdf,584157f3e30d44211700e04703e31448846464343643c20fac461fb97d23d555,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.6""}",95202,https://dol.ny.gov/system/files/documents/2024/08/warn-rescission-southern-tier-corelle-brands-7.22.24-2024-0024.pdf,EXTLOC-0010aa576bab6b07c17b528e,,fire,pdf,200,payroll_roster,https://dol.ny.gov/system/files/documents/2024/08/warn-rescission-southern-tier-corelle-brands-7.22.24-2024-0024.pdf,high,0,0,False,RESCAND-8f0deaa0903dfd5cea0fdb16,,MECHEXP-11aa3f0b5c5c93a8e4ef38c0|MECHEXP-56c7c308a2ffb0e82a868c42|MECHEXP-6ddd2fe0338d005a6a4a6f0f|MECHEXP-77d7d719ac330855cb3e31cc|MECHEXP-8be2fb65a89887e288dc7c08|MECHEXP-a2564ada3616a1d3b514b5c4|MECHEXP-c72ef61dfca4eb7922df1c13|MECHEXP-d7e9c85a84c8d988b4df715e|MECHEXP-f438cbd2c10defcdd25de864,ROOTCOMP-1f62e1ffd794397af42acc51|ROOTCOMP-3204a12657ec064cee54480a,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/584157f3e30d44211700e04703e31448846464343643c20fac461fb97d23d555.pdf,dol.ny.gov,Corning,0,true,warn-rescission-southern-tier-corelle-brands-7.22.24-2024-0024.pdf,2024,multi_family_administrative_source,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-57270ec8741a1396b9fdbc25,2026-08-05T17:12:14.112307+00:00,0,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,fire,direct_official_administrative_record,EXTSRCREV-793648aa26d55288e984ae41,source_review_lane_003,166,supported source format and plausible administrative metadata,retained_pdf,NY,,"I performed live, metadata-only candidate discovery for: - **Municipality:** Corning, **NY** - **Period:** **2024** - **Side:** **fire** - **Event/Topic:** “authorized positions, filled positions, vacancy rate, layoffs, attrition” - **Missing fields target:** “budget_pay_plan, municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record” - **Source-family target:** municipal administrative records / HR & budget documentation / payroll/open data / o",https://dol.ny.gov/warn-rescission-southern-tier-corelle-brands-7.22.24-2024-0024,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis
text/html; charset=utf-8,e0ddf6afb19e899390be4da4c23975046d699295e6b2152b9d37b90e9a0f82ca,retained prior type,0,Loading... The URL can be used to link to this page Your browser does not support the video tag.,"{""bounded_link_count"": 0, ""bounded_visible_character_count"": 279, ""html_title"": """"}",3363,https://documents.batesvillearkansas.gov/WebLink/DocView.aspx?dbid=0&id=3957&page=1,EXTLOC-0013b48ff7e0ec36b6e5a6b4,,unclear,html,200,other,https://documents.batesvillearkansas.gov/WebLink/DocView.aspx?dbid=0&id=3957&page=1&cr=1,medium,0,0,False,RESCAND-f25daf721858e74eed960436,,MECHEXP-29676d60821df46fb5e613b5|MECHEXP-668feb10a6f93ace893681b8|MECHEXP-a53ad9b68406eb9dc29be5a5|MECHEXP-c7719ce5cc6a515f5532cbad,ROOTCOMP-226c66c47fffae6c84293edf,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/e0ddf6afb19e899390be4da4c23975046d699295e6b2152b9d37b90e9a0f82ca.html,documents.batesvillearkansas.gov,Batesville,0,true,DocView.aspx,undated-source-CBSRD-20260728-229e87b6cec1a609381b,unclear,other,html_text_candidate,1,EXTSOURCE-742e0ae9df1909fa68e02818,2026-08-05T17:24:08.012447+00:00,0,,unclear,official_administrative_summary,EXTSRCREV-799771316f0c19336e437ba7,source_review_lane_003,5006,bounded HTML shell contains plausible administrative source signal,retained_html,AR,,"## Metadata-only candidate discovery (no URL verification / no downloads) ### Target “Batesville” + “AR” (municipal record family: council/admin records) **Municipality:** City of Batesville, Arkansas ([batesvillearkansas.gov](https://www.batesvillearkansas.gov/City-Documents/Minutes?utm_source=openai)) **Period:** unclear (candidate matches are found across multiple years; specific field likely needed in the source query, but not provided) **Side:** unclear (no jurisdictional “side” field suppl",https://documents.batesvillearkansas.gov/WebLink/0/doc/3957/Page1.aspx,no_material_upgrade
text/html; charset=utf-8,1e71b6469d9a2d194df5674bfd705538828b634900d0937f73bc01f47e355ffc,retained prior type,0,"Welcome to the Official Website of Iowa County, WI - Village of Arena Skip to main content Welcome To Iowa County Wisconsin --> --> DEPARTMENTS GOVERNMENT SERVICES SERVICES COMMUNITY COMMUNITY EXPLORE EXPLORE GOVERNMENT / Villages / Village of Arena Village of Arena Village of Arena Official Website Officials President - Paul Pustina Phone: (608) 574-0589 408 Dalogasa Dr Arena, WI 53503 Email: p.pustina@villageofarena.net Trustee - Joseph Hipsky Phone: (608) 588-5372 411 David Cir Arena, WI 53503 Email: j.hipsky@villageofarena.net Trustee - Matthew Schroeder Phone: (608) 438-6844 721 Willow St","{""bounded_link_count"": 23, ""bounded_visible_character_count"": 2779, ""html_title"": ""Welcome to the Official Website of Iowa County, WI - Village of Arena""}",106082,https://www.iowacountywi.gov/village-of-arena,EXTLOC-0019261c9aef73e4f1e63874,,unclear,html,200,payroll_roster,https://www.iowacountywi.gov/village-of-arena,high,0,0,False,RESCAND-1128e5952d1944fc5a478317,,MECHEXP-3673b93a4b90c18e866c3a1e|MECHEXP-4d913edbcc19c497ebdad74e|MECHEXP-5d3e83c5308517deef6be31a|MECHEXP-82fb71329280cad01682b380,ROOTCOMP-fb67b4765ced2688b4ea08ee,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1e71b6469d9a2d194df5674bfd705538828b634900d0937f73bc01f47e355ffc.html,www.iowacountywi.gov,Arena,0,true,village-of-arena,2022,payroll_and_earnings,payroll_roster,html_text_candidate,1,EXTSOURCE-24aa2de59966df29c8324b48,2026-08-05T17:06:26.490222+00:00,0,implementation_confirmation,unclear,official_administrative_summary,EXTSRCREV-722be54c7ac22ba6fe4dda6a,source_review_lane_002,698,bounded HTML shell contains plausible administrative source signal,retained_html,WI,,"I searched for **metadata-only candidate discovery** for: **“Arena” + WI + 2022** with your target fields (**unclear payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation, budget_pay_plan, municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record**), and for the **Municipality/Period/Side/Event/Missing field/Source-family** you provided. I did **not** verify or download candidate URLs beyon",https://www.iowacountywi.gov/village-of-arena,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim
application/pdf,7eacd7577462ffbd665e8e8724f746b4589b1a8dce3748ab028207353703e519,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.7""}",9337106,https://www.ci.becker.mn.us/AgendaCenter/ViewFile/Agenda/_10072025-503,EXTLOC-001ead10ae1115a171b19acc,inline;filename=10 07 2025 City Council Agenda Packet - UPDATED.pdf,unclear,pdf,200,payroll_roster,https://www.ci.becker.mn.us/AgendaCenter/ViewFile/Agenda/_10072025-503,high,0,0,False,RESCAND-9fc7f08e832aaf88b75d00c0,,MECHEXP-b40ce5062de366b25a622d54|MECHEXP-b7527ac401858e4516f1a248|MECHEXP-b8207bf84bde02b51a1e8fef|MECHEXP-e99b2441d47fd662a37324f3|MECHEXP-f20061f59c083756d3f56277,ROOTCOMP-b90e5f2a768fb33454466796,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7eacd7577462ffbd665e8e8724f746b4589b1a8dce3748ab028207353703e519.pdf,www.ci.becker.mn.us,Becker,0,true,_10072025-503,2018,multi_family_administrative_source,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-785463c02d7c26cd042f5868,2026-08-05T17:21:21.256062+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,direct_official_administrative_record,EXTSRCREV-191c9a118a6655cd796b570e,source_review_lane_004,568,supported source format and plausible administrative metadata,retained_pdf,MN,,"I found **candidate URL metadata** for your pattern (**municipality=Becker, MN; period=2018; target side=municipal payroll/open data + adopted budget + HR report; missing fields=unclear pension contributions; health-cost shares; leave; premium eligibility/take-up; minimum-staffing overtime effects; retroactivity/implementation**). I did **not** verify or download. ## Candidate pages (metadata-only) 1) **Becker, MN — City Council agendas (2018 archive entry point)** - Source family: municipal adm",https://www.ci.becker.mn.us/AgendaCenter/ViewFile/Agenda/_10072025-503,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison
text/html; charset=UTF-8,ed2a11d5ce8295cbac019b46b97696b2ed864623453d160c7cb7e9c111be8980,retained prior type,0,NV Pay Plan - FY2026-2027 - Henrico HR Skip to content Search Search Home Employment Capabilities Forms Library Internship Program Job Information Class Specifications Job Descriptions New Hire Resources Benefits Enrollment Guide Benefits Information & Forms Employment and Payroll Forms Get to Know Henrico County Payment Information Military Personnel Payroll Calendars When I Leave Employment Performance Appraisals Policies and Procedures Workplace Safety Claims / Workers’ Compensation Occupational Health & Safety Policy Safety Manual Your Information Employment and Salary Verifications Second,"{""bounded_link_count"": 145, ""bounded_visible_character_count"": 63054, ""html_title"": ""NV Pay Plan - FY2026-2027 - Henrico HR""}",205474,https://employees.henrico.gov/nv-pay-plan-fy2025-2026/,EXTLOC-0021c1e207eb9af43a6dd9e6,,police,html,200,payroll_roster,https://employees.henrico.gov/nv-pay-plan-fy2025-2026/,high,0,0,False,RESCAND-e62373e238a900ddb03bb62f,,MECHEXP-18ccf2a57ac329e71dd4b21f|MECHEXP-193881fc5a3002c3f8bfb85e|MECHEXP-4a4f2f9244228151bd374e5c|MECHEXP-5d9eb770e2d7f491283fe9b1|MECHEXP-61d1b55ef49134ee435984b9|MECHEXP-6d9188b6a5aa490289542e00|MECHEXP-7005320e9accbfa8b796143f|MECHEXP-a72e6767e478f2f3c0b50322|MECHEXP-b171de9eb51464024a86ed71|MECHEXP-f1075cc7c1936fd9b1dc5eb7,ROOTCOMP-0958449300948a6a0195e4d2|ROOTCOMP-19257741fd93963dcff0bfb8,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ed2a11d5ce8295cbac019b46b97696b2ed864623453d160c7cb7e9c111be8980.html,employees.henrico.gov,Brewster,0,true,nv-pay-plan-fy2025-2026,2026,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-9cbf1e8799f9b150effe8c6b,2026-08-05T16:56:11.700948+00:00,0,implementation_confirmation|payroll_and_earnings,police,official_administrative_summary,EXTSRCREV-edeb8181ced7dedaad11a1e8,source_review_lane_001,168,bounded HTML shell contains plausible administrative source signal,retained_html,OH,,"I ran live web discovery for **Brewster, OH (2026)** targeting **police employee tenure, step placement, rank progression, promotion timing, and incumbent/new-hire tier retroactivity implementation** using **municipal payroll/open data, adopted budget, HR reports, and other official municipal administrative records**. ## Candidate URLs (metadata-only; not verified/downloaded) I did **not** open or verify these beyond metadata snippets shown in search results: 1) **Village of Brewster, Ohio — “11",https://employees.henrico.gov/nv-pay-plan-fy2025-2026/,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim
text/html; charset=UTF-8,078719b2e29ce7ebeabc59396df3b265d0299b330b9bf4903053aab85db20944,retained prior type,0,"190868 | Portland.gov Skip to main content important alert danger Heat and smoke advisories through Wednesday The combination of heat and smoke can be very dangerous. Help your neighbors be informed and safe when it's hot and smoke is in the air . informational alert information Portland and the federal government Learn about our sanctuary city status, efforts to block federal overreach: Portland.gov/Federal Search Search Search search close Menu General information Advisory groups Groups, boards, and commissions. Bureaus and offices City departments. Calendar of events Events, public meetings","{""bounded_link_count"": 47, ""bounded_visible_character_count"": 19091, ""html_title"": ""190868 | Portland.gov""}",70437,https://www.portland.gov/council/documents/ordinance/passed/190868,EXTLOC-002457e05388bd311549a646,,fire,html,200,payroll_roster,https://www.portland.gov/council/documents/ordinance/passed/190868,high,0,0,False,EXTCAND-43d2dd3447bb9e28af049273,,MECHEXP-0a43b1878edb583081008d3d|MECHEXP-0c7c6e06823ed4358ccd68b8|MECHEXP-79d6625523d61c7755767973|MECHEXP-a178a3b0ee24e084fbce670b,ROOTCOMP-4b64b9065448bd03cc57d4fb,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/078719b2e29ce7ebeabc59396df3b265d0299b330b9bf4903053aab85db20944.html,www.portland.gov,Ogunquit,0,true,190868,2022,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-47c8ca5dab7db3faaddf1718,2026-08-05T17:22:13.102796+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,fire,official_administrative_summary,EXTSRCREV-1e506a5f505a7a7b8c109fae,source_review_lane_004,815,bounded HTML shell contains plausible administrative source signal,retained_html,ME,,"Below are **likely official/primary source types** to target for an *Ogunquit, ME “2022” metadata-only discovery* involving **payroll/salaries/earnings/overtime, budget-authorized positions, vacancies/staffing/recruitment/retention/turnover, salary step schedules, pay plans, pension and health contributions, compensation studies, and ordinance/resolution authority**. ### 1) Town of Ogunquit admini",https://www.portland.gov/council/documents/ordinance/passed/190868,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison
