MIME_type,SHA_256,administrative_source_type_change_reason,analytical_extraction_runs,bounded_metadata_preview,bounded_structure_summary,byte_size,canonical_final_url,canonical_locator_id,content_disposition,department_scope,detected_file_type,download_http_status,final_administrative_source_type,final_download_url,final_priority_bucket,gabriel_calls,hosted_search_calls,implementation_event_deduplication_rerun,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,locator_host,municipality,ocr_runs,official_source_flag,original_filename,period,primary_content_family,prior_administrative_source_type,readiness_hint,request_count,retained_source_id,retrieved_timestamp,retry_count,secondary_content_families,side_scope,source_quality,source_review_id,source_review_lane_id,source_review_lane_sequence,source_review_reason,source_review_status,state
text/html; charset=UTF-8,15a6e48ab6dd50ab8831116cf66dc70112be9c2d4ff273b3fc9a566461a119d0,retained prior type,0,"""Mass exodus? Police officer turnover intention and organizational comm"" by Kenneth M. Quick and Kevin T. Wolff --> Home Search Browse Colleges, Schools, Centers My Account About Digital Commons Network™ Skip to main content Home About FAQ Contact My Account < Previous Next > Home > John Jay College of Criminal Justice > Publications and Research > 544 Publications and Research Mass exodus? Police officer turnover intention and organizational commitment in New York City Authors Kenneth M. Quick , DeSales University Follow Kevin T. Wolff , CUNY John Jay College Follow Document Type Article Publ","{""bounded_link_count"": 57, ""bounded_visible_character_count"": 6023, ""html_title"": ""\""Mass exodus? Police officer turnover intention and organizational comm\"" by Kenneth M. Quick and Kevin T. Wolff""}",38452,https://academicworks.cuny.edu/jj_pubs/544/,EXTLOC-eb8a850cae1a3ce1976b53dd,,police,html,200,payroll_roster,https://academicworks.cuny.edu/jj_pubs/544/,high,0,0,False,RESCAND-2ba063b119563c3126840978,,MECHEXP-0fccd463bac835b84852e7be|MECHEXP-2e679c7a7da4a3f782e96695|MECHEXP-547c52d837b62fd547140081|MECHEXP-66898fb859213d2af1cf5295|MECHEXP-6c2253bc9d4cca3e0bde4b42|MECHEXP-c684b575b14681949deba3f8|MECHEXP-c70b519a1e777fc65ff0e367|MECHEXP-ebf47b6a65e20a45e5e1791c,ROOTCOMP-2666daf35378930cc6e3d25e|ROOTCOMP-5b6d9c186c06f057333aa901|ROOTCOMP-dd462b82c9da72e0bf6091a7,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/15a6e48ab6dd50ab8831116cf66dc70112be9c2d4ff273b3fc9a566461a119d0.html,academicworks.cuny.edu,Colonie,0,true,544,2024,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-2c98ea7a379803127949f2dd,2026-08-05T17:19:42.012256+00:00,0,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,official_administrative_summary,EXTSRCREV-a6fbcd290e09dca253c7d081,source_review_lane_004,2,bounded HTML shell contains plausible administrative source signal,retained_html,NY
text/html; charset=utf-8,ce6ee5871d7b5dcc35042c592b1ddb1d4d52bfd7c8cd5db737c4e63069aa817e,retained prior type,0,"HRM Skip to Main Content Alabama Department of Finance State Business Systems SBS Home SBS Training Registration Report Accessibility Issues We are committed to ensuring this website is accessible to all users and follow the Web Content Accessibility Guidelines (WCAG) 2.1 Level AA to improve accessibility and usability for everyone. If you experience any difficulty in accessing any part of this website, please feel free to submit an inquiry through our email at ADACompliance@finance.alabama.gov HRM HRM is a modern web-based solution for payroll functionality such as employee classifications, d","{""bounded_link_count"": 8, ""bounded_visible_character_count"": 2800, ""html_title"": ""HRM""}",7789,https://alhrm.alabama.gov/,EXTLOC-7e1a16b0860578b331cb29c3,,unclear,html,200,payroll_roster,https://alhrm.alabama.gov/,high,0,0,False,RESCAND-0238f4907be14e297360fe90,,MECHEXP-1ca82045a0c45aa7aaadfa90|MECHEXP-240f50ca2b25f6513ce7d64d|MECHEXP-5ac83264c596e7b931751ab7|MECHEXP-8df093a88d817e99ff0a8b8d|MECHEXP-ef0d4a3d3d7dca7591b55353,ROOTCOMP-4bf8e0842357958edb258979,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ce6ee5871d7b5dcc35042c592b1ddb1d4d52bfd7c8cd5db737c4e63069aa817e.html,alhrm.alabama.gov,Brundidge,0,true,,2025,payroll_and_earnings,payroll_roster,html_text_candidate,1,EXTSOURCE-ddfecf532749ee6b053c7146,2026-08-05T17:19:42.328678+00:00,0,implementation_confirmation,unclear,official_administrative_summary,EXTSRCREV-5bcbf73459897da6e7bd8ce3,source_review_lane_004,13,bounded HTML shell contains plausible administrative source signal,retained_html,AL
text/html; charset=UTF-8,4f05631844c6bde02445df744fc1a5074fe0a5a358d803f079d5dc7291ef167b,retained prior type,0,"County Budget – Alleghany County, North Carolina Skip to content CALL US: 336-372-4179 Announcements Employment Announcements County Holidays Commissioners Board of Commissioners Meeting Schedule Minutes & Agendas Watch Meetings Departments Administration Alleghany in Motion Communications Elections Emergency Management Emergency Medical Services Finance Office GIS Human Resources Information Technology Kitchen NC Cooperative Extension Planning & Inspection Public Works Recreation Register of Deeds Sheriff’s Office Social Services Soil & Water Conservation Tax Office Transfer Station Veterans ","{""bounded_link_count"": 90, ""bounded_visible_character_count"": 3749, ""html_title"": ""County Budget – Alleghany County, North Carolina""}",73730,https://alleghanycounty-nc.gov/county-budget/,EXTLOC-cf24e99ed9a825fb99333425,,unclear,html,200,payroll_roster,https://alleghanycounty-nc.gov/county-budget/,high,0,0,False,RESCAND-87c15b4e759f714b210acbe7,,MECHEXP-423137edf60768faef56891e|MECHEXP-52eaae2c29273569511a9634|MECHEXP-772a605c88673f389bb96d5e|MECHEXP-884822f3e2c047e685b45542|MECHEXP-ce169c2c4d5e0193d15f68af,ROOTCOMP-98b1eda04e1a076a0e19bba4,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f05631844c6bde02445df744fc1a5074fe0a5a358d803f079d5dc7291ef167b.html,alleghanycounty-nc.gov,Belville,0,true,county-budget,2022,payroll_and_earnings,payroll_roster,html_text_candidate,1,EXTSOURCE-3a6c35452df8feec72e1c517,2026-08-05T17:19:42.754364+00:00,0,implementation_confirmation,unclear,official_administrative_summary,EXTSRCREV-014cd06fd3490367a5e44f14,source_review_lane_004,14,bounded HTML shell contains plausible administrative source signal,retained_html,NC
text/html; charset=utf-8,1fec757692122801108f2f26cf545c7f08dc9427f9a7681cd9fc5cff693fdcd8,retained prior type,0,"The City Record Online (CROL) | 404 Error You are using an UNSUPPORTED version of browser, please try to update your browser. City Record 311 Search all NYC.gov websites Home Sections Agency Rules Contract Award Hearings Court Notices Procurement Property Disposition Public Comment on Contract Awards Public Hearings and Meetings Special Materials User's Guide CROL User Manual City Agency Acronyms Common Abbreviations Source Selection Methods Key About The City Record Online FAQ Contact Us Print Edition Latest Edition All Print Editions Subscriptions Log In Sign Up Advanced 404 Error Sorry, but","{""bounded_link_count"": 46, ""bounded_visible_character_count"": 12074, ""html_title"": ""The City Record Online (CROL) | 404 Error""}",23410,https://a856-cityrecord.nyc.gov/Error/Error404?aspxerrorpath=%2FRequestDetail%2F20260122009,EXTLOC-be1776741240d49903e42781,,unclear,html,200,payroll_roster,https://a856-cityrecord.nyc.gov/Error/Error404?aspxerrorpath=%2FRequestDetail%2F20260122009,high,0,0,False,RESCAND-9d95f141f473744e140bf0f3,,MECHEXP-22a220a728fb8642e8efedda|MECHEXP-9901b0dd8fb2ee4382cef415|MECHEXP-cd37e6cdcafccf9b2bf28ad1|MECHEXP-d54df36ba5a25ae904b78d99,ROOTCOMP-566dd54168967470cf0b58ce,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1fec757692122801108f2f26cf545c7f08dc9427f9a7681cd9fc5cff693fdcd8.html,a856-cityrecord.nyc.gov,Avoca,0,true,Error404,undated-source-BRMGRS-20260802-53e1dbd8f0755d69d5937c50,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-01a4c03f34a703f054153c0b,2026-08-05T17:19:42.870230+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,official_administrative_summary,EXTSRCREV-f4a25e26554390503c161696,source_review_lane_004,1,bounded HTML shell contains plausible administrative source signal,retained_html,NY
text/html,26adf135cdcd7e6490207594abdb4d7046049d05c3872bc06a80f8e5c5d37a6a,retained prior type,0,"Town Meeting warrants/minutes and video files - Town Meeting warrants + Town Reports + Annual Audits - Alna, ME Skip to main content search menu Search Home Services Government Select Board, Assessors, and Board of Overseers Current Board Selectboard meeting agendas & ZOOM links Past meeting minutes/videos Planning Board Current Board Planning Board agendas & applications Planning Board minutes Planning Board video links to past meetings Code Enforcement Officer Reports Resources Bylaws Past Applications and Permits Shoreland Zoning Map Land Use Ordinance (formerly Building Code Ordinance) Sol","{""bounded_link_count"": 166, ""bounded_visible_character_count"": 6565, ""html_title"": ""Town Meeting warrants/minutes and video files - Town Meeting warrants + Town Reports + Annual Audits - Alna, ME""}",30725,https://alna.maine.gov/index.asp?DE=A9AF622C-3F4D-4245-B5EC-83473AEBA05E&SEC=FC3D488C-A43A-4089-A2D4-90AB0F3F5478,EXTLOC-f9414f12969862c96f9dd32b,,all_units,html,200,payroll_roster,https://alna.maine.gov/index.asp?DE=A9AF622C-3F4D-4245-B5EC-83473AEBA05E&SEC=FC3D488C-A43A-4089-A2D4-90AB0F3F5478,high,0,0,False,EXTCAND-9c0fc8c0695b96a739a3d57f,,MECHEXP-59a93232b263a969758b6c5e|MECHEXP-755ba5a9149fb39ef7fbdb41|MECHEXP-c3ec241ed5ced9c578995cec|MECHEXP-f6f46ab44b9395ac7d9685c1,ROOTCOMP-ee02f67ab9e4334a96da2cbe,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/26adf135cdcd7e6490207594abdb4d7046049d05c3872bc06a80f8e5c5d37a6a.html,alna.maine.gov,Newcastle,0,true,index.asp,2023,payroll_and_earnings,payroll_roster,html_text_candidate,1,EXTSOURCE-6cd001f58b290a5e47e40cfd,2026-08-05T17:19:43.325966+00:00,0,,all_units,official_administrative_summary,EXTSRCREV-4f75df1ef74c76c3a5a3e32b,source_review_lane_004,16,bounded HTML shell contains plausible administrative source signal,retained_html,ME
application/pdf,7a994ffdf5c895b6d489f20b7e3f31e4c09d474614dc029cddf6c8b0134438a9,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.7""}",1244448,https://allendalemi.gov/wp-content/uploads/2025/11/11-24-2025-Board-Packet.pdf,EXTLOC-544ec2321aa8643fddaf51f8,,unclear,pdf,200,payroll_roster,https://allendalemi.gov/wp-content/uploads/2025/11/11-24-2025-Board-Packet.pdf,high,0,0,False,RESCAND-0661460701b5ecc2719b7dfe,,MECHEXP-740de3ec351913151ee0ac97|MECHEXP-bdeb3fd11deeb96b724b6aa9|MECHEXP-e883c27e8f542f27847c672c|MECHEXP-faa4f2535fd46fb0eaa7f80a,ROOTCOMP-3217f1650f2ef8694d0aad14,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7a994ffdf5c895b6d489f20b7e3f31e4c09d474614dc029cddf6c8b0134438a9.pdf,allendalemi.gov,Alaiedon,0,true,11-24-2025-Board-Packet.pdf,2022,multi_family_administrative_source,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-46e9003f6566d0e764dd479c,2026-08-05T17:19:43.435950+00:00,0,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,unclear,direct_official_administrative_record,EXTSRCREV-611f81f165300963c7a038ba,source_review_lane_004,15,supported source format and plausible administrative metadata,retained_pdf,MI
text/html; charset=utf-8,a96cf394d6576e5e920e276f39e49adcc11181edda11ecc40006cc3f711e99cb,retained prior type,0,"IDA Postings & PAAA | Amsterdam, NY Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Agencies Programs Resources Search IDA Postings & PAAA Postings required by the Public Authorities Accountability Act and Annual Reports by the AIDA are also found here. The AIDA meetings are typically held on the third Thursday of the month, at 5:30 p.m., in the AIDA offices, located at City Hall, 2nd Floor (61 Church Street, Amsterdam, NY). AIDA Financial Assistance Application AIDA Financial Application Fee Schedule Jobs for Amst","{""bounded_link_count"": 98, ""bounded_visible_character_count"": 9104, ""html_title"": ""IDA Postings & PAAA | Amsterdam, NY""}",99854,https://amsterdamny.gov/313/IDA-Postings-PAAA,EXTLOC-1c3cc7139709a597ffd5a7c3,,police|side_independent,html,200,payroll_roster,https://amsterdamny.gov/313/IDA-Postings-PAAA,high,0,0,False,EXTCAND-8372fa807a54ade6b173ab3e,,MECHEXP-03f09635e6e0a62ffeca2eb2|MECHEXP-0de5f72eb1f1811bbe667b69|MECHEXP-40abfaabc0257e73c207ecbb|MECHEXP-586655b8fbdb768efc5fae6e|MECHEXP-67d07711867aecc7c9011521|MECHEXP-6ec061468b92d38346856563|MECHEXP-c3045ccdd24bec8dae2df139|MECHEXP-dca1fd88c0c27a16270eecc6|MECHEXP-e6f426483368ea895be6023d,ROOTCOMP-30d038a3a748c0609825fca0|ROOTCOMP-3e2916f42abeb07f56562528,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/a96cf394d6576e5e920e276f39e49adcc11181edda11ecc40006cc3f711e99cb.html,amsterdamny.gov,Amsterdam,0,true,IDA-Postings-PAAA,2024,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-94763b122a3aa3aa72dd9a20,2026-08-05T17:19:43.947070+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police|side_independent,official_administrative_summary,EXTSRCREV-293ef6783eb3b50de0a1d1cf,source_review_lane_004,17,bounded HTML shell contains plausible administrative source signal,retained_html,NY
text/html; charset=utf-8,9c527f41b37aec2ae5146150f87fc9df1129ba0c5c175f4fe622e757dd9006d8,retained prior type,0,"Finance | Andover, MN - Official Website Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search Your Government Our Community City Services Community Center I Want To… Home Your Government Departments Finance Finance This department is responsible for administration of the city's financial affairs. This includes maintaining accounting records for all operations, custody and investment of funds, supervision of revenue collection and disbursements of city monies, administration of debt, payroll function, audit and bu","{""bounded_link_count"": 181, ""bounded_visible_character_count"": 14439, ""html_title"": ""Finance | Andover, MN - Official Website""}",136409,https://andovermn.gov/134/Finance,EXTLOC-cf304f8161367f962e5aeaf7,,unclear,html,200,payroll_roster,https://andovermn.gov/134/Finance,high,0,0,False,RESCAND-5bd1dbfe5fe957c814f95883,,MECHEXP-162eac562ec8d27962619dd4|MECHEXP-4fa34e31c7dd775a2d70f692|MECHEXP-5abc1e2d7ac46128c8aad6d9|MECHEXP-725e21f4b2ee13353af387ff|MECHEXP-8ec37c68cbaa344a19f0d901|MECHEXP-c64db1a074cd54d88f6649f2|MECHEXP-de479d675d843f1b1501afdf,ROOTCOMP-5fbb67e2a5c8c090f9e76bf6|ROOTCOMP-cff20665b1fa89333bdf9c9b,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9c527f41b37aec2ae5146150f87fc9df1129ba0c5c175f4fe622e757dd9006d8.html,andovermn.gov,Andover,0,true,Finance,2020,payroll_and_earnings,payroll_roster,html_text_candidate,1,EXTSOURCE-6e3ef9c5e4453858b2faee84,2026-08-05T17:19:44.051068+00:00,0,implementation_confirmation,unclear,official_administrative_summary,EXTSRCREV-df0455a27393416f6b8e9217,source_review_lane_004,18,bounded HTML shell contains plausible administrative source signal,retained_html,ME
application/pdf,29f134d9f98325a2c57ff631c9d86d195478a370dbf3f4da030a2c9ecb73190c,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.7""}",273391,https://aftonmn.gov/vertical/sites/%7B255148F5-88B9-45F6-9726-DD95D24AA11D%7D/uploads/09-16-2025_CC_APPROVED.pdf,EXTLOC-6048324c92e65a482818d992,,unclear,pdf,200,payroll_roster,https://aftonmn.gov/vertical/sites/%7B255148F5-88B9-45F6-9726-DD95D24AA11D%7D/uploads/09-16-2025_CC_APPROVED.pdf,high,0,0,False,RESCAND-cb6a1cd01435e666beb7208f,,MECHEXP-46950f8d865d4408df6a5948|MECHEXP-4c0df2778a00e479059ac5a9|MECHEXP-abac30929fbf97a7eb024387|MECHEXP-d3a1d849d8dea7cf564796ac|MECHEXP-d99a294b9f5bec8fd0a6e5de|MECHEXP-fa61f462cf001d06fc6fae1c,ROOTCOMP-9fdaf9b547fac53e2c57a4aa,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/29f134d9f98325a2c57ff631c9d86d195478a370dbf3f4da030a2c9ecb73190c.pdf,aftonmn.gov,Afton,0,true,09-16-2025_CC_APPROVED.pdf,2025,payroll_and_earnings,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-72ae0a7ec36e4d377779f6c0,2026-08-05T17:19:44.269195+00:00,0,implementation_confirmation,unclear,direct_official_administrative_record,EXTSRCREV-a5eb99d2cca51e46354ca337,source_review_lane_004,6,supported source format and plausible administrative metadata,retained_pdf,KS
text/html;charset=ISO-8859-1,fa246e08077ca46cc11835b82a329b6ed1cc5022bcd2dc25a0dcc24691ca2024,retained prior type,0,Water System Details Drinking Water Branch Links Water System Facilities Sample Schedules Coliform/Microbial Sample Results Coliform Sample Summary Results Lead And Copper Sample Summary Results Chem/Rad Samples/Results Chem/Rad Samples/Results by Analyte Violations/Enforcement Actions Site Visits Milestones Return Links Water Systems Water System Search County Map G lossary Water System Details Water System No. : VT0005106 Federal Type : C Water System Name : CANAAN FIRE DISTRICT 1 State Type : C Principal County Served : ESSEX Primary Source : GW Status : A Activity Date : 09-20-1989 Points ,"{""bounded_link_count"": 16, ""bounded_visible_character_count"": 6984, ""html_title"": ""Water System Details""}",28387,https://anrnode.anr.state.vt.us/DWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=397&tinwsys_st_code=VT&wsnumber=VT0005106,EXTLOC-e1404a8453e85946177b5863,,unclear,html,200,payroll_roster,https://anrnode.anr.state.vt.us/DWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=397&tinwsys_st_code=VT&wsnumber=VT0005106,high,0,0,False,RESCAND-131d7818c2fc215bd75ab8fb,,MECHEXP-1a2a364a78cff1199187f558|MECHEXP-b1843441d2e24e27274e2b10|MECHEXP-effd8f8cf699e8c4b9007f1e|MECHEXP-fda741a7d88234ec6f9660e9,ROOTCOMP-21e077ad3c36c8cc2947ef83,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/fa246e08077ca46cc11835b82a329b6ed1cc5022bcd2dc25a0dcc24691ca2024.html,anrnode.anr.state.vt.us,Canaan,0,true,WaterSystemDetail.jsp,2014,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-88b119c0aa28e2c0ee55bd25,2026-08-05T17:19:44.436554+00:00,0,implementation_confirmation|payroll_and_earnings|tenure_and_progression,unclear,official_administrative_summary,EXTSRCREV-1d65f279b3de097b35a2b8a9,source_review_lane_004,20,bounded HTML shell contains plausible administrative source signal,retained_html,VT
