retained_source_id,source_review_id,canonical_locator_id,canonical_candidate_id,linkage_basis
EXTSOURCE-beae5fff54089ac7cd581be0,EXTSRCREV-dcfd5e820679d2a9acb22ea4,EXTLOC-0002ef6a3fa2c4c0bab3c046,RESCAND-37624f482396e863643ac843,verified locator candidate lineage
EXTSOURCE-6c9bab249da433357dca5e18,EXTSRCREV-8f29050a5b86f6675f446dd0,EXTLOC-0003eae2bf79263499bf7b6c,RESCAND-068c815d2af2316bcf7bc8f5,verified locator candidate lineage
EXTSOURCE-691e73cadacaf8de8f87c3c3,EXTSRCREV-56eb28b13a52b290ec592b02,EXTLOC-00080a27bff6e5d09bf038de,EXTCAND-246f7f9f4ec5d4e88cecc40f,verified locator candidate lineage
EXTSOURCE-84b7d09b8cf3ac55eaba0365,EXTSRCREV-6bb207d8853d4402e8943e29,EXTLOC-000e0b03a6f3b475409ba63f,EXTCAND-377cf306560fbb9682bb79c6,verified locator candidate lineage
EXTSOURCE-57270ec8741a1396b9fdbc25,EXTSRCREV-793648aa26d55288e984ae41,EXTLOC-0010aa576bab6b07c17b528e,RESCAND-8f0deaa0903dfd5cea0fdb16,verified locator candidate lineage
EXTSOURCE-742e0ae9df1909fa68e02818,EXTSRCREV-799771316f0c19336e437ba7,EXTLOC-0013b48ff7e0ec36b6e5a6b4,RESCAND-f25daf721858e74eed960436,verified locator candidate lineage
EXTSOURCE-24aa2de59966df29c8324b48,EXTSRCREV-722be54c7ac22ba6fe4dda6a,EXTLOC-0019261c9aef73e4f1e63874,RESCAND-1128e5952d1944fc5a478317,verified locator candidate lineage
EXTSOURCE-785463c02d7c26cd042f5868,EXTSRCREV-191c9a118a6655cd796b570e,EXTLOC-001ead10ae1115a171b19acc,RESCAND-9fc7f08e832aaf88b75d00c0,verified locator candidate lineage
EXTSOURCE-9cbf1e8799f9b150effe8c6b,EXTSRCREV-edeb8181ced7dedaad11a1e8,EXTLOC-0021c1e207eb9af43a6dd9e6,RESCAND-e62373e238a900ddb03bb62f,verified locator candidate lineage
EXTSOURCE-47c8ca5dab7db3faaddf1718,EXTSRCREV-1e506a5f505a7a7b8c109fae,EXTLOC-002457e05388bd311549a646,EXTCAND-43d2dd3447bb9e28af049273,verified locator candidate lineage
EXTSOURCE-3a46290e46cda680a3f42834,EXTSRCREV-43c74fd7cf32132af38e6649,EXTLOC-0029b16b27e1e2dfa958cfc1,RESCAND-9bdd4bae1d4c7c93bafa9b07,verified locator candidate lineage
B4X2500SRD-20260730-c27ea421ea7d464d1567,EXTSRCREV-deed7743256e29215f6fbd85,EXTLOC-002bea6d5848f1493d39a180,EXTCAND-ff47051590b0eac38ce1f2a2,verified locator candidate lineage
EXTSOURCE-d3bfc87f187b2cfdcb2db1d8,EXTSRCREV-8b30748684198d58bfb0f945,EXTLOC-00319a001eb559c7c0e96985,EXTCAND-8a778ac430e9f4b6097bb13c,verified locator candidate lineage
EXTSOURCE-8f61578e5316bbaecc7e1688,EXTSRCREV-77186254851f6e4f4c5c759b,EXTLOC-0032d909d3e6713f32bccac3,EXTCAND-a989cd71ebea5f892d8a30e3,verified locator candidate lineage
