retained_source_id,source_review_id,event_type,event_id,linkage_basis
EXTSOURCE-88127a9e4abe6f64669754c5,EXTSRCREV-b6207e1fea076dcf66d3f079,mechanism_exposure_event,MECHEXP-6b150d5d534d21188bca9baf,candidate mechanism-event lineage
EXTSOURCE-88127a9e4abe6f64669754c5,EXTSRCREV-b6207e1fea076dcf66d3f079,mechanism_exposure_event,MECHEXP-7712609599eff0a055af627e,candidate mechanism-event lineage
EXTSOURCE-88127a9e4abe6f64669754c5,EXTSRCREV-b6207e1fea076dcf66d3f079,mechanism_exposure_event,MECHEXP-a2bdb3f61a18f135e8abcd78,candidate mechanism-event lineage
EXTSOURCE-88127a9e4abe6f64669754c5,EXTSRCREV-b6207e1fea076dcf66d3f079,mechanism_exposure_event,MECHEXP-bbfab27f6191da63ee45cf0b,candidate mechanism-event lineage
EXTSOURCE-88127a9e4abe6f64669754c5,EXTSRCREV-b6207e1fea076dcf66d3f079,mechanism_exposure_event,MECHEXP-f0540d1f5a6ed57a84a2161f,candidate mechanism-event lineage
EXTSOURCE-aa50c7e8793ccda46c0a18ae,EXTSRCREV-e0ca1810575235ffca24f5f5,root_compensation_event,ROOTCOMP-0ebcf61c0687db47dba316b2,candidate root-event lineage
EXTSOURCE-aa50c7e8793ccda46c0a18ae,EXTSRCREV-e0ca1810575235ffca24f5f5,root_compensation_event,ROOTCOMP-28fdda973cfe62f16b9c1559,candidate root-event lineage
EXTSOURCE-aa50c7e8793ccda46c0a18ae,EXTSRCREV-e0ca1810575235ffca24f5f5,mechanism_exposure_event,MECHEXP-196ee985f6483ebaf168f3bd,candidate mechanism-event lineage
EXTSOURCE-aa50c7e8793ccda46c0a18ae,EXTSRCREV-e0ca1810575235ffca24f5f5,mechanism_exposure_event,MECHEXP-412e451bfdd4e2f648f5d456,candidate mechanism-event lineage
EXTSOURCE-aa50c7e8793ccda46c0a18ae,EXTSRCREV-e0ca1810575235ffca24f5f5,mechanism_exposure_event,MECHEXP-4a4bc0fe8966f39a5077c2a9,candidate mechanism-event lineage
EXTSOURCE-aa50c7e8793ccda46c0a18ae,EXTSRCREV-e0ca1810575235ffca24f5f5,mechanism_exposure_event,MECHEXP-a9beb4cfce66e7f466967445,candidate mechanism-event lineage
EXTSOURCE-aa50c7e8793ccda46c0a18ae,EXTSRCREV-e0ca1810575235ffca24f5f5,mechanism_exposure_event,MECHEXP-ab0fce37b0daf6044de19405,candidate mechanism-event lineage
EXTSOURCE-aa50c7e8793ccda46c0a18ae,EXTSRCREV-e0ca1810575235ffca24f5f5,mechanism_exposure_event,MECHEXP-b9149ebba2904535461838b7,candidate mechanism-event lineage
EXTSOURCE-aa50c7e8793ccda46c0a18ae,EXTSRCREV-e0ca1810575235ffca24f5f5,mechanism_exposure_event,MECHEXP-d17e0d4eabc8e1e5ac8e049f,candidate mechanism-event lineage
EXTSOURCE-1859880ed9391423249f3df7,EXTSRCREV-7661e2f88fb85a9c89fdc157,root_compensation_event,ROOTCOMP-d7199c10a2e4b9641e11853c,candidate root-event lineage
EXTSOURCE-1859880ed9391423249f3df7,EXTSRCREV-7661e2f88fb85a9c89fdc157,mechanism_exposure_event,MECHEXP-11630caeef014c1a4dcc3df8,candidate mechanism-event lineage
EXTSOURCE-1859880ed9391423249f3df7,EXTSRCREV-7661e2f88fb85a9c89fdc157,mechanism_exposure_event,MECHEXP-1db4830aee24904c67a95c12,candidate mechanism-event lineage
EXTSOURCE-1859880ed9391423249f3df7,EXTSRCREV-7661e2f88fb85a9c89fdc157,mechanism_exposure_event,MECHEXP-839832e3ba5626acb5f0dab4,candidate mechanism-event lineage
EXTSOURCE-1859880ed9391423249f3df7,EXTSRCREV-7661e2f88fb85a9c89fdc157,mechanism_exposure_event,MECHEXP-8f567675678769b39dfe6a58,candidate mechanism-event lineage
EXTSOURCE-1859880ed9391423249f3df7,EXTSRCREV-7661e2f88fb85a9c89fdc157,mechanism_exposure_event,MECHEXP-a2c61f9c634795cd2edab946,candidate mechanism-event lineage
EXTSOURCE-1859880ed9391423249f3df7,EXTSRCREV-7661e2f88fb85a9c89fdc157,mechanism_exposure_event,MECHEXP-dca08e88e3f20d947b840538,candidate mechanism-event lineage
EXTSOURCE-967ad0c0bece21fbd2804bbe,EXTSRCREV-6d1c61101a5c4252252e0baf,root_compensation_event,ROOTCOMP-922c92b9dae9aecbc6808de8,candidate root-event lineage
EXTSOURCE-967ad0c0bece21fbd2804bbe,EXTSRCREV-6d1c61101a5c4252252e0baf,mechanism_exposure_event,MECHEXP-08c2bb5a12aa6cb1e870b0a5,candidate mechanism-event lineage
EXTSOURCE-967ad0c0bece21fbd2804bbe,EXTSRCREV-6d1c61101a5c4252252e0baf,mechanism_exposure_event,MECHEXP-608c60ae2c191966fd337165,candidate mechanism-event lineage
EXTSOURCE-967ad0c0bece21fbd2804bbe,EXTSRCREV-6d1c61101a5c4252252e0baf,mechanism_exposure_event,MECHEXP-80acbf23eaa9d635c2994aa7,candidate mechanism-event lineage
EXTSOURCE-967ad0c0bece21fbd2804bbe,EXTSRCREV-6d1c61101a5c4252252e0baf,mechanism_exposure_event,MECHEXP-91b4a0a11e4ae4e16aea755c,candidate mechanism-event lineage
EXTSOURCE-967ad0c0bece21fbd2804bbe,EXTSRCREV-6d1c61101a5c4252252e0baf,mechanism_exposure_event,MECHEXP-a46f7b5b2fc9c1a286867683,candidate mechanism-event lineage
EXTSOURCE-967ad0c0bece21fbd2804bbe,EXTSRCREV-6d1c61101a5c4252252e0baf,mechanism_exposure_event,MECHEXP-d164d9fdb6351185316d3d4f,candidate mechanism-event lineage
EXTSOURCE-967ad0c0bece21fbd2804bbe,EXTSRCREV-6d1c61101a5c4252252e0baf,mechanism_exposure_event,MECHEXP-e026ada48c053562cb694eb8,candidate mechanism-event lineage
EXTSOURCE-726d42124e423a8f4547a6b5,EXTSRCREV-87f6e661af09372efcc87d2c,root_compensation_event,ROOTCOMP-792c12b71099dafde64a8f5e,candidate root-event lineage
EXTSOURCE-726d42124e423a8f4547a6b5,EXTSRCREV-87f6e661af09372efcc87d2c,mechanism_exposure_event,MECHEXP-06d79f4731a3ffb39a3bb39d,candidate mechanism-event lineage
EXTSOURCE-726d42124e423a8f4547a6b5,EXTSRCREV-87f6e661af09372efcc87d2c,mechanism_exposure_event,MECHEXP-1faed28cb6f4fc3bad0f1edd,candidate mechanism-event lineage
EXTSOURCE-726d42124e423a8f4547a6b5,EXTSRCREV-87f6e661af09372efcc87d2c,mechanism_exposure_event,MECHEXP-a074a92999d4f758df183961,candidate mechanism-event lineage
EXTSOURCE-726d42124e423a8f4547a6b5,EXTSRCREV-87f6e661af09372efcc87d2c,mechanism_exposure_event,MECHEXP-df4f054a9688b8339d679080,candidate mechanism-event lineage
EXTSOURCE-726d42124e423a8f4547a6b5,EXTSRCREV-87f6e661af09372efcc87d2c,mechanism_exposure_event,MECHEXP-efa4cc25f549d17551ec38f4,candidate mechanism-event lineage
EXTSOURCE-be3d000aaacb9fc0fb388058,EXTSRCREV-f4c1c4c7068f3e01fbaaab5b,root_compensation_event,ROOTCOMP-469580b4763553e8fa04d6db,candidate root-event lineage
EXTSOURCE-be3d000aaacb9fc0fb388058,EXTSRCREV-f4c1c4c7068f3e01fbaaab5b,mechanism_exposure_event,MECHEXP-1029d4c4bf352d442337ca1c,candidate mechanism-event lineage
EXTSOURCE-be3d000aaacb9fc0fb388058,EXTSRCREV-f4c1c4c7068f3e01fbaaab5b,mechanism_exposure_event,MECHEXP-61f2d4eeb4966fe61dc2268b,candidate mechanism-event lineage
EXTSOURCE-be3d000aaacb9fc0fb388058,EXTSRCREV-f4c1c4c7068f3e01fbaaab5b,mechanism_exposure_event,MECHEXP-702b0a872b120e8899b28912,candidate mechanism-event lineage
EXTSOURCE-be3d000aaacb9fc0fb388058,EXTSRCREV-f4c1c4c7068f3e01fbaaab5b,mechanism_exposure_event,MECHEXP-b37531bfb6674b9846544ea1,candidate mechanism-event lineage
EXTSOURCE-be3d000aaacb9fc0fb388058,EXTSRCREV-f4c1c4c7068f3e01fbaaab5b,mechanism_exposure_event,MECHEXP-f68e34ca2dcaaeec67d07de7,candidate mechanism-event lineage
EXTSOURCE-8a2ea62228afeccc7d9f6907,EXTSRCREV-93dd822bf8d41e54215e2d6e,root_compensation_event,ROOTCOMP-0ebcf61c0687db47dba316b2,candidate root-event lineage
