MIME_type,SHA_256,administrative_source_type,analytical_extraction_performed,analytical_rows_extracted,byte_size,canonical_payload_id,canonical_source_record_id,canonical_source_review_id,deferred_queue,department_scope,detected_file_type,diagnostic_full_text_persisted,duplicate_relationship_count,exact_duplicate_source_review_ids,expected_claim_upgrade_tags,extraction_priority,extraction_ready,final_priority_bucket,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,municipality,ocr_performed,original_filename,payload_origin,period,physical_payload_inspected_once,primary_content_family,primary_extraction_queue,prior_reuse_source_review_ids,propagated_at,readiness_hint,readiness_propagation_basis,readiness_reason_codes,readiness_result_id,readiness_status,retained_source_id,secondary_content_families,secondary_processing_hints,side_scope,source_quality,source_review_only,state,version_relationship_ids
text/html; charset=utf-8,959ae83307409f808cd070943283bc1b59043f56b8f23581f2eba8e1e9d9998a,payroll_roster,False,0,156504,EXTPAYLOAD-9821e604ae573b3a67cc96ab,EXTREADYQ-46b6be1a7d1c568dbd4ea368,EXTSRCREV-c818cc5e428dc439c1d8ced2,,unclear,html,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,high,RESCAND-2360b5a6ee9a065481063463,,MECHEXP-42e7135c196551d04313afb7|MECHEXP-b448d94bbfebad0b45630dcb|MECHEXP-c95c78193bbdd61d651d7bc5|MECHEXP-ca74a6776c066b9f00e77925|MECHEXP-e554b7357e6086e2aa479001,ROOTCOMP-10ec1cc2e4a57ec0c4b49dbb,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/959ae83307409f808cd070943283bc1b59043f56b8f23581f2eba8e1e9d9998a.html,Blue Mound,False,staff-salary-quartiles,current_30_gib_store,2023,True,payroll_and_earnings,html_table_candidate_queue,,2026-08-05T19:06:44.969158+00:00,html_text_candidate,canonical_payload_sha256,html_table_structure_present,EXTREADINESS-45d05f64a3408dec93f589cd,html_table_candidate_ready,EXTSOURCE-9821e604ae573b3a67cc96ab,implementation_confirmation,table_candidate,unclear,official_administrative_summary,True,TX,
application/pdf,fd88deca026f477c2989649ac66e33e07bce11af69d1710512d8115293080015,payroll_roster,False,0,515225,EXTPAYLOAD-5d3ec7281ca56618d73c88fc,EXTREADYQ-46baa0b98bf8896c9f8ebcc5,EXTSRCREV-a0a655e45ed8b3216241c957,,all_units,pdf,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,high,EXTCAND-36e723a435dcf8a54dc0c384,,MECHEXP-14c839b2f646d8364dbbcd22|MECHEXP-1d991d34f24f8b7e3ba61216|MECHEXP-620bfe90a564a49dea7d1813|MECHEXP-8cc19890bfb86a1edd1ace7b|MECHEXP-b5ba74575f77b8dcc4ef4322,ROOTCOMP-1f6c7906bd560ea8a297f1fa,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/fd88deca026f477c2989649ac66e33e07bce11af69d1710512d8115293080015.pdf,East Windsor,False,11.2.21 Approved.pdf,current_30_gib_store,2021,True,multi_family_administrative_source,parse_text_pdf_extraction_queue,,2026-08-05T19:04:27.908790+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-e126b70bf43810dd4d4efce4,parse_text_pdf_ready,EXTSOURCE-5d3ec7281ca56618d73c88fc,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,,all_units,direct_official_administrative_record,True,NJ,
text/html; charset=utf-8,d93ae4c47097108a44701fb0e7552e231bd42d157a37328dd8c62d2b5b2c5841,payroll_roster,False,0,313175,EXTPAYLOAD-8c29b8b8264f6c8f21e47f1a,EXTREADYQ-46c05fb71512713f472e470c,EXTSRCREV-b02cc195a2739e65999aca11,,side_independent,html,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,high,EXTCAND-3a59d98b542bc61d140dfa4e,,MECHEXP-771834d22d7b84b070929479|MECHEXP-8f93ed0981d07a7449396d16|MECHEXP-aae757a1f8901f8b220f9790|MECHEXP-f09e9360bf6d401848b4f734|MECHEXP-f60d6ff2e77ea2f01a61b2cf,ROOTCOMP-636e40b4b3f6710e768e8acf,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d93ae4c47097108a44701fb0e7552e231bd42d157a37328dd8c62d2b5b2c5841.html,Liberty,False,gf8w-4jjf,current_30_gib_store,2022,True,payroll_and_earnings,html_table_candidate_queue,,2026-08-05T19:06:44.396221+00:00,html_text_candidate,canonical_payload_sha256,structured_data_or_dataset_signal,EXTREADINESS-1c9f6851fde750fe873e404b,html_structured_data_candidate,EXTSOURCE-8c29b8b8264f6c8f21e47f1a,implementation_confirmation|staffing_and_headcount,table_candidate,side_independent,official_administrative_summary,True,NJ,
application/pdf,24dfbb7fdb6a9645e512763334b21cb5ba42e807e93e0362af0d9822cc6570fa,payroll_roster,False,0,19769931,EXTPAYLOAD-14eb02cfe8403a11056a27b7,EXTREADYQ-46c709887a041723c80e16d1,EXTSRCREV-3c873832515e9bdd6e5cdabe,,all_units,pdf,False,0,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_total_compensation_comparison,extraction_priority_high,True,high,EXTCAND-36ccae12f587b4bf72a6ba6d,,MECHEXP-4ef6ffced9e86531ff6d5e42|MECHEXP-9b57f9f8cb69a594a69ca0e9|MECHEXP-a2f31d333eb99b969ae89cf1|MECHEXP-c711899daf75e34e00c2acd8|MECHEXP-daa83417808dde9370ffa5e1,ROOTCOMP-d29f44cbff95e4834f11b810,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/24dfbb7fdb6a9645e512763334b21cb5ba42e807e93e0362af0d9822cc6570fa.pdf,Portageville,False,_01062026-734,current_30_gib_store,2026,True,payroll_and_earnings,parse_text_pdf_extraction_queue,,2026-08-05T19:06:58.535979+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-7be09f84accae5c11b3f6bcc,parse_text_pdf_ready,EXTSOURCE-14eb02cfe8403a11056a27b7,benefits_and_total_compensation,,all_units,direct_official_administrative_record,True,MO,
application/pdf,a2520dc3fe56e07ef3d7fc3765236dbd06ecad17beb9e509739bb13537f84236,payroll_roster,False,0,800185,EXTPAYLOAD-412ccd9f11a111f2592657f8,EXTREADYQ-46c784ce831d088384a01f82,EXTSRCREV-5c0a59e70e2c95b9e7a660de,,police,pdf,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,high,EXTCAND-a60a7240d20d42acb89db073,,MECHEXP-06b60e55f73273182b621718|MECHEXP-07ccc2788eab678e8f3527ed|MECHEXP-cda0dcc3410a355e25179737|MECHEXP-db69382222a8750fcc7476d4|MECHEXP-ed06e24a2a71be0dc9e71c7f|MECHEXP-ef8e5b2f8bbd4761818f8fc0|MECHEXP-ffce33699728cf593d4fa7ec,ROOTCOMP-1866bdb77fb11547a3c076c8|ROOTCOMP-3453cbd55232cc4406c26445,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a2520dc3fe56e07ef3d7fc3765236dbd06ecad17beb9e509739bb13537f84236.pdf,Twisp,False,i1-20241022-cc-city-council-compensation.pdf,current_30_gib_store,2024,True,multi_family_administrative_source,parse_text_pdf_extraction_queue,,2026-08-05T19:01:33.565004+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-886dd6acedced0ada49e8891,parse_text_pdf_ready,EXTSOURCE-412ccd9f11a111f2592657f8,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,,police,direct_official_administrative_record,True,WA,
application/pdf,9a6b5ad6f7bb47e08369e247acc2d855137c7b8b5c86142d60584c3efea94161,payroll_roster,False,0,121504,EXTPAYLOAD-333b3edcecb68930c2216ef6,EXTREADYQ-46d236bb849153f283c38c2e,EXTSRCREV-76bcb870c1ece9e70e9a3d0c,,side_independent,pdf,False,0,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis,extraction_priority_high,True,high,EXTCAND-60c45c6a49dc585ff465d1b1,,MECHEXP-287f8121b6e0db69e1d9362d|MECHEXP-3d3bf2ae0a06728790eaa46a|MECHEXP-59564be09e298406d05f9e34|MECHEXP-a572e7d40f0de49d9f6dbef5|MECHEXP-f79a0822abecacf964f23115,ROOTCOMP-bee1776ff979360ed40b5668,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/9a6b5ad6f7bb47e08369e247acc2d855137c7b8b5c86142d60584c3efea94161.pdf,Milroy,False,6885,current_30_gib_store,2026,True,payroll_and_earnings,parse_text_pdf_extraction_queue,,2026-08-05T18:58:17.486403+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-50c1dd3b121dfe6a7f5fcb2d,parse_text_pdf_ready,EXTSOURCE-333b3edcecb68930c2216ef6,staffing_and_headcount,,side_independent,direct_official_administrative_record,True,MN,
text/html; charset=utf-8,b3492482df0505c3f439d01044be766b91f314513a3fa303aab8a452203030ba,payroll_roster,False,0,91382,EXTPAYLOAD-7dd6bdab35ab0dfc086ab173,EXTREADYQ-46d92a89637af14e75fdafa8,EXTSRCREV-015a12d6489d1260b4c7205a,,non_safety,html,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,high,EXTCAND-9da5ad7f8b3759132fd1a209,,MECHEXP-16610228ad6c63a0f1c76a72|MECHEXP-a63edbbf70ceef92cab23170|MECHEXP-c21472c1cc89e83b0ce84114|MECHEXP-ca7e7ce855483f365eef3f62,ROOTCOMP-5277f723bc066222af6921e7,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/b3492482df0505c3f439d01044be766b91f314513a3fa303aab8a452203030ba.html,South Newton,False,South-Newton-Township,current_30_gib_store,2018,True,multi_family_administrative_source,html_table_candidate_queue,,2026-08-05T18:57:44.188257+00:00,html_text_candidate,canonical_payload_sha256,html_table_structure_present,EXTREADINESS-9a0cad00e99495df21069c02,html_table_candidate_ready,EXTSOURCE-7dd6bdab35ab0dfc086ab173,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,table_candidate,non_safety,official_administrative_summary,True,PA,
application/pdf,7ce1f57950ec31c43072a0e157db3c470d632b3d9b988cb71bb2dd1550234d6c,payroll_roster,False,0,11519230,EXTPAYLOAD-a3fa7461b35975484170ce53,EXTREADYQ-46dca3caf8b92ffcd9b1467f,EXTSRCREV-c900b77fee4d4370194f1d56,,fire,pdf,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,high,EXTCAND-2223f19c1630c722ccb34c42,,MECHEXP-1b935ae22c4ee068fcb27f8f|MECHEXP-7c40bbe6e60aa2e1dbb8d914|MECHEXP-8889157cb1871b660e9a4428|MECHEXP-c685df436ad6d29292a703ae|MECHEXP-d2c89274bf1aaa0f21ff71d3,ROOTCOMP-0e583adad2fb2c6d51ea77f5,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7ce1f57950ec31c43072a0e157db3c470d632b3d9b988cb71bb2dd1550234d6c.pdf,Green,False,2023-24BlueBookVol2.pdf,current_30_gib_store,2024,True,multi_family_administrative_source,parse_text_pdf_extraction_queue,,2026-08-05T18:56:05.964457+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-7303d068101ed04a51a44e3f,parse_text_pdf_ready,EXTSOURCE-a3fa7461b35975484170ce53,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,fire,direct_official_administrative_record,True,IN,
application/pdf,b1e6e163be450f4113301c74668e53a0fdf47a617270274722e1910490eab2e0,payroll_roster,False,0,355517,EXTPAYLOAD-2a1782e2e5dc75601e097440,EXTREADYQ-46f2167432d91daafd1fefff,EXTSRCREV-e18796cb8cd9ef7a875e678b,,unclear,pdf,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,high,RESCAND-eeb2a3e6a4b2c7915c4c3263,,MECHEXP-2f427a10e3ed9834812d82f5|MECHEXP-6f0f24ab7ccfb6a58ad96bcc|MECHEXP-9b575bfd2bfa86c547cb32b2|MECHEXP-a7ec486f449b0592bb954f88|MECHEXP-becc8d86b97719117b61d5f6|MECHEXP-d8fbd71e866eaf6c138cb1c8|MECHEXP-f26dbd3d556cddc05502331e|MECHEXP-ff4d73c8e10f685d1ff771f2,ROOTCOMP-0ebfa6a88ca8b19b0175ab6e|ROOTCOMP-6442cfb1fa2faae863d4b38c,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/b1e6e163be450f4113301c74668e53a0fdf47a617270274722e1910490eab2e0.pdf,Bellmead,False,_04142026-174,current_30_gib_store,2026,True,multi_family_administrative_source,parse_text_pdf_extraction_queue,,2026-08-05T18:55:09.036758+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-420a125c87595727337b9da3,parse_text_pdf_ready,EXTSOURCE-2a1782e2e5dc75601e097440,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,,unclear,direct_official_administrative_record,True,TX,
application/pdf,5533befe521c6e93f56391c3f6f53ab39c215087737fbb5e5419d1e9b34c7dcf,payroll_roster,False,0,10104949,EXTPAYLOAD-1e5108db2e7a0ed9f6a3bc5b,EXTREADYQ-46f763ac617260ebcc08019f,EXTSRCREV-7feac06e2d2b525f00283913,,police,pdf,False,1,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,high,EXTCAND-a5bf41fb9228d51ab2f21931,,MECHEXP-1a647d4f97770fddfe98cb7c|MECHEXP-1beeec19c0048bef29687ea5|MECHEXP-6628b6b6c4f7eab903f70fba|MECHEXP-d18ccd2ceda3abe97e17b51d|MECHEXP-f541df89d381657901a337c1,ROOTCOMP-53cc270fe609aba013451d4c,external_search_wave_001_compacted,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-55303bae65bf4b4e1d35.pdf,Austin,False,03-02-26.pdf,canonical_prior_retained_source_reuse,2025,True,multi_family_administrative_source,parse_text_pdf_extraction_queue,EXTSRCREV-7feac06e2d2b525f00283913,2026-08-05T19:01:04.862935+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-472ac097ba87e21118fc0fc0,parse_text_pdf_ready,RMSRD-20260802-55303bae65bf4b4e1d35,benefits_and_total_compensation|payroll_and_earnings|staffing_and_headcount,,police,direct_official_administrative_record,True,MN,
