MIME_type,SHA_256,administrative_source_type,analytical_extraction_performed,analytical_rows_extracted,byte_size,canonical_payload_id,canonical_source_record_id,canonical_source_review_id,deferred_queue,department_scope,detected_file_type,diagnostic_full_text_persisted,duplicate_relationship_count,exact_duplicate_source_review_ids,expected_claim_upgrade_tags,extraction_priority,extraction_ready,final_priority_bucket,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,municipality,ocr_performed,original_filename,payload_origin,period,physical_payload_inspected_once,primary_content_family,primary_extraction_queue,prior_reuse_source_review_ids,propagated_at,readiness_hint,readiness_propagation_basis,readiness_reason_codes,readiness_result_id,readiness_status,retained_source_id,secondary_content_families,secondary_processing_hints,side_scope,source_quality,source_review_only,state,version_relationship_ids
text/html,5f2944b332f5e63254362c492de0c3df3d2983178ce2e895b144dd9f3e596f69,payroll_roster,False,0,17472,EXTPAYLOAD-ecb872bd4087485a5dcddea5,EXTREADYQ-00001e766439e0e0e3fe0754,EXTSRCREV-8d06ffd5bfcab51bc23e7002,,fire,html,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,high,RESCAND-a5f63977b85696f8c2b6974b,,MECHEXP-11aa3f0b5c5c93a8e4ef38c0|MECHEXP-56c7c308a2ffb0e82a868c42|MECHEXP-6ddd2fe0338d005a6a4a6f0f|MECHEXP-77d7d719ac330855cb3e31cc|MECHEXP-8be2fb65a89887e288dc7c08|MECHEXP-a2564ada3616a1d3b514b5c4|MECHEXP-c72ef61dfca4eb7922df1c13|MECHEXP-d7e9c85a84c8d988b4df715e|MECHEXP-f438cbd2c10defcdd25de864,ROOTCOMP-1f62e1ffd794397af42acc51|ROOTCOMP-3204a12657ec064cee54480a,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5f2944b332f5e63254362c492de0c3df3d2983178ce2e895b144dd9f3e596f69.html,Corning,False,employment,current_30_gib_store,2024,True,multi_family_administrative_source,html_text_extraction_queue,,2026-08-05T18:57:49.033208+00:00,html_text_candidate,canonical_payload_sha256,substantive_visible_html_text,EXTREADINESS-2e7f2a40416af849993c8fd4,html_text_ready,EXTSOURCE-ecb872bd4087485a5dcddea5,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,,fire,official_administrative_summary,True,NY,
text/html; charset=UTF-8,54c4ca25029a7472307b8736de9cdd2564e9f856a65a81fc43ce2d29a51602de,payroll_roster,False,0,70194,EXTPAYLOAD-3de846d871f1fb9e1b19123b,EXTREADYQ-00133a0f2031d624f73e1085,EXTSRCREV-faacb28bad8320f3964c99cf,,all_units,html,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,high,EXTCAND-99b06170a7c66eeb88b98c49,,MECHEXP-0c6a1356a8350827006c37b0|MECHEXP-465f32b12e26563a8593fefe|MECHEXP-73b07c502648739583fc5bd0|MECHEXP-9c5a0c77bfad8c9e730efb58|MECHEXP-e705825005db77f07b0370bc|MECHEXP-fa588140c84567ea2f87ab3e,ROOTCOMP-9c18f9ba7839d475e88112e8|ROOTCOMP-e408d4dccdc6d2a7c06daefa,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/54c4ca25029a7472307b8736de9cdd2564e9f856a65a81fc43ce2d29a51602de.html,Toledo,False,human-resources,current_30_gib_store,undated,True,multi_family_administrative_source,html_table_candidate_queue,,2026-08-05T18:57:41.396373+00:00,html_text_candidate,canonical_payload_sha256,structured_data_or_dataset_signal,EXTREADINESS-6f668a65fedfee87de01c871,html_structured_data_candidate,EXTSOURCE-3de846d871f1fb9e1b19123b,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,table_candidate,all_units,official_administrative_summary,True,OH,
application/pdf,da61211a8834f846ff19fcd7360cd0580e24de7e2a937887462c50d81ff48f7d,payroll_roster,False,0,7868030,EXTPAYLOAD-1100ce9ddfa138d3788b591b,EXTREADYQ-002564d0bf68981527204736,EXTSRCREV-c88c967fb8c6eef0dc058909,,unclear,pdf,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,high,RESCAND-06c446affa1daf5b7ede7a5f,,MECHEXP-2388c9e718fc638403c4267d|MECHEXP-26a48daba51f580e42d9e529|MECHEXP-3e966d7c5945563a7e836e41|MECHEXP-47b0a865d97a92bf8115807f|MECHEXP-9d7ca9e4a504345172190e52|MECHEXP-c6c1be85327227ce0b507eb5|MECHEXP-dbb0a9ea7b22b50bfc6c4389|MECHEXP-ef1e6355bbe8bffc037bae9e|MECHEXP-f1e8009649516baf98340fd8|MECHEXP-f90a3bceed17cf7bd746e02d,ROOTCOMP-9c4cf1076baa69cc8134f7d0|ROOTCOMP-fbcb346e4f4a3e524b19a0cc,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/da61211a8834f846ff19fcd7360cd0580e24de7e2a937887462c50d81ff48f7d.pdf,Bainbridge,False,TaskForceReportFinal.pdf,current_30_gib_store,2016,True,multi_family_administrative_source,parse_text_pdf_extraction_queue,,2026-08-05T18:58:01.848024+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-d8ec885219ed30fff5758907,parse_text_pdf_ready,EXTSOURCE-1100ce9ddfa138d3788b591b,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,,unclear,direct_official_administrative_record,True,OH,
text/html; charset=UTF-8,e46ad9d456f9782c283fbdd08c3748768c09893ee60903cd6cf42e323e8a85c6,payroll_roster,False,0,15561,EXTPAYLOAD-47d228a4ec3a625f45696d59,EXTREADYQ-0031351973d97b271dcf9a88,EXTSRCREV-df03d23961ad2c1ed53e60f3,,all_units,html,False,0,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,high,EXTCAND-cb7fabd35708e593f7444c4b,,MECHEXP-0e8d138c823f4d1b061e2ba5|MECHEXP-3d11766ad023b42c9a3683d7|MECHEXP-501714ae3f531d5cc68ac996|MECHEXP-50e0a750bfe667cbefbb8932|MECHEXP-989526125ccedbdef8eb0556|MECHEXP-aacebc3e4192e015ca27bc43|MECHEXP-e6bbe2dce637b0e18a07e48c,ROOTCOMP-175f5cdf707e0f3d9040caa4,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/e46ad9d456f9782c283fbdd08c3748768c09893ee60903cd6cf42e323e8a85c6.html,Aurora,False,,current_30_gib_store,undated,True,multi_family_administrative_source,html_table_candidate_queue,,2026-08-05T18:57:41.975214+00:00,html_text_candidate,canonical_payload_sha256,structured_data_or_dataset_signal,EXTREADINESS-f12609e36bac866ab02c49de,html_structured_data_candidate,EXTSOURCE-47d228a4ec3a625f45696d59,benefits_and_total_compensation|payroll_and_earnings|staffing_and_headcount,table_candidate,all_units,official_administrative_summary,True,NY,
text/html; charset=utf-8,e47c871c4845ff4cfdd6da8d43e91c76e6d593a330d230cdb0300a74940f89d4,payroll_roster,False,0,104035,EXTPAYLOAD-f8c6b9c578c4d8e1a0a2131a,EXTREADYQ-00505c0528f87cab571aa798,EXTSRCREV-ac3ebc529619337c7755983f,,unclear,html,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,high,RESCAND-4764d3133068094d6ea3fd9e,,MECHEXP-3ff2563ca15e053b7fce37b5|MECHEXP-67675ebb5ababd2cce00bacf|MECHEXP-80b8b1772c52ca465cfac2a9|MECHEXP-94fa5b52a2b92f8b0610c51c|MECHEXP-a84769226abc9e924f7ff8fd,ROOTCOMP-a6144edc0646fc0148ed362b,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/e47c871c4845ff4cfdd6da8d43e91c76e6d593a330d230cdb0300a74940f89d4.html,Braham,False,Archive.aspx,current_30_gib_store,2024,True,multi_family_administrative_source,html_table_candidate_queue,,2026-08-05T18:57:49.266735+00:00,html_text_candidate,canonical_payload_sha256,html_table_structure_present,EXTREADINESS-1625adb821b7b88490a42b1c,html_table_candidate_ready,EXTSOURCE-f8c6b9c578c4d8e1a0a2131a,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,table_candidate,unclear,official_administrative_summary,True,MN,
application/pdf,c4646c2d5933185f7adab80240d1bec9d0a45f0ec967576d403386dda94874e6,payroll_roster,False,0,2228065,EXTPAYLOAD-81d761281a37305fb959a94b,EXTREADYQ-0052f53a84c8735b4cf0d465,EXTSRCREV-fc4847b5f5acec3af9af3801,,side_independent,pdf,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,high,EXTCAND-11ec6e8017b06438a5f19d43,,MECHEXP-1a850f62acc88db04a6ef547|MECHEXP-2c31bbc367cd046b01bf928d|MECHEXP-79aa9c397a8fceeb973dbdf8|MECHEXP-e4c678460b780c626c6b402d,ROOTCOMP-20fa5ff3172a7ed2e4a63866,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/c4646c2d5933185f7adab80240d1bec9d0a45f0ec967576d403386dda94874e6.pdf,Jonestown,False,SJC PERSONNEL POLICY MANUAL ADOPTED.pdf,current_30_gib_store,2022,True,multi_family_administrative_source,parse_text_pdf_extraction_queue,,2026-08-05T18:58:56.847432+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-a4f23f9512ae38d02f516127,parse_text_pdf_ready,EXTSOURCE-81d761281a37305fb959a94b,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,side_independent,direct_official_administrative_record,True,TX,
application/pdf,09d97a88bcfba04e5cfb4983f5fb0b0db8cf519991b457f1e1e974490b267613,payroll_roster,False,0,12214883,EXTPAYLOAD-55be1364228c6887023c109f,EXTREADYQ-00567709fac10011204346e7,EXTSRCREV-ed82496be6ba144b5f1e7b92,,non_safety,pdf,False,0,,upgrades_growth_analysis|upgrades_local_wage_comparison,extraction_priority_high,True,high,EXTCAND-1e63582b0bd15c4cb634567c,,MECHEXP-57c2ca0bd90adc138d521b25|MECHEXP-9510424390728d932c589f5a|MECHEXP-b59efdfafb0c43c31e5390f1|MECHEXP-ec45137643d92fb72aa41208,ROOTCOMP-e2fb504ffbfab28baa654204,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/09d97a88bcfba04e5cfb4983f5fb0b0db8cf519991b457f1e1e974490b267613.pdf,Catawba Island,False,26-27_recommended_budget.pdf,current_30_gib_store,2026,True,payroll_and_earnings,parse_text_pdf_extraction_queue,,2026-08-05T18:58:34.020703+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-47ec291e8972a3b87c818099,parse_text_pdf_ready,EXTSOURCE-55be1364228c6887023c109f,,,non_safety,direct_official_administrative_record,True,OH,
text/html; charset=UTF-8,320a847b9bbacb8a09103bd4292923ccf976283db1394d0561ca7655453a9704,staffing_table,False,0,71312,EXTPAYLOAD-30d7ff62584268fa658339fe,EXTREADYQ-0065a47877cd6b5ba5f17867,EXTSRCREV-5e390f24ac36070de964b920,,side_independent,html,False,0,,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,high,EXTCAND-4003b0b457e07127708614ae,,MECHEXP-02cf3739210362455d2594ae|MECHEXP-21ae47769e764b9c9b6e35b5|MECHEXP-31143a3a189cf37d98f93926|MECHEXP-a7027bee60ff3aa9fdd249fe,ROOTCOMP-96ed16f4cc8ca12f1821e18b,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/320a847b9bbacb8a09103bd4292923ccf976283db1394d0561ca7655453a9704.html,Biwabik,False,lawcomp.htm,current_30_gib_store,2019,True,multi_family_administrative_source,html_text_extraction_queue,,2026-08-05T18:57:40.971210+00:00,html_text_candidate,canonical_payload_sha256,substantive_visible_html_text,EXTREADINESS-825a1d9fa8d8e1bba554c2f2,html_text_ready,EXTSOURCE-30d7ff62584268fa658339fe,benefits_and_total_compensation|implementation_confirmation|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,side_independent,official_administrative_summary,True,MN,
application/pdf,76fc054edc4a1bc29855950467e03e71a60415a3bd09ed949de4225d2146a4fb,payroll_roster,False,0,104511,EXTPAYLOAD-c13758c52678c41c3d52305a,EXTREADYQ-00682356a9b9f540ab7ee3d5,EXTSRCREV-bbef186c6a75921772885abd,,unclear,pdf,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,high,RESCAND-69a521d538ca429a079c205a,,MECHEXP-027eab439e704d1ddbb31c1d|MECHEXP-3467b2d9412becfa8bdae043|MECHEXP-4491c7bc31747edb23ee7d63|MECHEXP-5fce9a6aec97f15929688740|MECHEXP-67a22aef1316f1983ad92d53|MECHEXP-8d45fce2657c8cabc8b0d2c7|MECHEXP-914f8622bdd3b8f99dd0ed4a|MECHEXP-bb45c1fbe82f04168c726542|MECHEXP-df8ca8e00a318da0f5dfe910,ROOTCOMP-4b0d4cde888bccb30a193906|ROOTCOMP-5a250f6c6086ed0175709efd|ROOTCOMP-834a238660aa7b68240f46e2,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/76fc054edc4a1bc29855950467e03e71a60415a3bd09ed949de4225d2146a4fb.pdf,Benson,False,3-16-2026(1).pdf,current_30_gib_store,2024,True,payroll_and_earnings,parse_text_pdf_extraction_queue,,2026-08-05T18:59:20.774910+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-d44fd2e4c9ec489928c6c22c,parse_text_pdf_ready,EXTSOURCE-c13758c52678c41c3d52305a,implementation_confirmation,,unclear,direct_official_administrative_record,True,MN,
application/pdf,f53354324ed0d2dde5b14dcab1b345292fc0a44b4c81ce6d5203b04986d53698,payroll_roster,False,0,117075,EXTPAYLOAD-cdf367a2f8a38276ee13e0e8,EXTREADYQ-00901aa7ae0366872f33e406,EXTSRCREV-d681c13a382ba76732bb6a39,,police,pdf,False,0,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,high,RESCAND-e4a89c385a1a7bba60f00173,,MECHEXP-09dba2367587baa38e3775cf|MECHEXP-4060c820550be4ea17f775f7|MECHEXP-50e5514e5f9b7ebacb10c8b0|MECHEXP-5cef9e0b106059e99a5121ae|MECHEXP-89e9b5c5145908a677f62426|MECHEXP-a89379d83367f5f2ebfcd55a|MECHEXP-c41cf0984c87c572909bbbbe,ROOTCOMP-870b69c284e81540c80d3be8|ROOTCOMP-cb727826f267c7b095d6952e,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f53354324ed0d2dde5b14dcab1b345292fc0a44b4c81ce6d5203b04986d53698.pdf,Beloit,False,Media_Release_Promotion__Hires_3-12-18__6pm(1).pdf,current_30_gib_store,undated-source-B4X2500LIVE-20260729-003392,True,multi_family_administrative_source,parse_text_pdf_extraction_queue,,2026-08-05T18:59:24.913289+00:00,parse_text_pdf_candidate,canonical_payload_sha256,usable_sampled_text_layer,EXTREADINESS-6d3352f18f2491ef879291ca,parse_text_pdf_ready,EXTSOURCE-cdf367a2f8a38276ee13e0e8,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,,police,direct_official_administrative_record,True,WI,
