canonical_payload_id,SHA_256,local_artifact_path,byte_size,detected_file_type,MIME_type,original_filename,canonical_source_record_ids,canonical_retained_source_ids,duplicate_retained_source_ids,prior_retained_source_reuse_ids,version_relationship_ids,municipality,state,period,side_scope,department_scope,linked_candidate_ids,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids,expected_claim_upgrade_tags,linked_search_waves,source_family,secondary_source_families,administrative_source_type,source_quality,review_priority,payload_origin,canonical_source_fanout,candidate_fanout,event_fanout,claim_fanout,readiness_lane_id,readiness_lane_sequence
EXTPAYLOAD-07773c3fa6534a9c462b2fed,e62de55aebf299d67cae57fc1920359845e56e7a22e91fd620c72f5ffa49c12e,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/csv/e62de55aebf299d67cae57fc1920359845e56e7a22e91fd620c72f5ffa49c12e.csv,5210,csv,text/csv; charset=utf-8,AFN120222,EXTREADYQ-9ad0e9cbf20c32887dd75329,EXTSOURCE-07773c3fa6534a9c462b2fed,,,,Charleston,IL,2021,police,police,RESCAND-5fe3d9c2276fb640656cc036,ROOTCOMP-80df7fb8c3894df99b646eda,MECHEXP-08c14f7378ff5fd2dea87c1a|MECHEXP-bbe62e8e7783dc95e04f1a71|MECHEXP-c349eaa00782cc0d6fa04e19|MECHEXP-d2c0c7a296308b163632e2b4,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,5,5,readiness_lane_004,1
EXTPAYLOAD-216644e0036e3ea48a7af8de,75739a881aad9151b023e44e4aeedc823ef46094370a164d2c25b684192e79f6,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/csv/75739a881aad9151b023e44e4aeedc823ef46094370a164d2c25b684192e79f6.csv,5198,csv,text/csv; charset=utf-8,BZA115223,EXTREADYQ-9072fc4cc24bdb084a9aa8dd,EXTSOURCE-216644e0036e3ea48a7af8de,,,,Buda,TX,2023,unclear,unclear,RESCAND-c405649bf0a235e79552ffe8,ROOTCOMP-fe09082cef3d8d925d81ce0b,MECHEXP-9197406800b3f84c41766b64|MECHEXP-b28170cc288bf1a1fabc699a|MECHEXP-b74e2fb5f74340674d0cb4a3|MECHEXP-db6913f30c385530d23476a7|MECHEXP-fb39475c6f6417880e9a5ebf,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|tenure_and_progression,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,6,4,readiness_lane_004,2
EXTPAYLOAD-8c244d68849a85ceb4128f01,57e3d38daee8459893dffeb17a74a2a4a153f0e9d355b3f143af4ef11ea55c2d,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/csv/57e3d38daee8459893dffeb17a74a2a4a153f0e9d355b3f143af4ef11ea55c2d.csv,5255,csv,text/csv; charset=utf-8,PST040225,EXTREADYQ-9a8a2eb3881ac084c8d22cb2,EXTSOURCE-8c244d68849a85ceb4128f01,,,,Clayton charter,MI,2025,police,police,RESCAND-bb66c353feb1b83a6df22465,ROOTCOMP-109749e28f3d4342dfafd08f|ROOTCOMP-5e00237165391b057270dea4,MECHEXP-120c57fdff3d11df2d1dd359|MECHEXP-16051428c753ff285e87ad19|MECHEXP-2937640ca4664845d3bdbe73|MECHEXP-3b18221efa97c01f6189b1f0|MECHEXP-498c96d861830d2bdeff0c7c|MECHEXP-4b9517b469294a0f8d4e9a8f|MECHEXP-98b890e5fc29379255b4a3cf|MECHEXP-c1d577fe3b6737c35029c741,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,payroll_roster,direct_official_administrative_record,high,current_30_gib_store,1,1,10,5,readiness_lane_004,3
EXTPAYLOAD-00695731fb429c889ad66e00,7d9ddf4a7e40acfba5e95ead1b09cd5daa9d2fcd3ad5ed2838e441af55570ad5,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/7d9ddf4a7e40acfba5e95ead1b09cd5daa9d2fcd3ad5ed2838e441af55570ad5.html,114603,html,text/html; charset=utf-8,2014-county-board-resolutions-and-ordinances,EXTREADYQ-ed62ae4b22cc7f86ff415fd8,EXTSOURCE-00695731fb429c889ad66e00,,,,Fifield,WI,undated,all_units,all_units,EXTCAND-24b5f90189385db142845f29,ROOTCOMP-5d6d05eba83a09c9447dad94|ROOTCOMP-a0133fc5af3d5c2f088d8b59,MECHEXP-217bdaa04a084354b3df5b0d|MECHEXP-4d82d79a47ef689b1c24aecc|MECHEXP-74f93057ec10433325c3305a|MECHEXP-cb3568b4426f45efaf7ef9b0|MECHEXP-e3f05c13daa7d4328866c219|MECHEXP-f8f94c5811529257d362a644,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,external_search_wave_001_compacted,implementation_confirmation,payroll_and_earnings|staffing_and_headcount|tenure_and_progression,ordinance_or_resolution,official_administrative_summary,high,current_30_gib_store,1,1,8,5,readiness_lane_004,4
EXTPAYLOAD-00771192db7aa066f7c1f3c5,782ccc694c510fbd34957d80a6a957f97bb04607718a2439b8410a77df99c857,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/782ccc694c510fbd34957d80a6a957f97bb04607718a2439b8410a77df99c857.html,34649,html,text/html,06-05-25-53223.html,EXTREADYQ-9d34fa442d0fbbdf2151cf9c,EXTSOURCE-00771192db7aa066f7c1f3c5,,,,Altamont,KS,2024,police,police,EXTCAND-904a901fff3b84041007e42a,ROOTCOMP-2d37a8a5660d4b9f3b6af254,MECHEXP-0840c2377c4beb9cbb298537|MECHEXP-0c6a46c61aa312241d1ea9a2|MECHEXP-5d51df67d8c0109154a7295b|MECHEXP-c254dc04100a1d37a3de7a0b|MECHEXP-d754172da4e6dae20100ee0d,,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,salary_schedule,official_administrative_summary,high,current_30_gib_store,1,1,6,4,readiness_lane_004,5
EXTPAYLOAD-00ac5a5318f78383c3b5887b,ab15df8be1e6d03d4f839218aa4676b10f42cdfc963d4e519db86a9892665c84,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab15df8be1e6d03d4f839218aa4676b10f42cdfc963d4e519db86a9892665c84.html,55059,html,text/html,proposed.shtml,EXTREADYQ-435dc8b1957a21cdbc99246d,EXTSOURCE-00ac5a5318f78383c3b5887b,,,,Morris,NJ,undated,all_units,all_units,EXTCAND-fdc33153c78e50b7d921a3de,ROOTCOMP-2644fe18720854aea3bf33e8,MECHEXP-084aeb0558730dd6dac56c34|MECHEXP-0ecd355d1d0d925dbd48879f|MECHEXP-4a236f93070f5adb5833f63b|MECHEXP-548c5fa47d745270c5d7f7d7|MECHEXP-e7687dd6c3c88c90e77c10d3,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,6,6,readiness_lane_004,6
EXTPAYLOAD-00b90a2915c1f737e3222770,058c4e9f97e5e0436ea27ab8ddf6961cf3268d66dd6c18d0d42be80d254617a8,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/058c4e9f97e5e0436ea27ab8ddf6961cf3268d66dd6c18d0d42be80d254617a8.html,142407,html,text/html; charset=utf-8,pabull,EXTREADYQ-15d443d60ee903d530a8db3b,EXTSOURCE-00b90a2915c1f737e3222770,,,,Center,PA,2022,all_units,all_units,EXTCAND-9b6d601fdbabc3fa2aa7ce45,ROOTCOMP-b99303ce4332bcb2360e1332,MECHEXP-0833b5bc100f44aa30a1bdba|MECHEXP-25c510a5226c5ac4ab71b313|MECHEXP-3ff6a3b327edfdfe436f25ef|MECHEXP-be3057ff490ddd3a70b847bf,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,5,6,readiness_lane_004,7
EXTPAYLOAD-00c106b56c3fab0363bafbdb,804af04ef3e76ce60d41c8903adfc6092426d7742214f2dfbf29dd42ace05656,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/804af04ef3e76ce60d41c8903adfc6092426d7742214f2dfbf29dd42ace05656.html,261446,html,text/html; charset=utf-8,newsflash,EXTREADYQ-8636edbfcf594df7a5d500db,EXTSOURCE-00c106b56c3fab0363bafbdb,,,,Chester,NY,2025,police,police,RESCAND-9c952fe14e44bbe024135a6f,ROOTCOMP-563a29dec913be98b896ed8d|ROOTCOMP-6533d469dedb49e66474e19c|ROOTCOMP-698963aa96704a21788a0c7c|ROOTCOMP-ef699e72c9f7359e26949fec,MECHEXP-308d058bf2a08094e4f548b6|MECHEXP-3792a76a48c88d049c1c81bc|MECHEXP-3a47a0f282936724f2759b68|MECHEXP-3b6ac662d75083ea24dea8bf|MECHEXP-3f75327c42ebfb86113aee71|MECHEXP-41c33f3fe7b9b859159b3792|MECHEXP-45f0989d12365e9eef39d680|MECHEXP-5b09f55f8a45b75939dcf2f0|MECHEXP-6ceba3d5f7af393df82dfeb3|MECHEXP-72108b284c24f6f65379d6e0|MECHEXP-7503a5ed40d11d2be44d4e8d|MECHEXP-76e9720fcfd7f7058652aafd|MECHEXP-997bbb4316e8f4081f9b779d|MECHEXP-a764aeeb3fb4f6a6bbdc15dd|MECHEXP-b0bd0fa86bf404f302347218|MECHEXP-ca7ae4836d647a9ce9c9e35a|MECHEXP-d18906137e7a58ef326c834d|MECHEXP-f30ee38bb31a49d8f9dbb302,,upgrades_staffing_hypothesis,external_search_wave_002_exhaustive_residual,staffing_and_headcount,recruitment_and_retention,media_or_context,official_administrative_summary,medium,current_30_gib_store,1,1,22,1,readiness_lane_004,8
EXTPAYLOAD-01125b58a67e2676d85db34d,ab6bf24aff2e46ea8e6ea3f64974258fe8c8511146323caf5e9c901483f93fbc,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ab6bf24aff2e46ea8e6ea3f64974258fe8c8511146323caf5e9c901483f93fbc.html,131819,html,text/html; charset=utf-8,Village-Clerk,EXTREADYQ-9b51101f8f075e6b73495f7d,EXTSOURCE-01125b58a67e2676d85db34d,,,,Sag Harbor,NY,undated,all_units,all_units,EXTCAND-3a4688e9b82ae31225ed1731,ROOTCOMP-7346087bb553c20b03cbb0f2|ROOTCOMP-af6afc01e29de75f99f7177e,MECHEXP-0f5033cc5691c0c7ae1f29f2|MECHEXP-2377efcb9f736d0cc6db726e|MECHEXP-635e21bc37225e700f988d4d|MECHEXP-92bfa2b587c78724065fc824|MECHEXP-ed768ef9cf2950f7be5d5ff2|MECHEXP-f2c6a1c56a8803d5c91caca5|MECHEXP-f74801317df6c1cab88ce522,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source,benefits_and_total_compensation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,9,4,readiness_lane_004,9
EXTPAYLOAD-01458188e8f051054827d6b8,ae6fa1b78d9a8374846ff635cfa63632379d2891a76a16c90f75b3e815c0905d,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ae6fa1b78d9a8374846ff635cfa63632379d2891a76a16c90f75b3e815c0905d.html,25511,html,text/html,meetings,EXTREADYQ-77ec268551195c7404f50b95,EXTSOURCE-01458188e8f051054827d6b8,,,,Sister Bay,WI,2024,all_units,all_units,EXTCAND-055dc87727937faf2afad146,ROOTCOMP-781ad4a519432242be3dac50,MECHEXP-76cd92ce6be7c267690a19c2|MECHEXP-7919971994835a26e7da5bb9|MECHEXP-8682ad5b7af76d1348031cb3|MECHEXP-8a62bb13a39c16b9622f915a,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,external_search_wave_001_compacted,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,payroll_roster,official_administrative_summary,high,current_30_gib_store,1,1,5,6,readiness_lane_004,10
