field_span_queue_id,canonical_payload_id,extraction_result_id,retained_source_ids,extraction_artifact_pointers,extraction_modality,pages_available,sections_available,tables_available,structured_record_count,municipality,state,expected_period,side_scope,department_scope,source_family,administrative_source_type,source_quality,extraction_priority,root_event_ids,mechanism_event_ids,claim_ids,expected_claim_upgrades,extraction_warnings,deterministic_processing_eligibility,narrative_ambiguity_flag,proposed_extraction_families,proposed_next_processing_lane,primary_terminal_status
EXTFIELDQ-04d0ce85eb30b6a0d048e106,EXTPAYLOAD-c1ca0a9959279f7942339813,EXTEXTRACT-7078f29c899b83df0943066b,EXTSOURCE-c1ca0a9959279f7942339813,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9c/EXTPAYLOAD-c1ca0a9959279f7942339813.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9c/EXTPAYLOAD-c1ca0a9959279f7942339813.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9c/EXTPAYLOAD-c1ca0a9959279f7942339813.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9c/EXTPAYLOAD-c1ca0a9959279f7942339813.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9c/EXTPAYLOAD-c1ca0a9959279f7942339813.tables.jsonl.gz,html,0,86,34,0,East Jordan,MI,undated,police,police,multi_family_administrative_source,budget,official_administrative_summary,extraction_priority_medium,ROOTCOMP-326603c3d4140e0ef35b3f78,MECHEXP-20bb253e29931b365ce19fc3|MECHEXP-84ba86230adb9608635b4ff0|MECHEXP-ac13b0be3c0952d2192abd91|MECHEXP-c6b65a94225dbbe93eb2b200|MECHEXP-ef9190da31689444298e61ae,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,mixed_structured_and_text_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,mixed_structured_and_text_processing_ready,extracted_text_and_structured_ok
EXTFIELDQ-ed497498083bd44a95fddb32,EXTPAYLOAD-c1e74e20fffa472467d3109e,EXTEXTRACT-428d24f8e96de1d20e1c91d8,EXTSOURCE-c1e74e20fffa472467d3109e,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f1/EXTPAYLOAD-c1e74e20fffa472467d3109e.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f1/EXTPAYLOAD-c1e74e20fffa472467d3109e.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f1/EXTPAYLOAD-c1e74e20fffa472467d3109e.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f1/EXTPAYLOAD-c1e74e20fffa472467d3109e.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f1/EXTPAYLOAD-c1e74e20fffa472467d3109e.tables.jsonl.gz,html,0,66,0,0,Whiteville,NC,2023,all_units,all_units,multi_family_administrative_source,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-c35b1686cb818ab050dc2de9,MECHEXP-374d6d73d3873ce18368b4ea|MECHEXP-4b3d1ea2635d76e33d6601ec|MECHEXP-bb250154998467e54bfc57a1|MECHEXP-f06a15d8a343e54e9d5c9d02|MECHEXP-fe757e666bff573a003bbede,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-329b327bd4a5ca1e47eee106,EXTPAYLOAD-c207bdb472dd04cfb151b9a6,EXTEXTRACT-7e0b097fe9b1f7c78a18b02c,EXTSOURCE-c207bdb472dd04cfb151b9a6,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/46/EXTPAYLOAD-c207bdb472dd04cfb151b9a6.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/46/EXTPAYLOAD-c207bdb472dd04cfb151b9a6.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/46/EXTPAYLOAD-c207bdb472dd04cfb151b9a6.txt.gz,pdf,238,0,0,0,Blissfield,MI,2025,side_independent,side_independent,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-9a1ae9473389bc73d28446af,MECHEXP-18f1506410cbbc35f3f547a8|MECHEXP-4a16408f120d94c3bd4dc0bd|MECHEXP-7bb2defb4cc00e606b4360e4|MECHEXP-c970142a17afcea829075aee,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-8ccd8053f2c9046e1a7605e9,EXTPAYLOAD-c20e0148ba7741313f96ee5a,EXTEXTRACT-47339f73f96dd6abb444e407,EXTSOURCE-c20e0148ba7741313f96ee5a,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5e/EXTPAYLOAD-c20e0148ba7741313f96ee5a.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5e/EXTPAYLOAD-c20e0148ba7741313f96ee5a.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5e/EXTPAYLOAD-c20e0148ba7741313f96ee5a.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5e/EXTPAYLOAD-c20e0148ba7741313f96ee5a.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5e/EXTPAYLOAD-c20e0148ba7741313f96ee5a.tables.jsonl.gz,html,0,54,0,0,Camargo,IL,undated,all_units,all_units,benefits_and_total_compensation,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-beb85ac7fb032e49ae21c99e,MECHEXP-1056b510222d35021e335455|MECHEXP-2405a1befdd417472ef5f6f9|MECHEXP-9959b8be0ada26aa239e9548|MECHEXP-bb5e02c679a91592dd63ea8c|MECHEXP-c9e357a159bf8ade1918d1c6,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-0fae70125dd61f580e60e214,EXTPAYLOAD-c2177cf3404eab5f5f9812a4,EXTEXTRACT-d7a51c9d72b455ba9e308b8c,EXTSOURCE-c2177cf3404eab5f5f9812a4,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f2/EXTPAYLOAD-c2177cf3404eab5f5f9812a4.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f2/EXTPAYLOAD-c2177cf3404eab5f5f9812a4.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f2/EXTPAYLOAD-c2177cf3404eab5f5f9812a4.txt.gz,pdf,7,0,0,0,Empire,MI,2020,all_units,all_units,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-beb0f4858ba95cf86d66c174,MECHEXP-559e6aca6eb01ab2e795e47b|MECHEXP-7b62c85dbefcb807e114925e|MECHEXP-93ea149a1a2359c8db5d4627|MECHEXP-d16903273248778954c57dc4,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-b793eab7c7feab2aa28840e3,EXTPAYLOAD-c226487e5e5ec06ce71f03bc,EXTEXTRACT-52b1a4cc2c1d4817dbce21ee,EXTSOURCE-c226487e5e5ec06ce71f03bc,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/ae/EXTPAYLOAD-c226487e5e5ec06ce71f03bc.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/ae/EXTPAYLOAD-c226487e5e5ec06ce71f03bc.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/ae/EXTPAYLOAD-c226487e5e5ec06ce71f03bc.txt.gz,pdf,313,0,0,0,Bemidji,MN,2025,police,police,multi_family_administrative_source,staffing_table,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-852350e8ca4586fdf1f8a69b|ROOTCOMP-ed50d3ff4778e576730b8cee,MECHEXP-2b78c7f2b60b236e306fb782|MECHEXP-31c3c0a8fbe3e2bbbe90f5d9|MECHEXP-447788363be4bbb5bda5a41e|MECHEXP-6a92028f58d5d6237132c06e|MECHEXP-7811a9522108cf735ff19d90|MECHEXP-c25be42a29e5cf14ff7a679a|MECHEXP-e6f21cd53ef8f5d2669a71f3,,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-aa36b32cec187ceec4ee8cce,EXTPAYLOAD-c22651933327892505e02822,EXTEXTRACT-ccc1ea827422913ce5715fdb,EXTSOURCE-c22651933327892505e02822,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00/EXTPAYLOAD-c22651933327892505e02822.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00/EXTPAYLOAD-c22651933327892505e02822.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00/EXTPAYLOAD-c22651933327892505e02822.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00/EXTPAYLOAD-c22651933327892505e02822.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00/EXTPAYLOAD-c22651933327892505e02822.tables.jsonl.gz,html,0,53,0,0,Mocksville,NC,2024,non_safety,non_safety,multi_family_administrative_source,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-e28342653b4ffa3548378738,MECHEXP-43fa181ace1d32003a11d425|MECHEXP-5586fca55c43824d2ffd106c|MECHEXP-9673054e61e9400428090ccf|MECHEXP-c17b8a1d08d8ffa084673bb0|MECHEXP-e2d3a4e55e056a81f5bc66f9|MECHEXP-f923fc5d6e5c1f89681ed1f2,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-33f9522e2bdaa30fb992ada2,EXTPAYLOAD-c22ac07c0d2e1b1358a5f37d,EXTEXTRACT-31a24ec4e1d5b479581879f1,EXTSOURCE-c22ac07c0d2e1b1358a5f37d,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/fb/EXTPAYLOAD-c22ac07c0d2e1b1358a5f37d.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/fb/EXTPAYLOAD-c22ac07c0d2e1b1358a5f37d.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/fb/EXTPAYLOAD-c22ac07c0d2e1b1358a5f37d.txt.gz,pdf,2,0,0,0,Sea Girt,NJ,2024,all_units,all_units,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-d1910b5988e8d77e6d25fa97,MECHEXP-12819f7df98d143ff6e63cc0|MECHEXP-35a6eb1b54ea8a2fceca8fb4|MECHEXP-5ca51c71743c4c3059143c84|MECHEXP-cb4b3db18d509a83a8878d97|MECHEXP-d46ad205612e9f5b07a0b4f8|MECHEXP-d694fd59102bc8ac82cab5e3,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-f0153e34d223544dfcf1caef,EXTPAYLOAD-c23cec3f409c7e85b32669ac,EXTEXTRACT-0a2a2e8dc565d940f2737422,EXTSOURCE-c23cec3f409c7e85b32669ac,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f2/EXTPAYLOAD-c23cec3f409c7e85b32669ac.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f2/EXTPAYLOAD-c23cec3f409c7e85b32669ac.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f2/EXTPAYLOAD-c23cec3f409c7e85b32669ac.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f2/EXTPAYLOAD-c23cec3f409c7e85b32669ac.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f2/EXTPAYLOAD-c23cec3f409c7e85b32669ac.tables.jsonl.gz,html,0,24,0,0,Geddes,NY,2024,police,police,multi_family_administrative_source,salary_schedule,official_administrative_summary,extraction_priority_high,ROOTCOMP-d53eb40e146ebdcd7e54ba46,MECHEXP-3b11b1a6d50d3bcbfaff8bcc|MECHEXP-3c686c332bbd27dcc5be250a|MECHEXP-56fb284bbb2a7158fe48b2a3|MECHEXP-7994a4e72a942cc4783210b8,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|staffing_and_headcount,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-2dac8c5f876c9904a990f392,EXTPAYLOAD-c25dc11e13bd5f5c3c70b1c0,EXTEXTRACT-876a9e36c0cd585f6ebb97bd,EXTSOURCE-c25dc11e13bd5f5c3c70b1c0,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4d/EXTPAYLOAD-c25dc11e13bd5f5c3c70b1c0.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4d/EXTPAYLOAD-c25dc11e13bd5f5c3c70b1c0.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4d/EXTPAYLOAD-c25dc11e13bd5f5c3c70b1c0.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4d/EXTPAYLOAD-c25dc11e13bd5f5c3c70b1c0.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4d/EXTPAYLOAD-c25dc11e13bd5f5c3c70b1c0.tables.jsonl.gz,html,0,84,0,0,Colchester,NY,2024,side_independent,side_independent,multi_family_administrative_source,staffing_table,official_administrative_summary,extraction_priority_high,ROOTCOMP-496ed384e5c5fc502179db7e,MECHEXP-75e034dad669c73b91cd7b8e|MECHEXP-7a1a796c0a0799a486b586e0|MECHEXP-9841bafcfe21c66058ffa9c7|MECHEXP-fc032219d8621a636ffaa38a,,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
