canonical_source_record_id,canonical_payload_id,extraction_result_id,primary_terminal_status,modality_status,artifact_count,artifact_bytes,character_count,page_count,table_count,structured_record_count,candidate_ids,root_event_ids,mechanism_event_ids,claim_ids,municipality,state,period,side_scope,department_scope,source_family,administrative_source_type,extraction_priority,propagation_basis
EXTREADYQ-3545b170bdc732ba58f96aa7,EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,EXTEXTRACT-9e76c1567d3c88e54fd04fa9,extracted_text_ok,pdf_extracted_ok,3,70683,272013,76,0,0,EXTCAND-face135d7eb4850fb2777bdf,ROOTCOMP-2bd80b90004df8c40043a1c9|ROOTCOMP-36f76234fe1c0afa7230e10f|ROOTCOMP-db957cfd50d6dc21f6ee0133,MECHEXP-0a5ffef669e0c313a524367b|MECHEXP-1ec3ba98b10075af61174545|MECHEXP-22fcec4ded73ce00dc708256|MECHEXP-3d0f5f6dd72df46958a903e8|MECHEXP-4a19bf20a03ea846c78f1fec|MECHEXP-67b346ce72c31e9ac0d56eed|MECHEXP-6850c7634b58ad40335e8cd7|MECHEXP-6c9b2575947d896976ba6ded|MECHEXP-7bdbb117b13f9c85c1fbfd1a|MECHEXP-904daef7c909fd44e63b65c4|MECHEXP-91bedcc3759b16550f9aedfc|MECHEXP-9c9bd6d111e936e7b1aaf882|MECHEXP-aea193d0817fa1a6cfcb897a|MECHEXP-c053fe8baf45fd8420dd1a5a|MECHEXP-ea5dd33ef9cd429d763807ee|MECHEXP-eae62264c722357462d142e4,,Siler City,NC,2026,side_independent,side_independent,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-05ee892aced917ab99c30b4e,EXTPAYLOAD-00036840dd1547c95ddf49b3,EXTEXTRACT-1d64f9f44d17505a8e6a962b,extracted_text_ok,html_text_extracted_ok,5,2621,1217,0,0,0,RESCAND-86fac417501283fd1d0e9611,ROOTCOMP-6ec7d2e0b8f8ad5b11bd3e7e,MECHEXP-24a21baeaf1d06f52bd4fd97|MECHEXP-3d09c970abb4438a6a219ccd|MECHEXP-46f1b0b852f5b05c9bf1c512|MECHEXP-c1007c49dad782232eeb287f|MECHEXP-d30fa1ecadac5322190984a1,,Atlantic Beach,NC,2025,unclear,unclear,payroll_and_earnings,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-2bc0ef8f6ba45a1ab6167849,EXTPAYLOAD-000842740a46817d53deae4c,EXTEXTRACT-025aab17950d39443fb83572,extracted_text_ok,pdf_extracted_ok,3,2004,2749,3,0,0,RESCAND-b76487c6181ae90841d733bf,ROOTCOMP-4175b19a5d0189229fe93ab2|ROOTCOMP-d7270125af4f5fd9afbbfa1b,MECHEXP-2ead77f6d068bc7f3358ba43|MECHEXP-53f2452353e7fc1ecb1aefa9|MECHEXP-756192861174b17fd3165887|MECHEXP-82c6745d8484cffacb2be3c2|MECHEXP-8de5a281eb579a1bba9d1798|MECHEXP-90a6b5195448468ea78bd83d|MECHEXP-c64e5394c50e11a2c77c6b59,,Champion,OH,2020,police,police,payroll_and_earnings,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-3087bcbb15eff3a3787cb739,EXTPAYLOAD-001335100368c5fa28d271eb,EXTEXTRACT-20c6369ed212a89f2e481e50,extracted_text_and_structured_ok,html_text_and_structured_extracted_ok,5,3605,2621,0,0,2,RESCAND-e58091e14bf29c80f4385c78,ROOTCOMP-0e73882cff2cbe8b6101bacf|ROOTCOMP-809472877af099c2bc02b747|ROOTCOMP-892fab18d54b558f8057e9f6,MECHEXP-1c5cb11232a1006a83cbb598|MECHEXP-283b01d60c53d9ff9387a3a1|MECHEXP-4e6f14f9d6f9c31d1b3b8075|MECHEXP-5e37e7ff7e9482999f34c44b|MECHEXP-69147ac59fac4d111f032cd0|MECHEXP-72f0ed3526fa840c4a42afbe|MECHEXP-876653681d36f34acb7b266d|MECHEXP-8bcf0128e35ea0ccaead31de|MECHEXP-c7370163c1710845985fc0e2|MECHEXP-f2dec8ae18330c12fcf20a6a,,Brookfield,OH,2025,police,police,payroll_and_earnings,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-eea9f412bc68448b57fed427,EXTPAYLOAD-001a1204ca212b6b85f43ef5,EXTEXTRACT-57d60e767f29a0478efd8fde,extracted_text_ok,pdf_extracted_ok,3,21707,71415,36,0,0,EXTCAND-2b1b5bcd6839ae4bfbe0c15c,ROOTCOMP-08a66c1ee67147d560198849,MECHEXP-1e0969577c4208fcfa2fc3c1|MECHEXP-2df5f2a6a42538e788433ed6|MECHEXP-a0e897c2673b46028c6a96a7|MECHEXP-a58461f7da39deaca4a69945|MECHEXP-b3ffa96faeb8f389bd329334|MECHEXP-c949c13630e18dd3c4251344,,Watertown,NY,2026,non_safety,non_safety,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-7fa59054f231714075b84a90,EXTPAYLOAD-001ba8bdc409337d8c467913,EXTEXTRACT-d8d07af740a5205341649923,extracted_text_ok,html_text_extracted_ok,5,5675,7329,0,0,0,EXTCAND-29cf03f93d2d594afc6e81d2,ROOTCOMP-cd2a3cdcbe1ff5024fd718ed,MECHEXP-02c0fee7643a0557ed8ca866|MECHEXP-5e4fa5b6f2d5f36d6e181e40|MECHEXP-bf98c3c8b8cae711c036eb6d|MECHEXP-d56419eee3a8a2eec7270bea|MECHEXP-fadbcb4a3a5bebc5d75f359d,,North Castle,NY,2024,police,police,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-e46f23f2ea71b4d164762ba8,EXTPAYLOAD-001f6312d3c142563e4044fd,EXTEXTRACT-a8969f8fb6139841ce3e007b,extracted_text_and_structured_ok,html_text_tables_and_structured_extracted_ok,5,6281,7122,0,1,1,RESCAND-55f667a74c880fe7d9f677df,ROOTCOMP-9a1ae9473389bc73d28446af,MECHEXP-18f1506410cbbc35f3f547a8|MECHEXP-4a16408f120d94c3bd4dc0bd|MECHEXP-7bb2defb4cc00e606b4360e4|MECHEXP-c970142a17afcea829075aee,,Blissfield,MI,2025,unclear,unclear,implementation_confirmation,ordinance_or_resolution,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-d936a50adfa3cf3fd1ff4c91,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,extracted_text_ok,pdf_extracted_ok,3,14131,38388,21,0,0,RESCAND-777f40bbcb93f6aa159ce49d,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,Avon,NY,undated-source-B4X2500LIVE-20260729-001409,police,police,payroll_and_earnings,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-bb65e99be7bd1d532ec081aa,EXTPAYLOAD-00437bb92546727dc37ba255,EXTEXTRACT-d326090dec67be9abb127ec1,extracted_text_ok,pdf_extracted_ok,3,140768,516863,196,0,0,RESCAND-cbc270e3a1d31b568a24d2e4,ROOTCOMP-9e7bdc798793ee82db315b4e|ROOTCOMP-e8d3d7131d55faa2a6278da3|ROOTCOMP-eb5d912c4a1d565682bd0023,MECHEXP-0090c971d55d88eb59b21a70|MECHEXP-10596d6ab509734bb5ab0636|MECHEXP-44e567bda43dda6bd4d5b93f|MECHEXP-496791b4a587faf7377d377f|MECHEXP-80d2cff250f9a79b648cf252|MECHEXP-aec6e39f56159567e600bc69|MECHEXP-b7c0565006d0123ae759f5f0|MECHEXP-c020974cd161b227dbdaa876|MECHEXP-c06c65ea22fb79dc58510240|MECHEXP-c5689aee182318b89d46804a|MECHEXP-d8cb3cf99155996b23e682b1|MECHEXP-f238b26494e15183de8cf45d,,Conemaugh,PA,2026,non_safety,non_safety,payroll_and_earnings,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-d0013988463fdfb7c3d85cb3,EXTPAYLOAD-00452fdbe1df698e6d99e5fb,EXTEXTRACT-79f991abd8d13ba5a0fd97ea,extracted_text_ok,pdf_extracted_ok,3,8190,22309,11,0,0,EXTCAND-22c848de1a96aed88fcb342a,ROOTCOMP-09212dc81726e39a8d417625,MECHEXP-286f84b4b4c960ed31e9effd|MECHEXP-6727d44b69876c7d80154303|MECHEXP-8fa906f85c2a654aa85ec122|MECHEXP-a96bf5f6c79155c67261a21b,,Wilkins,PA,2025,mixed,mixed,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
