field_span_queue_id,canonical_payload_id,extraction_result_id,retained_source_ids,extraction_artifact_pointers,extraction_modality,pages_available,sections_available,tables_available,structured_record_count,municipality,state,expected_period,side_scope,department_scope,source_family,administrative_source_type,source_quality,extraction_priority,root_event_ids,mechanism_event_ids,claim_ids,expected_claim_upgrades,extraction_warnings,deterministic_processing_eligibility,narrative_ambiguity_flag,proposed_extraction_families,proposed_next_processing_lane,primary_terminal_status
EXTFIELDQ-6fa32b02caa5e059bf7c61d9,EXTPAYLOAD-7077938804f7a1ce92c7d28a,EXTEXTRACT-017ea75c4c25463fbddd1ae2,EXTSOURCE-7077938804f7a1ce92c7d28a,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9f/EXTPAYLOAD-7077938804f7a1ce92c7d28a.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9f/EXTPAYLOAD-7077938804f7a1ce92c7d28a.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9f/EXTPAYLOAD-7077938804f7a1ce92c7d28a.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9f/EXTPAYLOAD-7077938804f7a1ce92c7d28a.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9f/EXTPAYLOAD-7077938804f7a1ce92c7d28a.tables.jsonl.gz,html,0,81,0,0,Ohio,OH,2014,police,police,multi_family_administrative_source,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-f7f5d98df2c7f0d0725e2a1e,MECHEXP-37ac1740c675699d3622c24f|MECHEXP-51fc19ca08442897fbd8208c|MECHEXP-6047d83c385a6a641da7a171|MECHEXP-a8fbf1afff92410da735f21d,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-714bf68dbfb4c56c65690171,EXTPAYLOAD-70782acfec735b5c4482e6f0,EXTEXTRACT-34724ad19ba93f6473e9b1e2,EXTSOURCE-70782acfec735b5c4482e6f0,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a2/EXTPAYLOAD-70782acfec735b5c4482e6f0.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a2/EXTPAYLOAD-70782acfec735b5c4482e6f0.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a2/EXTPAYLOAD-70782acfec735b5c4482e6f0.txt.gz,pdf,239,0,0,0,Pembroke,NC,2016,all_units,all_units,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-09bdbfd90d204ee2aa1e17d3,MECHEXP-0aeccb87986388b14745202e|MECHEXP-206cd3d6598f39a001ca5357|MECHEXP-5a000547581bfb9491822f87|MECHEXP-90c9b19dde12511ad1794a13|MECHEXP-d27c777f66dc268019d6a0ae,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-fa88d6230640de34eae6af66,EXTPAYLOAD-707c8119c605fe8cedbeb675,EXTEXTRACT-f53ab4a00e7c32dfb9d5d290,EXTSOURCE-707c8119c605fe8cedbeb675,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/a1/EXTPAYLOAD-707c8119c605fe8cedbeb675.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/a1/EXTPAYLOAD-707c8119c605fe8cedbeb675.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/a1/EXTPAYLOAD-707c8119c605fe8cedbeb675.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/a1/EXTPAYLOAD-707c8119c605fe8cedbeb675.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/a1/EXTPAYLOAD-707c8119c605fe8cedbeb675.tables.jsonl.gz,html,0,215,0,0,Barker,NY,2024,side_independent,side_independent,multi_family_administrative_source,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-ef57d7b34f9aef1ae1c8550e,MECHEXP-0b2869a04cb98365e0f8543a|MECHEXP-46a89b2f31a873fa28666fef|MECHEXP-4d58a99a18add7e358a53390|MECHEXP-6fe4f1ea95e4a61180f78cc9|MECHEXP-f667b6ebe21627bb74b3fbd7,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-05da8ca248c1085caeb6b9bc,EXTPAYLOAD-708609d5d2139e183f47b71e,EXTEXTRACT-de02413b5b058cbd5652f6aa,EXTSOURCE-708609d5d2139e183f47b71e,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a6/EXTPAYLOAD-708609d5d2139e183f47b71e.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a6/EXTPAYLOAD-708609d5d2139e183f47b71e.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a6/EXTPAYLOAD-708609d5d2139e183f47b71e.txt.gz,pdf,257,0,0,0,Choudrant,LA,undated-source-B4X2500LIVE-20260729-009421,police,police,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-f4c642fb71c22f9e261a4888,MECHEXP-115137c3b8cf89b25d49d164|MECHEXP-1b31f9a40617b551b0102d83|MECHEXP-66c352c748de9a6fa62e872d|MECHEXP-95451f364d5eb2bfc92864bf|MECHEXP-983b798ae73c9bef60247615|MECHEXP-dba08f808e3879caa277a722,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-ea51e30a4adf3584ec464635,EXTPAYLOAD-708f4db476ca0f2c050d692f,EXTEXTRACT-cfd6696813af1bb70e7c4113,EXTSOURCE-708f4db476ca0f2c050d692f,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/e9/EXTPAYLOAD-708f4db476ca0f2c050d692f.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/e9/EXTPAYLOAD-708f4db476ca0f2c050d692f.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/e9/EXTPAYLOAD-708f4db476ca0f2c050d692f.txt.gz,pdf,5,0,0,0,Chittenango,NY,undated-source-B4X2500LIVE-20260729-006401,non_safety,non_safety,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-2e73669ab0ed1c50cb3d1aee|ROOTCOMP-9012b2c3d1408dec34c1a121|ROOTCOMP-f823a04bb4c0a3599f2214d4,MECHEXP-10e669d83f17677f0422f2dd|MECHEXP-45ab16b26c357a3e1a65a3fc|MECHEXP-51aa396432d693ac23e2ecb1|MECHEXP-5ef9c548897b7137cc2a6dd7|MECHEXP-714726101da29f67a6da259e|MECHEXP-ae515596e78d36afa2274943|MECHEXP-cc5363f8fabcd94bacc4030c|MECHEXP-ebf14c724a3fd96850a6e2f8,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,,deterministic_text_pattern_processing_ready,False,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-69d877ea0a624ce6682ef8f3,EXTPAYLOAD-7093d918294d738ae070ea69,EXTEXTRACT-be4666b14b2bc3682558b1ea,EXTSOURCE-7093d918294d738ae070ea69,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/de/EXTPAYLOAD-7093d918294d738ae070ea69.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/de/EXTPAYLOAD-7093d918294d738ae070ea69.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/de/EXTPAYLOAD-7093d918294d738ae070ea69.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/de/EXTPAYLOAD-7093d918294d738ae070ea69.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/de/EXTPAYLOAD-7093d918294d738ae070ea69.tables.jsonl.gz,html,0,474,0,0,Charleston,IL,2021,police,police,multi_family_administrative_source,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-80df7fb8c3894df99b646eda,MECHEXP-08c14f7378ff5fd2dea87c1a|MECHEXP-bbe62e8e7783dc95e04f1a71|MECHEXP-c349eaa00782cc0d6fa04e19|MECHEXP-d2c0c7a296308b163632e2b4,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,non_utf8_decoded,deterministic_text_pattern_processing_ready,False,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-6612e5fcf794fa6a9f13c71e,EXTPAYLOAD-7098459e61a8d5d01f3c8d9e,EXTEXTRACT-86fbee4b8d0442e1effffbf9,EXTSOURCE-7098459e61a8d5d01f3c8d9e,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/12/EXTPAYLOAD-7098459e61a8d5d01f3c8d9e.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/12/EXTPAYLOAD-7098459e61a8d5d01f3c8d9e.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/12/EXTPAYLOAD-7098459e61a8d5d01f3c8d9e.txt.gz,pdf,16,0,0,0,Newcastle,ME,2024,all_units,all_units,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-135e07c595cc3742b953a93d,MECHEXP-124b0445851ea16ab9719fd7|MECHEXP-2949fc36d303bb1532a185f1|MECHEXP-6ce1c6e9ca43d24e37d4485b|MECHEXP-987474c6ed68b99ff9aecf4a|MECHEXP-d1da7de1615b7b4d665a4739,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,,deterministic_text_pattern_processing_ready,False,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-af13009b5c08e239e0fbf995,EXTPAYLOAD-70a55a9f5d7ee0438270cbff,EXTEXTRACT-cfd0c80bd1db38e8145a8ebe,EXTSOURCE-70a55a9f5d7ee0438270cbff,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/28/EXTPAYLOAD-70a55a9f5d7ee0438270cbff.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/28/EXTPAYLOAD-70a55a9f5d7ee0438270cbff.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/28/EXTPAYLOAD-70a55a9f5d7ee0438270cbff.txt.gz,pdf,2,0,0,0,Vernon,CT,undated,all_units,all_units,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-5927c2f74dd7d14580b451c4,MECHEXP-10af88a914c711294f295707|MECHEXP-2c7695008f58d7e7a1b2fdb2|MECHEXP-2e79c2bb4ab8289e60e65014|MECHEXP-c190246fce5766c7d5a6af54,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-c645c95487d326794f916201,EXTPAYLOAD-70a877b14203f94b30d6310c,EXTEXTRACT-6350b1d610d2964f8fa0b972,EXTSOURCE-70a877b14203f94b30d6310c,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ca/EXTPAYLOAD-70a877b14203f94b30d6310c.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ca/EXTPAYLOAD-70a877b14203f94b30d6310c.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ca/EXTPAYLOAD-70a877b14203f94b30d6310c.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ca/EXTPAYLOAD-70a877b14203f94b30d6310c.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ca/EXTPAYLOAD-70a877b14203f94b30d6310c.tables.jsonl.gz,html,0,193,0,0,Greenwood,PA,2026,side_independent,side_independent,implementation_confirmation,ordinance_or_resolution,official_administrative_summary,extraction_priority_high,ROOTCOMP-8a7ee9c00d6f6a7607185a06,MECHEXP-1e7a69e2764171012c3cfd28|MECHEXP-379eacdbea8f659aeeda8a29|MECHEXP-41eb4254fb2b495dcfc02e6e|MECHEXP-7844fbf5080506f171b2deff|MECHEXP-90bef030ea4257a912664c76,,upgrades_growth_analysis|upgrades_local_wage_comparison,,deterministic_text_pattern_processing_ready,False,implementation_confirmation,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-b2fa0f12bdfa8a0bd037d4a4,EXTPAYLOAD-70a8b3cb21fbd3ceeb149215,EXTEXTRACT-2e693239b900f4c83e83aca8,EXTSOURCE-70a8b3cb21fbd3ceeb149215,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/28/EXTPAYLOAD-70a8b3cb21fbd3ceeb149215.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/28/EXTPAYLOAD-70a8b3cb21fbd3ceeb149215.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/28/EXTPAYLOAD-70a8b3cb21fbd3ceeb149215.txt.gz,pdf,75,0,0,0,Champion,OH,2024,fire,fire,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-8132c228b5a66a4c6b434924|ROOTCOMP-b270d2e724f6e8fc01009d25,MECHEXP-25da37cfa7eb8d84c97c6484|MECHEXP-5cde5375edb1350a6af23931|MECHEXP-6e2a91e9ceadd97d5bc81805|MECHEXP-70fe34e575850bbd81fc39a5|MECHEXP-789f69ceddfcda4e22d10ed5|MECHEXP-8bccbb4e30c34104b2dd02b2|MECHEXP-fe3b3ff07e7702ccff819927,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
