artifact_id,extraction_result_id,canonical_payload_id,source_SHA_256,artifact_kind,output_local_path,output_codec,output_SHA_256,output_byte_size
EXTART-41509f2acebb5407fe6d3b94,EXTEXTRACT-1e826d9f9db7e80955d09b1d,EXTPAYLOAD-11f838214015b6e864c70a42,8900fdd8ba76c58a922536130d05ea29ba3b195aa4c30db3d5a8b2798f02f479,html_extraction_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/89/EXTPAYLOAD-11f838214015b6e864c70a42.index.json,json,dfa33b1b02e7ea352c13ac532e75dac6a140d26c5e8939f9d8bf9958cf49727a,1353
EXTART-76a842f4dba79b0432ffa6dd,EXTEXTRACT-1e826d9f9db7e80955d09b1d,EXTPAYLOAD-11f838214015b6e864c70a42,8900fdd8ba76c58a922536130d05ea29ba3b195aa4c30db3d5a8b2798f02f479,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/89/EXTPAYLOAD-11f838214015b6e864c70a42.sections.jsonl.gz,gzip,5383fbe2cb7b191c2a08484e82a3d859945a466b1067c53d8ac8b1e270f5b678,873
EXTART-1e33b1589801a7f4531a9369,EXTEXTRACT-b1fdf1af16cb093499bd890a,EXTPAYLOAD-11f976b3eb7e2562d409faad,6927776426d6c008685e92f61c7cba72b9e1384feeff049f89ff9ba018364e1a,full_html_embedded_structured,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/69/EXTPAYLOAD-11f976b3eb7e2562d409faad.embedded_structured.jsonl.gz,gzip,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20
EXTART-767b44cf9ee0e4ccd567d3ed,EXTEXTRACT-b1fdf1af16cb093499bd890a,EXTPAYLOAD-11f976b3eb7e2562d409faad,6927776426d6c008685e92f61c7cba72b9e1384feeff049f89ff9ba018364e1a,full_html_tables,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/69/EXTPAYLOAD-11f976b3eb7e2562d409faad.tables.jsonl.gz,gzip,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20
EXTART-eebf291f1927dd7287b863f1,EXTEXTRACT-b1fdf1af16cb093499bd890a,EXTPAYLOAD-11f976b3eb7e2562d409faad,6927776426d6c008685e92f61c7cba72b9e1384feeff049f89ff9ba018364e1a,full_html_visible_text,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/69/EXTPAYLOAD-11f976b3eb7e2562d409faad.visible_text.txt.gz,gzip,30ed01148fb52b19746f15b259c243b070b56c9209d1115d8d1a88899b6ef83c,8081
EXTART-ada28539678beff251038c32,EXTEXTRACT-b1fdf1af16cb093499bd890a,EXTPAYLOAD-11f976b3eb7e2562d409faad,6927776426d6c008685e92f61c7cba72b9e1384feeff049f89ff9ba018364e1a,html_extraction_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/69/EXTPAYLOAD-11f976b3eb7e2562d409faad.index.json,json,7c5919f6aaf02d655c967f3f2afa7e8998198fbf27af82fb7d3e18bebea71b8b,1352
EXTART-b66a9cb47b82a195b95b05d8,EXTEXTRACT-b1fdf1af16cb093499bd890a,EXTPAYLOAD-11f976b3eb7e2562d409faad,6927776426d6c008685e92f61c7cba72b9e1384feeff049f89ff9ba018364e1a,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/69/EXTPAYLOAD-11f976b3eb7e2562d409faad.sections.jsonl.gz,gzip,bde853eb260fcc5cf1832d7fbc8927eb941a84a6aadf509effb8e8826ac26d40,206
EXTART-3d00a2e02bb3571b406a1459,EXTEXTRACT-63fce4eeb56633014c62538a,EXTPAYLOAD-120e6a81dae3a010316131bc,d568657ca66a5888d2fb196f28e0e2e5207fc3c8563ed40dcf323f1f28ea5c58,full_pdf_text,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/d5/EXTPAYLOAD-120e6a81dae3a010316131bc.txt.gz,gzip,31237dd25fa0428e140934fe575cb741ae9c38e2db870b99679649c84d107038,51721
EXTART-3223ab93cce090ab2fa6ab86,EXTEXTRACT-63fce4eeb56633014c62538a,EXTPAYLOAD-120e6a81dae3a010316131bc,d568657ca66a5888d2fb196f28e0e2e5207fc3c8563ed40dcf323f1f28ea5c58,pdf_extraction_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/d5/EXTPAYLOAD-120e6a81dae3a010316131bc.index.json,json,ed82560a4e52b4915ac3af32fb79a327a00d74750df3ff5b455aa3d20dabb409,859
EXTART-055e81f52a7d84610b5b3545,EXTEXTRACT-63fce4eeb56633014c62538a,EXTPAYLOAD-120e6a81dae3a010316131bc,d568657ca66a5888d2fb196f28e0e2e5207fc3c8563ed40dcf323f1f28ea5c58,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/d5/EXTPAYLOAD-120e6a81dae3a010316131bc.pages.jsonl.gz,gzip,de94d9358c622761f21a7c10ea104e934cb39e7a66a8b280b1c1f7af10fb14d8,1207
