artifact_id,artifact_kind,canonical_payload_id,counts_json,extraction_result_id,extraction_type,output_SHA_256,output_byte_size,output_codec,output_local_path,source_SHA_256
EXTART-8299089429b8e73a267b8e1d,full_pdf_text,EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,"{""canonical_payload_id"":""EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9"",""character_count"":272013,""configuration_version"":""external-non-ocr-v1"",""empty_pages"":0,""expected_page_count"":76,""extraction_result_id"":""EXTEXTRACT-5fce13c5a5a31ba402da3bfb"",""extractor"":""pypdf"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""likely_table_pages"":65,""page_index_path"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.pages.jsonl.gz"",""pages_with_text"":76,""processed_page_count"":76,""source_SHA_256"":""7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b"",""text_path"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.txt.gz"",""warning_codes"":[]}",EXTEXTRACT-9e76c1567d3c88e54fd04fa9,pdf_text,f1f4ffd5bc5a67806dcc3a8aaeec55db8cf3b7a157815babd42cd321f27d3226,68437,gzip,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.txt.gz,7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b
EXTART-2038abb7b2c151329a01d078,pdf_extraction_index,EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,"{""canonical_payload_id"":""EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9"",""character_count"":272013,""configuration_version"":""external-non-ocr-v1"",""empty_pages"":0,""expected_page_count"":76,""extraction_result_id"":""EXTEXTRACT-5fce13c5a5a31ba402da3bfb"",""extractor"":""pypdf"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""likely_table_pages"":65,""page_index_path"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.pages.jsonl.gz"",""pages_with_text"":76,""processed_page_count"":76,""source_SHA_256"":""7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b"",""text_path"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.txt.gz"",""warning_codes"":[]}",EXTEXTRACT-9e76c1567d3c88e54fd04fa9,pdf_text,3c009966ca02ed074ced0e2f67ffea33a608448fee2cc2c32eb1af2f01e853d6,859,json,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.index.json,7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b
EXTART-4f9744351311c305ed098ae6,pdf_page_index,EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,"{""canonical_payload_id"":""EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9"",""character_count"":272013,""configuration_version"":""external-non-ocr-v1"",""empty_pages"":0,""expected_page_count"":76,""extraction_result_id"":""EXTEXTRACT-5fce13c5a5a31ba402da3bfb"",""extractor"":""pypdf"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""likely_table_pages"":65,""page_index_path"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.pages.jsonl.gz"",""pages_with_text"":76,""processed_page_count"":76,""source_SHA_256"":""7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b"",""text_path"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.txt.gz"",""warning_codes"":[]}",EXTEXTRACT-9e76c1567d3c88e54fd04fa9,pdf_text,69cf842a58684e666a983c2bb0e10aff44ab89282e3a21d7518f19afcfd1c3bc,1387,gzip,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.pages.jsonl.gz,7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b
EXTART-58721b9782087a7dceb8fc99,full_html_embedded_structured,EXTPAYLOAD-00036840dd1547c95ddf49b3,"{""canonical_payload_id"":""EXTPAYLOAD-00036840dd1547c95ddf49b3"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-4a605f4e98d287f39e3da112"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":1,""list_item_count"":25,""paragraph_count"":0,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.visible_text.txt.gz""},""section_count"":27,""source_SHA_256"":""595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac"",""table_cell_count"":0,""table_count"":0,""table_row_count"":0,""visible_character_count"":1217,""warning_codes"":[]}",EXTEXTRACT-1d64f9f44d17505a8e6a962b,html_local,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20,gzip,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.embedded_structured.jsonl.gz,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac
EXTART-139f978e760466b4333980b6,full_html_tables,EXTPAYLOAD-00036840dd1547c95ddf49b3,"{""canonical_payload_id"":""EXTPAYLOAD-00036840dd1547c95ddf49b3"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-4a605f4e98d287f39e3da112"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":1,""list_item_count"":25,""paragraph_count"":0,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.visible_text.txt.gz""},""section_count"":27,""source_SHA_256"":""595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac"",""table_cell_count"":0,""table_count"":0,""table_row_count"":0,""visible_character_count"":1217,""warning_codes"":[]}",EXTEXTRACT-1d64f9f44d17505a8e6a962b,html_local,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20,gzip,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.tables.jsonl.gz,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac
EXTART-a0528f8af4f7e980e6a16c19,full_html_visible_text,EXTPAYLOAD-00036840dd1547c95ddf49b3,"{""canonical_payload_id"":""EXTPAYLOAD-00036840dd1547c95ddf49b3"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-4a605f4e98d287f39e3da112"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":1,""list_item_count"":25,""paragraph_count"":0,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.visible_text.txt.gz""},""section_count"":27,""source_SHA_256"":""595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac"",""table_cell_count"":0,""table_count"":0,""table_row_count"":0,""visible_character_count"":1217,""warning_codes"":[]}",EXTEXTRACT-1d64f9f44d17505a8e6a962b,html_local,c3a94077e070a25f96e31352d0150de93cddc77c19fd1ee9598e84cffd08f489,535,gzip,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.visible_text.txt.gz,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac
EXTART-df2319adf938315df525cefb,html_extraction_index,EXTPAYLOAD-00036840dd1547c95ddf49b3,"{""canonical_payload_id"":""EXTPAYLOAD-00036840dd1547c95ddf49b3"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-4a605f4e98d287f39e3da112"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":1,""list_item_count"":25,""paragraph_count"":0,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.visible_text.txt.gz""},""section_count"":27,""source_SHA_256"":""595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac"",""table_cell_count"":0,""table_count"":0,""table_row_count"":0,""visible_character_count"":1217,""warning_codes"":[]}",EXTEXTRACT-1d64f9f44d17505a8e6a962b,html_local,1aba5500e5546ff2d7a84a1f44ecd79c647480eb5d0331be6d82f2bbf0f99d63,1353,json,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.index.json,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac
EXTART-a4029b3a4f37c38183d18db6,html_section_index,EXTPAYLOAD-00036840dd1547c95ddf49b3,"{""canonical_payload_id"":""EXTPAYLOAD-00036840dd1547c95ddf49b3"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-4a605f4e98d287f39e3da112"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":1,""list_item_count"":25,""paragraph_count"":0,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.visible_text.txt.gz""},""section_count"":27,""source_SHA_256"":""595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac"",""table_cell_count"":0,""table_count"":0,""table_row_count"":0,""visible_character_count"":1217,""warning_codes"":[]}",EXTEXTRACT-1d64f9f44d17505a8e6a962b,html_local,a7c977091ff817ba9eb01185b4df61733c9e9a749ed4505a6b9bee97abf9c0d3,693,gzip,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.sections.jsonl.gz,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac
EXTART-b884c0d04f0f78566fb81629,full_pdf_text,EXTPAYLOAD-000842740a46817d53deae4c,"{""canonical_payload_id"":""EXTPAYLOAD-000842740a46817d53deae4c"",""character_count"":2749,""configuration_version"":""external-non-ocr-v1"",""empty_pages"":0,""expected_page_count"":3,""extraction_result_id"":""EXTEXTRACT-9f71adb3c0e40e361e6004e7"",""extractor"":""pypdf"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""likely_table_pages"":2,""page_index_path"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2e/EXTPAYLOAD-000842740a46817d53deae4c.pages.jsonl.gz"",""pages_with_text"":3,""processed_page_count"":3,""source_SHA_256"":""2e9feec2fcf77581902e9769f558840bb62f3a04f0d9a0421d0775d505e8d97e"",""text_path"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2e/EXTPAYLOAD-000842740a46817d53deae4c.txt.gz"",""warning_codes"":[]}",EXTEXTRACT-025aab17950d39443fb83572,pdf_text,ef8ef718d63196dc8ad28dee93c49c3e1d3e36fc73578d1cea3fe604fda53b43,889,gzip,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2e/EXTPAYLOAD-000842740a46817d53deae4c.txt.gz,2e9feec2fcf77581902e9769f558840bb62f3a04f0d9a0421d0775d505e8d97e
EXTART-8636d6d03439b242bac6e4e2,pdf_extraction_index,EXTPAYLOAD-000842740a46817d53deae4c,"{""canonical_payload_id"":""EXTPAYLOAD-000842740a46817d53deae4c"",""character_count"":2749,""configuration_version"":""external-non-ocr-v1"",""empty_pages"":0,""expected_page_count"":3,""extraction_result_id"":""EXTEXTRACT-9f71adb3c0e40e361e6004e7"",""extractor"":""pypdf"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""likely_table_pages"":2,""page_index_path"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2e/EXTPAYLOAD-000842740a46817d53deae4c.pages.jsonl.gz"",""pages_with_text"":3,""processed_page_count"":3,""source_SHA_256"":""2e9feec2fcf77581902e9769f558840bb62f3a04f0d9a0421d0775d505e8d97e"",""text_path"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2e/EXTPAYLOAD-000842740a46817d53deae4c.txt.gz"",""warning_codes"":[]}",EXTEXTRACT-025aab17950d39443fb83572,pdf_text,75cbee61f6b34114507d1f9e353f1d9ee37e4ae3568eb1da2b13a59f68395b84,853,json,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2e/EXTPAYLOAD-000842740a46817d53deae4c.index.json,2e9feec2fcf77581902e9769f558840bb62f3a04f0d9a0421d0775d505e8d97e
