artifact_id,artifact_kind,canonical_payload_id,counts_json,extraction_result_id,extraction_type,output_SHA_256,output_byte_size,output_codec,output_local_path,source_SHA_256
EXTART-52a0e1702f1ec78fad8a8e8c,full_html_visible_text,EXTPAYLOAD-98f267ab7b0f07b21c1b9611,"{""canonical_payload_id"":""EXTPAYLOAD-98f267ab7b0f07b21c1b9611"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":1,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-7b16f9b7bb525f77ca9169c2"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":18,""list_item_count"":35,""paragraph_count"":32,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.visible_text.txt.gz""},""section_count"":86,""source_SHA_256"":""111f3822da9e549f9a73b19597bff9fd97669ebf3d24adcd749b463fe4a57017"",""table_cell_count"":0,""table_count"":0,""table_row_count"":0,""visible_character_count"":7095,""warning_codes"":[]}",EXTEXTRACT-e1b3e0d08b8f7dc31f65ca56,html_local,9ce3d33c510ffdb1656f77d3e0b186ffb309428810191ec24a08c907b3e12167,2770,gzip,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.visible_text.txt.gz,111f3822da9e549f9a73b19597bff9fd97669ebf3d24adcd749b463fe4a57017
EXTART-ab8c1a45f0e9bf35c8a3049a,html_extraction_index,EXTPAYLOAD-98f267ab7b0f07b21c1b9611,"{""canonical_payload_id"":""EXTPAYLOAD-98f267ab7b0f07b21c1b9611"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":1,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-7b16f9b7bb525f77ca9169c2"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":18,""list_item_count"":35,""paragraph_count"":32,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.visible_text.txt.gz""},""section_count"":86,""source_SHA_256"":""111f3822da9e549f9a73b19597bff9fd97669ebf3d24adcd749b463fe4a57017"",""table_cell_count"":0,""table_count"":0,""table_row_count"":0,""visible_character_count"":7095,""warning_codes"":[]}",EXTEXTRACT-e1b3e0d08b8f7dc31f65ca56,html_local,188116008ebe90dbc626d45dacfa4a662091d7f975bf6abfbc314727cd78cf1f,1355,json,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.index.json,111f3822da9e549f9a73b19597bff9fd97669ebf3d24adcd749b463fe4a57017
EXTART-aa04eb5d1bf9a946aa0fbe89,html_section_index,EXTPAYLOAD-98f267ab7b0f07b21c1b9611,"{""canonical_payload_id"":""EXTPAYLOAD-98f267ab7b0f07b21c1b9611"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":1,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-7b16f9b7bb525f77ca9169c2"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":18,""list_item_count"":35,""paragraph_count"":32,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.visible_text.txt.gz""},""section_count"":86,""source_SHA_256"":""111f3822da9e549f9a73b19597bff9fd97669ebf3d24adcd749b463fe4a57017"",""table_cell_count"":0,""table_count"":0,""table_row_count"":0,""visible_character_count"":7095,""warning_codes"":[]}",EXTEXTRACT-e1b3e0d08b8f7dc31f65ca56,html_local,845f7cf2f687329b6fd75fd27197bd9e31ca24a869775e2e9bc948d1338e5aed,1883,gzip,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/11/EXTPAYLOAD-98f267ab7b0f07b21c1b9611.sections.jsonl.gz,111f3822da9e549f9a73b19597bff9fd97669ebf3d24adcd749b463fe4a57017
EXTART-db50ba39c945644b287751ba,full_html_embedded_structured,EXTPAYLOAD-98f62255179028ece698efef,"{""canonical_payload_id"":""EXTPAYLOAD-98f62255179028ece698efef"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-dce8a9332afaef5281da22e4"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":5,""list_item_count"":6,""paragraph_count"":50,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.visible_text.txt.gz""},""section_count"":63,""source_SHA_256"":""4f88074e752bdd98a439f311dd62d6163446389ccc566c4fd854c2497d2179fd"",""table_cell_count"":5,""table_count"":2,""table_row_count"":2,""visible_character_count"":4924,""warning_codes"":[]}",EXTEXTRACT-60d7e63987aedea3158f3552,html_local,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20,gzip,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.embedded_structured.jsonl.gz,4f88074e752bdd98a439f311dd62d6163446389ccc566c4fd854c2497d2179fd
EXTART-a491e26b1358ce7930d4f75c,full_html_tables,EXTPAYLOAD-98f62255179028ece698efef,"{""canonical_payload_id"":""EXTPAYLOAD-98f62255179028ece698efef"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-dce8a9332afaef5281da22e4"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":5,""list_item_count"":6,""paragraph_count"":50,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.visible_text.txt.gz""},""section_count"":63,""source_SHA_256"":""4f88074e752bdd98a439f311dd62d6163446389ccc566c4fd854c2497d2179fd"",""table_cell_count"":5,""table_count"":2,""table_row_count"":2,""visible_character_count"":4924,""warning_codes"":[]}",EXTEXTRACT-60d7e63987aedea3158f3552,html_local,ebc89b2442932e0f44c3958576113fe148a3171a482a06d25ef86d596794ebd1,368,gzip,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.tables.jsonl.gz,4f88074e752bdd98a439f311dd62d6163446389ccc566c4fd854c2497d2179fd
EXTART-0e25f6e871662b97ee9bdf7d,full_html_visible_text,EXTPAYLOAD-98f62255179028ece698efef,"{""canonical_payload_id"":""EXTPAYLOAD-98f62255179028ece698efef"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-dce8a9332afaef5281da22e4"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":5,""list_item_count"":6,""paragraph_count"":50,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.visible_text.txt.gz""},""section_count"":63,""source_SHA_256"":""4f88074e752bdd98a439f311dd62d6163446389ccc566c4fd854c2497d2179fd"",""table_cell_count"":5,""table_count"":2,""table_row_count"":2,""visible_character_count"":4924,""warning_codes"":[]}",EXTEXTRACT-60d7e63987aedea3158f3552,html_local,e3163a9e187b785c6804b0c239541ae882a7b1b4d27dae900ee0f45b5db8e461,1192,gzip,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.visible_text.txt.gz,4f88074e752bdd98a439f311dd62d6163446389ccc566c4fd854c2497d2179fd
EXTART-f1d4579291fa2ef08005d336,html_extraction_index,EXTPAYLOAD-98f62255179028ece698efef,"{""canonical_payload_id"":""EXTPAYLOAD-98f62255179028ece698efef"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-dce8a9332afaef5281da22e4"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":5,""list_item_count"":6,""paragraph_count"":50,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.visible_text.txt.gz""},""section_count"":63,""source_SHA_256"":""4f88074e752bdd98a439f311dd62d6163446389ccc566c4fd854c2497d2179fd"",""table_cell_count"":5,""table_count"":2,""table_row_count"":2,""visible_character_count"":4924,""warning_codes"":[]}",EXTEXTRACT-60d7e63987aedea3158f3552,html_local,864db184ffaac00615c96797f1d828c3c115cd1442fcf4a9df5021ede819851a,1353,json,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.index.json,4f88074e752bdd98a439f311dd62d6163446389ccc566c4fd854c2497d2179fd
EXTART-e1d096fe35801733b1c74dfd,html_section_index,EXTPAYLOAD-98f62255179028ece698efef,"{""canonical_payload_id"":""EXTPAYLOAD-98f62255179028ece698efef"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-dce8a9332afaef5281da22e4"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":5,""list_item_count"":6,""paragraph_count"":50,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.visible_text.txt.gz""},""section_count"":63,""source_SHA_256"":""4f88074e752bdd98a439f311dd62d6163446389ccc566c4fd854c2497d2179fd"",""table_cell_count"":5,""table_count"":2,""table_row_count"":2,""visible_character_count"":4924,""warning_codes"":[]}",EXTEXTRACT-60d7e63987aedea3158f3552,html_local,6c25f153cf720de51855510e71dd1d3a8c0df73751ce36e983e392856d098f14,1365,gzip,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4f/EXTPAYLOAD-98f62255179028ece698efef.sections.jsonl.gz,4f88074e752bdd98a439f311dd62d6163446389ccc566c4fd854c2497d2179fd
EXTART-49b395544961f400d18d650f,full_html_embedded_structured,EXTPAYLOAD-98f889152bfdf0a60c7f0409,"{""canonical_payload_id"":""EXTPAYLOAD-98f889152bfdf0a60c7f0409"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-e717f5b83e3a2f540576e97a"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":0,""list_item_count"":0,""paragraph_count"":1,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f7/EXTPAYLOAD-98f889152bfdf0a60c7f0409.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f7/EXTPAYLOAD-98f889152bfdf0a60c7f0409.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f7/EXTPAYLOAD-98f889152bfdf0a60c7f0409.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f7/EXTPAYLOAD-98f889152bfdf0a60c7f0409.visible_text.txt.gz""},""section_count"":2,""source_SHA_256"":""f76d09a377fd5801198ad7f5da8fc43fe52c0cfa79d192b37c8d873aa955b5e4"",""table_cell_count"":0,""table_count"":0,""table_row_count"":0,""visible_character_count"":154,""warning_codes"":[]}",EXTEXTRACT-ab35571bcd0ddae1671365a4,html_local,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20,gzip,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f7/EXTPAYLOAD-98f889152bfdf0a60c7f0409.embedded_structured.jsonl.gz,f76d09a377fd5801198ad7f5da8fc43fe52c0cfa79d192b37c8d873aa955b5e4
EXTART-930ec11593f88d98d5f3d61f,full_html_tables,EXTPAYLOAD-98f889152bfdf0a60c7f0409,"{""canonical_payload_id"":""EXTPAYLOAD-98f889152bfdf0a60c7f0409"",""configuration_version"":""external-non-ocr-v1"",""embedded_structured_record_count"":0,""encoding"":""utf-8"",""extraction_result_id"":""EXTEXTRACT-e717f5b83e3a2f540576e97a"",""extractor"":""lxml"",""extractor_version"":""pypdf+lxml+csv-2026-08-05"",""heading_count"":0,""list_item_count"":0,""paragraph_count"":1,""paths"":{""embedded"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f7/EXTPAYLOAD-98f889152bfdf0a60c7f0409.embedded_structured.jsonl.gz"",""sections"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f7/EXTPAYLOAD-98f889152bfdf0a60c7f0409.sections.jsonl.gz"",""tables"":""artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f7/EXTPAYLOAD-98f889152bfdf0a60c7f0409.tables.jsonl.gz"",""text"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f7/EXTPAYLOAD-98f889152bfdf0a60c7f0409.visible_text.txt.gz""},""section_count"":2,""source_SHA_256"":""f76d09a377fd5801198ad7f5da8fc43fe52c0cfa79d192b37c8d873aa955b5e4"",""table_cell_count"":0,""table_count"":0,""table_row_count"":0,""visible_character_count"":154,""warning_codes"":[]}",EXTEXTRACT-ab35571bcd0ddae1671365a4,html_local,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20,gzip,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f7/EXTPAYLOAD-98f889152bfdf0a60c7f0409.tables.jsonl.gz,f76d09a377fd5801198ad7f5da8fc43fe52c0cfa79d192b37c8d873aa955b5e4
