MIME_type,SHA_256,administrative_source_type,analytical_rows_extracted,byte_size,candidate_fanout,canonical_payload_id,canonical_retained_source_ids,canonical_source_fanout,canonical_source_record_ids,claim_fanout,deferred_queue,department_scope,detected_file_type,diagnostic_full_text_persisted,diagnostics_json,duplicate_retained_source_ids,event_fanout,expected_claim_upgrade_tags,extraction_priority,extraction_ready,inspected_at,inspection_runtime_seconds,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,municipality,ocr_performed,original_filename,payload_origin,period,primary_extraction_queue,prior_retained_source_reuse_ids,readiness_lane_id,readiness_lane_sequence,readiness_reason_codes,readiness_result_id,readiness_status,review_priority,secondary_processing_hints,secondary_source_families,side_scope,source_family,source_quality,state,version_relationship_ids,retained_source_ids,duplicate_source_ids,prior_reuse_source_ids,candidate_ids,search_wave_provenance,municipality_names,states,periods,side_scopes,department_scopes,primary_source_family,root_event_ids,mechanism_event_ids,claim_ids,extraction_lane_id,extraction_lane_sequence
text/csv; charset=utf-8,041254a78c3c12a192b0f278ff2fc34e5223b6f3a4309608fca1a75b4272176a,payroll_roster,0,5233,1,EXTPAYLOAD-81e66257418f4c15bb35f009,EXTSOURCE-81e66257418f4c15bb35f009,1,EXTREADYQ-b90714c6375ad4f4bfac129a,6,,all_units,csv,False,"{""blank_row_count"":4,""column_count"":4,""delimiter"":"","",""diagnostic_rows_persisted"":false,""duplicate_header_count"":0,""encoding"":""utf-8"",""header_candidates"":[""Fact"",""Fact Note"",""Big Flats town, Chemung County, New York"",""Value Note for Big Flats town, Chemung County, New York""],""likely_compensation_staffing_columns"":[],""likely_date_columns"":[],""likely_municipality_department_employee_columns"":[],""malformed_row_count"":0,""row_count"":85}",,5,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:00:39.087892+00:00,0.001145,EXTCAND-031442bd56ffde58f0480eef,,MECHEXP-058d8d924d085a56172504e8|MECHEXP-62becd9a651f9bb533651f19|MECHEXP-7075228786d8e60df7aeec3c|MECHEXP-d1cd29e2c55081cf1fa76e0d,ROOTCOMP-79f2c2f611a8f69a30a99374,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/csv/041254a78c3c12a192b0f278ff2fc34e5223b6f3a4309608fca1a75b4272176a.csv,Big Flats,False,BZA010223,current_30_gib_store,2023,csv_extraction_queue,,readiness_lane_003,2,parseable_delimited_schema,EXTREADINESS-4676bd2b4831df00ad4e745d,csv_structured_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,all_units,multi_family_administrative_source,direct_official_administrative_record,NY,,EXTSOURCE-81e66257418f4c15bb35f009,,,EXTCAND-031442bd56ffde58f0480eef,external_search_wave_001_compacted,Big Flats,NY,2023,all_units,all_units,multi_family_administrative_source,ROOTCOMP-79f2c2f611a8f69a30a99374,MECHEXP-058d8d924d085a56172504e8|MECHEXP-62becd9a651f9bb533651f19|MECHEXP-7075228786d8e60df7aeec3c|MECHEXP-d1cd29e2c55081cf1fa76e0d,,extraction_lane_001,1
text/csv; charset=utf-8,b17982670ead4890ea0131040533ec458e311a9c35540a5e68425947cdd5f01c,payroll_roster,0,5195,1,EXTPAYLOAD-e1ac00973ff4ee00ee623e49,EXTSOURCE-e1ac00973ff4ee00ee623e49,1,EXTREADYQ-4908305d2205c582c418ec13,4,,unclear,csv,False,"{""blank_row_count"":4,""column_count"":4,""delimiter"":"","",""diagnostic_rows_persisted"":false,""duplicate_header_count"":0,""encoding"":""utf-8"",""header_candidates"":[""Fact"",""Fact Note"",""Bedford city, Ohio"",""Value Note for Bedford city, Ohio""],""likely_compensation_staffing_columns"":[],""likely_date_columns"":[],""likely_municipality_department_employee_columns"":[""Bedford city, Ohio"",""Value Note for Bedford city, Ohio""],""malformed_row_count"":0,""row_count"":85}",,5,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T18:54:39.002876+00:00,0.001358,RESCAND-88a404f465c4e2d4d87513c7,,MECHEXP-9917b1459bd16183bbeeb835|MECHEXP-9bb012b0b078e8111bc93f54|MECHEXP-da42f9eb0fdac028c3742521|MECHEXP-e6fca0aa8a7fc7ccea4758a1,ROOTCOMP-9816b5f622e1700e4f78dfb3,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/csv/b17982670ead4890ea0131040533ec458e311a9c35540a5e68425947cdd5f01c.csv,Bedford,False,HCN010222,current_30_gib_store,2022,csv_extraction_queue,,readiness_lane_001,2,parseable_delimited_schema,EXTREADINESS-cdb5f650bd3b1b59f613daec,csv_structured_ready,high,,implementation_confirmation,unclear,payroll_and_earnings,direct_official_administrative_record,OH,,EXTSOURCE-e1ac00973ff4ee00ee623e49,,,RESCAND-88a404f465c4e2d4d87513c7,external_search_wave_002_exhaustive_residual,Bedford,OH,2022,unclear,unclear,payroll_and_earnings,ROOTCOMP-9816b5f622e1700e4f78dfb3,MECHEXP-9917b1459bd16183bbeeb835|MECHEXP-9bb012b0b078e8111bc93f54|MECHEXP-da42f9eb0fdac028c3742521|MECHEXP-e6fca0aa8a7fc7ccea4758a1,,extraction_lane_001,2
text/csv; charset=utf-8,278fc56ce7ae5e9eedc832987655c11fca43629630d800ed60001cf219579210,payroll_roster,0,5210,1,EXTPAYLOAD-f690cf1904f706a8b082ebe4,EXTSOURCE-f690cf1904f706a8b082ebe4,1,EXTREADYQ-19e2c7d8921b4b755d139a71,5,,fire,csv,False,"{""blank_row_count"":4,""column_count"":4,""delimiter"":"","",""diagnostic_rows_persisted"":false,""duplicate_header_count"":0,""encoding"":""utf-8"",""header_candidates"":[""Fact"",""Fact Note"",""Ashtabula city, Ohio"",""Value Note for Ashtabula city, Ohio""],""likely_compensation_staffing_columns"":[],""likely_date_columns"":[],""likely_municipality_department_employee_columns"":[""Ashtabula city, Ohio"",""Value Note for Ashtabula city, Ohio""],""malformed_row_count"":0,""row_count"":85}",,9,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T19:00:39.090592+00:00,0.000878,RESCAND-606afb6ffa8eafecdda3b254,,MECHEXP-196ee985f6483ebaf168f3bd|MECHEXP-412e451bfdd4e2f648f5d456|MECHEXP-4a4bc0fe8966f39a5077c2a9|MECHEXP-a9beb4cfce66e7f466967445|MECHEXP-ab0fce37b0daf6044de19405|MECHEXP-b9149ebba2904535461838b7|MECHEXP-d17e0d4eabc8e1e5ac8e049f,ROOTCOMP-0ebcf61c0687db47dba316b2|ROOTCOMP-28fdda973cfe62f16b9c1559,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/csv/278fc56ce7ae5e9eedc832987655c11fca43629630d800ed60001cf219579210.csv,Ashtabula,False,SBO050223,current_30_gib_store,2024,csv_extraction_queue,,readiness_lane_003,4,parseable_delimited_schema,EXTREADINESS-255d4f70cc9c763fbaeb9118,csv_structured_ready,high,,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,fire,multi_family_administrative_source,direct_official_administrative_record,OH,,EXTSOURCE-f690cf1904f706a8b082ebe4,,,RESCAND-606afb6ffa8eafecdda3b254,external_search_wave_002_exhaustive_residual,Ashtabula,OH,2024,fire,fire,multi_family_administrative_source,ROOTCOMP-0ebcf61c0687db47dba316b2|ROOTCOMP-28fdda973cfe62f16b9c1559,MECHEXP-196ee985f6483ebaf168f3bd|MECHEXP-412e451bfdd4e2f648f5d456|MECHEXP-4a4bc0fe8966f39a5077c2a9|MECHEXP-a9beb4cfce66e7f466967445|MECHEXP-ab0fce37b0daf6044de19405|MECHEXP-b9149ebba2904535461838b7|MECHEXP-d17e0d4eabc8e1e5ac8e049f,,extraction_lane_001,3
text/html; charset=UTF-8,4dd54667c92c989807cbf4abfac19d60b8c947283f75374cb947293115ba4cbd,payroll_roster,0,80953,1,EXTPAYLOAD-008873b5b51a2c3bfd49fcc1,EXTSOURCE-008873b5b51a2c3bfd49fcc1,1,EXTREADYQ-7e1186ad0c574f3c0abaf033,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":80953,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":1,""link_count"":90,""navigation_density"":0.189873,""payload_bytes"":80953,""row_element_count"":0,""script_count"":72,""structured_data_script_count"":1,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":3226}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:00:39.097306+00:00,0.006308,RESCAND-514b2b49614e7fad20dc2f5f,,MECHEXP-24a21baeaf1d06f52bd4fd97|MECHEXP-3d09c970abb4438a6a219ccd|MECHEXP-46f1b0b852f5b05c9bf1c512|MECHEXP-c1007c49dad782232eeb287f|MECHEXP-d30fa1ecadac5322190984a1,ROOTCOMP-6ec7d2e0b8f8ad5b11bd3e7e,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4dd54667c92c989807cbf4abfac19d60b8c947283f75374cb947293115ba4cbd.html,Atlantic Beach,False,time-and-payroll-and-invoicing,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_003,5,structured_data_or_dataset_signal,EXTREADINESS-b5740c91946600b1471e5a5a,html_structured_data_candidate,high,table_candidate,implementation_confirmation|tenure_and_progression,unclear,payroll_and_earnings,official_administrative_summary,NC,,EXTSOURCE-008873b5b51a2c3bfd49fcc1,,,RESCAND-514b2b49614e7fad20dc2f5f,external_search_wave_002_exhaustive_residual,Atlantic Beach,NC,2025,unclear,unclear,payroll_and_earnings,ROOTCOMP-6ec7d2e0b8f8ad5b11bd3e7e,MECHEXP-24a21baeaf1d06f52bd4fd97|MECHEXP-3d09c970abb4438a6a219ccd|MECHEXP-46f1b0b852f5b05c9bf1c512|MECHEXP-c1007c49dad782232eeb287f|MECHEXP-d30fa1ecadac5322190984a1,,extraction_lane_001,4
text/html,1a45bbb558f61c5c362a37cf1b645b2ef60ff1e33a2261385137b46420e76244,payroll_roster,0,291789,1,EXTPAYLOAD-01009107b6b3f35ff8ac0e3d,EXTSOURCE-01009107b6b3f35ff8ac0e3d,1,EXTREADYQ-1d1ecc25d9d747b3ac5f1409,5,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":291789,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":1,""link_count"":37,""navigation_density"":0.040261,""payload_bytes"":291789,""row_element_count"":0,""script_count"":12,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":6154}",,10,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:57:39.148909+00:00,0.00313,RESCAND-642d68c858969cf956fd1863,,MECHEXP-0882ba60a5961d0ea9f6261d|MECHEXP-0a2a34428590f5735cd9c7d8|MECHEXP-60fa202cb022f5cc3497f0da|MECHEXP-79edfb09262b54d5addef303|MECHEXP-7d590d61deabbbf23f69ebad|MECHEXP-986811fe41ceb63f3de08515|MECHEXP-db603b521050880452be3bc0|MECHEXP-ee3c62e64fc9dffe07c8b1d6,ROOTCOMP-5374544dcbecb89f77eb884d|ROOTCOMP-84e33d91754e6c4ecfbc5c62,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1a45bbb558f61c5c362a37cf1b645b2ef60ff1e33a2261385137b46420e76244.html,Bradley,False,11085200,current_30_gib_store,2026,html_text_extraction_queue,,readiness_lane_002,11,substantive_visible_html_text,EXTREADINESS-1056b4dd7de25dc7c7d6bb19,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,multi_family_administrative_source,official_administrative_summary,ME,,EXTSOURCE-01009107b6b3f35ff8ac0e3d,,,RESCAND-642d68c858969cf956fd1863,external_search_wave_002_exhaustive_residual,Bradley,ME,2026,unclear,unclear,multi_family_administrative_source,ROOTCOMP-5374544dcbecb89f77eb884d|ROOTCOMP-84e33d91754e6c4ecfbc5c62,MECHEXP-0882ba60a5961d0ea9f6261d|MECHEXP-0a2a34428590f5735cd9c7d8|MECHEXP-60fa202cb022f5cc3497f0da|MECHEXP-79edfb09262b54d5addef303|MECHEXP-7d590d61deabbbf23f69ebad|MECHEXP-986811fe41ceb63f3de08515|MECHEXP-db603b521050880452be3bc0|MECHEXP-ee3c62e64fc9dffe07c8b1d6,,extraction_lane_001,5
text/html; charset=UTF-8,35d8f04248a17dfd34b6fec43baf025386d3effd7867212faf36c8d73f74949f,payroll_roster,0,83343,1,EXTPAYLOAD-01167a717375bbfc0229baeb,EXTSOURCE-01167a717375bbfc0229baeb,1,EXTREADYQ-fef40114f133f3b578c94e1f,5,,fire,html,False,"{""bounded_inspection"":false,""bytes_inspected"":83343,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":1,""link_count"":249,""navigation_density"":0.275442,""payload_bytes"":83343,""row_element_count"":0,""script_count"":7,""structured_data_script_count"":1,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":6654}",,9,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T19:00:39.100712+00:00,0.002867,RESCAND-a64246ab26fb4ec1272f106d,,MECHEXP-16df61ad349cdd5cec01dce2|MECHEXP-22f2a6a6c647d031c4242d15|MECHEXP-901a1bb1127d487182a88598|MECHEXP-93cda44027a9c403e0cedca0|MECHEXP-ce7e0085e5b6b2d074e53662|MECHEXP-d55459848504248ef42230c4|MECHEXP-fef183ec75f38f93f5b7790f,ROOTCOMP-1f99df04e1f36cdb18b4843c|ROOTCOMP-ef54651b801c3021ae492f45,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/35d8f04248a17dfd34b6fec43baf025386d3effd7867212faf36c8d73f74949f.html,Coventry,False,budgets-financial-data,current_30_gib_store,2020,html_table_candidate_queue,,readiness_lane_003,6,structured_data_or_dataset_signal,EXTREADINESS-e89f45da9bf040b150841b71,html_structured_data_candidate,high,table_candidate,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,fire,multi_family_administrative_source,official_administrative_summary,OH,,EXTSOURCE-01167a717375bbfc0229baeb,,,RESCAND-a64246ab26fb4ec1272f106d,external_search_wave_002_exhaustive_residual,Coventry,OH,2020,fire,fire,multi_family_administrative_source,ROOTCOMP-1f99df04e1f36cdb18b4843c|ROOTCOMP-ef54651b801c3021ae492f45,MECHEXP-16df61ad349cdd5cec01dce2|MECHEXP-22f2a6a6c647d031c4242d15|MECHEXP-901a1bb1127d487182a88598|MECHEXP-93cda44027a9c403e0cedca0|MECHEXP-ce7e0085e5b6b2d074e53662|MECHEXP-d55459848504248ef42230c4|MECHEXP-fef183ec75f38f93f5b7790f,,extraction_lane_001,6
text/html; charset=utf-8,e82d9d44ab6adc9f65133ac969a7809cb4e41520f7ec4d87d98252c153ad6928,payroll_roster,0,69124,1,EXTPAYLOAD-011f1de25fb7b507572ae602,EXTSOURCE-011f1de25fb7b507572ae602,1,EXTREADYQ-89f805939ec2d8bd93bb9e91,4,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":69124,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":1,""link_count"":395,""navigation_density"":0.296324,""payload_bytes"":69124,""row_element_count"":67,""script_count"":19,""structured_data_script_count"":0,""table_count"":21,""valid_html_structure"":true,""visible_text_characters"":9559}",,18,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T18:54:39.020104+00:00,0.002903,RESCAND-a4ef8007a746a8d1f20fadad,,MECHEXP-1b126978821fffd16f9011e5|MECHEXP-2cf6443affa37a9f3bf872b9|MECHEXP-3b3b47052f8011a65310ae78|MECHEXP-58d47180c7fb3080e38fda98|MECHEXP-81d2c4d74ea5cb6321aa4a26|MECHEXP-88d1e8719a1d026e6b1f15f6|MECHEXP-a184a2420fa49b57a509b40e|MECHEXP-a9d74fc3d533ffd80302f020|MECHEXP-cda064781d2e896d7885f9d6|MECHEXP-e24953f85e72bdb97a22f5a8|MECHEXP-e890c671cbd5d2aff3e5a1ed|MECHEXP-f0c330004eec2818637b00f8|MECHEXP-fbed68d9e5e390da649790bb|MECHEXP-fd3db8e0d6e88aa5718c74c5,ROOTCOMP-22b6b1e4cbdb454a143b676e|ROOTCOMP-8e2c565f31ba60b4d636a063|ROOTCOMP-959597fd9612d5c05857e49a|ROOTCOMP-eb19e377aaa05215359b351c,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/e82d9d44ab6adc9f65133ac969a7809cb4e41520f7ec4d87d98252c153ad6928.html,Bainbridge,False,Table078301012025.aspx,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_001,7,html_table_structure_present,EXTREADINESS-195ff846f1c59cc8d145d928,html_table_candidate_ready,high,table_candidate,implementation_confirmation|payroll_and_earnings|tenure_and_progression,police,multi_family_administrative_source,official_administrative_summary,OH,,EXTSOURCE-011f1de25fb7b507572ae602,,,RESCAND-a4ef8007a746a8d1f20fadad,external_search_wave_002_exhaustive_residual,Bainbridge,OH,2025,police,police,multi_family_administrative_source,ROOTCOMP-22b6b1e4cbdb454a143b676e|ROOTCOMP-8e2c565f31ba60b4d636a063|ROOTCOMP-959597fd9612d5c05857e49a|ROOTCOMP-eb19e377aaa05215359b351c,MECHEXP-1b126978821fffd16f9011e5|MECHEXP-2cf6443affa37a9f3bf872b9|MECHEXP-3b3b47052f8011a65310ae78|MECHEXP-58d47180c7fb3080e38fda98|MECHEXP-81d2c4d74ea5cb6321aa4a26|MECHEXP-88d1e8719a1d026e6b1f15f6|MECHEXP-a184a2420fa49b57a509b40e|MECHEXP-a9d74fc3d533ffd80302f020|MECHEXP-cda064781d2e896d7885f9d6|MECHEXP-e24953f85e72bdb97a22f5a8|MECHEXP-e890c671cbd5d2aff3e5a1ed|MECHEXP-f0c330004eec2818637b00f8|MECHEXP-fbed68d9e5e390da649790bb|MECHEXP-fd3db8e0d6e88aa5718c74c5,,extraction_lane_001,7
text/html;charset=UTF-8,6c13143deaa95046f9384139dc88c515d52823d5c10319e882f214bb577de26b,payroll_roster,0,35483,1,EXTPAYLOAD-0120dcc4ce68394357826d36,EXTSOURCE-0120dcc4ce68394357826d36,1,EXTREADYQ-0ee2eaa93a46fac96595dd00,6,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":35483,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":19,""navigation_density"":0.100529,""payload_bytes"":35483,""row_element_count"":23,""script_count"":9,""structured_data_script_count"":0,""table_count"":19,""valid_html_structure"":true,""visible_text_characters"":1346}",,8,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:54:39.021643+00:00,0.00092,EXTCAND-de040a1b6e44a4659c671256,,MECHEXP-182c60d5096c9bfaa7a2f001|MECHEXP-3fbcb75efb9cc3b9f597d46d|MECHEXP-5d518f139783eac7a0b319c0|MECHEXP-7a7ca332aa7afb692c706f6e|MECHEXP-a5efd717baf753b972a38a4c|MECHEXP-dca88391365ce9d58d58bd1e|MECHEXP-f6ccc6014c686206f0dd24c9,ROOTCOMP-fba36f55e95143699331fb71,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/6c13143deaa95046f9384139dc88c515d52823d5c10319e882f214bb577de26b.html,Elburn,False,financial,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_001,8,html_table_structure_present,EXTREADINESS-c585e4e69f322dc85b75f9c5,html_table_candidate_ready,high,table_candidate,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,multi_family_administrative_source,official_administrative_summary,IL,,EXTSOURCE-0120dcc4ce68394357826d36,,,EXTCAND-de040a1b6e44a4659c671256,external_search_wave_001_compacted,Elburn,IL,2025,police,police,multi_family_administrative_source,ROOTCOMP-fba36f55e95143699331fb71,MECHEXP-182c60d5096c9bfaa7a2f001|MECHEXP-3fbcb75efb9cc3b9f597d46d|MECHEXP-5d518f139783eac7a0b319c0|MECHEXP-7a7ca332aa7afb692c706f6e|MECHEXP-a5efd717baf753b972a38a4c|MECHEXP-dca88391365ce9d58d58bd1e|MECHEXP-f6ccc6014c686206f0dd24c9,,extraction_lane_001,8
text/html; charset=utf-8,4d662e08f14ac2dc87c3b8856cc3c454f83e96bba91bee81bdc9bc615297d97a,payroll_roster,0,113783,1,EXTPAYLOAD-0194fc273034576c253be7d3,EXTSOURCE-0194fc273034576c253be7d3,1,EXTREADYQ-b4da02fce55f9b2170087a4e,5,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":113783,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":1,""link_count"":92,""navigation_density"":0.154104,""payload_bytes"":113783,""row_element_count"":0,""script_count"":38,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":4021}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:06:39.101805+00:00,0.00333,RESCAND-1e05083dc2a914d16bed0172,,MECHEXP-1ddf64e2ada9f837440e0dd0|MECHEXP-346d63e8f111e7c42e23f760|MECHEXP-4a6b2f3051f63f5c84aea488|MECHEXP-ba5599d69561feff2ffbd014|MECHEXP-c2e824896440664e19e88b3c,ROOTCOMP-a1087eef7ddb0a0974afaf7f,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4d662e08f14ac2dc87c3b8856cc3c454f83e96bba91bee81bdc9bc615297d97a.html,Bradford,False,SchoolTreasurer.aspx,current_30_gib_store,2021,html_text_extraction_queue,,readiness_lane_005,12,substantive_visible_html_text,EXTREADINESS-c8eb7eaec920cf036239016e,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,multi_family_administrative_source,official_administrative_summary,ME,,EXTSOURCE-0194fc273034576c253be7d3,,,RESCAND-1e05083dc2a914d16bed0172,external_search_wave_002_exhaustive_residual,Bradford,ME,2021,unclear,unclear,multi_family_administrative_source,ROOTCOMP-a1087eef7ddb0a0974afaf7f,MECHEXP-1ddf64e2ada9f837440e0dd0|MECHEXP-346d63e8f111e7c42e23f760|MECHEXP-4a6b2f3051f63f5c84aea488|MECHEXP-ba5599d69561feff2ffbd014|MECHEXP-c2e824896440664e19e88b3c,,extraction_lane_001,9
text/html; charset=utf-8,41d213c0b91009b5c608068ffc0b78633339a710cc16c97b5f7bb32c3f19d9e0,payroll_roster,0,257544,1,EXTPAYLOAD-01ab257f61f6de7d06e29ce6,EXTSOURCE-01ab257f61f6de7d06e29ce6,1,EXTREADYQ-47a4f5fff39cf47d1e60c899,6,,all_units,html,False,"{""bounded_inspection"":false,""bytes_inspected"":257544,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":306,""navigation_density"":0.013575,""payload_bytes"":257544,""row_element_count"":0,""script_count"":41,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":155478}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:03:39.138932+00:00,0.00967,EXTCAND-5ef860131dcb2320c8e5dfb0,,MECHEXP-008e07a2a550e3fe5baa7d95|MECHEXP-1b86a44a27d94dff9ca9ade1|MECHEXP-543c12242afc75610f3daa2b|MECHEXP-87b3bf6d9dcacc4cf658ffb3|MECHEXP-a3a5134063fe393f473beb53,ROOTCOMP-5d67218f2c70132aca9d0dcb,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/41d213c0b91009b5c608068ffc0b78633339a710cc16c97b5f7bb32c3f19d9e0.html,York charter,False,actions-taken-board-regents,current_30_gib_store,2025,html_text_extraction_queue,,readiness_lane_004,15,substantive_visible_html_text,EXTREADINESS-1b8d94ebb4cb7a5967430112,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,all_units,multi_family_administrative_source,official_administrative_summary,MI,,EXTSOURCE-01ab257f61f6de7d06e29ce6,,,EXTCAND-5ef860131dcb2320c8e5dfb0,external_search_wave_001_compacted,York charter,MI,2025,all_units,all_units,multi_family_administrative_source,ROOTCOMP-5d67218f2c70132aca9d0dcb,MECHEXP-008e07a2a550e3fe5baa7d95|MECHEXP-1b86a44a27d94dff9ca9ade1|MECHEXP-543c12242afc75610f3daa2b|MECHEXP-87b3bf6d9dcacc4cf658ffb3|MECHEXP-a3a5134063fe393f473beb53,,extraction_lane_001,10
