extraction_result_id,canonical_payload_id,candidate_id,linkage_basis
EXTEXTRACT-9e76c1567d3c88e54fd04fa9,EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,EXTCAND-face135d7eb4850fb2777bdf,readiness_preserved_lineage
EXTEXTRACT-1d64f9f44d17505a8e6a962b,EXTPAYLOAD-00036840dd1547c95ddf49b3,RESCAND-86fac417501283fd1d0e9611,readiness_preserved_lineage
EXTEXTRACT-025aab17950d39443fb83572,EXTPAYLOAD-000842740a46817d53deae4c,RESCAND-b76487c6181ae90841d733bf,readiness_preserved_lineage
EXTEXTRACT-20c6369ed212a89f2e481e50,EXTPAYLOAD-001335100368c5fa28d271eb,RESCAND-e58091e14bf29c80f4385c78,readiness_preserved_lineage
EXTEXTRACT-57d60e767f29a0478efd8fde,EXTPAYLOAD-001a1204ca212b6b85f43ef5,EXTCAND-2b1b5bcd6839ae4bfbe0c15c,readiness_preserved_lineage
EXTEXTRACT-d8d07af740a5205341649923,EXTPAYLOAD-001ba8bdc409337d8c467913,EXTCAND-29cf03f93d2d594afc6e81d2,readiness_preserved_lineage
EXTEXTRACT-a8969f8fb6139841ce3e007b,EXTPAYLOAD-001f6312d3c142563e4044fd,RESCAND-55f667a74c880fe7d9f677df,readiness_preserved_lineage
EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTPAYLOAD-0027da9767f30538f6a95de6,RESCAND-777f40bbcb93f6aa159ce49d,readiness_preserved_lineage
EXTEXTRACT-d326090dec67be9abb127ec1,EXTPAYLOAD-00437bb92546727dc37ba255,RESCAND-cbc270e3a1d31b568a24d2e4,readiness_preserved_lineage
EXTEXTRACT-79f991abd8d13ba5a0fd97ea,EXTPAYLOAD-00452fdbe1df698e6d99e5fb,EXTCAND-22c848de1a96aed88fcb342a,readiness_preserved_lineage
EXTEXTRACT-8b10b85b441e04b829d7e26d,EXTPAYLOAD-0048c78471b3515ec2731089,EXTCAND-824914d0bd91c7f2b7d1c135,readiness_preserved_lineage
EXTEXTRACT-27dfb6d89cd4c84bd11014d2,EXTPAYLOAD-0052b8a8e93a2c8f1f47cdf1,EXTCAND-059887b4389d2b336a489698,readiness_preserved_lineage
EXTEXTRACT-e7d6b30f9829f80cb2c76096,EXTPAYLOAD-00577fa21ff20d5b617e10e7,EXTCAND-82029a758ebd31c09c541816,readiness_preserved_lineage
EXTEXTRACT-1f76adb868a68932733b9e02,EXTPAYLOAD-0062f64da9060a0cd6ed8c7f,EXTCAND-7fb6a2567a140f846217aae6,readiness_preserved_lineage
EXTEXTRACT-9649138832fbcaf7842b168b,EXTPAYLOAD-00695731fb429c889ad66e00,EXTCAND-24b5f90189385db142845f29,readiness_preserved_lineage
EXTEXTRACT-5059ce4607f119e2f6f875fe,EXTPAYLOAD-006a99166d964f8c2aaab706,RESCAND-8328dd7f24b61c1197615e61,readiness_preserved_lineage
EXTEXTRACT-59a9ef020587b8b33aa4a8d2,EXTPAYLOAD-00700bc266d4ba049ff71656,RESCAND-b1b090cc861fc628691eb067,readiness_preserved_lineage
EXTEXTRACT-58e633669a43e2a5b1a21e59,EXTPAYLOAD-00771192db7aa066f7c1f3c5,EXTCAND-904a901fff3b84041007e42a,readiness_preserved_lineage
EXTEXTRACT-f7fea735049dd844e63d5619,EXTPAYLOAD-0079b97aaafbf6d8287ecb36,RESCAND-9949d635bce603504f892796,readiness_preserved_lineage
EXTEXTRACT-6eac9a1608b69d762ed36d93,EXTPAYLOAD-008722483bb20edd6fe1784e,RESCAND-9b1a140dbac885c45854a811,readiness_preserved_lineage
